SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PPZ2

Rank	Gene	Common	Score
Q	YDR436W	PPZ2	
1	YBR280C	SAF1	3.9
2	YDR358W	GGA1	3.8
3	YBR214W	SDS24	3.7
4	YPR026W	ATH1	3.6
5	YEL011W	GLC3	3.6
6	YJL141C	YAK1	3.6
7	YMR110C	HFD1	3.5
8	YIL101C	XBP1	3.5
9	YIL136W	OM45	3.5
10	YPL203W	TPK2	3.5
11	YDR479C	PEX29	3.5
12	YIL017C	VID28	3.5
13	YGL227W	VID30	3.5
14	YPL123C	RNY1	3.5
15	YJL155C	FBP26	3.5
16	YDR122W	KIN1	3.5
17	YJL057C	IKS1	3.4
18	YBR126C	TPS1	3.4
19	YGL006W	PMC1	3.4
20	YML100W	TSL1	3.4
21	YDL110C	TMA17	3.4
22	YIL097W	FYV10	3.4
23	YHR016C	YSC84	3.4
24	YMR139W	RIM11	3.4
25	YLR219W	MSC3	3.4
26	YAL034C	FUN19	3.4
27	YOR227W	HER1	3.4
28	YDR074W	TPS2	3.4
29	YEL060C	PRB1	3.4
30	YOR173W	DCS2	3.4
31	YPR184W	GDB1	3.3
32	YLR178C	TFS1	3.3
33	YCL040W	GLK1	3.3
34	YPL222W	FMP40	3.3
35	YHR171W	ATG7	3.3
36	YJL164C	TPK1	3.3
37	YKR076W	ECM4	3.3
38	YCR030C	SYP1	3.3
39	YGR070W	ROM1	3.3
40	YMR053C	STB2	3.3
41	YBR169C	SSE2	3.3
42	YBR269C	SDH8	3.3
43	YLR270W	DCS1	3.3
44	YGR194C	XKS1	3.3
45	YIL033C	BCY1	3.3
46	YDR171W	HSP42	3.3
47	YMR250W	GAD1	3.3
48	YBL078C	ATG8	3.3
49	YDL204W	RTN2	3.3
50	YIL107C	PFK26	3.3
51	YBR212W	NGR1	3.3
52	YBR001C	NTH2	3.3
53	YDL169C	UGX2	3.3
54	YCR091W	KIN82	3.3
55	YLR258W	GSY2	3.3
56	YDL091C	UBX3	3.2
57	YKR067W	GPT2	3.2
58	YKL034W	TUL1	3.2
59	YHR161C	YAP1801	3.2
60	YOL084W	PHM7	3.2
61	YGR248W	SOL4	3.2
62	YDR003W	RCR2	3.2
63	YIL155C	GUT2	3.2
64	YBR006W	UGA2	3.2
65	YCR079W	PTC6	3.2
66	YOR374W	ALD4	3.2
67	YDR001C	NTH1	3.2
68	YDR330W	UBX5	3.2
69	YKR049C	FMP46	3.2
70	YHR104W	GRE3	3.2
71	YMR105C	PGM2	3.2
72	YDR435C	PPM1	3.2
73	YNR002C	ATO2	3.2
74	YJL066C	MPM1	3.2
75	YML128C	MSC1	3.2
76	YDR096W	GIS1	3.2
77	YML057W	CMP2	3.2
78	YML042W	CAT2	3.2
79	YER054C	GIP2	3.2
80	YGR019W	UGA1	3.2
81	YLR080W	EMP46	3.2
82	YGL208W	SIP2	3.2
83	YMR170C	ALD2	3.2
84	YGR008C	STF2	3.2
85	YNL223W	ATG4	3.2
86	YLL019C	KNS1	3.2
87	YDR204W	COQ4	3.2
88	YKL142W	MRP8	3.2
89	YGL037C	PNC1	3.2
90	YGL104C	VPS73	3.2
91	YLR251W	SYM1	3.1
92	YAL061W	BDH2	3.1
93	YGL156W	AMS1	3.1
94	YDL234C	GYP7	3.1
95	YLL026W	HSP104	3.1
96	YPL230W	USV1	3.1
97	YDR231C	COX20	3.1
98	YDL149W	ATG9	3.1
99	YPL196W	OXR1	3.1
100	YDL085W	NDE2	3.1
101	YKL168C	KKQ8	3.1
102	YOL082W	ATG19	3.1
103	YBL064C	PRX1	3.1
104	YPL186C	UIP4	3.1
105	YER101C	AST2	3.1
106	YIR039C	YPS6	3.1
107	YBR046C	ZTA1	3.1
108	YJR059W	PTK2	3.1
109	YER162C	RAD4	3.1
110	YKL093W	MBR1	3.1
111	YOR120W	GCY1	3.1
112	YGR088W	CTT1	3.1
113	YHR106W	TRR2	3.1
114	YDR255C	RMD5	3.1
115	YMR261C	TPS3	3.1
116	YDR085C	AFR1	3.1
117	YAL028W	FRT2	3.1
118	YBR132C	AGP2	3.1
119	YHR096C	HXT5	3.1
120	YDR258C	HSP78	3.1
121	YIL099W	SGA1	3.1
122	YOL060C	MAM3	3.1
123	YBL101C	ECM21	3.1
124	YBR230C	OM14	3.1
125	YMR169C	ALD3	3.1
126	YKR009C	FOX2	3.0
127	YDR516C	EMI2	3.0
128	YNL274C	GOR1	3.0
129	YER033C	ZRG8	3.0
130	YCL039W	GID7	3.0
131	YPL004C	LSP1	3.0
132	YFL030W	AGX1	3.0
133	YDR504C	SPG3	3.0
134	YDR070C	FMP16	3.0
135	YML120C	NDI1	3.0
136	YJL103C	GSM1	3.0
137	YNL237W	YTP1	3.0
138	YDL215C	GDH2	3.0
139	YDL072C	YET3	3.0
140	YDL113C	ATG20	3.0
141	YML054C	CYB2	3.0
142	YJL161W	FMP33	3.0
143	YDR148C	KGD2	3.0
144	YHL021C	AIM17	3.0
145	YAL017W	PSK1	3.0
146	YPL154C	PEP4	3.0
147	YFR015C	GSY1	3.0
148	YDR059C	UBC5	3.0
149	YKL121W	DGR2	3.0
150	YMR304W	UBP15	3.0
151	YDR490C	PKH1	3.0
152	YPL119C	DBP1	3.0
153	YIR038C	GTT1	3.0
154	YPR030W	CSR2	3.0
155	YIL113W	SDP1	3.0
156	YMR041C	ARA2	3.0
157	YKL065C	YET1	3.0
158	YLR327C	TMA10	3.0
159	YDL019C	OSH2	3.0
160	YJR019C	TES1	3.0
161	YHR087W	RTC3	3.0
162	YMR140W	SIP5	3.0
163	YOR329C	SCD5	3.0
164	YFR049W	KGD4	3.0
165	YDL238C	GUD1	3.0
166	YPL054W	LEE1	3.0
167	YBR149W	ARA1	2.9
168	YKL148C	SDH1	2.9
169	YKL188C	PXA2	2.9
170	YDR178W	SDH4	2.9
171	YPL087W	YDC1	2.9
172	YCR011C	ADP1	2.9
173	YOR386W	PHR1	2.9
174	YOL071W	SDH5	2.9
175	YDR513W	GRX2	2.9
176	YBR183W	YPC1	2.9
177	YBL015W	ACH1	2.9
178	YDL194W	SNF3	2.9
179	YLR324W	PEX30	2.9
180	YGR256W	GND2	2.9
181	YKL124W	SSH4	2.9
182	YEL012W	UBC8	2.9
183	YNL159C	ASI2	2.9
184	YDL024C	DIA3	2.9
185	YNR007C	ATG3	2.9
186	YER035W	EDC2	2.9
187	YLR070C	XYL2	2.9
188	YBR026C	ETR1	2.9
189	YOR132W	VPS17	2.9
190	YLR299W	ECM38	2.9
191	YPL152W	RRD2	2.9
192	YKR058W	GLG1	2.9
193	YMR152W	YIM1	2.9
194	YPR155C	NCA2	2.9
195	YER119C	AVT6	2.9
196	YOR035C	SHE4	2.9
197	YER143W	DDI1	2.9
198	YJR036C	HUL4	2.9
199	YKL193C	SDS22	2.9
200	YGR043C	NQM1	2.9
201	YCL052C	PBN1	2.9
202	YDR313C	PIB1	2.9
203	YDR505C	PSP1	2.9
204	YMR165C	PAH1	2.9
205	YGL141W	HUL5	2.9
206	YDL223C	HBT1	2.9
207	YHR195W	NVJ1	2.9
208	YIL036W	CST6	2.9
209	YMR135C	GID8	2.9
210	YKL026C	GPX1	2.9
211	YDL020C	RPN4	2.9
212	YHR037W	PUT2	2.9
213	YMR302C	YME2	2.9
214	YLR362W	STE11	2.9
215	YIL045W	PIG2	2.9
216	YBR059C	AKL1	2.9
217	YOR023C	AHC1	2.9
218	YGL053W	PRM8	2.9
219	YKL035W	UGP1	2.9
220	YJL036W	SNX4	2.9
221	YHR075C	PPE1	2.9
222	YDR287W	INM2	2.9
223	YDR293C	SSD1	2.9
224	YOR245C	DGA1	2.9
225	YOR185C	GSP2	2.9
226	YOR178C	GAC1	2.8
227	YKL150W	MCR1	2.8
228	YPL003W	ULA1	2.8
229	YPL100W	ATG21	2.8
230	YGL250W	RMR1	2.8
231	YER053C	PIC2	2.8
232	YLR174W	IDP2	2.8
233	YOL013C	HRD1	2.8
234	YLR201C	COQ9	2.8
235	YOR036W	PEP12	2.8
236	YAR027W	UIP3	2.8
237	YHR028C	DAP2	2.8
238	YPL206C	PGC1	2.8
239	YLR267W	BOP2	2.8
240	YBR117C	TKL2	2.8
241	YMR271C	URA10	2.8
242	YDL222C	FMP45	2.8
243	YOR054C	VHS3	2.8
244	YMR297W	PRC1	2.8
245	YDR406W	PDR15	2.8
246	YJL042W	MHP1	2.8
247	YER020W	GPA2	2.8
248	YPL219W	PCL8	2.8
249	YDR425W	SNX41	2.8
250	YJL048C	UBX6	2.8
251	YDR202C	RAV2	2.8
252	YOL032W	OPI10	2.8
253	YIL042C	PKP1	2.8
254	YGR268C	HUA1	2.8
255	YHR194W	MDM31	2.8
256	YMR174C	PAI3	2.8
257	YMR104C	YPK2	2.8
258	YDR169C	STB3	2.8
259	YFL042C	LAM5	2.8
260	YIL125W	KGD1	2.8
261	YPL006W	NCR1	2.8
262	YDL115C	IWR1	2.8
263	YNL093W	YPT53	2.8
264	YDL021W	GPM2	2.8
265	YIL146C	ATG32	2.8
266	YKL091C	YKL091C	2.8
267	YOR162C	YRR1	2.8
268	YOR042W	CUE5	2.8
269	YOL052C-A	DDR2	2.8
270	YCR073W-A	SOL2	2.8
271	YGR141W	VPS62	2.8
272	YDL045C	FAD1	2.8
273	YNL183C	NPR1	2.8
274	YNR001C	CIT1	2.8
275	YLR248W	RCK2	2.8
276	YMR068W	AVO2	2.8
277	YGL248W	PDE1	2.8
278	YML118W	NGL3	2.8
279	YNL125C	ESBP6	2.8
280	YNL242W	ATG2	2.8
281	YML004C	GLO1	2.8
282	YOL025W	LAG2	2.8
283	YHL032C	GUT1	2.7
284	YDR453C	TSA2	2.7
285	YAL008W	FUN14	2.7
286	YDL022W	GPD1	2.7
287	YJL137C	GLG2	2.7
288	YPR160W	GPH1	2.7
289	YKL146W	AVT3	2.7
290	YOR161C	PNS1	2.7
291	YAL054C	ACS1	2.7
292	YLR240W	VPS34	2.7
293	YMR311C	GLC8	2.7
294	YIL124W	AYR1	2.7
295	YMR191W	SPG5	2.7
296	YDR329C	PEX3	2.7
