SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPS17B

Rank	Gene	Common	Score
Q	YDR447C	RPS17B	
1	YML024W	RPS17A	5.8
2	YDR471W	RPL27B	5.4
3	YML026C	RPS18B	5.3
4	YER117W	RPL23B	5.3
5	YDR450W	RPS18A	5.3
6	YOR293W	RPS10A	5.2
7	YPL079W	RPL21B	5.2
8	YDL083C	RPS16B	5.2
9	YHR010W	RPL27A	5.2
10	YJL177W	RPL17B	5.2
11	YDR418W	RPL12B	5.1
12	YGL031C	RPL24A	5.1
13	YBL087C	RPL23A	5.1
14	YER131W	RPS26B	5.1
15	YOR312C	RPL20B	5.1
16	YDL082W	RPL13A	5.1
17	YBR191W	RPL21A	5.0
18	YPR132W	RPS23B	5.0
19	YER102W	RPS8B	5.0
20	YGR034W	RPL26B	5.0
21	YGR118W	RPS23A	5.0
22	YOR234C	RPL33B	5.0
23	YOR096W	RPS7A	5.0
24	YNL162W	RPL42A	5.0
25	YIL069C	RPS24B	5.0
26	YGR148C	RPL24B	5.0
27	YML073C	RPL6A	5.0
28	YBR189W	RPS9B	5.0
29	YLR061W	RPL22A	5.0
30	YGR085C	RPL11B	5.0
31	YLR185W	RPL37A	5.0
32	YJL190C	RPS22A	5.0
33	YPL143W	RPL33A	4.9
34	YMR242C	RPL20A	4.9
35	YOL127W	RPL25	4.9
36	YLR333C	RPS25B	4.9
37	YJL136C	RPS21B	4.9
38	YLR344W	RPL26A	4.9
39	YLR441C	RPS1A	4.9
40	YDR025W	RPS11A	4.9
41	YMR142C	RPL13B	4.9
42	YLR448W	RPL6B	4.9
43	YER074W	RPS24A	4.8
44	YML063W	RPS1B	4.8
45	YEL054C	RPL12A	4.8
46	YPR102C	RPL11A	4.8
47	YKR094C	RPL40B	4.8
48	YDR064W	RPS13	4.8
49	YDL075W	RPL31A	4.8
50	YHR141C	RPL42B	4.8
51	YGL147C	RPL9A	4.8
52	YGL103W	RPL28	4.8
53	YNL302C	RPS19B	4.8
54	YGR214W	RPS0A	4.8
55	YIL052C	RPL34B	4.8
56	YKR057W	RPS21A	4.7
