SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TRS31

Rank	Gene	Common	Score
Q	YDR472W	TRS31	
1	YGR195W	SKI6	2.4
2	YHR133C	NSG1	2.3
3	YLR186W	EMG1	2.3
4	YHR068W	DYS1	2.3
5	YHR062C	RPP1	2.3
6	YDR339C	FCF1	2.3
7	YDL111C	RRP42	2.3
8	YBR061C	TRM7	2.3
9	YKR026C	GCN3	2.2
10	YBR252W	DUT1	2.2
11	YIR026C	YVH1	2.2
12	YMR290C	HAS1	2.2
13	YKL130C	SHE2	2.2
14	YBL068W	PRS4	2.2
15	YOR224C	RPB8	2.2
16	YGR158C	MTR3	2.2
17	YHR128W	FUR1	2.2
18	YDR454C	GUK1	2.2
19	YOL097C	WRS1	2.2
20	YPR144C	NOC4	2.2
21	YIL020C	HIS6	2.2
22	YDL082W	RPL13A	2.2
23	YMR123W	PKR1	2.2
24	YJR069C	HAM1	2.2
25	YHR069C	RRP4	2.2
26	YDR404C	RPB7	2.2
27	YDL014W	NOP1	2.2
28	YEL029C	BUD16	2.1
29	YIR012W	SQT1	2.1
30	YIL134W	FLX1	2.1
31	YNL248C	RPA49	2.1
32	YJL125C	GCD14	2.1
33	YDR280W	RRP45	2.1
34	YGL070C	RPB9	2.1
35	YNR038W	DBP6	2.1
36	YLR146C	SPE4	2.1
37	YDL166C	FAP7	2.1
38	YMR093W	UTP15	2.1
39	YLR307W	CDA1	2.1
40	YHR065C	RRP3	2.1
41	YOR260W	GCD1	2.1
42	YJR063W	RPA12	2.1
43	YGR173W	RBG2	2.1
44	YGR095C	RRP46	2.1
45	YGL067W	NPY1	2.1
46	YDL236W	PHO13	2.1
47	YOR272W	YTM1	2.1
48	YGR078C	PAC10	2.1
49	YDR083W	RRP8	2.1
50	YBR130C	SHE3	2.1
51	YDR245W	MNN10	2.1
52	YDR321W	ASP1	2.1
53	YLR293C	GSP1	2.1
54	YPR060C	ARO7	2.1
55	YPR110C	RPC40	2.1
56	YBR254C	TRS20	2.1
57	YDR449C	UTP6	2.1
58	YDR184C	ATC1	2.1
59	YIL103W	DPH1	2.1
60	YJL183W	MNN11	2.1
61	YHR070W	TRM5	2.1
62	YGR264C	MES1	2.1
63	YDR021W	FAL1	2.1
64	YKL009W	MRT4	2.1
65	YLR316C	TAD3	2.1
66	YDR165W	TRM82	2.1
67	YHR013C	ARD1	2.1
68	YOL080C	REX4	2.1
69	YOR340C	RPA43	2.1
70	YLR172C	DPH5	2.1
71	YJR007W	SUI2	2.1
72	YOL142W	RRP40	2.1
73	YDR045C	RPC11	2.1
74	YDR410C	STE14	2.1
75	YKR081C	RPF2	2.1
76	YLR291C	GCD7	2.1
77	YER126C	NSA2	2.1
78	YDL150W	RPC53	2.1
79	YDL143W	CCT4	2.0
80	YHR148W	IMP3	2.0
81	YGL148W	ARO2	2.0
82	YDR101C	ARX1	2.0
83	YPR048W	TAH18	2.0
84	YGR128C	UTP8	2.0
85	YER006W	NUG1	2.0
86	YLR244C	MAP1	2.0
87	YML125C	PGA3	2.0
88	YKL191W	DPH2	2.0
89	YDL201W	TRM8	2.0
90	YBR291C	CTP1	2.0
91	YPL211W	NIP7	2.0
92	YHR169W	DBP8	2.0
93	YFL022C	FRS2	2.0
94	YPR069C	SPE3	2.0
95	YNL075W	IMP4	2.0
96	YDR471W	RPL27B	2.0
97	YBR154C	RPB5	2.0
98	YML106W	URA5	2.0
99	YNL141W	AAH1	2.0
100	YKR060W	UTP30	2.0
101	YDR496C	PUF6	2.0
102	YDR144C	MKC7	2.0
103	YLR372W	ELO3	2.0
104	YHR052W	CIC1	2.0
105	YOL077C	BRX1	2.0
106	YNL062C	GCD10	2.0
107	YBR175W	SWD3	2.0
108	YLR017W	MEU1	2.0
109	YLR397C	AFG2	2.0
110	YGR262C	BUD32	2.0
111	YLL035W	GRC3	2.0
112	YOR241W	MET7	2.0
113	YDL051W	LHP1	2.0
114	YER049W	TPA1	2.0
115	YDR091C	RLI1	2.0
116	YHR193C	EGD2	2.0
117	YGL213C	SKI8	2.0
118	YMR243C	ZRC1	2.0
119	YGR208W	SER2	2.0
120	YDR361C	BCP1	2.0
121	YPL030W	TRM44	2.0
122	YHR049W	FSH1	2.0
123	YDR331W	GPI8	2.0
124	YML056C	IMD4	2.0
125	YPR137W	RRP9	2.0
126	YHR163W	SOL3	2.0
127	YKL024C	URA6	2.0
128	YKL144C	RPC25	2.0
129	YJL133W	MRS3	2.0
130	YNL175C	NOP13	2.0
131	YCR057C	PWP2	2.0
132	YPL226W	NEW1	2.0
133	YML094W	GIM5	2.0
134	YDR465C	RMT2	2.0
135	YDL108W	KIN28	2.0
136	YPL183C	RTT10	2.0
137	YGL169W	SUA5	2.0
138	YDL208W	NHP2	2.0
139	YDL122W	UBP1	2.0
140	YKL128C	PMU1	2.0
141	YDR064W	RPS13	2.0
142	YJL191W	RPS14B	2.0
143	YPR041W	TIF5	2.0
144	YLR409C	UTP21	2.0
145	YHR089C	GAR1	2.0
146	YGL099W	LSG1	2.0
147	YDR395W	SXM1	2.0
148	YDR087C	RRP1	2.0
149	YPR010C	RPA135	2.0
150	YNR046W	TRM112	2.0
151	YDL064W	UBC9	2.0
152	YBR104W	YMC2	2.0
153	YHR144C	DCD1	2.0
154	YCR072C	RSA4	2.0
155	YGL120C	PRP43	2.0
156	YHL001W	RPL14B	2.0
157	YCL031C	RRP7	2.0
158	YHL011C	PRS3	2.0
159	YDR300C	PRO1	2.0
160	YLL034C	RIX7	2.0
161	YOR269W	PAC1	2.0
162	YOR271C	FSF1	2.0
163	YER131W	RPS26B	2.0
164	YDL167C	NRP1	2.0
165	YBR087W	RFC5	2.0
166	YNL163C	RIA1	2.0
167	YOL061W	PRS5	2.0
168	YLR222C	UTP13	2.0
169	YGL238W	CSE1	2.0
170	YHR064C	SSZ1	2.0
171	YBR247C	ENP1	2.0
172	YGR074W	SMD1	2.0
173	YGL097W	SRM1	2.0
174	YLR060W	FRS1	2.0
175	YML022W	APT1	2.0
176	YML080W	DUS1	2.0
177	YCL063W	VAC17	2.0
178	YNL096C	RPS7B	2.0
179	YLR448W	RPL6B	2.0
180	YNL119W	NCS2	2.0
181	YKL078W	DHR2	2.0
182	YDR212W	TCP1	2.0
183	YJL148W	RPA34	2.0
184	YNL113W	RPC19	2.0
185	YNL301C	RPL18B	2.0
186	YPR112C	MRD1	2.0
187	YJR070C	LIA1	2.0
188	YJL190C	RPS22A	2.0
189	YEL026W	SNU13	2.0
190	YIL133C	RPL16A	2.0
191	YPL079W	RPL21B	2.0
192	YDR398W	UTP5	2.0
193	YPL227C	ALG5	2.0
194	YHR196W	UTP9	2.0
195	YLR264W	RPS28B	2.0
