SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SNM1

Rank	Gene	Common	Score
Q	YDR478W	SNM1	
1	YGL029W	CGR1	3.1
2	YDR021W	FAL1	2.9
3	YDR087C	RRP1	2.9
4	YKL099C	UTP11	2.9
5	YFR001W	LOC1	2.8
6	YHR088W	RPF1	2.8
7	YKR063C	LAS1	2.8
8	YDR412W	RRP17	2.8
9	YER127W	LCP5	2.8
10	YNL075W	IMP4	2.8
11	YMR269W	TMA23	2.8
12	YOR004W	UTP23	2.8
13	YLR068W	FYV7	2.8
14	YDL213C	NOP6	2.8
15	YJR097W	JJJ3	2.8
16	YBR155W	CNS1	2.8
17	YGR081C	SLX9	2.8
18	YOR252W	TMA16	2.8
19	YMR014W	BUD22	2.8
20	YNR024W	MPP6	2.7
21	YDL036C	PUS9	2.7
22	YLR221C	RSA3	2.7
23	YMR239C	RNT1	2.7
24	YKL082C	RRP14	2.7
25	YLL011W	SOF1	2.7
26	YOL080C	REX4	2.7
27	YDR339C	FCF1	2.7
28	YNL110C	NOP15	2.7
29	YHR066W	SSF1	2.7
30	YPR143W	RRP15	2.7
31	YDR152W	GIR2	2.7
32	YAL059W	ECM1	2.7
33	YHR085W	IPI1	2.7
34	YER002W	NOP16	2.7
35	YPL043W	NOP4	2.7
36	YOR078W	BUD21	2.7
37	YBR142W	MAK5	2.7
38	YOR294W	RRS1	2.7
39	YGR280C	PXR1	2.7
40	YHR081W	LRP1	2.7
41	YDR496C	PUF6	2.7
42	YGR187C	HGH1	2.7
43	YDL153C	SAS10	2.7
44	YPL211W	NIP7	2.7
45	YDR312W	SSF2	2.7
46	YAL036C	RBG1	2.7
47	YDR449C	UTP6	2.7
48	YGR145W	ENP2	2.7
49	YDR184C	ATC1	2.7
50	YHR196W	UTP9	2.7
51	YML093W	UTP14	2.7
52	YLR009W	RLP24	2.7
53	YKR081C	RPF2	2.6
54	YLR276C	DBP9	2.6
55	YCL054W	SPB1	2.6
56	YIL019W	FAF1	2.6
57	YGR128C	UTP8	2.6
58	YKL143W	LTV1	2.6
59	YDL166C	FAP7	2.6
60	YER126C	NSA2	2.6
61	YGR271C-A	EFG1	2.6
62	YPL086C	ELP3	2.6
63	YPR169W	JIP5	2.6
64	YCL059C	KRR1	2.6
65	YIL079C	AIR1	2.6
66	YJL122W	ALB1	2.6
67	YDL201W	TRM8	2.6
68	YHR052W	CIC1	2.6
69	YNL308C	KRI1	2.6
70	YNL175C	NOP13	2.6
71	YLR003C	CMS1	2.6
72	YDR280W	RRP45	2.6
73	YIL008W	URM1	2.6
74	YJR067C	YAE1	2.6
75	YPL239W	YAR1	2.6
76	YLR435W	TSR2	2.6
77	YKR060W	UTP30	2.6
78	YDR083W	RRP8	2.6
79	YLR022C	SDO1	2.6
80	YNL113W	RPC19	2.6
81	YKL009W	MRT4	2.6
82	YGR103W	NOP7	2.6
83	YOR119C	RIO1	2.6
84	YHR065C	RRP3	2.6
85	YDR361C	BCP1	2.6
86	YBR154C	RPB5	2.6
87	YHR069C	RRP4	2.6
88	YHR170W	NMD3	2.6
89	YML080W	DUS1	2.6
90	YDL051W	LHP1	2.6
91	YPR137W	RRP9	2.6
92	YLR336C	SGD1	2.5
93	YCL031C	RRP7	2.5
94	YOR210W	RPB10	2.5
95	YBR257W	POP4	2.5
96	YAL025C	MAK16	2.5
97	YJL011C	RPC17	2.5
98	YGL171W	ROK1	2.5
99	YNL227C	JJJ1	2.5
100	YOR056C	NOB1	2.5
101	YBR061C	TRM7	2.5
102	YKL172W	EBP2	2.5
103	YDL208W	NHP2	2.5
104	YHR062C	RPP1	2.5
105	YJL125C	GCD14	2.5
106	YNL151C	RPC31	2.5
107	YIL020C	HIS6	2.5
108	YDL148C	NOP14	2.5
109	YOR340C	RPA43	2.5
110	YOR206W	NOC2	2.5
111	YLR051C	FCF2	2.5
112	YDL031W	DBP10	2.5
113	YJL033W	HCA4	2.5
114	YHL013C	OTU2	2.5
115	YMR093W	UTP15	2.5
116	YOL144W	NOP8	2.5
117	YOL010W	RCL1	2.5
118	YLR074C	BUD20	2.5
119	YNL207W	RIO2	2.5
120	YHR197W	RIX1	2.5
121	YGL111W	NSA1	2.5
122	YDL150W	RPC53	2.5
123	YJL148W	RPA34	2.5
124	YER082C	UTP7	2.5
125	YKR024C	DBP7	2.5
126	YGR200C	ELP2	2.5
127	YFL002C	SPB4	2.5
128	YDR110W	FOB1	2.5
129	YJR063W	RPA12	2.5
130	YJR055W	HIT1	2.5
131	YHR148W	IMP3	2.5
132	YDR045C	RPC11	2.5
133	YHL011C	PRS3	2.5
134	YDR165W	TRM82	2.5
135	YGL169W	SUA5	2.5
136	YNR053C	NOG2	2.5
137	YGL246C	RAI1	2.5
138	YPR110C	RPC40	2.5
139	YKL021C	MAK11	2.5
140	YDL167C	NRP1	2.5
141	YGR158C	MTR3	2.5
142	YDR120C	TRM1	2.5
143	YDR324C	UTP4	2.5
144	YNL002C	RLP7	2.5
145	YKL078W	DHR2	2.5
146	YLR196W	PWP1	2.5
147	YGL099W	LSG1	2.5
148	YDR299W	BFR2	2.5
149	YMR128W	ECM16	2.5
150	YGR072W	UPF3	2.5
151	YJL069C	UTP18	2.5
152	YOR145C	PNO1	2.5
153	YDR469W	SDC1	2.4
154	YNR012W	URK1	2.4
155	YER006W	NUG1	2.4
156	YMR132C	JLP2	2.4
157	YLR175W	CBF5	2.4
158	YGR129W	SYF2	2.4
159	YMR131C	RRB1	2.4
160	YJR014W	TMA22	2.4
161	YPL146C	NOP53	2.4
162	YOR272W	YTM1	2.4
163	YPR112C	MRD1	2.4
164	YGL243W	TAD1	2.4
165	YJR002W	MPP10	2.4
166	YOR295W	UAF30	2.4
167	YFL001W	DEG1	2.4
168	YDR075W	PPH3	2.4
169	YOL093W	TRM10	2.4
170	YDR060W	MAK21	2.4
171	YNL292W	PUS4	2.4
172	YDR308C	SRB7	2.4
173	YPR144C	NOC4	2.4
174	YGR030C	POP6	2.4
175	YDR398W	UTP5	2.4
176	YIR026C	YVH1	2.4
177	YBR247C	ENP1	2.4
178	YBL018C	POP8	2.4
179	YIL103W	DPH1	2.4
180	YOR091W	TMA46	2.4
181	YDR465C	RMT2	2.4
182	YDR121W	DPB4	2.4
183	YDL111C	RRP42	2.4
184	YDL060W	TSR1	2.4
185	YCR057C	PWP2	2.4
186	YMR127C	SAS2	2.4
187	YNL119W	NCS2	2.4
188	YIR012W	SQT1	2.4
189	YLR129W	DIP2	2.4
190	YNR003C	RPC34	2.4
191	YBR002C	RER2	2.4
192	YDR190C	RVB1	2.4
193	YKR026C	GCN3	2.4
194	YMR049C	ERB1	2.4
195	YLL034C	RIX7	2.4
196	YJL179W	PFD1	2.4
197	YLR222C	UTP13	2.4
198	YBR267W	REI1	2.4
199	YLR316C	TAD3	2.4
200	YPL183C	RTT10	2.4
201	YDR395W	SXM1	2.4
202	YLL008W	DRS1	2.4
203	YBL068W	PRS4	2.4
204	YIL104C	SHQ1	2.4
205	YJL050W	MTR4	2.4
206	YOR159C	SME1	2.4
207	YGR083C	GCD2	2.4
208	YPL126W	NAN1	2.4
209	YNR054C	ESF2	2.4
210	YLR409C	UTP21	2.4
211	YNL255C	GIS2	2.4
212	YOR095C	RKI1	2.4
213	YMR233W	TRI1	2.4
214	YKR099W	BAS1	2.4
215	YOL041C	NOP12	2.4
216	YGR078C	PAC10	2.4
217	YHR144C	DCD1	2.4
218	YNL182C	IPI3	2.4
219	YGR195W	SKI6	2.4
220	YBL024W	NCL1	2.3
221	YOR310C	NOP58	2.3
222	YJL098W	SAP185	2.3
223	YML094W	GIM5	2.3
224	YIL016W	SNL1	2.3
225	YNL062C	GCD10	2.3
226	YDR482C	CWC21	2.3
227	YBR104W	YMC2	2.3
228	YKL122C	SRP21	2.3
229	YNL061W	NOP2	2.3
230	YHR169W	DBP8	2.3
231	YFL034C-A	RPL22B	2.3
232	YBL042C	FUI1	2.3
233	YER007C-A	TMA20	2.3
234	YNL232W	CSL4	2.3
235	YCR072C	RSA4	2.3
236	YPL012W	RRP12	2.3
237	YEL055C	POL5	2.3
238	YHR143W-A	RPC10	2.3
239	YNL001W	DOM34	2.3
240	YKR092C	SRP40	2.3
241	YPL217C	BMS1	2.3
242	YOR179C	SYC1	2.3
243	YGL211W	NCS6	2.3
244	YDR365C	ESF1	2.3
245	YPR048W	TAH18	2.3
246	YNL153C	GIM3	2.3
247	YJL208C	NUC1	2.3
248	YLR002C	NOC3	2.3
249	YDR471W	RPL27B	2.3
250	YOR319W	HSH49	2.3
251	YKL144C	RPC25	2.3
252	YGL078C	DBP3	2.3
253	YMR153W	NUP53	2.3
254	YNL164C	IBD2	2.3
255	YMR290C	HAS1	2.3
256	YDR245W	MNN10	2.3
257	YHR060W	VMA22	2.3
258	YML113W	DAT1	2.3
259	YDR397C	NCB2	2.3
260	YGR123C	PPT1	2.3
261	YOL077C	BRX1	2.3
262	YOR243C	PUS7	2.3
263	YER049W	TPA1	2.3
264	YLR406C	RPL31B	2.3
265	YPL266W	DIM1	2.3
266	YJR032W	CPR7	2.3
267	YDR429C	TIF35	2.3
268	YML014W	TRM9	2.3
269	YGL070C	RPB9	2.3
270	YLR197W	NOP56	2.3
271	YPL237W	SUI3	2.3
272	YMR123W	PKR1	2.3
273	YNL248C	RPA49	2.3
274	YMR138W	CIN4	2.3
275	YNL141W	AAH1	2.3
276	YDR527W	RBA50	2.3
277	YDL219W	DTD1	2.3
278	YCR035C	RRP43	2.3
279	YHR013C	ARD1	2.3
280	YKR025W	RPC37	2.3
281	YLR200W	YKE2	2.3
282	YOL142W	RRP40	2.3
283	YGL050W	TYW3	2.3
284	YPR186C	PZF1	2.2
285	YKL110C	KTI12	2.2
286	YGR095C	RRP46	2.2
287	YJL010C	NOP9	2.2
288	YPR187W	RPO26	2.2
289	YJL072C	PSF2	2.2
290	YLR405W	DUS4	2.2
291	YLR449W	FPR4	2.2
292	YLR015W	BRE2	2.2
293	YHR134W	WSS1	2.2
294	YEL029C	BUD16	2.2
295	YKR056W	TRM2	2.2
296	YML077W	BET5	2.2
297	YPL038W	MET31	2.2
298	YGR173W	RBG2	2.2
299	YOL102C	TPT1	2.2
300	YOR094W	ARF3	2.2
301	YNL132W	KRE33	2.2
302	YIL110W	HPM1	2.2
303	YGR159C	NSR1	2.2
304	YGR245C	SDA1	2.2
305	YDL043C	PRP11	2.2
306	YDR428C	BNA7	2.2
307	YGR105W	VMA21	2.2
308	YML097C	VPS9	2.2
309	YLR021W	IRC25	2.2
310	YIL027C	EMC5	2.2
311	YOL124C	TRM11	2.2
312	YJL184W	GON7	2.2
313	YDL112W	TRM3	2.2
314	YMR260C	TIF11	2.2
315	YPR017C	DSS4	2.2
316	YPL193W	RSA1	2.2
317	YDR101C	ARX1	2.2
318	YOR224C	RPB8	2.2
319	YOR234C	RPL33B	2.2
320	YJR072C	NPA3	2.2
321	YPR060C	ARO7	2.2
322	YKL156W	RPS27A	2.2
323	YEL018W	EAF5	2.2
324	YPR190C	RPC82	2.2
325	YCR060W	TAH1	2.2
326	YMR229C	RRP5	2.2
327	YHR046C	INM1	2.2
328	YNR038W	DBP6	2.2
329	YGR208W	SER2	2.2
330	YGR229C	SMI1	2.2
331	YGL097W	SRM1	2.2
332	YBL039C	URA7	2.2
333	YBR252W	DUT1	2.2
334	YJR135C	MCM22	2.2
335	YEL003W	GIM4	2.2
336	YAL033W	POP5	2.2
337	YER148W	SPT15	2.2
338	YBR091C	TIM12	2.2
339	YHR089C	GAR1	2.2
340	YLR291C	GCD7	2.2
341	YMR263W	SAP30	2.2
342	YNL129W	NRK1	2.2
343	YDL008W	APC11	2.2
344	YFL023W	BUD27	2.2
345	YLR215C	CDC123	2.2
346	YNL299W	TRF5	2.2
347	YHR040W	BCD1	2.2
348	YCR047C	BUD23	2.2
349	YLL035W	GRC3	2.2
350	YKL166C	TPK3	2.2
351	YBR188C	NTC20	2.2
352	YDR156W	RPA14	2.2
353	YER149C	PEA2	2.2
354	YHR191C	CTF8	2.2
355	YGL120C	PRP43	2.2
356	YBL004W	UTP20	2.2
357	YLR384C	IKI3	2.2
358	YMR312W	ELP6	2.2
359	YNR046W	TRM112	2.2
360	YNL282W	POP3	2.2
361	YDR240C	SNU56	2.2
362	YMR268C	PRP24	2.2
363	YDR139C	RUB1	2.2
364	YGR057C	LST7	2.2
365	YNL023C	FAP1	2.2
366	YKR044W	UIP5	2.2
367	YGR169C	PUS6	2.2
368	YDL092W	SRP14	2.2
369	YLR401C	DUS3	2.2
370	YPL263C	KEL3	2.2
371	YPL093W	NOG1	2.1
372	YDR198C	RKM2	2.1
373	YOR236W	DFR1	2.1
374	YCR054C	CTR86	2.1
375	YKR079C	TRZ1	2.1
376	YNL186W	UBP10	2.1
377	YAL019W	FUN30	2.1
378	YDR013W	PSF1	2.1
379	YBR162W-A	YSY6	2.1
380	YBR034C	HMT1	2.1
381	YKL191W	DPH2	2.1
382	YOL125W	TRM13	2.1
383	YCL036W	GFD2	2.1
384	YLR223C	IFH1	2.1
385	YDL209C	CWC2	2.1
386	YDL074C	BRE1	2.1
387	YKL049C	CSE4	2.1
388	YKL186C	MTR2	2.1
389	YJR069C	HAM1	2.1
390	YDR243C	PRP28	2.1
391	YDL014W	NOP1	2.1
392	YLR016C	PML1	2.1
393	YPR163C	TIF3	2.1
394	YPR010C	RPA135	2.1
395	YER029C	SMB1	2.1
396	YOR143C	THI80	2.1
