SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PLM2

Rank	Gene	Common	Score
Q	YDR501W	PLM2	
1	YDL101C	DUN1	2.8
2	YDL003W	MCD1	2.7
3	YDR113C	PDS1	2.4
4	YLR183C	TOS4	2.4
5	YDR503C	LPP1	2.4
6	YNL312W	RFA2	2.4
7	YBR070C	ALG14	2.4
8	YER070W	RNR1	2.4
9	YPL124W	SPC29	2.4
10	YJL187C	SWE1	2.4
11	YLR103C	CDC45	2.3
12	YHR172W	SPC97	2.3
13	YKL101W	HSL1	2.3
14	YMR078C	CTF18	2.3
15	YDR507C	GIN4	2.3
16	YDR263C	DIN7	2.3
17	YIL026C	IRR1	2.3
18	YLR212C	TUB4	2.3
19	YGR109C	CLB6	2.3
20	YLR313C	SPH1	2.3
21	YBR088C	POL30	2.3
22	YMR199W	CLN1	2.3
23	YOR074C	CDC21	2.3
24	YHR153C	SPO16	2.3
25	YOL017W	ESC8	2.3
26	YPL255W	BBP1	2.2
27	YOL007C	CSI2	2.2
28	YER095W	RAD51	2.2
29	YDR451C	YHP1	2.2
30	YGR221C	TOS2	2.2
31	YMR076C	PDS5	2.2
32	YLR307W	CDA1	2.2
33	YPL209C	IPL1	2.2
34	YDL018C	ERP3	2.2
35	YGR099W	TEL2	2.2
36	YIL140W	AXL2	2.2
37	YNL102W	POL1	2.2
38	YBL031W	SHE1	2.2
39	YNL283C	WSC2	2.2
40	YAR007C	RFA1	2.2
41	YBL009W	ALK2	2.2
42	YNL166C	BNI5	2.1
43	YFR027W	ECO1	2.1
44	YKL113C	RAD27	2.1
45	YDL164C	CDC9	2.1
46	YDL103C	QRI1	2.1
47	YPL163C	SVS1	2.1
48	YML027W	YOX1	2.1
49	YLL002W	RTT109	2.1
50	YPR120C	CLB5	2.1
51	YCR065W	HCM1	2.1
52	YNR009W	NRM1	2.1
53	YPL127C	HHO1	2.1
54	YMR198W	CIK1	2.1
55	YKR090W	PXL1	2.1
56	YPL153C	RAD53	2.1
57	YER003C	PMI40	2.1
58	YPL267W	ACM1	2.1
59	YFL008W	SMC1	2.1
60	YPL241C	CIN2	2.1
61	YLR383W	SMC6	2.1
62	YNL126W	SPC98	2.1
63	YPL256C	CLN2	2.1
64	YPR141C	KAR3	2.1
65	YOR026W	BUB3	2.1
66	YBR156C	SLI15	2.1
67	YNL273W	TOF1	2.1
68	YHR061C	GIC1	2.1
69	YER118C	SHO1	2.1
70	YMR048W	CSM3	2.1
71	YNL072W	RNH201	2.1
72	YLR381W	CTF3	2.1
73	YMR179W	SPT21	2.1
74	YOL090W	MSH2	2.1
75	YDL127W	PCL2	2.1
76	YJL173C	RFA3	2.1
77	YOR025W	HST3	2.1
78	YJL074C	SMC3	2.1
79	YDR480W	DIG2	2.1
80	YLR045C	STU2	2.0
81	YLR272C	YCS4	2.0
82	YGR152C	RSR1	2.0
83	YMR215W	GAS3	2.0
84	YIL132C	CSM2	2.0
85	YOR284W	HUA2	2.0
86	YDR400W	URH1	2.0
87	YML109W	ZDS2	2.0
88	YOR247W	SRL1	2.0
89	YDR528W	HLR1	2.0
90	YCL024W	KCC4	2.0
91	YDL093W	PMT5	2.0
92	YBR243C	ALG7	2.0
93	YJL115W	ASF1	2.0
94	YML085C	TUB1	2.0
95	YAR008W	SEN34	2.0
96	YPL227C	ALG5	2.0
97	YKL165C	MCD4	2.0
98	YHR154W	RTT107	2.0
99	YGL061C	DUO1	2.0
100	YPL253C	VIK1	2.0
