SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GTA1

Rank	Gene	Common	Score
Q	YEL043W	GTA1	
1	YHR206W	SKN7	1.7
2	YDL140C	RPO21	1.6
3	YIR006C	PAN1	1.6
4	YHR082C	KSP1	1.6
5	YGL150C	INO80	1.6
6	YGL014W	PUF4	1.6
7	YBR172C	SMY2	1.6
8	YLR071C	RGR1	1.6
9	YKL204W	EAP1	1.5
10	YHR186C	KOG1	1.5
11	YLR187W	SKG3	1.5
12	YER114C	BOI2	1.5
13	YPL105C	SYH1	1.5
14	YMR275C	BUL1	1.5
15	YDR159W	SAC3	1.5
16	YDL195W	SEC31	1.5
17	YGL216W	KIP3	1.5
18	YCL037C	SRO9	1.5
19	YNR013C	PHO91	1.5
20	YCR067C	SED4	1.5
21	YPL085W	SEC16	1.5
22	YIL151C	ESL1	1.5
23	YDR422C	SIP1	1.5
24	YHR155W	LAM1	1.5
25	YBR079C	RPG1	1.5
26	YMR277W	FCP1	1.5
27	YER132C	PMD1	1.5
28	YJL041W	NSP1	1.5
29	YGR162W	TIF4631	1.5
30	YLR087C	CSF1	1.5
31	YOR151C	RPB2	1.5
32	YGL140C	YGL140C	1.4
33	YDR359C	EAF1	1.4
34	YEL042W	GDA1	1.4
35	YIL031W	ULP2	1.4
36	YGR056W	RSC1	1.4
37	YGL023C	PIB2	1.4
38	YLR410W	VIP1	1.4
39	YLR430W	SEN1	1.4
40	YBL051C	PIN4	1.4
41	YER008C	SEC3	1.4
42	YJL084C	ALY2	1.4
43	YLR095C	IOC2	1.4
44	YOR188W	MSB1	1.4
45	YBL081W	YBL081W	1.4
46	YGL013C	PDR1	1.4
47	YKL054C	DEF1	1.4
48	YNL278W	CAF120	1.4
49	YPL169C	MEX67	1.4
50	YAL043C	PTA1	1.4
51	YLL048C	YBT1	1.4
52	YGR054W	YGR054W	1.4
53	YBL037W	APL3	1.4
54	YJL078C	PRY3	1.4
55	YOR322C	LDB19	1.4
56	YPR089W	YPR089W	1.4
57	YHR205W	SCH9	1.4
58	YER123W	YCK3	1.4
59	YGR241C	YAP1802	1.4
60	YHR182W	RGD3	1.4
61	YKR054C	DYN1	1.4
62	YMR047C	NUP116	1.4
63	YFR029W	PTR3	1.4
64	YER165W	PAB1	1.4
65	YGL113W	SLD3	1.4
66	YBR289W	SNF5	1.4
67	YDR266C	HEL2	1.4
68	YDR169C	STB3	1.4
69	YKL032C	IXR1	1.4
70	YBR017C	KAP104	1.4
71	YGR014W	MSB2	1.4
72	YGR184C	UBR1	1.4
73	YNR038W	DBP6	1.4
74	YML114C	TAF8	1.4
75	YLR451W	LEU3	1.4
76	YBL034C	STU1	1.4
77	YMR086W	SEG1	1.4
78	YDR389W	SAC7	1.4
79	YPL032C	SVL3	1.4
80	YEL032W	MCM3	1.4
81	YDR301W	CFT1	1.4
82	YLR389C	STE23	1.4
83	YHL007C	STE20	1.4
84	YBL079W	NUP170	1.4
85	YPL089C	RLM1	1.4
86	YDL145C	COP1	1.4
87	YBL047C	EDE1	1.3
88	YLR116W	MSL5	1.3
89	YBR086C	IST2	1.3
90	YER166W	DNF1	1.3
91	YBL104C	SEA4	1.3
92	YER105C	NUP157	1.3
93	YGR013W	SNU71	1.3
94	YDR062W	LCB2	1.3
95	YLR380W	CSR1	1.3
96	YAL040C	CLN3	1.3
97	YOR267C	HRK1	1.3
98	YMR247C	RKR1	1.3
99	YPL137C	GIP3	1.3
100	YBR198C	TAF5	1.3
101	YBR275C	RIF1	1.3
102	YBR238C	YBR238C	1.3
103	YJL073W	JEM1	1.3
104	YER017C	AFG3	1.3
105	YMR309C	NIP1	1.3
106	YDR170C	SEC7	1.3
107	YKL025C	PAN3	1.3
108	YGR204W	ADE3	1.3
109	YHR165C	PRP8	1.3
110	YKL038W	RGT1	1.3
111	YDL160C	DHH1	1.3
112	YGR218W	CRM1	1.3
113	YIL129C	TAO3	1.3
114	YMR012W	CLU1	1.3
115	YKR072C	SIS2	1.3
116	YIL128W	MET18	1.3
117	YMR109W	MYO5	1.3
118	YDR351W	SBE2	1.3
119	YLL032C	YLL032C	1.3
120	YHR084W	STE12	1.3
121	YCR033W	SNT1	1.3
122	YDL189W	RBS1	1.3
123	YEL036C	ANP1	1.3
124	YPL176C	TRE1	1.3
125	YPL190C	NAB3	1.3
126	YJL197W	UBP12	1.3
127	YOR017W	PET127	1.3
128	YLR419W	YLR419W	1.3
129	YNL091W	NST1	1.3
130	YER164W	CHD1	1.3
131	YNL262W	POL2	1.3
132	YOR290C	SNF2	1.3
133	YHR079C	IRE1	1.3
134	YNL247W	CRS1	1.3
135	YIL115C	NUP159	1.3
136	YKL014C	URB1	1.3
137	YGL178W	MPT5	1.3
138	YMR037C	MSN2	1.3
139	YIR023W	DAL81	1.3
140	YAL035W	FUN12	1.3
141	YBR212W	NGR1	1.3
142	YER110C	KAP123	1.3
143	YLR403W	SFP1	1.3
144	YEL007W	MIT1	1.3
145	YJL095W	BCK1	1.3
146	YHR119W	SET1	1.3
147	YKR096W	ESL2	1.3
148	YOR109W	INP53	1.3
149	YEL037C	RAD23	1.3
150	YMR213W	CEF1	1.3
151	YGL238W	CSE1	1.3
152	YKL068W	NUP100	1.3
153	YIL135C	VHS2	1.3
154	YGL139W	FLC3	1.3
155	YGL173C	XRN1	1.3
156	YHR102W	KIC1	1.3
157	YML109W	ZDS2	1.3
158	YGL083W	SCY1	1.3
159	YLR422W	DCK1	1.3
160	YHR099W	TRA1	1.3
161	YLR357W	RSC2	1.3
162	YNL176C	TDA7	1.3
163	YIL038C	NOT3	1.3
164	YBL014C	RRN6	1.3
165	YDR443C	SSN2	1.3
166	YGR211W	ZPR1	1.3
167	YER086W	ILV1	1.3
168	YER125W	RSP5	1.3
169	YPR008W	HAA1	1.3
170	YLR373C	VID22	1.3
171	YDR463W	STP1	1.3
172	YAL041W	CDC24	1.3
173	YGL049C	TIF4632	1.3
174	YCR065W	HCM1	1.3
175	YJL076W	NET1	1.3
176	YOR113W	AZF1	1.3
177	YLR024C	UBR2	1.3
178	YJL176C	SWI3	1.3
179	YNR047W	FPK1	1.3
180	YMR216C	SKY1	1.3
181	YBL105C	PKC1	1.3
182	YAL024C	LTE1	1.3
183	YDR325W	YCG1	1.3
184	YCR089W	FIG2	1.3
185	YFL007W	BLM10	1.3
186	YGR166W	TRS65	1.3
187	YOR172W	YRM1	1.3
188	YOR355W	GDS1	1.3
189	YDR138W	HPR1	1.3
190	YER154W	OXA1	1.3
191	YDR333C	RQC1	1.3
192	YBR074W	PFF1	1.3
193	YER151C	UBP3	1.3
194	YGR227W	DIE2	1.3
195	YGL066W	SGF73	1.3
196	YIL147C	SLN1	1.3
197	YLR398C	SKI2	1.3
198	YIL130W	ASG1	1.3
199	YNL251C	NRD1	1.3
200	YDR093W	DNF2	1.3
201	YEL053C	MAK10	1.3
202	YGL203C	KEX1	1.3
203	YOL036W	YOL036W	1.3
204	YOR098C	NUP1	1.3
205	YGL071W	AFT1	1.3
206	YDR038C	ENA5	1.3
207	YDL058W	USO1	1.3
208	YER113C	TMN3	1.3
209	YOR371C	GPB1	1.3
210	YFL023W	BUD27	1.3
211	YGL056C	SDS23	1.3
212	YML076C	WAR1	1.3
213	YLR207W	HRD3	1.3
214	YLL010C	PSR1	1.3
215	YDR052C	DBF4	1.3
216	YOR048C	RAT1	1.3
217	YIL149C	MLP2	1.3
218	YHR188C	GPI16	1.3
219	YMR129W	POM152	1.3
220	YDL102W	POL3	1.3
221	YER169W	RPH1	1.2
222	YGR264C	MES1	1.2
223	YOR217W	RFC1	1.2
224	YFR013W	IOC3	1.2
225	YDR186C	SND1	1.2
226	YIL005W	EPS1	1.2
227	YPL145C	KES1	1.2
228	YOR058C	ASE1	1.2
229	YGR240C	PFK1	1.2
230	YOR141C	ARP8	1.2
231	YER172C	BRR2	1.2
232	YPL226W	NEW1	1.2
233	YDR103W	STE5	1.2
234	YAL021C	CCR4	1.2
235	YPR072W	NOT5	1.2
236	YOL089C	HAL9	1.2
237	YLR335W	NUP2	1.2
238	YCL061C	MRC1	1.2
239	YLL018C	DPS1	1.2
240	YGR090W	UTP22	1.2
241	YFR009W	GCN20	1.2
242	YBR112C	CYC8	1.2
243	YKL105C	SEG2	1.2
244	YNL221C	POP1	1.2
245	YER064C	VHR2	1.2
246	YDL141W	BPL1	1.2
247	YLL040C	VPS13	1.2
248	YDR326C	YSP2	1.2
249	YBR015C	MNN2	1.2
250	YMR070W	MOT3	1.2
251	YJR041C	URB2	1.2
252	YLR337C	VRP1	1.2
253	YLL043W	FPS1	1.2
254	YLR106C	REA1	1.2
255	YDR232W	HEM1	1.2
256	YML074C	FPR3	1.2
257	YER111C	SWI4	1.2
258	YIL126W	STH1	1.2
259	YER144C	UBP5	1.2
260	YBL052C	SAS3	1.2
261	YHR083W	SAM35	1.2
262	YLR291C	GCD7	1.2
263	YBR136W	MEC1	1.2
264	YER033C	ZRG8	1.2
265	YOR156C	NFI1	1.2
266	YNR045W	PET494	1.2
267	YOL078W	AVO1	1.2
268	YPR042C	PUF2	1.2
269	YJR031C	GEA1	1.2
270	YLR347C	KAP95	1.2
271	YDR430C	CYM1	1.2
272	YKR045C	YKR045C	1.2
273	YLR223C	IFH1	1.2
274	YDR507C	GIN4	1.2
275	YGL133W	ITC1	1.2
276	YLR310C	CDC25	1.2
277	YPL204W	HRR25	1.2
278	YNL016W	PUB1	1.2
279	YDR097C	MSH6	1.2
280	YOL060C	MAM3	1.2
281	YDL207W	GLE1	1.2
282	YDR293C	SSD1	1.2
283	YHR020W	YHR020W	1.2
284	YJR091C	JSN1	1.2
285	YJR138W	IML1	1.2
286	YDR477W	SNF1	1.2
287	YML061C	PIF1	1.2
288	YNL197C	WHI3	1.2
289	YGR217W	CCH1	1.2
290	YNL212W	VID27	1.2
291	YMR190C	SGS1	1.2
292	YDR420W	HKR1	1.2
293	YNL309W	STB1	1.2
294	YFR051C	RET2	1.2
295	YCR057C	PWP2	1.2
296	YGR134W	CAF130	1.2
297	YHL004W	MRP4	1.2
298	YNL291C	MID1	1.2
299	YGL167C	PMR1	1.2
300	YFL022C	FRS2	1.2
301	YOR233W	KIN4	1.2
302	YBL004W	UTP20	1.2
303	YCR093W	CDC39	1.2
304	YCL014W	BUD3	1.2
305	YML081W	TDA9	1.2
306	YJL047C	RTT101	1.2
307	YIL137C	TMA108	1.2
308	YOR359W	VTS1	1.2
309	YPR032W	SRO7	1.2
310	YKR082W	NUP133	1.2
311	YDR205W	MSC2	1.2
312	YGR047C	TFC4	1.2
313	YLR409C	UTP21	1.2
314	YFR038W	IRC5	1.2
315	YKR021W	ALY1	1.2
316	YJL080C	SCP160	1.2
317	YHR108W	GGA2	1.2
318	YGL073W	HSF1	1.2
319	YKR090W	PXL1	1.2
320	YDR349C	YPS7	1.2
321	YGR178C	PBP1	1.2
322	YML071C	COG8	1.2
323	YOR304W	ISW2	1.2
324	YML103C	NUP188	1.2
325	YOL138C	RTC1	1.2
326	YML072C	TCB3	1.2
327	YOR014W	RTS1	1.2
328	YER155C	BEM2	1.2
329	YNL068C	FKH2	1.2
330	YNL287W	SEC21	1.2
331	YLR115W	CFT2	1.2
332	YBR059C	AKL1	1.2
333	YPR083W	MDM36	1.2
334	YGR238C	KEL2	1.2
335	YHR135C	YCK1	1.2
336	YDR464W	SPP41	1.2
337	YNL124W	NAF1	1.2
338	YLR427W	MAG2	1.2
339	YNL186W	UBP10	1.2
340	YIL041W	GVP36	1.2
341	YMR273C	ZDS1	1.2
342	YLR035C	MLH2	1.2
343	YLR378C	SEC61	1.2
344	YDL077C	VAM6	1.2
345	YNL243W	SLA2	1.2
346	YHR204W	MNL1	1.2
347	YGL092W	NUP145	1.2
348	YGL245W	GUS1	1.2
349	YIL085C	KTR7	1.2
350	YDL220C	CDC13	1.2
351	YGR116W	SPT6	1.2
352	YGL125W	MET13	1.2
353	YGL022W	STT3	1.2
354	YLR139C	SLS1	1.2
355	YOR030W	DFG16	1.2
356	YDR457W	TOM1	1.2
357	YEL022W	GEA2	1.2
358	YGL075C	MPS2	1.2
359	YEL063C	CAN1	1.2
360	YOL019W	TOS7	1.2
361	YNL271C	BNI1	1.2
362	YCR030C	SYP1	1.2
363	YER112W	LSM4	1.2
364	YFR030W	MET10	1.2
365	YIL084C	SDS3	1.2
366	YLL031C	GPI13	1.2
367	YKL198C	PTK1	1.2
368	YDL117W	CYK3	1.2
369	YDR110W	FOB1	1.2
370	YCL045C	EMC1	1.2
371	YPR034W	ARP7	1.2
372	YJL129C	TRK1	1.2
373	YDR221W	GTB1	1.2
374	YNL132W	KRE33	1.2
375	YBR133C	HSL7	1.2
376	YLR394W	CST9	1.2
377	YGL137W	SEC27	1.2
378	YER129W	SAK1	1.2
379	YOR091W	TMA46	1.2
380	YDR485C	VPS72	1.2
381	YBR023C	CHS3	1.2
382	YLR057W	MNL2	1.2
383	YEL025C	YEL025C	1.2
384	YGR061C	ADE6	1.2
385	YKR102W	FLO10	1.2
386	YMR164C	MSS11	1.2
387	YKL215C	OXP1	1.2
388	YGR270W	YTA7	1.2
389	YPL009C	RQC2	1.2
390	YCR052W	RSC6	1.2
391	YLR086W	SMC4	1.2
392	YGL215W	CLG1	1.2
393	YIL036W	CST6	1.2
394	YML034W	SRC1	1.2
395	YBL007C	SLA1	1.2
396	YDR143C	SAN1	1.2
397	YGR150C	CCM1	1.2
398	YPR161C	SGV1	1.2
399	YPL180W	TCO89	1.2
400	YBR081C	SPT7	1.2
401	YNL161W	CBK1	1.2
402	YER025W	GCD11	1.2
403	YNL167C	SKO1	1.2
404	YJR126C	VPS70	1.2
405	YER176W	ECM32	1.2
406	YER088C	DOT6	1.2
407	YJL042W	MHP1	1.2
408	YDL240W	LRG1	1.2
409	YMR276W	DSK2	1.2
410	YOR370C	MRS6	1.2
411	YDL031W	DBP10	1.2
412	YML082W	YML082W	1.2
413	YDL167C	NRP1	1.2
414	YIL030C	SSM4	1.2
415	YBR202W	MCM7	1.2
416	YHR019C	DED81	1.2
417	YML059C	NTE1	1.2
418	YMR310C	UPA2	1.2
419	YOL115W	PAP2	1.2
420	YDL122W	UBP1	1.2
421	YGR004W	PEX31	1.2
422	YML113W	DAT1	1.2
423	YMR080C	NAM7	1.2
424	YNL308C	KRI1	1.2
425	YHR036W	BRL1	1.2
426	YIL026C	IRR1	1.2
427	YCR088W	ABP1	1.2
428	YBL091C	MAP2	1.2
429	YAL042W	ERV46	1.2
430	YCR084C	TUP1	1.2
431	YLR039C	RIC1	1.2
432	YDR081C	PDC2	1.2
433	YER083C	GET2	1.2
434	YDL033C	SLM3	1.2
435	YGL016W	KAP122	1.2
436	YFL034C-B	MOB2	1.2
437	YER167W	BCK2	1.2
438	YDL132W	CDC53	1.2
439	YER049W	TPA1	1.2
