SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CAN1

Rank	Gene	Common	Score
Q	YEL063C	CAN1	
1	YNL142W	MEP2	3.0
2	YNL101W	AVT4	3.0
3	YLR023C	IZH3	2.7
4	YCL025C	AGP1	2.7
5	YOL119C	MCH4	2.7
6	YER040W	GLN3	2.6
7	YER052C	HOM3	2.6
8	YER056C	FCY2	2.6
9	YDL170W	UGA3	2.6
10	YOL136C	PFK27	2.6
11	YGL202W	ARO8	2.6
12	YHL027W	RIM101	2.6
13	YNL268W	LYP1	2.6
14	YHL016C	DUR3	2.5
15	YMR108W	ILV2	2.5
16	YER086W	ILV1	2.5
17	YNR013C	PHO91	2.5
18	YGL026C	TRP5	2.5
19	YNL125C	ESBP6	2.5
20	YER125W	RSP5	2.5
21	YKR039W	GAP1	2.5
22	YJR109C	CPA2	2.5
23	YPR138C	MEP3	2.5
24	YLR403W	SFP1	2.5
25	YPL265W	DIP5	2.5
26	YJL110C	GZF3	2.5
27	YOR303W	CPA1	2.5
28	YOR337W	TEA1	2.5
29	YGL125W	MET13	2.5
30	YHR206W	SKN7	2.5
31	YIR031C	DAL7	2.4
32	YGL186C	TPN1	2.4
33	YFR055W	IRC7	2.4
34	YDR481C	PHO8	2.4
35	YFL021W	GAT1	2.4
36	YDL054C	MCH1	2.4
37	YPL179W	PPQ1	2.4
38	YGR204W	ADE3	2.4
39	YIL146C	ATG32	2.4
40	YOR204W	DED1	2.4
41	YIL056W	VHR1	2.4
42	YHR205W	SCH9	2.4
43	YPR145W	ASN1	2.4
44	YIL164C	NIT1	2.4
45	YNL183C	NPR1	2.4
46	YDR508C	GNP1	2.4
47	YMR088C	VBA1	2.4
48	YML116W	ATR1	2.4
49	YEL046C	GLY1	2.4
50	YLR299W	ECM38	2.4
51	YKR034W	DAL80	2.3
52	YJR016C	ILV3	2.3
53	YDR293C	SSD1	2.3
54	YIR032C	DAL3	2.3
55	YGR121C	MEP1	2.3
56	YNL239W	LAP3	2.3
57	YDL231C	BRE4	2.3
58	YJL172W	CPS1	2.3
59	YEL013W	VAC8	2.3
60	YJR152W	DAL5	2.3
61	YBR043C	QDR3	2.3
62	YGL167C	PMR1	2.3
63	YIR034C	LYS1	2.3
64	YIL090W	ICE2	2.3
65	YHR071W	PCL5	2.3
66	YHR018C	ARG4	2.3
67	YGR191W	HIP1	2.3
68	YHR029C	YHI9	2.3
69	YEL031W	SPF1	2.3
70	YMR216C	SKY1	2.3
71	YDR035W	ARO3	2.3
72	YLL048C	YBT1	2.3
73	YGL139W	FLC3	2.3
74	YER123W	YCK3	2.3
75	YDR456W	NHX1	2.3
76	YOR360C	PDE2	2.3
77	YER073W	ALD5	2.3
78	YER175C	TMT1	2.3
79	YJR001W	AVT1	2.3
