SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ERG28

Rank	Gene	Common	Score
Q	YER044C	ERG28	
1	YGL001C	ERG26	3.4
2	YMR202W	ERG2	3.1
3	YHR190W	ERG9	2.9
4	YMR015C	ERG5	2.8
5	YGR049W	SCM4	2.8
6	YOL129W	VPS68	2.8
7	YGR175C	ERG1	2.8
8	YNL111C	CYB5	2.7
9	YNL280C	ERG24	2.7
10	YPL028W	ERG10	2.7
11	YDR284C	DPP1	2.7
12	YPR028W	YOP1	2.7
13	YHR007C	ERG11	2.6
14	YDR513W	GRX2	2.6
15	YLR043C	TRX1	2.6
16	YML008C	ERG6	2.6
17	YHR039C	MSC7	2.6
18	YGR232W	NAS6	2.6
19	YDL072C	YET3	2.6
20	YLR056W	ERG3	2.6
21	YJR044C	VPS55	2.5
22	YDR100W	TVP15	2.5
23	YGR060W	ERG25	2.5
24	YKL141W	SDH3	2.5
25	YJL167W	ERG20	2.5
26	YER009W	NTF2	2.5
27	YLR100W	ERG27	2.5
28	YML075C	HMG1	2.5
29	YER141W	COX15	2.5
30	YPL087W	YDC1	2.5
31	YIL124W	AYR1	2.5
32	YER012W	PRE1	2.4
33	YLR395C	COX8	2.4
34	YER057C	HMF1	2.4
35	YML126C	ERG13	2.4
36	YIL062C	ARC15	2.4
37	YEL024W	RIP1	2.4
38	YIR037W	HYR1	2.4
39	YGL187C	COX4	2.4
40	YIL111W	COX5B	2.4
41	YKL065C	YET1	2.4
42	YML028W	TSA1	2.4
43	YKL150W	MCR1	2.4
44	YLL050C	COF1	2.4
45	YOR230W	WTM1	2.4
46	YFR049W	KGD4	2.4
47	YMR110C	HFD1	2.4
48	YGL161C	YIP5	2.4
49	YGL037C	PNC1	2.4
50	YMR208W	ERG12	2.4
51	YDR084C	TVP23	2.4
52	YOR125C	CAT5	2.4
53	YGR209C	TRX2	2.4
54	YIL011W	TIR3	2.3
55	YGR008C	STF2	2.3
56	YDR518W	EUG1	2.3
57	YMR298W	LIP1	2.3
58	YGL191W	COX13	2.3
59	YBR183W	YPC1	2.3
60	YKL067W	YNK1	2.3
61	YGR183C	QCR9	2.3
62	YHR051W	COX6	2.3
63	YDL137W	ARF2	2.3
64	YDL110C	TMA17	2.3
65	YNR043W	MVD1	2.3
66	YJR047C	ANB1	2.3
67	YDR453C	TSA2	2.3
68	YNL156C	NSG2	2.3
69	YBR149W	ARA1	2.3
70	YJL151C	SNA3	2.3
71	YBR234C	ARC40	2.3
72	YLR038C	COX12	2.3
73	YDR032C	PST2	2.3
74	YGR180C	RNR4	2.3
75	YHR104W	GRE3	2.3
76	YLR153C	ACS2	2.3
77	YNL015W	PBI2	2.3
