SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GPP2

Rank	Gene	Common	Score
Q	YER062C	GPP2	
1	YIL053W	GPP1	3.6
2	YER037W	PHM8	3.1
3	YDL022W	GPD1	3.1
4	YFL014W	HSP12	3.0
5	YGL037C	PNC1	3.0
6	YHR104W	GRE3	3.0
7	YNL160W	YGP1	3.0
8	YBR169C	SSE2	2.9
9	YOL151W	GRE2	2.9
10	YBL064C	PRX1	2.9
11	YCL040W	GLK1	2.9
12	YMR173W	DDR48	2.9
13	YGR088W	CTT1	2.9
14	YHR087W	RTC3	2.9
15	YMR250W	GAD1	2.9
16	YDL021W	GPM2	2.9
17	YML128C	MSC1	2.8
18	YER035W	EDC2	2.8
19	YLR270W	DCS1	2.8
20	YOR185C	GSP2	2.8
21	YGR248W	SOL4	2.8
22	YIR038C	GTT1	2.8
23	YGR019W	UGA1	2.8
24	YMR169C	ALD3	2.8
25	YLR178C	TFS1	2.8
26	YDR001C	NTH1	2.8
27	YMR105C	PGM2	2.7
28	YDR368W	YPR1	2.7
29	YPL154C	PEP4	2.7
30	YBR105C	VID24	2.7
31	YGR043C	NQM1	2.7
32	YER150W	SPI1	2.7
33	YOR374W	ALD4	2.7
34	YGL156W	AMS1	2.7
35	YLR251W	SYM1	2.7
36	YML100W	TSL1	2.7
37	YBR149W	ARA1	2.7
38	YML070W	DAK1	2.7
39	YDL110C	TMA17	2.7
40	YOL052C-A	DDR2	2.7
41	YBR230C	OM14	2.7
42	YKR076W	ECM4	2.7
43	YGL121C	GPG1	2.7
44	YOL082W	ATG19	2.7
45	YLL039C	UBI4	2.6
46	YFR053C	HXK1	2.6
47	YOR173W	DCS2	2.6
48	YKL103C	APE1	2.6
49	YNL015W	PBI2	2.6
50	YEL060C	PRB1	2.6
51	YBR072W	HSP26	2.6
52	YLR258W	GSY2	2.6
53	YNL274C	GOR1	2.6
54	YIL111W	COX5B	2.6
55	YOR120W	GCY1	2.6
56	YBR054W	YRO2	2.6
57	YGR244C	LSC2	2.6
58	YMR251W-A	HOR7	2.6
59	YDL223C	HBT1	2.6
60	YDR032C	PST2	2.6
61	YGR256W	GND2	2.6
62	YPL087W	YDC1	2.6
63	YBR214W	SDS24	2.6
64	YGR008C	STF2	2.6
65	YDR074W	TPS2	2.6
66	YHR096C	HXT5	2.6
67	YML004C	GLO1	2.6
68	YGL248W	PDE1	2.6
69	YKL150W	MCR1	2.5
70	YBR006W	UGA2	2.5
71	YKL065C	YET1	2.5
72	YBR183W	YPC1	2.5
73	YBR126C	TPS1	2.5
74	YBR117C	TKL2	2.5
75	YDR055W	PST1	2.5
76	YJL116C	NCA3	2.5
77	YKL163W	PIR3	2.5
78	YOL084W	PHM7	2.5
79	YOR161C	PNS1	2.5
80	YPL221W	FLC1	2.5
81	YJL108C	PRM10	2.5
82	YDR070C	FMP16	2.5
83	YKL142W	MRP8	2.5
84	YDR516C	EMI2	2.5
85	YHR071W	PCL5	2.5
86	YKL035W	UGP1	2.5
87	YCL035C	GRX1	2.5
88	YMR174C	PAI3	2.5
89	YEL039C	CYC7	2.5
90	YBR046C	ZTA1	2.5
91	YDL204W	RTN2	2.5
92	YMR020W	FMS1	2.5
93	YDR533C	HSP31	2.5
94	YOR317W	FAA1	2.5
95	YMR195W	ICY1	2.4
96	YMR271C	URA10	2.4
97	YGR194C	XKS1	2.4
98	YJL164C	TPK1	2.4
99	YMR170C	ALD2	2.4
100	YJL052W	TDH1	2.4
101	YIL136W	OM45	2.4
102	YDL130W-A	STF1	2.4
103	YPL223C	GRE1	2.4
104	YER053C	PIC2	2.4
105	YOR347C	PYK2	2.4
106	YDR453C	TSA2	2.4
107	YJL066C	MPM1	2.4
108	YPR184W	GDB1	2.4
109	YPR160W	GPH1	2.4
110	YBR269C	SDH8	2.4
111	YAL061W	BDH2	2.4
112	YPL004C	LSP1	2.4
113	YDR171W	HSP42	2.4
114	YHR016C	YSC84	2.4
115	YMR297W	PRC1	2.4
116	YPL123C	RNY1	2.4
117	YKL096W	CWP1	2.4
118	YDR059C	UBC5	2.4
119	YJL161W	FMP33	2.4
120	YER103W	SSA4	2.4
121	YEL011W	GLC3	2.4
122	YML054C	CYB2	2.4
123	YOR303W	CPA1	2.4
124	YDR077W	SED1	2.4
125	YPL026C	SKS1	2.4
126	YDL072C	YET3	2.4
127	YLL019C	KNS1	2.4
128	YGR255C	COQ6	2.4
129	YDL222C	FMP45	2.4
130	YMR110C	HFD1	2.4
131	YOR136W	IDH2	2.4
132	YIL101C	XBP1	2.4
133	YDL169C	UGX2	2.4
134	YGL104C	VPS73	2.4
135	YPL206C	PGC1	2.4
136	YDR358W	GGA1	2.4
137	YHR094C	HXT1	2.3
138	YDR513W	GRX2	2.3
139	YBR001C	NTH2	2.3
140	YJL079C	PRY1	2.3
141	YLL026W	HSP104	2.3
142	YDR058C	TGL2	2.3
143	YIR037W	HYR1	2.3
144	YPR026W	ATH1	2.3
145	YGR032W	GSC2	2.3
146	YKR049C	FMP46	2.3
147	YGL062W	PYC1	2.3
148	YLR327C	TMA10	2.3
149	YBR052C	RFS1	2.3
150	YJL060W	BNA3	2.3
151	YGL053W	PRM8	2.3
152	YGR161C	RTS3	2.3
153	YGL006W	PMC1	2.3
154	YER177W	BMH1	2.3
155	YPL159C	PET20	2.3
156	YKR046C	PLN1	2.3
157	YNL036W	NCE103	2.3
158	YPL222W	FMP40	2.3
159	YBL078C	ATG8	2.3
160	YDR178W	SDH4	2.3
161	YHL021C	AIM17	2.3
162	YOR344C	TYE7	2.3
163	YPR149W	NCE102	2.3
164	YGR044C	RME1	2.3
165	YNR001C	CIT1	2.3
166	YHR179W	OYE2	2.3
167	YDL024C	DIA3	2.3
168	YHR037W	PUT2	2.3
169	YHR137W	ARO9	2.3
170	YKR091W	SRL3	2.3
171	YMR261C	TPS3	2.3
172	YNL237W	YTP1	2.3
173	YKL067W	YNK1	2.3
174	YKL085W	MDH1	2.3
175	YLR109W	AHP1	2.3
176	YIL107C	PFK26	2.3
177	YHR030C	SLT2	2.3
178	YDR085C	AFR1	2.3
179	YGR258C	RAD2	2.3
180	YLR375W	STP3	2.3
181	YJL196C	ELO1	2.2
182	YFR049W	KGD4	2.2
183	YJR025C	BNA1	2.2
184	YFL030W	AGX1	2.2
185	YAL008W	FUN14	2.2
186	YKL193C	SDS22	2.2
187	YNL037C	IDH1	2.2
188	YIL010W	DOT5	2.2
189	YGR138C	TPO2	2.2
190	YIL155C	GUT2	2.2
191	YDR258C	HSP78	2.2
192	YGR052W	FMP48	2.2
193	YCR036W	RBK1	2.2
194	YHR008C	SOD2	2.2
195	YDL181W	INH1	2.2
196	YDR148C	KGD2	2.2
197	YFR047C	BNA6	2.2
198	YHR209W	CRG1	2.2
199	YOR142W	LSC1	2.2
200	YGR086C	PIL1	2.2
201	YBR024W	SCO2	2.2
202	YOR360C	PDE2	2.2
203	YJL151C	SNA3	2.2
204	YKL007W	CAP1	2.2
205	YHR106W	TRR2	2.2
206	YKL062W	MSN4	2.2
207	YOL071W	SDH5	2.2
208	YIR039C	YPS6	2.2
209	YGR243W	MPC3	2.2
210	YMR175W	SIP18	2.2
211	YOL136C	PFK27	2.2
212	YOR230W	WTM1	2.2
213	YDR003W	RCR2	2.2
214	YLR080W	EMP46	2.2
215	YPL186C	UIP4	2.2
216	YLL041C	SDH2	2.2
217	YCR004C	YCP4	2.2
218	YDR033W	MRH1	2.2
219	YDR231C	COX20	2.2
220	YML120C	NDI1	2.2
221	YLR231C	BNA5	2.2
222	YOR348C	PUT4	2.2
223	YBR035C	PDX3	2.2
224	YIL034C	CAP2	2.2
225	YMR184W	ADD37	2.2
226	YAL060W	BDH1	2.2
227	YHR049W	FSH1	2.2
228	YLR354C	TAL1	2.2
229	YMR200W	ROT1	2.2
230	YGR080W	TWF1	2.2
231	YKR061W	KTR2	2.2
232	YLR300W	EXG1	2.2
233	YML130C	ERO1	2.2
234	YCR083W	TRX3	2.2
235	YMR191W	SPG5	2.2
236	YDR204W	COQ4	2.1
237	YDL085W	NDE2	2.1
238	YHR043C	DOG2	2.1
239	YHR092C	HXT4	2.1
240	YJR059W	PTK2	2.1
241	YMR278W	PRM15	2.1
242	YMR304W	UBP15	2.1
243	YBR026C	ETR1	2.1
244	YDL048C	STP4	2.1
245	YDR272W	GLO2	2.1
246	YKR013W	PRY2	2.1
247	YAL030W	SNC1	2.1
248	YIL033C	BCY1	2.1
249	YKR003W	OSH6	2.1
250	YOL129W	VPS68	2.1
251	YKL093W	MBR1	2.1
252	YGR132C	PHB1	2.1
253	YDR343C	HXT6	2.1
254	YPL017C	IRC15	2.1
255	YJL048C	UBX6	2.1
256	YNR002C	ATO2	2.1
257	YPL135W	ISU1	2.1
258	YBR177C	EHT1	2.1
259	YPL203W	TPK2	2.1
260	YML042W	CAT2	2.1
261	YGR097W	ASK10	2.1
262	YLR370C	ARC18	2.1
263	YIL124W	AYR1	2.1
264	YDR099W	BMH2	2.1
265	YCR011C	ADP1	2.1
266	YNL156C	NSG2	2.1
267	YGL166W	CUP2	2.1
268	YML110C	COQ5	2.1
269	YJL155C	FBP26	2.1
270	YDR406W	PDR15	2.1
271	YER175C	TMT1	2.1
272	YNL055C	POR1	2.1
273	YBL049W	MOH1	2.1
274	YPL230W	USV1	2.1
275	YGR189C	CRH1	2.1
276	YHL027W	RIM101	2.1
277	YMR092C	AIP1	2.1
278	YOL055C	THI20	2.1
279	YMR008C	PLB1	2.1
280	YGL157W	ARI1	2.1
281	YPL240C	HSP82	2.1
282	YJR073C	OPI3	2.1
283	YLR307W	CDA1	2.1
284	YGR028W	MSP1	2.1
285	YOR227W	HER1	2.1
286	YJL001W	PRE3	2.1
287	YGR268C	HUA1	2.1
288	YKL094W	YJU3	2.1
289	YML057W	CMP2	2.1
290	YLR120C	YPS1	2.1
291	YLR299W	ECM38	2.1
292	YOR036W	PEP12	2.1
293	YOR062C	YOR062C	2.1
294	YPR035W	GLN1	2.1
295	YBR114W	RAD16	2.1
296	YCL038C	ATG22	2.1
297	YDR475C	JIP4	2.1
298	YOR273C	TPO4	2.1
299	YFL010C	WWM1	2.1
300	YDR035W	ARO3	2.1
301	YPL196W	OXR1	2.1
302	YDL215C	GDH2	2.1
303	YLR121C	YPS3	2.1
304	YGR136W	LSB1	2.1
305	YIL125W	KGD1	2.1
306	YHR161C	YAP1801	2.1
307	YBR014C	GRX7	2.1
308	YIL099W	SGA1	2.1
309	YPL214C	THI6	2.1
310	YKL129C	MYO3	2.1
311	YOR052C	TMC1	2.1
312	YKL141W	SDH3	2.1
313	YEL012W	UBC8	2.1
314	YLR107W	REX3	2.1
315	YLR304C	ACO1	2.1
316	YMR238W	DFG5	2.1
317	YBL033C	RIB1	2.0
318	YKL091C	YKL091C	2.0
319	YGL179C	TOS3	2.0
320	YBR222C	PCS60	2.0
321	YJL057C	IKS1	2.0
322	YPR191W	QCR2	2.0
323	YMR152W	YIM1	2.0
324	YBL101C	ECM21	2.0
325	YOR134W	BAG7	2.0
326	YOR208W	PTP2	2.0
327	YER056C	FCY2	2.0
