SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SER3

Rank	Gene	Common	Score
Q	YER081W	SER3	
1	YIL074C	SER33	2.8
2	YFR030W	MET10	2.6
3	YEL071W	DLD3	2.6
4	YJR109C	CPA2	2.5
5	YIL116W	HIS5	2.5
6	YJR010W	MET3	2.5
7	YNL220W	ADE12	2.5
8	YMR120C	ADE17	2.5
9	YOL058W	ARG1	2.5
10	YBR145W	ADH5	2.5
11	YHR071W	PCL5	2.5
12	YHR018C	ARG4	2.4
13	YIR034C	LYS1	2.4
14	YER175C	TMT1	2.4
15	YOR184W	SER1	2.4
16	YMR096W	SNZ1	2.4
17	YER052C	HOM3	2.3
18	YOL064C	MET22	2.3
19	YLR359W	ADE13	2.3
20	YDL066W	IDP1	2.3
21	YGL062W	PYC1	2.3
22	YDR035W	ARO3	2.3
23	YOR128C	ADE2	2.3
24	YCL030C	HIS4	2.3
25	YPR167C	MET16	2.3
26	YKL218C	SRY1	2.3
27	YGL202W	ARO8	2.3
28	YNL239W	LAP3	2.2
29	YPR145W	ASN1	2.2
30	YNL036W	NCE103	2.2
31	YLR092W	SUL2	2.2
32	YBR105C	VID24	2.2
33	YGL156W	AMS1	2.2
34	YLR307W	CDA1	2.2
35	YJR130C	STR2	2.2
36	YIR017C	MET28	2.2
37	YJR025C	BNA1	2.2
38	YKR080W	MTD1	2.2
39	YMR062C	ARG7	2.2
40	YER024W	YAT2	2.2
41	YLR058C	SHM2	2.2
42	YMR300C	ADE4	2.2
43	YKL211C	TRP3	2.2
44	YBR256C	RIB5	2.2
45	YER091C	MET6	2.2
46	YGR204W	ADE3	2.2
47	YHR208W	BAT1	2.2
48	YOR303W	CPA1	2.2
49	YJL060W	BNA3	2.2
50	YDR158W	HOM2	2.2
51	YGR180C	RNR4	2.2
52	YOR375C	GDH1	2.2
53	YDR019C	GCV1	2.2
54	YGR161C	RTS3	2.2
55	YER090W	TRP2	2.2
56	YFL020C	PAU5	2.2
57	YLR267W	BOP2	2.2
58	YOR120W	GCY1	2.1
59	YMR271C	URA10	2.1
60	YJR078W	BNA2	2.1
61	YKL001C	MET14	2.1
62	YJL223C	PAU1	2.1
63	YBR294W	SUL1	2.1
64	YJL088W	ARG3	2.1
65	YPL250C	ATG41	2.1
66	YJR137C	MET5	2.1
67	YMR095C	SNO1	2.1
68	YHR068W	DYS1	2.1
69	YCR005C	CIT2	2.1
70	YOL119C	MCH4	2.1
71	YIL117C	PRM5	2.1
72	YJL153C	INO1	2.1
73	YBR297W	MAL33	2.1
74	YDL020C	RPN4	2.1
75	YHL036W	MUP3	2.1
76	YLR303W	MET17	2.1
77	YEL060C	PRB1	2.1
78	YDR043C	NRG1	2.1
79	YJR155W	AAD10	2.1
80	YGR032W	GSC2	2.1
81	YML130C	ERO1	2.1
82	YMR189W	GCV2	2.1
83	YML042W	CAT2	2.1
84	YER055C	HIS1	2.1
85	YDR481C	PHO8	2.1
86	YIL107C	PFK26	2.1
87	YOL140W	ARG8	2.1
88	YER073W	ALD5	2.1
89	YGL224C	SDT1	2.1
90	YBR301W	PAU24	2.1
