SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: UBP9

Rank	Gene	Common	Score
Q	YER098W	UBP9	
1	YCR091W	KIN82	3.0
2	YGL227W	VID30	3.0
3	YER054C	GIP2	2.9
4	YEL011W	GLC3	2.9
5	YIL107C	PFK26	2.9
6	YDR358W	GGA1	2.9
7	YIL097W	FYV10	2.9
8	YPR184W	GDB1	2.8
9	YGL006W	PMC1	2.8
10	YPR026W	ATH1	2.8
11	YML100W	TSL1	2.8
12	YLL019C	KNS1	2.8
13	YEL012W	UBC8	2.8
14	YDR096W	GIS1	2.8
15	YBR169C	SSE2	2.7
16	YER162C	RAD4	2.7
17	YJL155C	FBP26	2.7
18	YDR074W	TPS2	2.7
19	YER033C	ZRG8	2.7
20	YDR001C	NTH1	2.7
21	YBR001C	NTH2	2.7
22	YDR122W	KIN1	2.7
23	YGR008C	STF2	2.7
24	YLR258W	GSY2	2.7
25	YOR173W	DCS2	2.7
26	YEL060C	PRB1	2.7
27	YPL186C	UIP4	2.7
28	YIL136W	OM45	2.7
29	YDR293C	SSD1	2.7
30	YDR255C	RMD5	2.7
31	YJL164C	TPK1	2.7
32	YML128C	MSC1	2.7
33	YIL101C	XBP1	2.7
34	YKL124W	SSH4	2.7
35	YDL169C	UGX2	2.7
36	YDL234C	GYP7	2.7
37	YIL017C	VID28	2.7
38	YOR178C	GAC1	2.7
39	YMR105C	PGM2	2.6
40	YGL156W	AMS1	2.6
41	YJL141C	YAK1	2.6
42	YDR085C	AFR1	2.6
43	YLR151C	PCD1	2.6
44	YIL155C	GUT2	2.6
45	YPL123C	RNY1	2.6
46	YPL203W	TPK2	2.6
47	YLR270W	DCS1	2.6
48	YMR280C	CAT8	2.6
49	YMR250W	GAD1	2.6
50	YPL230W	USV1	2.6
51	YLR178C	TFS1	2.6
52	YAL034C	FUN19	2.6
53	YGR248W	SOL4	2.6
54	YCL040W	GLK1	2.6
55	YHR171W	ATG7	2.6
56	YKR058W	GLG1	2.6
57	YJR059W	PTK2	2.6
58	YLL026W	HSP104	2.6
59	YGR258C	RAD2	2.6
60	YKR098C	UBP11	2.6
61	YPR030W	CSR2	2.6
62	YDR436W	PPZ2	2.6
63	YDL110C	TMA17	2.6
64	YMR053C	STB2	2.6
65	YBR126C	TPS1	2.6
66	YKR076W	ECM4	2.6
67	YBL078C	ATG8	2.6
68	YBR214W	SDS24	2.6
69	YKL093W	MBR1	2.6
70	YOR386W	PHR1	2.5
71	YJL066C	MPM1	2.5
72	YNL223W	ATG4	2.5
73	YFR053C	HXK1	2.5
