SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RAD4

Rank	Gene	Common	Score
Q	YER162C	RAD4	
1	YIL097W	FYV10	3.4
2	YJL155C	FBP26	3.3
3	YGR258C	RAD2	3.2
4	YDL115C	IWR1	3.2
5	YGL227W	VID30	3.2
6	YNL223W	ATG4	3.2
7	YDL169C	UGX2	3.1
8	YDL234C	GYP7	3.1
9	YIL136W	OM45	3.1
10	YBR280C	SAF1	3.1
11	YOR036W	PEP12	3.1
12	YDR436W	PPZ2	3.1
13	YNR007C	ATG3	3.1
14	YPR026W	ATH1	3.1
15	YLR080W	EMP46	3.1
16	YMR053C	STB2	3.1
17	YPL186C	UIP4	3.1
18	YDR358W	GGA1	3.1
19	YIL017C	VID28	3.1
20	YBL078C	ATG8	3.1
21	YER101C	AST2	3.0
22	YLR362W	STE11	3.0
23	YKL188C	PXA2	3.0
24	YMR311C	GLC8	3.0
25	YBR255W	MTC4	3.0
26	YML118W	NGL3	3.0
27	YDL149W	ATG9	3.0
28	YDL113C	ATG20	3.0
29	YDR329C	PEX3	3.0
30	YDR030C	RAD28	3.0
31	YPL119C	DBP1	2.9
32	YJL036W	SNX4	2.9
33	YHR195W	NVJ1	2.9
34	YKL168C	KKQ8	2.9
35	YBR001C	NTH2	2.9
36	YER054C	GIP2	2.9
37	YOR173W	DCS2	2.9
38	YCR091W	KIN82	2.9
39	YEL012W	UBC8	2.9
40	YGL156W	AMS1	2.9
41	YNL215W	IES2	2.9
42	YIL045W	PIG2	2.9
43	YPL123C	RNY1	2.9
44	YHR096C	HXT5	2.9
45	YLL019C	KNS1	2.9
46	YDR313C	PIB1	2.9
47	YOR054C	VHS3	2.9
48	YIL036W	CST6	2.8
49	YDL085W	NDE2	2.8
50	YJL057C	IKS1	2.8
51	YAL034C	FUN19	2.8
52	YKL064W	MNR2	2.8
53	YIL101C	XBP1	2.8
54	YDL091C	UBX3	2.8
55	YOL084W	PHM7	2.8
56	YIL107C	PFK26	2.8
57	YMR135C	GID8	2.8
58	YGL006W	PMC1	2.8
59	YOL100W	PKH2	2.8
60	YLR219W	MSC3	2.8
61	YGR196C	FYV8	2.8
62	YDR272W	GLO2	2.8
63	YBR006W	UGA2	2.8
64	YBR169C	SSE2	2.8
65	YDR273W	DON1	2.8
66	YDR330W	UBX5	2.8
67	YPL222W	FMP40	2.8
68	YKL124W	SSH4	2.8
69	YML128C	MSC1	2.8
70	YJL141C	YAK1	2.8
71	YEL011W	GLC3	2.8
72	YHL019C	APM2	2.8
73	YMR174C	PAI3	2.8
74	YBR290W	BSD2	2.8
75	YOL065C	INP54	2.8
76	YLR102C	APC9	2.8
