SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PAB1

Rank	Gene	Common	Score
Q	YER165W	PAB1	
1	YGR162W	TIF4631	4.0
2	YER025W	GCD11	3.9
3	YLR249W	YEF3	3.9
4	YHR019C	DED81	3.8
5	YGR264C	MES1	3.8
6	YMR217W	GUA1	3.7
7	YFL022C	FRS2	3.7
8	YER110C	KAP123	3.7
9	YOR335C	ALA1	3.7
10	YKL081W	TEF4	3.7
11	YBR121C	GRS1	3.7
12	YPR163C	TIF3	3.6
13	YDL014W	NOP1	3.6
14	YER043C	SAH1	3.6
15	YER036C	ARB1	3.6
16	YHR064C	SSZ1	3.6
17	YOR361C	PRT1	3.6
18	YGR094W	VAS1	3.6
19	YNL209W	SSB2	3.5
20	YDR091C	RLI1	3.5
21	YPR010C	RPA135	3.5
22	YMR309C	NIP1	3.5
23	YBR263W	SHM1	3.5
24	YBR079C	RPG1	3.5
25	YPL226W	NEW1	3.5
26	YLR432W	IMD3	3.5
27	YOR310C	NOP58	3.5
28	YLR293C	GSP1	3.4
29	YPL160W	CDC60	3.4
30	YLR048W	RPS0B	3.4
31	YJL138C	TIF2	3.4
32	YLR060W	FRS1	3.4
33	YMR146C	TIF34	3.4
34	YOR133W	EFT1	3.4
35	YMR079W	SEC14	3.4
36	YOL097C	WRS1	3.4
37	YPR074C	TKL1	3.4
38	YJL080C	SCP160	3.4
39	YEL042W	GDA1	3.4
40	YDL082W	RPL13A	3.4
41	YGR123C	PPT1	3.4
42	YLR197W	NOP56	3.4
43	YJR007W	SUI2	3.4
44	YGR214W	RPS0A	3.4
45	YLR448W	RPL6B	3.3
46	YNL096C	RPS7B	3.3
47	YDR023W	SES1	3.3
48	YGR285C	ZUO1	3.3
49	YDR385W	EFT2	3.3
50	YNL061W	NOP2	3.3
51	YKL181W	PRS1	3.3
52	YHL033C	RPL8A	3.3
53	YGL120C	PRP43	3.3
54	YPR110C	RPC40	3.3
55	YBL039C	URA7	3.3
56	YOR341W	RPA190	3.3
57	YJR070C	LIA1	3.3
58	YPL131W	RPL5	3.3
59	YDR321W	ASP1	3.3
60	YAL035W	FUN12	3.3
61	YOL040C	RPS15	3.3
62	YCR053W	THR4	3.3
63	YEL026W	SNU13	3.3
64	YLR175W	CBF5	3.3
65	YMR290C	HAS1	3.3
66	YBL024W	NCL1	3.3
67	YEL054C	RPL12A	3.3
68	YLL045C	RPL8B	3.3
69	YLR441C	RPS1A	3.3
70	YNL132W	KRE33	3.3
71	YPR041W	TIF5	3.3
72	YOR063W	RPL3	3.2
73	YDL051W	LHP1	3.2
74	YNL248C	RPA49	3.2
75	YML106W	URA5	3.2
76	YLR150W	STM1	3.2
77	YGL099W	LSG1	3.2
78	YHR128W	FUR1	3.2
79	YER086W	ILV1	3.2
80	YLL018C	DPS1	3.2
81	YIL078W	THS1	3.2
82	YGL078C	DBP3	3.2
83	YER006W	NUG1	3.2
84	YGR159C	NSR1	3.2
85	YHR089C	GAR1	3.2
86	YKL191W	DPH2	3.2
87	YEL055C	POL5	3.2
88	YHL011C	PRS3	3.2
89	YML056C	IMD4	3.2
90	YBL076C	ILS1	3.2
91	YBR084W	MIS1	3.2
92	YLR340W	RPP0	3.2
93	YBR048W	RPS11B	3.2
94	YNL016W	PUB1	3.2
95	YGL076C	RPL7A	3.2
96	YHR068W	DYS1	3.2
97	YGR061C	ADE6	3.2
98	YGR103W	NOP7	3.2
99	YLR083C	EMP70	3.2
100	YHR170W	NMD3	3.2
101	YMR049C	ERB1	3.1
102	YJR016C	ILV3	3.1
103	YNL112W	DBP2	3.1
104	YJL177W	RPL17B	3.1
105	YOL061W	PRS5	3.1
106	YHR025W	THR1	3.1
107	YGR200C	ELP2	3.1
108	YMR308C	PSE1	3.1
109	YDR120C	TRM1	3.1
110	YGR185C	TYS1	3.1
111	YDR025W	RPS11A	3.1
112	YGR240C	PFK1	3.1
113	YOR096W	RPS7A	3.1
114	YLR172C	DPH5	3.1
115	YDR101C	ARX1	3.1
116	YNL255C	GIS2	3.1
117	YPL093W	NOG1	3.1
118	YBR189W	RPS9B	3.1
119	YPR033C	HTS1	3.1
120	YML073C	RPL6A	3.1
121	YMR131C	RRB1	3.1
122	YMR229C	RRP5	3.1
123	YKL180W	RPL17A	3.1
124	YOR204W	DED1	3.1
125	YOR243C	PUS7	3.1
126	YDR012W	RPL4B	3.1
127	YGL123W	RPS2	3.1
128	YIL133C	RPL16A	3.1
129	YLR196W	PWP1	3.1
130	YNL069C	RPL16B	3.1
131	YMR142C	RPL13B	3.1
132	YDR395W	SXM1	3.1
133	YMR116C	ASC1	3.0
134	YLR372W	ELO3	3.0
135	YCL037C	SRO9	3.0
136	YLR409C	UTP21	3.0
137	YGR245C	SDA1	3.0
138	YGL245W	GUS1	3.0
139	YOR271C	FSF1	3.0
140	YDR064W	RPS13	3.0
