SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DMC1

Rank	Gene	Common	Score
Q	YER179W	DMC1	
1	YIL072W	HOP1	2.6
2	YML042W	CAT2	2.5
3	YMR101C	SRT1	2.5
4	YAL054C	ACS1	2.5
5	YNL012W	SPO1	2.4
6	YHR209W	CRG1	2.4
7	YMR170C	ALD2	2.4
8	YDL169C	UGX2	2.4
9	YIL099W	SGA1	2.4
10	YGR043C	NQM1	2.4
11	YPR006C	ICL2	2.4
12	YDR059C	UBC5	2.4
13	YER054C	GIP2	2.4
14	YKR049C	FMP46	2.4
15	YMR174C	PAI3	2.4
16	YNL009W	IDP3	2.4
17	YKR009C	FOX2	2.4
18	YPR001W	CIT3	2.4
19	YHL024W	RIM4	2.3
20	YPL223C	GRE1	2.3
21	YKR076W	ECM4	2.3
22	YDR403W	DIT1	2.3
23	YGL249W	ZIP2	2.3
24	YGL205W	POX1	2.3
25	YKL188C	PXA2	2.3
26	YKL221W	MCH2	2.3
27	YBR072W	HSP26	2.3
28	YPL054W	LEE1	2.3
29	YGR256W	GND2	2.3
30	YGL121C	GPG1	2.3
31	YIL073C	SPO22	2.3
32	YMR020W	FMS1	2.3
33	YMR191W	SPG5	2.3
34	YKL093W	MBR1	2.3
35	YBR148W	YSW1	2.3
36	YHR160C	PEX18	2.3
37	YOR177C	MPC54	2.3
38	YIL160C	POT1	2.3
39	YLR151C	PCD1	2.3
40	YIR039C	YPS6	2.3
41	YMR175W	SIP18	2.3
42	YNL196C	SLZ1	2.3
43	YIL101C	XBP1	2.3
44	YMR017W	SPO20	2.2
45	YJL106W	IME2	2.2
46	YLR284C	ECI1	2.2
47	YBL078C	ATG8	2.2
48	YKL026C	GPX1	2.2
49	YHR014W	SPO13	2.2
50	YPL186C	UIP4	2.2
51	YMR041C	ARA2	2.2
52	YER096W	SHC1	2.2
53	YLR070C	XYL2	2.2
54	YOR100C	CRC1	2.2
55	YCR010C	ADY2	2.2
56	YGL156W	AMS1	2.2
57	YDL085W	NDE2	2.2
58	YPL147W	PXA1	2.2
59	YGL096W	TOS8	2.2
60	YDR436W	PPZ2	2.2
61	YDL024C	DIA3	2.2
62	YNR002C	ATO2	2.2
63	YIR038C	GTT1	2.2
64	YPR007C	REC8	2.2
65	YDR085C	AFR1	2.2
66	YDR070C	FMP16	2.2
67	YGL047W	ALG13	2.2
68	YBR076W	ECM8	2.2
69	YMR107W	SPG4	2.2
70	YLR080W	EMP46	2.2
71	YJL153C	INO1	2.2
72	YDL110C	TMA17	2.2
73	YOL084W	PHM7	2.2
74	YDR204W	COQ4	2.2
75	YIL107C	PFK26	2.2
76	YDR453C	TSA2	2.2
77	YGR213C	RTA1	2.2
78	YAL028W	FRT2	2.2
79	YGR236C	SPG1	2.2
80	YBR169C	SSE2	2.2
81	YJL089W	SIP4	2.2
82	YKR091W	SRL3	2.2
83	YBL049W	MOH1	2.2
84	YMR053C	STB2	2.2
85	YNL202W	SPS19	2.2
86	YJL155C	FBP26	2.2
87	YHR106W	TRR2	2.2
88	YDL204W	RTN2	2.2
89	YHR075C	PPE1	2.2
90	YGL104C	VPS73	2.2
91	YER162C	RAD4	2.2
92	YLR178C	TFS1	2.2
93	YMR250W	GAD1	2.2
94	YLR377C	FBP1	2.2
95	YBR050C	REG2	2.2
96	YIL136W	OM45	2.1
97	YGR225W	AMA1	2.1
98	YJL037W	IRC18	2.1
99	YER142C	MAG1	2.1
100	YOR120W	GCY1	2.1
101	YPL123C	RNY1	2.1
102	YNL093W	YPT53	2.1
103	YHR124W	NDT80	2.1
104	YDL223C	HBT1	2.1
105	YMR271C	URA10	2.1
106	YDL210W	UGA4	2.1
107	YML128C	MSC1	2.1
108	YBL064C	PRX1	2.1
109	YLL046C	RNP1	2.1
110	YER101C	AST2	2.1
111	YMR251W	GTO3	2.1
112	YPR151C	SUE1	2.1
113	YER143W	DDI1	2.1
114	YPL230W	USV1	2.1
115	YPR026W	ATH1	2.1
116	YDL021W	GPM2	2.1
117	YNL223W	ATG4	2.1
118	YCL035C	GRX1	2.1
119	YOR003W	YSP3	2.1
120	YPL222W	FMP40	2.1
121	YOR351C	MEK1	2.1
122	YLR267W	BOP2	2.1
123	YOL132W	GAS4	2.1
124	YML054C	CYB2	2.1
125	YMR180C	CTL1	2.1
126	YEL060C	PRB1	2.1
127	YFR023W	PES4	2.1
128	YDR104C	SPO71	2.1
129	YLR054C	OSW2	2.1
130	YBR040W	FIG1	2.1
131	YHR096C	HXT5	2.1
132	YOL055C	THI20	2.1
133	YKL217W	JEN1	2.1
134	YBR280C	SAF1	2.1
135	YER015W	FAA2	2.1
136	YAL008W	FUN14	2.1
137	YBR117C	TKL2	2.1
138	YDL234C	GYP7	2.1
139	YHR157W	REC104	2.1
140	YGR144W	THI4	2.1
141	YDR231C	COX20	2.1
142	YLR362W	STE11	2.1
143	YOR173W	DCS2	2.1
144	YDR446W	ECM11	2.1
145	YMR169C	ALD3	2.1
146	YGR248W	SOL4	2.1
147	YDR358W	GGA1	2.1
148	YER103W	SSA4	2.1
149	YPR184W	GDB1	2.1
150	YBR269C	SDH8	2.1
151	YGR008C	STF2	2.1
152	YBL075C	SSA3	2.1
153	YLL057C	JLP1	2.1
154	YLR174W	IDP2	2.1
155	YFL030W	AGX1	2.1
156	YJR095W	SFC1	2.1
157	YER039C	HVG1	2.1
158	YEL011W	GLC3	2.1
159	YOR134W	BAG7	2.0
160	YCL048W	SPS22	2.0
161	YGR088W	CTT1	2.0
162	YEL069C	HXT13	2.0
163	YJR156C	THI11	2.0
164	YAL062W	GDH3	2.0
165	YPL119C	DBP1	2.0
166	YDR001C	NTH1	2.0
167	YLR327C	TMA10	2.0
168	YLR251W	SYM1	2.0
169	YJL219W	HXT9	2.0
170	YPL134C	ODC1	2.0
171	YJL057C	IKS1	2.0
172	YJL137C	GLG2	2.0
173	YMR068W	AVO2	2.0
174	YDR287W	INM2	2.0
175	YMR133W	REC114	2.0
176	YDR171W	HSP42	2.0
177	YFL020C	PAU5	2.0
178	YGL250W	RMR1	2.0
179	YBR006W	UGA2	2.0
180	YIL113W	SDP1	2.0
181	YBR001C	NTH2	2.0
182	YJR036C	HUL4	2.0
183	YIL017C	VID28	2.0
184	YDR178W	SDH4	2.0
185	YNL117W	MLS1	2.0
186	YOL071W	SDH5	2.0
187	YEL012W	UBC8	2.0
188	YJR153W	PGU1	2.0
189	YOR374W	ALD4	2.0
190	YDR285W	ZIP1	2.0
191	YOL082W	ATG19	2.0
192	YDR223W	CRF1	2.0
193	YDR058C	TGL2	2.0
194	YBR240C	THI2	2.0
195	YLR273C	PIG1	2.0
196	YMR110C	HFD1	2.0
197	YNR007C	ATG3	2.0
198	YGL037C	PNC1	2.0
199	YIL155C	GUT2	2.0
200	YJR019C	TES1	2.0
201	YGL033W	HOP2	2.0
202	YDR513W	GRX2	2.0
203	YPL196W	OXR1	2.0
204	YJL161W	FMP33	2.0
205	YAL061W	BDH2	2.0
206	YDR032C	PST2	2.0
207	YPL152W	RRD2	2.0
208	YFL014W	HSP12	2.0
209	YDL149W	ATG9	2.0
210	YDR313C	PIB1	2.0
211	YLR037C	PAU23	2.0
212	YNL128W	TEP1	2.0
213	YCR020C	PET18	2.0
214	YDL243C	AAD4	2.0
215	YKR097W	PCK1	2.0
216	YHR139C	SPS100	2.0
