SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MSH4

Rank	Gene	Common	Score
Q	YFL003C	MSH4	
1	YFR023W	PES4	2.4
2	YGL249W	ZIP2	2.3
3	YHR015W	MIP6	2.3
4	YDR446W	ECM11	2.3
5	YER106W	MAM1	2.2
6	YBR250W	SPO23	2.2
7	YHL022C	SPO11	2.2
8	YHR014W	SPO13	2.2
9	YLL046C	RNP1	2.1
10	YNL128W	TEP1	2.1
11	YGL033W	HOP2	2.1
12	YHR157W	REC104	2.1
13	YDR317W	HIM1	2.1
14	YMR101C	SRT1	2.1
15	YOR177C	MPC54	2.0
16	YDR402C	DIT2	2.0
17	YBR186W	PCH2	2.0
18	YBR180W	DTR1	2.0
19	YGL183C	MND1	2.0
20	YGL251C	HFM1	2.0
21	YGR059W	SPR3	2.0
22	YDR403W	DIT1	2.0
23	YNL196C	SLZ1	2.0
24	YCL048W	SPS22	2.0
25	YOL091W	SPO21	2.0
26	YBR076W	ECM8	2.0
27	YIR027C	DAL1	2.0
28	YDR218C	SPR28	2.0
29	YER179W	DMC1	2.0
30	YPL164C	MLH3	2.0
31	YIR028W	DAL4	2.0
32	YPR007C	REC8	2.0
33	YGL170C	SPO74	2.0
34	YDR523C	SPS1	2.0
35	YIL073C	SPO22	1.9
36	YGL192W	IME4	1.9
37	YDR522C	SPS2	1.9
38	YMR017W	SPO20	1.9
39	YOR351C	MEK1	1.9
40	YOL132W	GAS4	1.9
41	YHR153C	SPO16	1.9
42	YJL037W	IRC18	1.9
43	YGR225W	AMA1	1.9
44	YJL038C	LOH1	1.9
45	YLR329W	REC102	1.9
46	YDR285W	ZIP1	1.9
47	YPL033C	SRL4	1.9
48	YER044C-A	MEI4	1.9
49	YNL012W	SPO1	1.9
50	YOL104C	NDJ1	1.9
51	YGL090W	LIF1	1.9
52	YDR273W	DON1	1.9
53	YBR040W	FIG1	1.9
54	YPL121C	MEI5	1.9
55	YHR160C	PEX18	1.9
56	YGL258W	VEL1	1.9
57	YNL210W	MER1	1.9
58	YER051W	JHD1	1.8
59	YDL024C	DIA3	1.8
60	YOR298W	MUM3	1.8
61	YJL106W	IME2	1.8
62	YOR350C	MNE1	1.8
63	YMR020W	FMS1	1.8
64	YLR263W	RED1	1.8
65	YER039C	HVG1	1.8
66	YHR184W	SSP1	1.8
67	YJL089W	SIP4	1.8
68	YIR029W	DAL2	1.8
69	YIR013C	GAT4	1.8
70	YLR013W	GAT3	1.8
71	YPL130W	SPO19	1.8
72	YMR232W	FUS2	1.8
73	YNL269W	BSC4	1.8
74	YOR190W	SPR1	1.8
75	YOR237W	HES1	1.8
76	YBR148W	YSW1	1.8
77	YGL158W	RCK1	1.8
78	YKR004C	ECM9	1.8
79	YDR082W	STN1	1.8
80	YML066C	SMA2	1.8
81	YIL072W	HOP1	1.8
82	YJR094C	IME1	1.8
83	YDR540C	IRC4	1.8
84	YPR001W	CIT3	1.8
85	YER096W	SHC1	1.8
86	YDR223W	CRF1	1.8
87	YHL043W	ECM34	1.8
88	YKL072W	STB6	1.8
89	YHR156C	LIN1	1.8
90	YDR173C	ARG82	1.8
91	YFL004W	VTC2	1.8
92	YKL178C	STE3	1.8
93	YOL015W	IRC10	1.8
94	YGR278W	CWC22	1.8
95	YPL027W	SMA1	1.8
96	YMR133W	REC114	1.8
97	YNL318C	HXT14	1.8
98	YFL011W	HXT10	1.8
99	YPL189W	GUP2	1.8
100	YLR035C	MLH2	1.8
101	YJL023C	PET130	1.8
102	YLL057C	JLP1	1.8
103	YIL120W	QDR1	1.8
104	YIL037C	PRM2	1.8
105	YGL091C	NBP35	1.8
106	YPL214C	THI6	1.8
107	YMR240C	CUS1	1.8
108	YGL259W	YPS5	1.8
109	YDR438W	THI74	1.8
110	YOR339C	UBC11	1.8
111	YER007W	PAC2	1.8
112	YIR025W	MND2	1.8
