SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DAK2

Rank	Gene	Common	Score
Q	YFL053W	DAK2	
1	YKL221W	MCH2	2.6
2	YOR347C	PYK2	2.4
3	YLR213C	CRR1	2.4
4	YFL055W	AGP3	2.3
5	YKL198C	PTK1	2.3
6	YDL220C	CDC13	2.2
7	YGR043C	NQM1	2.2
8	YMR154C	RIM13	2.2
9	YNL241C	ZWF1	2.2
10	YOR072W	YOR072W	2.2
11	YLR234W	TOP3	2.2
12	YGR224W	AZR1	2.2
13	YDR204W	COQ4	2.2
14	YNL128W	TEP1	2.1
15	YKL163W	PIR3	2.1
16	YNL318C	HXT14	2.1
17	YDL024C	DIA3	2.1
18	YKR104W	YKR104W	2.1
19	YDR403W	DIT1	2.1
20	YNL230C	ELA1	2.1
21	YHR096C	HXT5	2.1
22	YNL072W	RNH201	2.1
23	YIL099W	SGA1	2.1
24	YPL223C	GRE1	2.1
25	YOR377W	ATF1	2.1
26	YMR107W	SPG4	2.1
27	YGL045W	RIM8	2.1
28	YBR117C	TKL2	2.1
29	YJL116C	NCA3	2.1
30	YOL084W	PHM7	2.1
31	YGR256W	GND2	2.1
32	YML042W	CAT2	2.1
33	YOR134W	BAG7	2.1
34	YIL160C	POT1	2.0
35	YMR322C	SNO4	2.0
36	YKR076W	ECM4	2.0
37	YGR289C	MAL11	2.0
38	YEL069C	HXT13	2.0
39	YLR174W	IDP2	2.0
40	YGR213C	RTA1	2.0
41	YDL223C	HBT1	2.0
42	YFL030W	AGX1	2.0
43	YBL049W	MOH1	2.0
44	YPL171C	OYE3	2.0
45	YBR072W	HSP26	2.0
46	YDL222C	FMP45	2.0
47	YBR169C	SSE2	2.0
48	YIL101C	XBP1	2.0
49	YMR175W	SIP18	2.0
50	YGR248W	SOL4	2.0
51	YPL186C	UIP4	2.0
52	YIR039C	YPS6	2.0
53	YNR072W	HXT17	2.0
54	YHL024W	RIM4	2.0
55	YNL196C	SLZ1	2.0
56	YER103W	SSA4	2.0
57	YGL259W	YPS5	2.0
58	YER054C	GIP2	2.0
59	YPL054W	LEE1	2.0
60	YGR144W	THI4	2.0
61	YER150W	SPI1	2.0
62	YGR088W	CTT1	2.0
63	YKL026C	GPX1	2.0
64	YNR002C	ATO2	2.0
65	YGL156W	AMS1	2.0
66	YGL121C	GPG1	2.0
67	YLR037C	PAU23	2.0
68	YPL230W	USV1	2.0
69	YML128C	MSC1	2.0
70	YDL204W	RTN2	2.0
71	YGL096W	TOS8	2.0
72	YHR139C	SPS100	2.0
73	YDR009W	GAL3	2.0
74	YOR120W	GCY1	2.0
75	YMR323W	ERR3	2.0
76	YGR288W	MAL13	1.9
77	YBR301W	PAU24	1.9
78	YDL169C	UGX2	1.9
79	YDL243C	AAD4	1.9
80	YKL217W	JEN1	1.9
81	YPR030W	CSR2	1.9
82	YNL117W	MLS1	1.9
83	YNR058W	BIO3	1.9
84	YOR186W	YOR186W	1.9
85	YKL124W	SSH4	1.9
86	YBL015W	ACH1	1.9
87	YPR184W	GDB1	1.9
88	YHR160C	PEX18	1.9
89	YNL202W	SPS19	1.9
90	YLL019C	KNS1	1.9
91	YOL052C-A	DDR2	1.9
92	YLL060C	GTT2	1.9
93	YFL061W	DDI3	1.9
94	YBL064C	PRX1	1.9
95	YDR043C	NRG1	1.9
96	YGL248W	PDE1	1.9
97	YMR169C	ALD3	1.9
98	YBR295W	PCA1	1.9
99	YIL155C	GUT2	1.9
100	YBR298C	MAL31	1.9
101	YEL035C	UTR5	1.9
102	YIL136W	OM45	1.9
103	YML054C	CYB2	1.9
104	YMR104C	YPK2	1.9
105	YBR280C	SAF1	1.9
106	YHL042W	YHL042W	1.9
107	YEL060C	PRB1	1.9
108	YMR095C	SNO1	1.9
109	YEL049W	PAU2	1.9
110	YFL056C	AAD6	1.9
111	YDR070C	FMP16	1.9
112	YMR174C	PAI3	1.9
113	YPR192W	AQY1	1.9
114	YMR017W	SPO20	1.9
115	YFL014W	HSP12	1.9
116	YBR299W	MAL32	1.9
117	YDL110C	TMA17	1.9
118	YDR453C	TSA2	1.9
119	YAL034C	FUN19	1.9
120	YMR096W	SNZ1	1.9
121	YEL041W	YEF1	1.9
122	YOR318C	YOR318C	1.9
123	YNL335W	DDI2	1.9
124	YEL011W	GLC3	1.9
125	YJR095W	SFC1	1.9
126	YAL062W	GDH3	1.9
127	YBR182C	SMP1	1.9
128	YOR374W	ALD4	1.9
129	YDL085W	NDE2	1.9
130	YKR049C	FMP46	1.9
131	YOR178C	GAC1	1.9
132	YBR214W	SDS24	1.9
133	YLL025W	PAU17	1.9
134	YGR225W	AMA1	1.9
135	YMR020W	FMS1	1.9
136	YGL205W	POX1	1.9
137	YJR155W	AAD10	1.9
138	YFR022W	ROG3	1.9
139	YGR008C	STF2	1.9
140	YBL075C	SSA3	1.9
141	YMR250W	GAD1	1.9
142	YIL066C	RNR3	1.9
143	YJL103C	GSM1	1.9
144	YIR028W	DAL4	1.9
145	YBR006W	UGA2	1.9
146	YGL158W	RCK1	1.9
147	YJL089W	SIP4	1.9
148	YJL221C	IMA4	1.9
149	YER037W	PHM8	1.9
150	YBR222C	PCS60	1.9
151	YHR176W	FMO1	1.9
152	YHR106W	TRR2	1.9
153	YKL093W	MBR1	1.9
154	YPR001W	CIT3	1.9
155	YGL180W	ATG1	1.8
156	YJR078W	BNA2	1.8
157	YJL219W	HXT9	1.8
158	YFL011W	HXT10	1.8
159	YBL078C	ATG8	1.8
160	YLR178C	TFS1	1.8
161	YDR001C	NTH1	1.8
162	YPL119C	DBP1	1.8
163	YLR377C	FBP1	1.8
164	YDR533C	HSP31	1.8
165	YPL222W	FMP40	1.8
166	YEL039C	CYC7	1.8
167	YHR087W	RTC3	1.8
168	YKL148C	SDH1	1.8
169	YLR327C	TMA10	1.8
170	YMR271C	URA10	1.8
171	YHR105W	YPT35	1.8
172	YIL072W	HOP1	1.8
173	YNL270C	ALP1	1.8
174	YER162C	RAD4	1.8
175	YDL238C	GUD1	1.8
176	YNL093W	YPT53	1.8
177	YOR100C	CRC1	1.8
178	YDR085C	AFR1	1.8
179	YCR010C	ADY2	1.8
180	YDL234C	GYP7	1.8
181	YML118W	NGL3	1.8
182	YDR535C	YDR535C	1.8
183	YAL054C	ACS1	1.8
184	YER096W	SHC1	1.8
185	YLR258W	GSY2	1.8
186	YPR193C	HPA2	1.8
187	YPR151C	SUE1	1.8
188	YPR003C	YPR003C	1.8
189	YPR005C	HAL1	1.8
190	YDR171W	HSP42	1.8
191	YFL020C	PAU5	1.8
192	YBR230C	OM14	1.8
193	YIR027C	DAL1	1.8
194	YMR105C	PGM2	1.8
195	YCL040W	GLK1	1.8
196	YFR023W	PES4	1.8
197	YDR402C	DIT2	1.8
198	YAL061W	BDH2	1.8
199	YKR097W	PCK1	1.8
200	YLL057C	JLP1	1.8
201	YER053C	PIC2	1.8
202	YOR173W	DCS2	1.8
203	YJL141C	YAK1	1.8
204	YDR059C	UBC5	1.8
205	YAR020C	PAU7	1.8
206	YPR007C	REC8	1.8
207	YBR294W	SUL1	1.8
208	YKL037W	AIM26	1.8
209	YJR150C	DAN1	1.8
210	YEL070W	DSF1	1.8
211	YMR140W	SIP5	1.8
212	YKR102W	FLO10	1.8
213	YIL107C	PFK26	1.8
214	YHL016C	DUR3	1.8
215	YBR054W	YRO2	1.8
216	YIL153W	RRD1	1.8
217	YDR178W	SDH4	1.8
218	YNL033W	YNL033W	1.8
219	YCR104W	PAU3	1.8
220	YNL331C	AAD14	1.8
221	YDR074W	TPS2	1.8
222	YHR209W	CRG1	1.8
223	YAL042C-A	YAL042C-A	1.8
224	YDR358W	GGA1	1.8
