SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: FAR7

Rank	Gene	Common	Score
Q	YFR008W	FAR7	
1	YDR358W	GGA1	3.0
2	YJL036W	SNX4	3.0
3	YIL097W	FYV10	2.9
4	YDR202C	RAV2	2.9
5	YDR003W	RCR2	2.9
6	YGL227W	VID30	2.8
7	YPL123C	RNY1	2.8
8	YIL007C	NAS2	2.8
9	YEL012W	UBC8	2.8
10	YDL115C	IWR1	2.8
11	YDL091C	UBX3	2.8
12	YIL105C	SLM1	2.7
13	YJL057C	IKS1	2.7
14	YGL098W	USE1	2.7
15	YNL159C	ASI2	2.7
16	YJL155C	FBP26	2.7
17	YPL196W	OXR1	2.7
18	YMR311C	GLC8	2.7
19	YBR280C	SAF1	2.7
20	YNR007C	ATG3	2.7
21	YER139C	RTR1	2.7
22	YOR036W	PEP12	2.6
23	YJL023C	PET130	2.6
24	YLR270W	DCS1	2.6
25	YOL117W	RRI2	2.6
26	YEL005C	VAB2	2.6
27	YKL142W	MRP8	2.6
28	YDL147W	RPN5	2.6
29	YDL113C	ATG20	2.6
30	YLR097C	HRT3	2.6
31	YDR329C	PEX3	2.6
32	YLR251W	SYM1	2.6
33	YOL032W	OPI10	2.6
34	YBL078C	ATG8	2.6
35	YDR272W	GLO2	2.6
36	YLR102C	APC9	2.6
37	YGL250W	RMR1	2.6
38	YBR273C	UBX7	2.6
39	YMR097C	MTG1	2.6
40	YPL203W	TPK2	2.6
41	YDL107W	MSS2	2.6
42	YBR290W	BSD2	2.6
43	YMR284W	YKU70	2.6
44	YMR110C	HFD1	2.6
45	YGL053W	PRM8	2.6
46	YGR223C	HSV2	2.6
47	YGL237C	HAP2	2.6
48	YPL100W	ATG21	2.6
49	YJL164C	TPK1	2.6
50	YCR009C	RVS161	2.6
51	YNL265C	IST1	2.6
52	YMR197C	VTI1	2.6
53	YPL166W	ATG29	2.6
54	YCL052C	PBN1	2.6
55	YOR054C	VHS3	2.5
56	YMR139W	RIM11	2.5
57	YFR003C	YPI1	2.5
58	YHR171W	ATG7	2.5
59	YBR272C	HSM3	2.5
60	YER162C	RAD4	2.5
61	YKL065C	YET1	2.5
62	YGR008C	STF2	2.5
63	YLR423C	ATG17	2.5
64	YIL017C	VID28	2.5
65	YAR027W	UIP3	2.5
66	YDR330W	UBX5	2.5
67	YIL045W	PIG2	2.5
68	YOR386W	PHR1	2.5
69	YDL110C	TMA17	2.5
70	YDR425W	SNX41	2.5
71	YJL053W	PEP8	2.5
72	YFR010W	UBP6	2.5
73	YCL032W	STE50	2.5
74	YMR029C	FAR8	2.5
75	YNL214W	PEX17	2.5
76	YIL036W	CST6	2.5
77	YDR058C	TGL2	2.5
78	YBR128C	ATG14	2.5
79	YGL059W	PKP2	2.5
80	YLR093C	NYV1	2.4
81	YBR269C	SDH8	2.4
82	YLR080W	EMP46	2.4
83	YER142C	MAG1	2.4
84	YDR436W	PPZ2	2.4
85	YDR171W	HSP42	2.4
86	YKR014C	YPT52	2.4
87	YKL168C	KKQ8	2.4
88	YNL215W	IES2	2.4
89	YDL169C	UGX2	2.4
90	YHR161C	YAP1801	2.4
91	YMR030W	RSF1	2.4
92	YHR016C	YSC84	2.4
93	YPL002C	SNF8	2.4
94	YJL031C	BET4	2.4
95	YNL223W	ATG4	2.4
96	YDL045C	FAD1	2.4
97	YIL107C	PFK26	2.4
98	YGL037C	PNC1	2.4
99	YBR214W	SDS24	2.4
100	YMR028W	TAP42	2.4
101	YPR026W	ATH1	2.4
102	YEL011W	GLC3	2.4
103	YGL164C	YRB30	2.4
104	YJL141C	YAK1	2.4
105	YHR195W	NVJ1	2.4
106	YMR053C	STB2	2.4
107	YOR173W	DCS2	2.4
108	YDL234C	GYP7	2.4
109	YPL206C	PGC1	2.4
110	YDR479C	PEX29	2.4
111	YLR151C	PCD1	2.4
112	YGL011C	SCL1	2.4
113	YOR089C	VPS21	2.4
114	YGL004C	RPN14	2.4
115	YGR046W	TAM41	2.4
116	YBR169C	SSE2	2.4
117	YNL156C	NSG2	2.4
118	YHR004C	NEM1	2.4
119	YKL007W	CAP1	2.4
120	YPR134W	MSS18	2.4
121	YIL136W	OM45	2.4
122	YKL188C	PXA2	2.4
123	YCR091W	KIN82	2.4
124	YHR017W	YSC83	2.4
125	YER054C	GIP2	2.4
126	YDL020C	RPN4	2.4
127	YMR140W	SIP5	2.4
128	YDR255C	RMD5	2.3
129	YPL003W	ULA1	2.3
130	YPL186C	UIP4	2.3
131	YBR006W	UGA2	2.3
