SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: IGD1

Rank	Gene	Common	Score
Q	YFR017C	IGD1	
1	YEL011W	GLC3	3.4
2	YPL230W	USV1	3.1
3	YOR173W	DCS2	3.1
4	YLR327C	TMA10	3.1
5	YLR178C	TFS1	3.1
6	YER067W	RGI1	3.1
7	YHL021C	AIM17	3.1
8	YMR250W	GAD1	3.0
9	YBR214W	SDS24	3.0
10	YDR171W	HSP42	3.0
11	YMR105C	PGM2	3.0
12	YCL040W	GLK1	3.0
13	YIL136W	OM45	3.0
14	YGR248W	SOL4	3.0
15	YIL101C	XBP1	3.0
16	YGR008C	STF2	2.9
17	YBR230C	OM14	2.9
18	YLR258W	GSY2	2.9
19	YHR087W	RTC3	2.9
20	YPL186C	UIP4	2.8
21	YML100W	TSL1	2.8
22	YGL037C	PNC1	2.8
23	YDR074W	TPS2	2.8
24	YPR184W	GDB1	2.8
25	YDR070C	FMP16	2.8
26	YBR126C	TPS1	2.8
27	YML128C	MSC1	2.8
28	YNL200C	NNR1	2.8
29	YFR015C	GSY1	2.8
30	YER053C	PIC2	2.8
31	YLR149C	GID11	2.8
32	YER150W	SPI1	2.8
33	YBR169C	SSE2	2.7
34	YDL110C	TMA17	2.7
35	YNL305C	BXI1	2.7
36	YDL204W	RTN2	2.7
37	YDR001C	NTH1	2.7
38	YER054C	GIP2	2.7
39	YAL061W	BDH2	2.7
40	YOR374W	ALD4	2.7
41	YJL161W	FMP33	2.7
42	YNR002C	ATO2	2.7
43	YJR008W	MHO1	2.7
44	YBL064C	PRX1	2.6
45	YOL052C-A	DDR2	2.6
46	YDL169C	UGX2	2.6
47	YKR049C	FMP46	2.6
48	YER035W	EDC2	2.6
49	YOR120W	GCY1	2.6
50	YLR356W	ATG33	2.6
51	YFR053C	HXK1	2.6
52	YLR251W	SYM1	2.6
53	YBR269C	SDH8	2.6
54	YKL151C	NNR2	2.6
55	YNL274C	GOR1	2.6
56	YEL060C	PRB1	2.6
57	YPL247C	YPL247C	2.6
58	YGL121C	GPG1	2.6
59	YKR058W	GLG1	2.6
60	YBR072W	HSP26	2.5
61	YPR026W	ATH1	2.5
62	YJL066C	MPM1	2.5
63	YGR194C	XKS1	2.5
64	YJL141C	YAK1	2.5
65	YEL012W	UBC8	2.5
66	YJL163C	YJL163C	2.5
67	YER079W	YER079W	2.5
68	YJL164C	TPK1	2.5
69	YNR014W	YNR014W	2.5
70	YLR270W	DCS1	2.5
71	YJR096W	YJR096W	2.5
72	YKL026C	GPX1	2.5
73	YPL203W	TPK2	2.5
74	YNL195C	YNL195C	2.5
75	YMR110C	HFD1	2.5
76	YIR016W	YIR016W	2.5
77	YIL087C	AIM19	2.5
78	YLL026W	HSP104	2.5
79	YEL039C	CYC7	2.5
80	YOR178C	GAC1	2.5
81	YBL078C	ATG8	2.5
82	YJL155C	FBP26	2.5
83	YDR516C	EMI2	2.5
84	YDR178W	SDH4	2.5
85	YIL113W	SDP1	2.5
86	YHR104W	GRE3	2.5
87	YKR076W	ECM4	2.5
88	YBR241C	VVS1	2.4
89	YKL150W	MCR1	2.4
90	YPR160W	GPH1	2.4
91	YDR358W	GGA1	2.4
92	YNL194C	YNL194C	2.4
93	YOL083W	ATG34	2.4
94	YAL034C	FUN19	2.4
95	YDR231C	COX20	2.4
96	YLR345W	YLR345W	2.4
97	YIL155C	GUT2	2.4
98	YKL142W	MRP8	2.4
99	YPL123C	RNY1	2.4
100	YGR088W	CTT1	2.4
101	YBR280C	SAF1	2.4
102	YPL004C	LSP1	2.4
103	YLR177W	YLR177W	2.4
104	YIR038C	GTT1	2.4
105	YMR081C	ISF1	2.4
106	YKL091C	YKL091C	2.4
107	YMR196W	YMR196W	2.4
108	YBR183W	YPC1	2.4
109	YHR138C	YHR138C	2.4
110	YMR174C	PAI3	2.4
111	YFL030W	AGX1	2.4
112	YLR312C	ATG39	2.4
113	YDR085C	AFR1	2.4
114	YHR016C	YSC84	2.4
115	YOL084W	PHM7	2.4
116	YGR070W	ROM1	2.3
117	YIL107C	PFK26	2.3
118	YGR243W	MPC3	2.3
119	YDR513W	GRX2	2.3
120	YMR181C	YMR181C	2.3
121	YGR043C	NQM1	2.3
122	YKL035W	UGP1	2.3
123	YCL035C	GRX1	2.3
124	YNL015W	PBI2	2.3
125	YBL015W	ACH1	2.3
126	YHR008C	SOD2	2.3
127	YBR149W	ARA1	2.3
128	YOR289W	YOR289W	2.3
129	YGR127W	YGR127W	2.3
130	YMR169C	ALD3	2.3
131	YGL156W	AMS1	2.3
132	YDL130W-A	STF1	2.3
133	YDL021W	GPM2	2.3
134	YMR090W	YMR090W	2.3
135	YPL087W	YDC1	2.3
136	YNR001C	CIT1	2.3
137	YDR258C	HSP78	2.3
138	YOR220W	RCN2	2.3
139	YCR091W	KIN82	2.3
140	YCL042W	YCL042W	2.3
141	YDL222C	FMP45	2.3
142	YNL160W	YGP1	2.3
143	YKL093W	MBR1	2.3
144	YGR256W	GND2	2.3
145	YOR285W	RDL1	2.3
146	YKL103C	APE1	2.3
147	YOL048C	RRT8	2.3
