SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: FAB1

Rank	Gene	Common	Score
Q	YFR019W	FAB1	
1	YGR258C	RAD2	2.6
2	YLR454W	FMP27	2.6
3	YBR140C	IRA1	2.6
4	YDR150W	NUM1	2.5
5	YLL040C	VPS13	2.5
6	YFL033C	RIM15	2.5
7	YLR189C	ATG26	2.5
8	YLR284C	ECI1	2.5
9	YMR304W	UBP15	2.5
10	YJL005W	CYR1	2.5
11	YLR425W	TUS1	2.4
12	YKL129C	MYO3	2.4
13	YGR184C	UBR1	2.4
14	YAL017W	PSK1	2.4
15	YLL015W	BPT1	2.4
16	YGR270W	YTA7	2.4
17	YNL297C	MON2	2.4
18	YKL203C	TOR2	2.4
19	YDR122W	KIN1	2.4
20	YLR371W	ROM2	2.4
21	YCR032W	BPH1	2.4
22	YGL093W	SPC105	2.4
23	YGL163C	RAD54	2.4
24	YDR283C	GCN2	2.4
25	YOR124C	UBP2	2.3
26	YDR457W	TOM1	2.3
27	YHR164C	DNA2	2.3
28	YGL227W	VID30	2.3
29	YOR290C	SNF2	2.3
30	YOL081W	IRA2	2.3
31	YIL107C	PFK26	2.3
32	YBR059C	AKL1	2.3
33	YHL030W	ECM29	2.3
34	YGL133W	ITC1	2.3
35	YDR028C	REG1	2.3
36	YIL129C	TAO3	2.3
37	YKL010C	UFD4	2.3
38	YOR227W	HER1	2.3
39	YMR190C	SGS1	2.3
40	YDR369C	XRS2	2.3
41	YOL138C	RTC1	2.3
42	YER162C	RAD4	2.3
43	YGL006W	PMC1	2.3
44	YPL249C	GYP5	2.3
45	YPR026W	ATH1	2.3
46	YBR097W	VPS15	2.3
47	YGL156W	AMS1	2.3
48	YGR070W	ROM1	2.3
49	YDR443C	SSN2	2.2
50	YER033C	ZRG8	2.2
51	YDR001C	NTH1	2.2
52	YGL063W	PUS2	2.2
53	YER002W	NOP16	2.2
54	YJR033C	RAV1	2.2
55	YDL239C	ADY3	2.2
56	YOL004W	SIN3	2.2
57	YOR328W	PDR10	2.2
58	YPL006W	NCR1	2.2
59	YDL149W	ATG9	2.2
60	YGL197W	MDS3	2.2
61	YOR329C	SCD5	2.2
62	YER093C	TSC11	2.2
63	YNL242W	ATG2	2.2
64	YDR335W	MSN5	2.2
65	YJR127C	RSF2	2.2
66	YCR011C	ADP1	2.2
67	YDR141C	DOP1	2.2
68	YIL002C	INP51	2.2
69	YGL173C	XRN1	2.2
70	YML117W	NAB6	2.2
71	YPL268W	PLC1	2.2
72	YJR035W	RAD26	2.2
73	YDR293C	SSD1	2.2
74	YDR436W	PPZ2	2.2
