SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YFR035C

Rank	Gene	Common	Score
Q	YFR035C	YFR035C	
1	YIL150C	MCM10	1.6
2	YPL211W	NIP7	1.5
3	YNL110C	NOP15	1.5
4	YLR390W-A	CCW14	1.5
5	YDR044W	HEM13	1.5
6	YGL030W	RPL30	1.5
7	YGL099W	LSG1	1.4
8	YLR215C	CDC123	1.4
9	YER154W	OXA1	1.4
10	YGR096W	TPC1	1.3
11	YJR067C	YAE1	1.3
12	YGL155W	CDC43	1.3
13	YOR188W	MSB1	1.3
14	YDR062W	LCB2	1.3
15	YKR092C	SRP40	1.3
16	YDL129W	YDL129W	1.3
17	YHR100C	GEP4	1.3
18	YDL148C	NOP14	1.3
19	YER050C	RSM18	1.3
20	YML043C	RRN11	1.3
21	YEL055C	POL5	1.3
22	YNR046W	TRM112	1.3
23	YPR163C	TIF3	1.3
24	YDR156W	RPA14	1.2
25	YOR236W	DFR1	1.2
26	YDR498C	SEC20	1.2
27	YLR405W	DUS4	1.2
28	YFR006W	YFR006W	1.2
29	YGR081C	SLX9	1.2
30	YKL144C	RPC25	1.2
31	YDL166C	FAP7	1.2
32	YDL201W	TRM8	1.2
33	YLL033W	IRC19	1.2
34	YGR079W	YGR079W	1.2
35	YMR123W	PKR1	1.2
36	YKL217W	JEN1	1.2
37	YER007C-A	TMA20	1.2
38	YFR036W	CDC26	1.2
39	YGR195W	SKI6	1.2
40	YKR040C	YKR040C	1.2
41	YLR045C	STU2	1.2
42	YBL028C	YBL028C	1.2
43	YML060W	OGG1	1.2
44	YBL091C	MAP2	1.2
45	YLR435W	TSR2	1.2
46	YGR150C	CCM1	1.2
47	YLL022C	HIF1	1.2
48	YMR056C	AAC1	1.2
49	YPL099C	INA17	1.2
50	YJL025W	RRN7	1.2
51	YDL208W	NHP2	1.2
52	YHR038W	RRF1	1.2
53	YML094W	GIM5	1.2
54	YGL108C	YGL108C	1.2
55	YGR283C	UPA1	1.2
56	YPL144W	POC4	1.2
57	YGR030C	POP6	1.2
58	YEL052W	AFG1	1.2
59	YCL036W	GFD2	1.2
60	YGR169C	PUS6	1.2
61	YJL122W	ALB1	1.2
62	YBR141C	BMT2	1.2
63	YJL077C	ICS3	1.2
64	YIL019W	FAF1	1.2
65	YKL037W	AIM26	1.2
66	YGR215W	RSM27	1.2
67	YMR055C	BUB2	1.2
68	YBL081W	YBL081W	1.2
69	YHR011W	DIA4	1.2
70	YIL061C	SNP1	1.1
71	YJR129C	EFM3	1.1
72	YKR045C	YKR045C	1.1
73	YOR252W	TMA16	1.1
74	YGR101W	PCP1	1.1
75	YLR008C	PAM18	1.1
76	YCR051W	YCR051W	1.1
77	YGL174W	BUD13	1.1
78	YER046W	SPO73	1.1
79	YDL064W	UBC9	1.1
80	YNL210W	MER1	1.1
81	YBL066C	SEF1	1.1
82	YDR367W	KEI1	1.1
83	YGL029W	CGR1	1.1
84	YGL162W	SUT1	1.1
85	YGL168W	HUR1	1.1
86	YPR009W	SUT2	1.1
87	YLR204W	QRI5	1.1
88	YMR042W	ARG80	1.1
89	YER137C	YER137C	1.1
90	YJL148W	RPA34	1.1
91	YOL135C	MED7	1.1
92	YOL092W	YPQ1	1.1
93	YOL080C	REX4	1.1
94	YDR106W	ARP10	1.1
95	YER019C-A	SBH2	1.1
96	YCL069W	VBA3	1.1
97	YIL158W	AIM20	1.1
98	YBR267W	REI1	1.1
99	YAL039C	CYC3	1.1
100	YML087C	AIM33	1.1
101	YOL151W	GRE2	1.1
102	YDR065W	RRG1	1.1
103	YNR018W	RCF2	1.1
104	YBR087W	RFC5	1.1
105	YLR255C	YLR255C	1.1
106	YJL081C	ARP4	1.1
107	YLR154C	RNH203	1.1
108	YOR340C	RPA43	1.1
109	YOR268C	YOR268C	1.1
110	YIL127C	RRT14	1.1
111	YHR040W	BCD1	1.1
112	YEL026W	SNU13	1.1
113	YLR180W	SAM1	1.1
114	YMR225C	MRPL44	1.1
115	YJL078C	PRY3	1.1
116	YNR024W	MPP6	1.1
117	YLR358C	YLR358C	1.1
118	YGL078C	DBP3	1.1
119	YBR030W	RKM3	1.1
120	YHR129C	ARP1	1.1
121	YOR264W	DSE3	1.1
122	YLR285W	NNT1	1.1
123	YPL218W	SAR1	1.1
124	YFL010W-A	AUA1	1.1
125	YOR026W	BUB3	1.1
126	YGL110C	CUE3	1.1
127	YLR146C	SPE4	1.1
128	YJL133W	MRS3	1.1
129	YCR050C	YCR050C	1.1
130	YJR097W	JJJ3	1.1
131	YBR197C	YBR197C	1.1
132	YLR066W	SPC3	1.1
133	YCR027C	RHB1	1.1
134	YOR295W	UAF30	1.1
135	YJL160C	PIR5	1.1
136	YLR003C	CMS1	1.1
137	YDL155W	CLB3	1.1
138	YPL068C	YPL068C	1.1
139	YDR068W	DOS2	1.1
140	YNL143C	YNL143C	1.1
141	YBR219C	YBR219C	1.1
142	YFL051C	YFL051C	1.1
143	YCL059C	KRR1	1.1
144	YLL011W	SOF1	1.1
145	YML036W	CGI121	1.1
146	YDR075W	PPH3	1.1
147	YNL141W	AAH1	1.1
148	YER085C	YER085C	1.1
149	YHR041C	SRB2	1.1
150	YJR144W	MGM101	1.1
151	YKL069W	YKL069W	1.1
152	YIR013C	GAT4	1.1
153	YBL029W	YBL029W	1.1
154	YCR057C	PWP2	1.1
155	YLR162W	YLR162W	1.1
