SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: OSW7

Rank	Gene	Common	Score
Q	YFR039C	OSW7	
1	YGL252C	RTG2	1.5
2	YPL149W	ATG5	1.5
3	YBR036C	CSG2	1.4
4	YJL094C	KHA1	1.4
5	YGR193C	PDX1	1.4
6	YGR012W	MCY1	1.4
7	YGL095C	VPS45	1.4
8	YGR246C	BRF1	1.4
9	YMR316W	DIA1	1.4
10	YGL145W	TIP20	1.4
11	YGL091C	NBP35	1.4
12	YFR042W	KEG1	1.4
13	YHR012W	VPS29	1.4
14	YDR338C	YDR338C	1.4
15	YNL192W	CHS1	1.4
16	YAR027W	UIP3	1.3
17	YDR117C	TMA64	1.3
18	YOL016C	CMK2	1.3
19	YHR112C	YHR112C	1.3
20	YDL006W	PTC1	1.3
21	YGR003W	CUL3	1.3
22	YLR414C	PUN1	1.3
23	YNL008C	ASI3	1.3
24	YGL248W	PDE1	1.3
25	YJL053W	PEP8	1.3
26	YPL138C	SPP1	1.3
27	YDL010W	GRX6	1.3
28	YGL112C	TAF6	1.3
29	YPR025C	CCL1	1.3
30	YDL029W	ARP2	1.3
31	YDL073W	AHK1	1.3
32	YDL234C	GYP7	1.3
33	YGL233W	SEC15	1.3
34	YHR115C	DMA1	1.3
35	YFR043C	IRC6	1.3
36	YBR255W	MTC4	1.3
37	YGL166W	CUP2	1.3
38	YDR147W	EKI1	1.3
39	YKL040C	NFU1	1.3
40	YDR319C	YFT2	1.3
41	YGL257C	MNT2	1.3
42	YOR245C	DGA1	1.3
43	YBR056W	MRX18	1.3
44	YJL171C	TOH1	1.3
45	YFL009W	CDC4	1.3
46	YGR163W	GTR2	1.3
47	YGR089W	NNF2	1.3
48	YDL091C	UBX3	1.3
49	YER092W	IES5	1.3
50	YGL228W	SHE10	1.3
51	YDR350C	ATP22	1.3
52	YBR290W	BSD2	1.3
53	YJR032W	CPR7	1.3
54	YOR220W	RCN2	1.3
55	YBR095C	RXT2	1.3
56	YCR035C	RRP43	1.3
57	YCR019W	MAK32	1.3
58	YGL058W	RAD6	1.3
59	YFR041C	ERJ5	1.3
60	YGR009C	SEC9	1.3
61	YFL004W	VTC2	1.3
62	YLR034C	SMF3	1.3
63	YHR181W	SVP26	1.3
64	YER161C	SPT2	1.3
65	YBR200W	BEM1	1.3
66	YOR058C	ASE1	1.3
67	YGL084C	GUP1	1.3
68	YDL133W	SRF1	1.3
69	YDL193W	NUS1	1.3
70	YJL034W	KAR2	1.3
71	YDR373W	FRQ1	1.3
72	YGL244W	RTF1	1.3
73	YJL081C	ARP4	1.3
74	YLR046C	YLR046C	1.3
75	YGL021W	ALK1	1.3
76	YGL185C	YGL185C	1.3
77	YGR038W	ORM1	1.3
78	YHR111W	UBA4	1.3
79	YCL047C	POF1	1.3
80	YFL048C	EMP47	1.3
81	YBR243C	ALG7	1.3
82	YBR199W	KTR4	1.3
83	YNL103W	MET4	1.3
84	YOR256C	TRE2	1.3
85	YDR452W	PPN1	1.3
86	YGR016W	YGR016W	1.3
87	YMR153W	NUP53	1.3
88	YGR179C	OKP1	1.3
89	YNL212W	VID27	1.3
90	YJL036W	SNX4	1.3
91	YCL051W	LRE1	1.3
92	YGL001C	ERG26	1.3
93	YDL161W	ENT1	1.3
94	YOR036W	PEP12	1.3
95	YKL075C	AAN1	1.3
96	YGR149W	GPC1	1.3
97	YPL020C	ULP1	1.3
98	YKL069W	YKL069W	1.3
99	YHR119W	SET1	1.3
100	YGR099W	TEL2	1.3
101	YBR123C	TFC1	1.3
102	YDR210W	YDR210W	1.2
103	YKR088C	TVP38	1.2
104	YNL047C	SLM2	1.2
105	YNL305C	BXI1	1.2
106	YOL088C	MPD2	1.2
107	YGR135W	PRE9	1.2
108	YDR264C	AKR1	1.2
109	YEL016C	NPP2	1.2
110	YDL005C	MED2	1.2
111	YDL176W	GID12	1.2
112	YDR082W	STN1	1.2
113	YML069W	POB3	1.2
114	YER005W	YND1	1.2
115	YDR460W	TFB3	1.2
116	YGR284C	ERV29	1.2
117	YER157W	COG3	1.2
118	YMR029C	FAR8	1.2
