SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: IRC6

Rank	Gene	Common	Score
Q	YFR043C	IRC6	
1	YFR041C	ERJ5	2.6
2	YEL005C	VAB2	2.5
3	YGR120C	COG2	2.4
4	YFR042W	KEG1	2.4
5	YDR202C	RAV2	2.3
6	YIL007C	NAS2	2.3
7	YMR097C	MTG1	2.3
8	YHR121W	LSM12	2.3
9	YFL046W	FMP32	2.3
10	YGL080W	MPC1	2.3
11	YIR005W	IST3	2.3
12	YGL243W	TAD1	2.3
13	YHR090C	YNG2	2.3
14	YGR206W	MVB12	2.3
15	YHR060W	VMA22	2.2
16	YMR025W	CSI1	2.2
17	YDR066C	RTR2	2.2
18	YDR183W	PLP1	2.2
19	YLR165C	PUS5	2.2
20	YFR049W	KGD4	2.2
21	YGL154C	LYS5	2.2
22	YDL091C	UBX3	2.2
23	YOR258W	HNT3	2.2
24	YJR099W	YUH1	2.2
25	YAL027W	SAW1	2.2
26	YOL032W	OPI10	2.2
27	YDR067C	OCA6	2.2
28	YGL018C	JAC1	2.2
29	YNL051W	COG5	2.2
30	YPL100W	ATG21	2.2
31	YPR094W	RDS3	2.2
32	YDL069C	CBS1	2.2
33	YGL223C	COG1	2.2
34	YDR163W	CWC15	2.2
35	YGR253C	PUP2	2.1
36	YGL136C	MRM2	2.1
37	YPR134W	MSS18	2.1
38	YFR008W	FAR7	2.1
39	YPR057W	BRR1	2.1
40	YKL208W	CBT1	2.1
41	YLR201C	COQ9	2.1
42	YPR180W	AOS1	2.1
43	YAL015C	NTG1	2.1
44	YJR083C	ACF4	2.1
45	YFR046C	CNN1	2.1
46	YOR244W	ESA1	2.1
47	YJR086W	STE18	2.1
48	YER012W	PRE1	2.1
49	YLR021W	IRC25	2.1
50	YBR119W	MUD1	2.1
51	YMR060C	SAM37	2.1
52	YER182W	FMP10	2.1
53	YFR052W	RPN12	2.1
54	YBR167C	POP7	2.1
55	YOR037W	CYC2	2.1
56	YNL286W	CUS2	2.1
57	YDL045C	FAD1	2.1
58	YBR272C	HSM3	2.1
59	YPL196W	OXR1	2.1
60	YJR050W	ISY1	2.1
61	YDR162C	NBP2	2.1
62	YFR003C	YPI1	2.1
63	YER183C	FAU1	2.1
64	YNR010W	CSE2	2.1
65	YDR031W	MIX14	2.1
66	YGL002W	ERP6	2.1
67	YPL065W	VPS28	2.1
68	YHR156C	LIN1	2.1
69	YDR332W	IRC3	2.1
70	YNL265C	IST1	2.1
71	YJL023C	PET130	2.1
72	YDL044C	MTF2	2.1
73	YJR135C	MCM22	2.1
74	YLR102C	APC9	2.1
75	YBR278W	DPB3	2.1
76	YLR119W	SRN2	2.1
77	YJR102C	VPS25	2.1
78	YGR076C	MRPL25	2.1
79	YGR135W	PRE9	2.1
80	YCR095C	OCA4	2.1
81	YIL009C-A	EST3	2.1
82	YDR460W	TFB3	2.1
83	YDR078C	SHU2	2.1
84	YLL049W	LDB18	2.1
85	YLR010C	TEN1	2.1
86	YHR191C	CTF8	2.0
87	YGL210W	YPT32	2.0
88	YJL031C	BET4	2.0
89	YFL029C	CAK1	2.0
90	YGL011C	SCL1	2.0
91	YIR024C	INA22	2.0
92	YGL221C	NIF3	2.0
93	YDR272W	GLO2	2.0
94	YPR131C	NAT3	2.0
95	YHR038W	RRF1	2.0
96	YGL110C	CUE3	2.0
97	YNR049C	MSO1	2.0
98	YJR136C	TTI2	2.0
99	YOR280C	FSH3	2.0
100	YPL002C	SNF8	2.0
101	YBR176W	ECM31	2.0
102	YER050C	RSM18	2.0
103	YGL050W	TYW3	2.0
