SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ERG26

Rank	Gene	Common	Score
Q	YGL001C	ERG26	
1	YMR202W	ERG2	3.6
2	YER044C	ERG28	3.4
3	YML008C	ERG6	3.4
4	YLR100W	ERG27	3.4
5	YMR208W	ERG12	3.3
6	YPL028W	ERG10	3.3
7	YNR043W	MVD1	3.2
8	YGR175C	ERG1	3.2
9	YML126C	ERG13	3.2
10	YJL167W	ERG20	3.1
11	YHR039C	MSC7	3.1
12	YNL111C	CYB5	3.1
13	YLR153C	ACS2	3.1
14	YHR190W	ERG9	2.9
15	YER043C	SAH1	2.9
16	YMR015C	ERG5	2.9
17	YDL236W	PHO13	2.9
18	YHR063C	PAN5	2.8
19	YGR049W	SCM4	2.8
20	YMR220W	ERG8	2.8
21	YGL012W	ERG4	2.8
22	YLR056W	ERG3	2.7
23	YDR502C	SAM2	2.7
24	YGL097W	SRM1	2.7
25	YHR072W	ERG7	2.7
26	YHR007C	ERG11	2.7
27	YGL040C	HEM2	2.7
28	YDR519W	FPR2	2.7
29	YOR209C	NPT1	2.7
30	YGR234W	YHB1	2.7
31	YNL280C	ERG24	2.6
32	YHR068W	DYS1	2.6
33	YDR518W	EUG1	2.6
34	YEL058W	PCM1	2.6
35	YDR158W	HOM2	2.6
36	YER023W	PRO3	2.6
37	YKL080W	VMA5	2.6
38	YIL039W	TED1	2.6
39	YJR105W	ADO1	2.6
40	YBR234C	ARC40	2.6
41	YJR139C	HOM6	2.6
42	YIL043C	CBR1	2.6
43	YHR042W	NCP1	2.6
44	YGL161C	YIP5	2.6
45	YHR163W	SOL3	2.6
46	YGR060W	ERG25	2.6
47	YDR284C	DPP1	2.6
48	YKL127W	PGM1	2.6
49	YLR209C	PNP1	2.6
50	YER009W	NTF2	2.6
51	YFL045C	SEC53	2.5
52	YGL202W	ARO8	2.5
53	YOR099W	KTR1	2.5
54	YBR164C	ARL1	2.5
55	YLR231C	BNA5	2.5
56	YEL001C	IRC22	2.5
57	YCR002C	CDC10	2.5
58	YMR241W	YHM2	2.5
59	YDR353W	TRR1	2.5
60	YGR177C	ATF2	2.5
61	YBR252W	DUT1	2.5
62	YGL225W	VRG4	2.5
63	YLR351C	NIT3	2.5
64	YJL192C	SOP4	2.5
65	YGL067W	NPY1	2.5
66	YIL123W	SIM1	2.5
67	YLR043C	TRX1	2.5
68	YEL040W	UTR2	2.5
69	YPR033C	HTS1	2.5
70	YPR176C	BET2	2.5
71	YFL028C	CAF16	2.5
72	YFR047C	BNA6	2.5
73	YOL097C	WRS1	2.5
74	YIL011W	TIR3	2.5
75	YFL005W	SEC4	2.5
76	YFR025C	HIS2	2.5
77	YNL220W	ADE12	2.5
78	YHR183W	GND1	2.5
79	YHR123W	EPT1	2.5
80	YDL135C	RDI1	2.5
81	YJL002C	OST1	2.5
82	YFR044C	DUG1	2.5
83	YER003C	PMI40	2.5
84	YDR226W	ADK1	2.5
85	YPL246C	RBD2	2.5
86	YDR487C	RIB3	2.5
87	YDR454C	GUK1	2.5
88	YHR133C	NSG1	2.5
89	YDL084W	SUB2	2.5
90	YGR262C	BUD32	2.5
91	YDL145C	COP1	2.5
92	YER057C	HMF1	2.5
93	YMR149W	SWP1	2.4
94	YGL026C	TRP5	2.4
95	YJR025C	BNA1	2.4
96	YDL178W	DLD2	2.4
97	YML019W	OST6	2.4
98	YJR047C	ANB1	2.4
99	YHR029C	YHI9	2.4
100	YJL097W	PHS1	2.4
101	YMR264W	CUE1	2.4
102	YDR304C	CPR5	2.4
103	YOR142W	LSC1	2.4
104	YGR106C	VOA1	2.4
105	YOR197W	MCA1	2.4
106	YFL037W	TUB2	2.4
107	YGR037C	ACB1	2.4
108	YBR177C	EHT1	2.4
109	YJL196C	ELO1	2.4
110	YML075C	HMG1	2.4
111	YBR106W	SND3	2.4
112	YHR013C	ARD1	2.4
113	YGL027C	CWH41	2.4
114	YDR023W	SES1	2.4
115	YDR044W	HEM13	2.4
