SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BIL2

Rank	Gene	Common	Score
Q	YGL015C	BIL2	
1	YJL028W	YJL028W	2.2
2	YDL114W	YDL114W	2.2
3	YDR106W	ARP10	2.1
4	YFL015C	YFL015C	2.1
5	YNL034W	YNL034W	2.1
6	YCL026C-A	FRM2	2.1
7	YER135C	YER135C	2.0
8	YHL041W	YHL041W	2.0
9	YGR126W	YGR126W	2.0
10	YCL008C	STP22	2.0
11	YJL038C	LOH1	2.0
12	YDR215C	YDR215C	2.0
13	YDR522C	SPS2	2.0
14	YAL066W	YAL066W	2.0
15	YDR048C	YDR048C	2.0
16	YMR057C	YMR057C	2.0
17	YLR124W	YLR124W	2.0
18	YAR064W	YAR064W	1.9
19	YAR035W	YAT1	1.9
20	YKR041W	YKR041W	1.9
21	YBR180W	DTR1	1.9
22	YGL007W	BRP1	1.9
23	YOR255W	OSW1	1.9
24	YNL101W	AVT4	1.9
25	YNL025C	SSN8	1.9
26	YDL031W	DBP10	1.9
27	YOR298W	MUM3	1.8
28	YOR190W	SPR1	1.8
29	YBR018C	GAL7	1.8
30	YFL012W	YFL012W	1.8
31	YIL099W	SGA1	1.8
32	YER085C	YER085C	1.8
33	YDL032W	YDL032W	1.8
34	YGR059W	SPR3	1.8
35	YHR095W	YHR095W	1.8
36	YBR184W	YBR184W	1.8
37	YOL024W	YOL024W	1.8
38	YOR242C	SSP2	1.8
39	YMR069W	NAT4	1.8
40	YPR096C	YPR096C	1.8
41	YAL018C	LDS1	1.8
42	YOR008C-A	YOR008C-A	1.8
43	YBR138C	YBR138C	1.8
44	YML011C	RAD33	1.8
45	YDL162C	YDL162C	1.8
46	YDL218W	YDL218W	1.7
47	YKL031W	YKL031W	1.7
48	YDR278C	YDR278C	1.7
49	YMR207C	HFA1	1.7
50	YDR446W	ECM11	1.7
51	YBL108W	YBL108W	1.7
52	YIL171W	YIL171W	1.7
53	YFL063W	YFL063W	1.7
54	YMR140W	SIP5	1.7
55	YLR145W	RMP1	1.7
56	YLL030C	RRT7	1.7
57	YGR023W	MTL1	1.7
58	YCL048W	SPS22	1.7
59	YDR274C	YDR274C	1.7
