SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PGD1

Rank	Gene	Common	Score
Q	YGL025C	PGD1	
1	YGL023C	PIB2	2.4
2	YFR029W	PTR3	2.2
3	YPL055C	LGE1	2.2
4	YAL013W	DEP1	2.2
5	YGL073W	HSF1	2.2
6	YGL219C	MDM34	2.1
7	YGL066W	SGF73	2.1
8	YNR006W	VPS27	2.1
9	YGL237C	HAP2	2.1
10	YGL181W	GTS1	2.1
11	YFR034C	PHO4	2.0
12	YLR307W	CDA1	2.0
13	YER020W	GPA2	2.0
14	YML114C	TAF8	2.0
15	YER143W	DDI1	2.0
16	YOR042W	CUE5	2.0
17	YPR040W	TIP41	2.0
18	YKL032C	IXR1	2.0
19	YML112W	CTK3	2.0
20	YOR181W	LAS17	2.0
21	YOL135C	MED7	2.0
22	YPL049C	DIG1	2.0
23	YDR463W	STP1	1.9
24	YEL037C	RAD23	1.9
25	YOR329C	SCD5	1.9
26	YHR114W	BZZ1	1.9
27	YNL097C	PHO23	1.9
28	YAL043C	PTA1	1.9
29	YJR093C	FIP1	1.9
30	YDR405W	MRP20	1.9
31	YER083C	GET2	1.9
32	YGR113W	DAM1	1.9
33	YPL084W	BRO1	1.9
34	YIR023W	DAL81	1.9
35	YIL153W	RRD1	1.9
36	YNL309W	STB1	1.9
37	YDR192C	NUP42	1.9
38	YPR171W	BSP1	1.9
39	YMR213W	CEF1	1.9
40	YBR289W	SNF5	1.9
41	YGR104C	SRB5	1.9
42	YOR023C	AHC1	1.9
43	YIR025W	MND2	1.9
44	YNR049C	MSO1	1.9
45	YGL017W	ATE1	1.9
46	YBR057C	MUM2	1.9
47	YGL212W	VAM7	1.9
48	YIL042C	PKP1	1.9
49	YGL130W	CEG1	1.9
50	YCL008C	STP22	1.9
51	YER017C	AFG3	1.9
52	YDL197C	ASF2	1.9
53	YOR132W	VPS17	1.9
54	YDL005C	MED2	1.9
55	YHR115C	DMA1	1.9
56	YGL091C	NBP35	1.9
57	YIL154C	IMP21	1.9
58	YGR193C	PDX1	1.9
59	YIL036W	CST6	1.9
60	YLR207W	HRD3	1.9
61	YFL013C	IES1	1.9
62	YKR048C	NAP1	1.9
63	YDR329C	PEX3	1.9
64	YHR135C	YCK1	1.9
65	YDR246W	TRS23	1.9
66	YCR052W	RSC6	1.9
67	YDR208W	MSS4	1.9
68	YCL032W	STE50	1.9
69	YDR169C	STB3	1.9
70	YGR002C	SWC4	1.9
71	YNL314W	DAL82	1.9
72	YGR246C	BRF1	1.8
73	YGL003C	CDH1	1.8
74	YGR178C	PBP1	1.8
75	YNL076W	MKS1	1.8
76	YOR070C	GYP1	1.8
77	YIL046W	MET30	1.8
78	YML032C	RAD52	1.8
79	YER068W	MOT2	1.8
80	YPL031C	PHO85	1.8
81	YHL002W	HSE1	1.8
82	YDR388W	RVS167	1.8
83	YKL204W	EAP1	1.8
84	YBR103W	SIF2	1.8
85	YJR021C	REC107	1.8
86	YNL242W	ATG2	1.8
87	YMR276W	DSK2	1.8
88	YCL028W	RNQ1	1.8
89	YHR161C	YAP1801	1.8
90	YBR231C	SWC5	1.8
91	YFR021W	ATG18	1.8
92	YBR273C	UBX7	1.8
93	YHR034C	PIH1	1.8
94	YGL216W	KIP3	1.8
95	YBL058W	SHP1	1.8
96	YER047C	SAP1	1.8
97	YHL027W	RIM101	1.8
98	YGR268C	HUA1	1.8
99	YKL052C	ASK1	1.8
100	YGL071W	AFT1	1.8
101	YBR215W	HPC2	1.8
102	YNL317W	PFS2	1.8
103	YAL032C	PRP45	1.8
104	YNL278W	CAF120	1.8
105	YDR485C	VPS72	1.8
106	YGL153W	PEX14	1.8
107	YNR023W	SNF12	1.8
108	YOL148C	SPT20	1.8
109	YBR095C	RXT2	1.8
110	YOR043W	WHI2	1.8
111	YCL034W	LSB5	1.8
112	YGL208W	SIP2	1.8
113	YGL122C	NAB2	1.8
114	YML102W	CAC2	1.8
115	YAL031C	GIP4	1.8
116	YIL135C	VHS2	1.8
117	YGR005C	TFG2	1.8
118	YLR427W	MAG2	1.8
119	YGL035C	MIG1	1.8
120	YPR178W	PRP4	1.8
121	YOL066C	RIB2	1.8
122	YLR193C	UPS1	1.8
123	YDR003W	RCR2	1.8
124	YOL051W	GAL11	1.8
125	YGR056W	RSC1	1.8
126	YCL016C	DCC1	1.8
127	YML115C	VAN1	1.8
128	YJL041W	NSP1	1.8
129	YHL025W	SNF6	1.8
130	YOR141C	ARP8	1.8
131	YHL020C	OPI1	1.8
132	YPL023C	MET12	1.8
133	YDL115C	IWR1	1.8
134	YDR143C	SAN1	1.8
135	YER161C	SPT2	1.8
136	YMR227C	TAF7	1.8
137	YDR145W	TAF12	1.8
138	YER040W	GLN3	1.8
139	YOR197W	MCA1	1.8
140	YDR477W	SNF1	1.8
141	YFL021W	GAT1	1.8
142	YNL215W	IES2	1.8
143	YLR219W	MSC3	1.8
144	YHL031C	GOS1	1.8
145	YHR111W	UBA4	1.8
146	YMR135C	GID8	1.8
147	YAR042W	SWH1	1.8
148	YNL298W	CLA4	1.8
149	YOR322C	LDB19	1.8
150	YOL025W	LAG2	1.8
151	YPL169C	MEX67	1.8
152	YKR072C	SIS2	1.8
153	YDL175C	AIR2	1.8
154	YLR025W	SNF7	1.8
155	YDR231C	COX20	1.8
156	YDL134C	PPH21	1.8
157	YFR037C	RSC8	1.8
158	YDL108W	KIN28	1.8
159	YMR070W	MOT3	1.8
160	YML029W	USA1	1.8
161	YCL044C	MGR1	1.8
162	YDR436W	PPZ2	1.8
163	YPL138C	SPP1	1.8
164	YPR057W	BRR1	1.8
165	YBR059C	AKL1	1.8
166	YER147C	SCC4	1.8
167	YNL103W	MET4	1.8
168	YGL019W	CKB1	1.8
169	YGL113W	SLD3	1.8
170	YGR013W	SNU71	1.8
171	YPL120W	VPS30	1.8
172	YDR498C	SEC20	1.8
173	YLR116W	MSL5	1.8
174	YDR153C	ENT5	1.8
175	YIR015W	RPR2	1.8
176	YKL059C	MPE1	1.7
177	YKL038W	RGT1	1.7
178	YMR136W	GAT2	1.7
179	YGL172W	NUP49	1.7
180	YMR004W	MVP1	1.7
181	YMR047C	NUP116	1.7
182	YDR423C	CAD1	1.7
183	YOR113W	AZF1	1.7
