SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL24A

Rank	Gene	Common	Score
Q	YGL031C	RPL24A	
1	YGR148C	RPL24B	6.9
2	YDL075W	RPL31A	6.0
3	YER131W	RPS26B	5.9
4	YOL127W	RPL25	5.8
5	YIL052C	RPL34B	5.8
6	YHR010W	RPL27A	5.8
7	YBR191W	RPL21A	5.8
8	YBR189W	RPS9B	5.7
9	YML073C	RPL6A	5.7
10	YMR242C	RPL20A	5.7
11	YJL177W	RPL17B	5.7
12	YML063W	RPS1B	5.7
13	YBL072C	RPS8A	5.7
14	YBL027W	RPL19B	5.6
15	YOR293W	RPS10A	5.6
16	YMR142C	RPL13B	5.6
17	YPR102C	RPL11A	5.6
18	YML024W	RPS17A	5.6
19	YGR085C	RPL11B	5.6
20	YER074W	RPS24A	5.6
21	YEL054C	RPL12A	5.5
22	YML026C	RPS18B	5.5
23	YDR418W	RPL12B	5.5
24	YGR118W	RPS23A	5.5
25	YDL083C	RPS16B	5.5
26	YDR471W	RPL27B	5.5
27	YKL006W	RPL14A	5.5
28	YER102W	RPS8B	5.5
29	YGL147C	RPL9A	5.5
30	YGL030W	RPL30	5.5
31	YLR441C	RPS1A	5.5
32	YDL082W	RPL13A	5.4
33	YOL120C	RPL18A	5.4
34	YOR096W	RPS7A	5.4
35	YKL180W	RPL17A	5.4
36	YGL189C	RPS26A	5.4
37	YER056C-A	RPL34A	5.4
38	YPL143W	RPL33A	5.4
39	YGR027C	RPS25A	5.4
40	YJL136C	RPS21B	5.4
41	YDR450W	RPS18A	5.4
42	YBL092W	RPL32	5.3
43	YGL103W	RPL28	5.3
44	YNL178W	RPS3	5.3
45	YNL302C	RPS19B	5.3
46	YOR312C	RPL20B	5.3
47	YLR061W	RPL22A	5.3
48	YBL087C	RPL23A	5.3
49	YGR214W	RPS0A	5.3
50	YPL079W	RPL21B	5.3
51	YLR185W	RPL37A	5.3
52	YLR344W	RPL26A	5.3
53	YBR084C-A	RPL19A	5.2
54	YPR132W	RPS23B	5.2
55	YLR448W	RPL6B	5.2
56	YJL190C	RPS22A	5.2
57	YGL123W	RPS2	5.2
58	YPR043W	RPL43A	5.2
59	YER117W	RPL23B	5.2
60	YDL191W	RPL35A	5.2
61	YLR388W	RPS29A	5.2
62	YOR234C	RPL33B	5.2
63	YIL133C	RPL16A	5.2
64	YNL069C	RPL16B	5.2
65	YDR382W	RPP2B	5.2
66	YHL015W	RPS20	5.2
67	YGR034W	RPL26B	5.2
68	YHR021C	RPS27B	5.1
69	YOL040C	RPS15	5.1
70	YBR048W	RPS11B	5.1
71	YMR143W	RPS16A	5.1
72	YDR447C	RPS17B	5.1
73	YKR057W	RPS21A	5.1
74	YOR369C	RPS12	5.1
75	YLR333C	RPS25B	5.1
76	YJR123W	RPS5	5.1
77	YFR031C-A	RPL2A	5.1
78	YLR325C	RPL38	5.1
79	YDL061C	RPS29B	5.0
80	YLR167W	RPS31	5.0
81	YLL045C	RPL8B	5.0
82	YIL148W	RPL40A	5.0
83	YMR194W	RPL36A	5.0
84	YPL090C	RPS6A	5.0
85	YJR145C	RPS4A	5.0
86	YDL081C	RPP1A	5.0
87	YDR500C	RPL37B	5.0
88	YIL069C	RPS24B	5.0
89	YDR064W	RPS13	5.0
90	YDR025W	RPS11A	5.0
91	YOL039W	RPP2A	5.0
92	YHL033C	RPL8A	5.0
93	YDL130W	RPP1B	4.9
94	YNL162W	RPL42A	4.9
95	YLR048W	RPS0B	4.9
96	YKR094C	RPL40B	4.9
97	YHL001W	RPL14B	4.9
98	YMR230W	RPS10B	4.9
99	YCR031C	RPS14A	4.9
100	YOR167C	RPS28A	4.9
101	YNL067W	RPL9B	4.8
102	YOR063W	RPL3	4.8
103	YIL018W	RPL2B	4.8
104	YLR029C	RPL15A	4.8
105	YNL096C	RPS7B	4.8
106	YBR181C	RPS6B	4.8
107	YLR406C	RPL31B	4.7
108	YPL131W	RPL5	4.7
109	YGL076C	RPL7A	4.6
