SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MIG1

Rank	Gene	Common	Score
Q	YGL035C	MIG1	
1	YDR277C	MTH1	2.8
2	YKL062W	MSN4	2.4
3	YGL209W	MIG2	2.4
4	YLR284C	ECI1	2.4
5	YIL130W	ASG1	2.3
6	YER002W	NOP16	2.3
7	YER169W	RPH1	2.3
8	YBR105C	VID24	2.2
9	YPR008W	HAA1	2.2
10	YDR096W	GIS1	2.2
11	YPL026C	SKS1	2.2
12	YML091C	RPM2	2.2
13	YMR011W	HXT2	2.2
14	YPL204W	HRR25	2.2
15	YBR083W	TEC1	2.2
16	YOR374W	ALD4	2.2
17	YPL057C	SUR1	2.2
18	YHR096C	HXT5	2.2
19	YOR047C	STD1	2.1
20	YKR058W	GLG1	2.1
21	YCL051W	LRE1	2.1
22	YIL036W	CST6	2.1
23	YGL237C	HAP2	2.1
24	YDL197C	ASF2	2.1
25	YFR019W	FAB1	2.1
26	YJL141C	YAK1	2.1
27	YOR043W	WHI2	2.1
28	YKL032C	IXR1	2.1
29	YGL122C	NAB2	2.1
30	YPR065W	ROX1	2.1
31	YDL079C	MRK1	2.1
32	YDR150W	NUM1	2.1
33	YKL109W	HAP4	2.1
34	YDL194W	SNF3	2.1
35	YER088C	DOT6	2.1
36	YPL177C	CUP9	2.1
37	YOR023C	AHC1	2.1
38	YLR219W	MSC3	2.1
39	YMR081C	ISF1	2.1
40	YLL019C	KNS1	2.1
41	YPL268W	PLC1	2.1
42	YMR070W	MOT3	2.1
43	YGR086C	PIL1	2.1
44	YDR208W	MSS4	2.1
45	YOR178C	GAC1	2.1
46	YGL219C	MDM34	2.1
47	YNL125C	ESBP6	2.1
48	YLR019W	PSR2	2.1
49	YNL173C	MDG1	2.1
50	YFR015C	GSY1	2.1
51	YKL093W	MBR1	2.1
52	YGL063W	PUS2	2.1
53	YPL054W	LEE1	2.1
54	YMR136W	GAT2	2.0
55	YMR037C	MSN2	2.0
56	YNR006W	VPS27	2.0
57	YDL048C	STP4	2.0
58	YBR212W	NGR1	2.0
59	YGR023W	MTL1	2.0
60	YGL056C	SDS23	2.0
61	YGR241C	YAP1802	2.0
62	YDR405W	MRP20	2.0
63	YJR059W	PTK2	2.0
64	YNL091W	NST1	2.0
65	YFL021W	GAT1	2.0
66	YIL122W	POG1	2.0
67	YOR360C	PDE2	2.0
68	YER054C	GIP2	2.0
69	YPL159C	PET20	2.0
70	YGL071W	AFT1	2.0
71	YCR091W	KIN82	2.0
72	YGR161C	RTS3	2.0
73	YHR161C	YAP1801	2.0
74	YHR195W	NVJ1	2.0
75	YHR092C	HXT4	2.0
76	YPL230W	USV1	2.0
77	YDL047W	SIT4	2.0
78	YER020W	GPA2	2.0
79	YHR006W	STP2	2.0
80	YFR053C	HXK1	2.0
81	YLR079W	SIC1	2.0
82	YGR270W	YTA7	2.0
83	YHR146W	CRP1	2.0
84	YER162C	RAD4	2.0
85	YBR001C	NTH2	2.0
86	YPL004C	LSP1	2.0
87	YCL052C	PBN1	2.0
88	YBR298C	MAL31	2.0
89	YEL011W	GLC3	2.0
90	YGL073W	HSF1	2.0
91	YDR153C	ENT5	2.0
92	YML128C	MSC1	2.0
93	YOL070C	NBA1	2.0
94	YHL032C	GUT1	2.0
95	YER015W	FAA2	2.0
96	YHL002W	HSE1	2.0
97	YNR045W	PET494	2.0
98	YDR477W	SNF1	2.0
99	YLR116W	MSL5	2.0
100	YIL105C	SLM1	2.0
101	YKL043W	PHD1	2.0
102	YAL034C	FUN19	2.0
103	YPL203W	TPK2	2.0
104	YNR039C	ZRG17	2.0
105	YDL110C	TMA17	2.0
106	YHL020C	OPI1	2.0
107	YIL101C	XBP1	2.0
108	YPL089C	RLM1	2.0
109	YKL185W	ASH1	2.0
110	YOR028C	CIN5	2.0
111	YDR490C	PKH1	2.0
112	YDR143C	SAN1	2.0
113	YPR030W	CSR2	2.0
114	YLR206W	ENT2	2.0
115	YLR307W	CDA1	2.0
116	YMR152W	YIM1	2.0
117	YOL051W	GAL11	2.0
118	YGL190C	CDC55	1.9
119	YDR313C	PIB1	1.9
120	YOL060C	MAM3	1.9
121	YER027C	GAL83	1.9
122	YLR399C	BDF1	1.9
123	YDL005C	MED2	1.9
124	YMR036C	MIH1	1.9
