SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: HEM2

Rank	Gene	Common	Score
Q	YGL040C	HEM2	
1	YEL050C	RML2	2.9
2	YGL068W	MNP1	2.9
3	YOR187W	TUF1	2.9
4	YGR082W	TOM20	2.8
5	YIL070C	MAM33	2.8
6	YMR203W	TOM40	2.8
7	YDR347W	MRP1	2.8
8	YNR017W	TIM23	2.7
9	YFR051C	RET2	2.7
10	YHL004W	MRP4	2.7
11	YBR185C	MBA1	2.7
12	YHR147C	MRPL6	2.7
13	YMR024W	MRPL3	2.7
14	YJR101W	RSM26	2.7
15	YGL001C	ERG26	2.7
16	YLR203C	MSS51	2.6
17	YEL024W	RIP1	2.6
18	YJL063C	MRPL8	2.6
19	YDR116C	MRPL1	2.6
20	YKR006C	MRPL13	2.6
21	YDR175C	RSM24	2.6
22	YBR037C	SCO1	2.6
23	YJR113C	RSM7	2.6
24	YER141W	COX15	2.6
25	YGR101W	PCP1	2.6
26	YHR024C	MAS2	2.6
27	YDR375C	BCS1	2.6
28	YLR439W	MRPL4	2.6
29	YDR322W	MRPL35	2.5
30	YDR237W	MRPL7	2.5
31	YNL284C	MRPL10	2.5
32	YLR069C	MEF1	2.5
33	YLR153C	ACS2	2.5
34	YGR165W	MRPS35	2.5
35	YNR036C	MRPS12	2.5
36	YCR046C	IMG1	2.5
37	YPL172C	COX10	2.5
38	YLR259C	HSP60	2.5
39	YJR077C	MIR1	2.5
40	YPL097W	MSY1	2.5
41	YNL315C	ATP11	2.5
42	YGR084C	MRP13	2.5
43	YML078W	CPR3	2.5
44	YBR146W	MRPS9	2.5
45	YNL306W	MRPS18	2.5
46	YGR062C	COX18	2.5
47	YNL185C	MRPL19	2.5
48	YKL194C	MST1	2.5
49	YOR142W	LSC1	2.5
50	YDL052C	SLC1	2.5
51	YGL115W	SNF4	2.5
52	YOR065W	CYT1	2.5
53	YNR043W	MVD1	2.5
54	YDR337W	MRPS28	2.5
55	YGR220C	MRPL9	2.4
56	YGL084C	GUP1	2.4
57	YGL012W	ERG4	2.4
58	YGR132C	PHB1	2.4
59	YGL129C	RSM23	2.4
60	YML048W	GSF2	2.4
61	YPL028W	ERG10	2.4
62	YGR231C	PHB2	2.4
63	YNL252C	MRPL17	2.4
64	YBL045C	COR1	2.4
65	YFR024C-A	LSB3	2.4
66	YIL022W	TIM44	2.4
