SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GUP1

Rank	Gene	Common	Score
Q	YGL084C	GUP1	
1	YGR284C	ERV29	3.0
2	YDR084C	TVP23	3.0
3	YDR100W	TVP15	2.9
4	YKL039W	PTM1	2.9
5	YOR087W	YVC1	2.8
6	YMR054W	STV1	2.8
7	YGR199W	PMT6	2.8
8	YOR002W	ALG6	2.8
9	YDR284C	DPP1	2.8
10	YBR036C	CSG2	2.8
11	YJR001W	AVT1	2.8
12	YDR456W	NHX1	2.7
13	YGL161C	YIP5	2.7
14	YKL034W	TUL1	2.7
15	YPL087W	YDC1	2.7
16	YJL002C	OST1	2.7
17	YMR092C	AIP1	2.7
18	YCR030C	SYP1	2.7
19	YOR085W	OST3	2.7
20	YFR024C-A	LSB3	2.7
21	YEL002C	WBP1	2.7
22	YOR142W	LSC1	2.6
23	YKL140W	TGL1	2.6
24	YHR123W	EPT1	2.6
25	YCR011C	ADP1	2.6
26	YMR119W	ASI1	2.6
27	YOR067C	ALG8	2.6
28	YJR065C	ARP3	2.6
29	YIL088C	AVT7	2.6
30	YCR044C	PER1	2.6
31	YCR067C	SED4	2.6
32	YOL129W	VPS68	2.6
33	YDL095W	PMT1	2.6
34	YDL029W	ARP2	2.6
35	YBR234C	ARC40	2.6
36	YCL057W	PRD1	2.5
37	YNR030W	ALG12	2.5
38	YER141W	COX15	2.5
39	YCR075C	ERS1	2.5
40	YBR041W	FAT1	2.5
41	YDL128W	VCX1	2.5
42	YMR149W	SWP1	2.5
43	YPL206C	PGC1	2.5
44	YFR042W	KEG1	2.5
45	YML127W	RSC9	2.5
46	YDL015C	TSC13	2.5
47	YCR069W	CPR4	2.5
48	YMR203W	TOM40	2.5
49	YKL126W	YPK1	2.5
50	YFR044C	DUG1	2.5
51	YLR459W	GAB1	2.5
52	YMR237W	BCH1	2.5
53	YLR088W	GAA1	2.5
54	YNL263C	YIF1	2.5
55	YER125W	RSP5	2.5
56	YGR077C	PEX8	2.5
57	YJR117W	STE24	2.5
58	YPR176C	BET2	2.5
59	YEL013W	VAC8	2.5
60	YJL091C	GWT1	2.5
61	YEL052W	AFG1	2.5
62	YDR411C	DFM1	2.5
63	YKL035W	UGP1	2.5
64	YDR107C	TMN2	2.5
65	YBR243C	ALG7	2.4
66	YGR038W	ORM1	2.4
67	YBL056W	PTC3	2.4
68	YDL193W	NUS1	2.4
69	YDR105C	TMS1	2.4
70	YGL040C	HEM2	2.4
71	YIL039W	TED1	2.4
72	YML019W	OST6	2.4
73	YGL115W	SNF4	2.4
74	YDL188C	PPH22	2.4
75	YHR188C	GPI16	2.4
76	YNL321W	VNX1	2.4
77	YOL013C	HRD1	2.4
78	YNL130C	CPT1	2.4
79	YGL104C	VPS73	2.4
80	YER136W	GDI1	2.4
81	YFL018C	LPD1	2.4
82	YKL210W	UBA1	2.4
83	YML057W	CMP2	2.4
84	YGR231C	PHB2	2.4
85	YJL062W	LAS21	2.4
86	YCR017C	CWH43	2.4
87	YHR074W	QNS1	2.4
88	YIL048W	NEO1	2.4
89	YAL016W	TPD3	2.4
90	YIL034C	CAP2	2.4
91	YOR176W	HEM15	2.4
92	YLR034C	SMF3	2.4
93	YOL049W	GSH2	2.4
94	YLR203C	MSS51	2.4
95	YIL124W	AYR1	2.4
96	YBR205W	KTR3	2.4
97	YKR088C	TVP38	2.4
98	YDR129C	SAC6	2.4
99	YER119C	AVT6	2.4
100	YDR452W	PPN1	2.4
101	YHR028C	DAP2	2.4
102	YGL094C	PAN2	2.4
103	YHR050W	SMF2	2.4
104	YOR288C	MPD1	2.4
105	YLR028C	ADE16	2.4
106	YBR003W	COQ1	2.4
107	YER026C	CHO1	2.4
108	YKR003W	OSH6	2.4
109	YEL017W	GTT3	2.4
110	YNL159C	ASI2	2.4
111	YNR035C	ARC35	2.4
112	YNL307C	MCK1	2.4
113	YHR181W	SVP26	2.3
114	YBR207W	FTH1	2.3
115	YBR097W	VPS15	2.3
116	YBR283C	SSH1	2.3
117	YEL031W	SPF1	2.3
118	YDR148C	KGD2	2.3
119	YDR503C	LPP1	2.3
120	YLL001W	DNM1	2.3
121	YDR264C	AKR1	2.3
122	YGL142C	GPI10	2.3
123	YGR132C	PHB1	2.3
124	YFR041C	ERJ5	2.3
125	YHR098C	SFB3	2.3
126	YGL095C	VPS45	2.3
127	YDL103C	QRI1	2.3
128	YKR001C	VPS1	2.3
129	YIL109C	SEC24	2.3
130	YOR187W	TUF1	2.3
131	YAL023C	PMT2	2.3
132	YNL330C	RPD3	2.3
133	YNL026W	SAM50	2.3
134	YHR086W	NAM8	2.3
135	YPR181C	SEC23	2.3
136	YML110C	COQ5	2.3
137	YGL012W	ERG4	2.3
138	YHR175W	CTR2	2.3
139	YGR141W	VPS62	2.3
140	YDL132W	CDC53	2.3
141	YIR022W	SEC11	2.3
142	YFL037W	TUB2	2.3
143	YBR110W	ALG1	2.3
144	YIL010W	DOT5	2.3
145	YGR101W	PCP1	2.3
146	YIL033C	BCY1	2.3
147	YGL065C	ALG2	2.3
148	YBR052C	RFS1	2.3
149	YHR037W	PUT2	2.3
150	YNL297C	MON2	2.3
151	YGL198W	YIP4	2.3
152	YDL072C	YET3	2.3
153	YER027C	GAL83	2.3
154	YBL102W	SFT2	2.3
155	YLR208W	SEC13	2.3
156	YML029W	USA1	2.3
157	YLR361C	DCR2	2.3
158	YDL093W	PMT5	2.3
159	YHR108W	GGA2	2.3
160	YKR067W	GPT2	2.3
161	YGL252C	RTG2	2.3
162	YER021W	RPN3	2.3
163	YBR221C	PDB1	2.3
164	YPL154C	PEP4	2.3
165	YJR118C	ILM1	2.3
166	YGR171C	MSM1	2.3
167	YOR175C	ALE1	2.3
168	YKL007W	CAP1	2.3
169	YPL006W	NCR1	2.3
170	YJL097W	PHS1	2.3
171	YJR013W	GPI14	2.3
172	YGR194C	XKS1	2.3
173	YGL060W	YBP2	2.3
174	YDR294C	DPL1	2.3
175	YGL229C	SAP4	2.3
176	YHL003C	LAG1	2.3
177	YBR199W	KTR4	2.3
178	YBL047C	EDE1	2.3
179	YOR321W	PMT3	2.3
180	YDR388W	RVS167	2.3
181	YBL089W	AVT5	2.3
182	YGL151W	NUT1	2.3
183	YJR040W	GEF1	2.3
184	YGR193C	PDX1	2.3
185	YJL172W	CPS1	2.3
186	YPL203W	TPK2	2.3
187	YDR368W	YPR1	2.3
188	YPL007C	TFC8	2.3
189	YOR354C	MSC6	2.3
190	YGL206C	CHC1	2.3
191	YHR001W	OSH7	2.3
192	YOR086C	TCB1	2.3
193	YBR080C	SEC18	2.2
194	YOL003C	PFA4	2.2
195	YFL048C	EMP47	2.2
196	YHR104W	GRE3	2.2
197	YBR229C	ROT2	2.2
198	YDL190C	UFD2	2.2
199	YBR260C	RGD1	2.2
200	YMR013C	SEC59	2.2
201	YMR215W	GAS3	2.2
202	YDR182W	CDC1	2.2
203	YBR179C	FZO1	2.2
204	YJR143C	PMT4	2.2
205	YML048W	GSF2	2.2
206	YBR286W	APE3	2.2
207	YOR099W	KTR1	2.2
208	YNL239W	LAP3	2.2
209	YDR376W	ARH1	2.2
210	YMR110C	HFD1	2.2
211	YGR010W	NMA2	2.2
212	YHR017W	YSC83	2.2
213	YHR016C	YSC84	2.2
214	YGR255C	COQ6	2.2
215	YNL138W	SRV2	2.2
216	YMR304W	UBP15	2.2
217	YNL219C	ALG9	2.2
218	YPL224C	MMT2	2.2
219	YCL040W	GLK1	2.2
220	YMR029C	FAR8	2.2
221	YFR010W	UBP6	2.2
222	YDL046W	NPC2	2.2
223	YGL186C	TPN1	2.2
224	YBR086C	IST2	2.2
225	YDL146W	LDB17	2.2
