SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TOS8

Rank	Gene	Common	Score
Q	YGL096W	TOS8	
1	YOR173W	DCS2	3.3
2	YDR171W	HSP42	3.3
3	YIL045W	PIG2	3.3
4	YIL107C	PFK26	3.3
5	YER054C	GIP2	3.3
6	YEL011W	GLC3	3.3
7	YPL186C	UIP4	3.3
8	YJL155C	FBP26	3.3
9	YIL136W	OM45	3.2
10	YOR120W	GCY1	3.2
11	YDR070C	FMP16	3.2
12	YLR178C	TFS1	3.2
13	YBR169C	SSE2	3.2
14	YGR248W	SOL4	3.2
15	YDL204W	RTN2	3.2
16	YIL101C	XBP1	3.2
17	YLL026W	HSP104	3.2
18	YOL084W	PHM7	3.2
19	YBL064C	PRX1	3.2
20	YMR250W	GAD1	3.2
21	YBL078C	ATG8	3.2
22	YGL121C	GPG1	3.2
23	YGR008C	STF2	3.1
24	YPR026W	ATH1	3.1
25	YIL097W	FYV10	3.1
26	YDR043C	NRG1	3.1
27	YPL230W	USV1	3.1
28	YKR076W	ECM4	3.1
29	YDR258C	HSP78	3.1
30	YGR088W	CTT1	3.1
31	YIL113W	SDP1	3.1
32	YGR070W	ROM1	3.1
33	YLR251W	SYM1	3.1
34	YJL141C	YAK1	3.1
35	YBR072W	HSP26	3.1
36	YML128C	MSC1	3.1
37	YGL156W	AMS1	3.1
38	YDR358W	GGA1	3.1
39	YKL026C	GPX1	3.1
40	YML100W	TSL1	3.1
41	YJL057C	IKS1	3.0
42	YER053C	PIC2	3.0
43	YDR313C	PIB1	3.0
44	YPL123C	RNY1	3.0
45	YBR214W	SDS24	3.0
46	YER035W	EDC2	3.0
47	YHR087W	RTC3	3.0
48	YGR043C	NQM1	3.0
49	YOR178C	GAC1	3.0
50	YKR058W	GLG1	3.0
51	YJL161W	FMP33	3.0
52	YOR031W	CRS5	3.0
53	YHR096C	HXT5	3.0
54	YDR085C	AFR1	3.0
55	YKL142W	MRP8	3.0
56	YDL110C	TMA17	3.0
57	YPL054W	LEE1	3.0
58	YGL037C	PNC1	3.0
59	YOL052C-A	DDR2	3.0
60	YHR104W	GRE3	3.0
61	YEL060C	PRB1	3.0
62	YLR327C	TMA10	3.0
63	YDL169C	UGX2	3.0
64	YIL099W	SGA1	3.0
65	YER037W	PHM8	3.0
66	YPR184W	GDB1	3.0
67	YDR059C	UBC5	3.0
68	YBL049W	MOH1	2.9
69	YAL034C	FUN19	2.9
70	YIL017C	VID28	2.9
71	YMR174C	PAI3	2.9
72	YDR533C	HSP31	2.9
73	YPL203W	TPK2	2.9
74	YML042W	CAT2	2.9
75	YKL093W	MBR1	2.9
76	YAL061W	BDH2	2.9
77	YMR105C	PGM2	2.9
78	YBR183W	YPC1	2.9
79	YIR038C	GTT1	2.9
80	YMR110C	HFD1	2.9
81	YDR001C	NTH1	2.9
82	YLL019C	KNS1	2.9
83	YLR258W	GSY2	2.9
84	YFL030W	AGX1	2.9
85	YGR161C	RTS3	2.9
86	YMR107W	SPG4	2.9
87	YNR007C	ATG3	2.9
88	YKR049C	FMP46	2.9
89	YMR053C	STB2	2.9
90	YMR136W	GAT2	2.9
91	YDL020C	RPN4	2.9
92	YMR271C	URA10	2.9
93	YCR021C	HSP30	2.9
94	YBR230C	OM14	2.9
95	YPL223C	GRE1	2.9
96	YGL045W	RIM8	2.9
97	YEL012W	UBC8	2.9
98	YGL227W	VID30	2.9
99	YBR280C	SAF1	2.8
100	YDR003W	RCR2	2.8
101	YBR269C	SDH8	2.8
102	YPR151C	SUE1	2.8
103	YFL014W	HSP12	2.8
104	YLR174W	IDP2	2.8
105	YDL085W	NDE2	2.8
106	YNL274C	GOR1	2.8
107	YNR002C	ATO2	2.8
108	YDR096W	GIS1	2.8
109	YDL021W	GPM2	2.8
110	YHR139C	SPS100	2.8
111	YJL164C	TPK1	2.8
112	YDR074W	TPS2	2.8
113	YDL223C	HBT1	2.8
114	YIL155C	GUT2	2.8
115	YGR256W	GND2	2.8
116	YMR175W	SIP18	2.8
117	YHR171W	ATG7	2.8
118	YER150W	SPI1	2.8
119	YEL039C	CYC7	2.8
120	YDR513W	GRX2	2.8
121	YGL248W	PDE1	2.8
122	YLR219W	MSC3	2.8
123	YML054C	CYB2	2.8
124	YLR270W	DCS1	2.8
125	YMR169C	ALD3	2.8
126	YDR231C	COX20	2.8
127	YNL160W	YGP1	2.8
128	YJL066C	MPM1	2.8
129	YHR209W	CRG1	2.8
130	YCR091W	KIN82	2.8
131	YER020W	GPA2	2.8
132	YCL040W	GLK1	2.8
133	YOR036W	PEP12	2.8
134	YER103W	SSA4	2.8
135	YPL222W	FMP40	2.8
136	YKL124W	SSH4	2.7
137	YGL006W	PMC1	2.7
138	YPR193C	HPA2	2.7
139	YBR001C	NTH2	2.7
140	YIR039C	YPS6	2.7
141	YMR135C	GID8	2.7
142	YOR273C	TPO4	2.7
143	YHR195W	NVJ1	2.7
144	YLR080W	EMP46	2.7
145	YDL024C	DIA3	2.7
146	YPR005C	HAL1	2.7
147	YGR236C	SPG1	2.7
148	YNL223W	ATG4	2.7
149	YBR006W	UGA2	2.7
150	YMR081C	ISF1	2.7
151	YMR139W	RIM11	2.7
152	YKR091W	SRL3	2.7
153	YOR054C	VHS3	2.7
154	YHR160C	PEX18	2.7
155	YER162C	RAD4	2.7
156	YGR243W	MPC3	2.7
157	YAL028W	FRT2	2.7
158	YPR149W	NCE102	2.7
159	YOR374W	ALD4	2.7
160	YGR289C	MAL11	2.7
161	YKL188C	PXA2	2.7
162	YNL015W	PBI2	2.7
163	YBR298C	MAL31	2.7
164	YOL082W	ATG19	2.7
165	YPL196W	OXR1	2.7
166	YDL091C	UBX3	2.7
167	YFR015C	GSY1	2.7
168	YJL103C	GSM1	2.7
169	YGR019W	UGA1	2.7
170	YJR059W	PTK2	2.7
171	YOL032W	OPI10	2.7
172	YJL048C	UBX6	2.7
173	YDR436W	PPZ2	2.7
174	YGL180W	ATG1	2.7
175	YGR052W	FMP48	2.7
176	YDL234C	GYP7	2.7
177	YDR255C	RMD5	2.7
178	YLR142W	PUT1	2.7
179	YGR194C	XKS1	2.7
180	YOR185C	GSP2	2.7
181	YMR041C	ARA2	2.7
182	YOR100C	CRC1	2.7
183	YPL004C	LSP1	2.7
184	YPR030W	CSR2	2.7
185	YKL091C	YKL091C	2.6
186	YBR126C	TPS1	2.6
187	YOR134W	BAG7	2.6
188	YKL150W	MCR1	2.6
189	YNL093W	YPT53	2.6
190	YMR040W	YET2	2.6
191	YER033C	ZRG8	2.6
192	YPR061C	JID1	2.6
193	YLL039C	UBI4	2.6
194	YKR009C	FOX2	2.6
195	YPL087W	YDC1	2.6
196	YMR322C	SNO4	2.6
197	YBR147W	RTC2	2.6
198	YKR067W	GPT2	2.6
199	YDR453C	TSA2	2.6
200	YEL005C	VAB2	2.6
201	YDR178W	SDH4	2.6
202	YBR117C	TKL2	2.6
203	YHL024W	RIM4	2.6
204	YNL125C	ESBP6	2.6
205	YFR049W	KGD4	2.6
206	YKL163W	PIR3	2.6
207	YOR052C	TMC1	2.6
208	YBR149W	ARA1	2.6
209	YJL036W	SNX4	2.6
210	YGL059W	PKP2	2.6
211	YDR479C	PEX29	2.6
212	YNL237W	YTP1	2.6
213	YMR104C	YPK2	2.6
214	YER045C	ACA1	2.6
215	YHL021C	AIM17	2.6
216	YPR160W	GPH1	2.6
217	YER096W	SHC1	2.6
218	YML118W	NGL3	2.6
219	YIL146C	ATG32	2.6
220	YPL154C	PEP4	2.6
221	YDR273W	DON1	2.6
222	YKL062W	MSN4	2.6
223	YNL173C	MDG1	2.6
224	YDR148C	KGD2	2.6
225	YHR008C	SOD2	2.6
226	YDL115C	IWR1	2.6
227	YIL036W	CST6	2.6
228	YKL065C	YET1	2.6
229	YMR280C	CAT8	2.6
230	YFL020C	PAU5	2.6
231	YIL111W	COX5B	2.6
232	YOR028C	CIN5	2.6
233	YIL160C	POT1	2.6
234	YOL126C	MDH2	2.5
235	YER101C	AST2	2.5
236	YOR227W	HER1	2.5
237	YHR161C	YAP1801	2.5
238	YBR046C	ZTA1	2.5
239	YIR037W	HYR1	2.5
240	YMR311C	GLC8	2.5
241	YKR046C	PLN1	2.5
242	YML120C	NDI1	2.5
243	YGL053W	PRM8	2.5
244	YNL009W	IDP3	2.5
245	YDR202C	RAV2	2.5
246	YBR026C	ETR1	2.5
247	YDL214C	PRR2	2.5
248	YKL085W	MDH1	2.5
249	YKL217W	JEN1	2.5
250	YOL100W	PKH2	2.5
251	YMR191W	SPG5	2.5
252	YJR036C	HUL4	2.5
253	YMR173W	DDR48	2.5
254	YLR299W	ECM38	2.5
255	YDL149W	ATG9	2.5
256	YBR128C	ATG14	2.5
257	YKL193C	SDS22	2.5
258	YLR284C	ECI1	2.5
259	YLL041C	SDH2	2.5
260	YMR030W	RSF1	2.5
