SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SRM1

Rank	Gene	Common	Score
Q	YGL097W	SRM1	
1	YGL099W	LSG1	3.9
2	YOL097C	WRS1	3.8
3	YPR163C	TIF3	3.7
4	YLR060W	FRS1	3.7
5	YOR361C	PRT1	3.6
6	YHR068W	DYS1	3.6
7	YGR264C	MES1	3.6
8	YGR285C	ZUO1	3.6
9	YGR200C	ELP2	3.6
10	YPL263C	KEL3	3.5
11	YPR033C	HTS1	3.5
12	YMR131C	RRB1	3.5
13	YBR121C	GRS1	3.5
14	YBR252W	DUT1	3.5
15	YBR084W	MIS1	3.4
16	YHR170W	NMD3	3.4
17	YHR089C	GAR1	3.4
18	YPR110C	RPC40	3.4
19	YPL086C	ELP3	3.4
20	YHR064C	SSZ1	3.4
21	YDR190C	RVB1	3.4
22	YBL024W	NCL1	3.4
23	YDR087C	RRP1	3.4
24	YLR196W	PWP1	3.4
25	YDL014W	NOP1	3.4
26	YMR049C	ERB1	3.4
27	YMR146C	TIF34	3.4
28	YNL175C	NOP13	3.4
29	YNL132W	KRE33	3.4
30	YOR272W	YTM1	3.4
31	YER025W	GCD11	3.4
32	YOR310C	NOP58	3.4
33	YNL292W	PUS4	3.4
34	YER049W	TPA1	3.4
35	YGR185C	TYS1	3.4
36	YIR012W	SQT1	3.4
37	YER006W	NUG1	3.4
38	YLR197W	NOP56	3.4
39	YOR243C	PUS7	3.3
40	YMR290C	HAS1	3.3
41	YOR046C	DBP5	3.3
42	YOR340C	RPA43	3.3
43	YGR128C	UTP8	3.3
44	YBL039C	URA7	3.3
45	YLR175W	CBF5	3.3
46	YNL151C	RPC31	3.3
47	YJR070C	LIA1	3.3
48	YLR409C	UTP21	3.3
49	YDR023W	SES1	3.3
50	YML056C	IMD4	3.3
51	YAL036C	RBG1	3.3
52	YDR120C	TRM1	3.3
53	YGL111W	NSA1	3.3
54	YKR026C	GCN3	3.3
55	YJR143C	PMT4	3.3
56	YBL068W	PRS4	3.3
57	YDR091C	RLI1	3.3
58	YIR026C	YVH1	3.3
59	YGR103W	NOP7	3.3
60	YGR123C	PPT1	3.3
61	YNL061W	NOP2	3.3
62	YHR065C	RRP3	3.3
63	YLR083C	EMP70	3.3
64	YHR128W	FUR1	3.3
65	YJL050W	MTR4	3.3
66	YHR019C	DED81	3.3
67	YGR078C	PAC10	3.3
68	YHR013C	ARD1	3.3
69	YPR010C	RPA135	3.3
70	YLR449W	FPR4	3.3
71	YGR162W	TIF4631	3.3
72	YNL248C	RPA49	3.3
73	YGL120C	PRP43	3.3
74	YPR041W	TIF5	3.3
75	YJR069C	HAM1	3.3
76	YMR229C	RRP5	3.3
77	YDL051W	LHP1	3.2
78	YGR173W	RBG2	3.2
79	YKR092C	SRP40	3.2
80	YKL081W	TEF4	3.2
81	YGL148W	ARO2	3.2
82	YPL211W	NIP7	3.2
83	YCL059C	KRR1	3.2
84	YGL078C	DBP3	3.2
85	YLR372W	ELO3	3.2
86	YGR208W	SER2	3.2
87	YGL171W	ROK1	3.2
88	YHR062C	RPP1	3.2
89	YGR187C	HGH1	3.2
90	YBR247C	ENP1	3.2
91	YIL078W	THS1	3.2
92	YLR432W	IMD3	3.2
93	YBL076C	ILS1	3.2
94	YNL096C	RPS7B	3.2
95	YDL060W	TSR1	3.2
96	YNL062C	GCD10	3.2
97	YOR168W	GLN4	3.2
98	YKL021C	MAK11	3.2
99	YDL153C	SAS10	3.2
100	YDL166C	FAP7	3.2
101	YEL040W	UTR2	3.2
102	YAL035W	FUN12	3.2
103	YER126C	NSA2	3.2
104	YKL009W	MRT4	3.2
105	YEL055C	POL5	3.2
106	YGR145W	ENP2	3.2
107	YFL022C	FRS2	3.2
108	YPL043W	NOP4	3.2
109	YOL077C	BRX1	3.2
110	YOR335C	ALA1	3.2
111	YPL160W	CDC60	3.2
112	YBR061C	TRM7	3.2
113	YJL069C	UTP18	3.2
114	YKL191W	DPH2	3.2
115	YHL011C	PRS3	3.2
116	YLR293C	GSP1	3.2
117	YOR271C	FSF1	3.2
118	YDR395W	SXM1	3.2
119	YGL225W	VRG4	3.2
120	YDR300C	PRO1	3.1
121	YMR217W	GUA1	3.1
122	YOR224C	RPB8	3.1
123	YJL080C	SCP160	3.1
124	YDL201W	TRM8	3.1
125	YDR454C	GUK1	3.1
126	YEL042W	GDA1	3.1
127	YPL266W	DIM1	3.1
128	YGR214W	RPS0A	3.1
129	YOR095C	RKI1	3.1
130	YGR094W	VAS1	3.1
131	YLR397C	AFG2	3.1
132	YGR158C	MTR3	3.1
133	YPL226W	NEW1	3.1
134	YOR206W	NOC2	3.1
135	YPL126W	NAN1	3.1
136	YHR144C	DCD1	3.1
137	YDL208W	NHP2	3.1
138	YER043C	SAH1	3.1
139	YJL183W	MNN11	3.1
140	YPR137W	RRP9	3.1
141	YLR186W	EMG1	3.1
142	YDR321W	ASP1	3.1
143	YDL082W	RPL13A	3.1
144	YDR101C	ARX1	3.1
145	YPL050C	MNN9	3.1
146	YDR465C	RMT2	3.1
147	YDL112W	TRM3	3.1
148	YGL105W	ARC1	3.1
149	YLR276C	DBP9	3.1
150	YKL181W	PRS1	3.1
151	YDR144C	MKC7	3.1
152	YML093W	UTP14	3.1
153	YBR079C	RPG1	3.1
154	YLL008W	DRS1	3.1
155	YPR190C	RPC82	3.1
156	YHR025W	THR1	3.1
157	YPL237W	SUI3	3.1
158	YMR093W	UTP15	3.1
159	YKR081C	RPF2	3.1
160	YHR197W	RIX1	3.1
161	YML022W	APT1	3.1
162	YCR057C	PWP2	3.1
163	YLR172C	DPH5	3.1
164	YPR144C	NOC4	3.0
165	YLR017W	MEU1	3.0
166	YHR169W	DBP8	3.0
167	YLR129W	DIP2	3.0
168	YPL012W	RRP12	3.0
169	YDR324C	UTP4	3.0
170	YIL110W	HPM1	3.0
171	YOL139C	CDC33	3.0
172	YBR187W	GDT1	3.0
173	YGR083C	GCD2	3.0
174	YNL182C	IPI3	3.0
175	YDR083W	RRP8	3.0
176	YER007C-A	TMA20	3.0
177	YDR429C	TIF35	3.0
178	YFR028C	CDC14	3.0
179	YML106W	URA5	3.0
180	YHR052W	CIC1	3.0
181	YLL034C	RIX7	3.0
182	YOL061W	PRS5	3.0
183	YDR361C	BCP1	3.0
184	YNL141W	AAH1	3.0
185	YER131W	RPS26B	3.0
186	YOL080C	REX4	3.0
187	YDR280W	RRP45	3.0
188	YOR341W	RPA190	3.0
189	YDR165W	TRM82	3.0
190	YPL273W	SAM4	3.0
191	YDL084W	SUB2	3.0
192	YMR128W	ECM16	3.0
193	YJL122W	ALB1	3.0
194	YLR448W	RPL6B	3.0
195	YNR012W	URK1	3.0
196	YPR074C	TKL1	3.0
197	YGR280C	PXR1	3.0
198	YLR249W	YEF3	3.0
199	YDR496C	PUF6	3.0
200	YNL207W	RIO2	3.0
201	YDR037W	KRS1	3.0
202	YOR260W	GCD1	3.0
203	YFL001W	DEG1	3.0
204	YER110C	KAP123	3.0
205	YDR398W	UTP5	3.0
206	YJR002W	MPP10	3.0
207	YPR118W	MRI1	3.0
208	YGR245C	SDA1	3.0
209	YFL002C	SPB4	3.0
210	YGL169W	SUA5	3.0
211	YLR185W	RPL37A	3.0
212	YDR346C	SVF1	3.0
213	YDL040C	NAT1	3.0
214	YDR245W	MNN10	3.0
215	YOR276W	CAF20	3.0
216	YNL075W	IMP4	3.0
217	YGR159C	NSR1	3.0
218	YBR143C	SUP45	3.0
219	YLR222C	UTP13	3.0
220	YOR091W	TMA46	3.0
221	YJR072C	NPA3	3.0
222	YMR241W	YHM2	3.0
223	YJR105W	ADO1	3.0
224	YML080W	DUS1	3.0
225	YBR189W	RPS9B	3.0
226	YKR024C	DBP7	3.0
227	YOR056C	NOB1	3.0
228	YBR154C	RPB5	3.0
229	YJL125C	GCD14	2.9
230	YDR412W	RRP17	2.9
231	YHR066W	SSF1	2.9
232	YIL019W	FAF1	2.9
233	YHR148W	IMP3	2.9
234	YJL198W	PHO90	2.9
235	YKL143W	LTV1	2.9
236	YOR294W	RRS1	2.9
237	YDL145C	COP1	2.9
238	YDR449C	UTP6	2.9
239	YEL026W	SNU13	2.9
240	YMR123W	PKR1	2.9
241	YMR239C	RNT1	2.9
242	YPL183C	RTT10	2.9
243	YOR004W	UTP23	2.9
244	YAL023C	PMT2	2.9
245	YPR187W	RPO26	2.9
246	YHR196W	UTP9	2.9
247	YDL213C	NOP6	2.9
248	YML014W	TRM9	2.9
249	YIL131C	FKH1	2.9
250	YNL308C	KRI1	2.9
251	YNR003C	RPC34	2.9
252	YLR335W	NUP2	2.9
253	YLR405W	DUS4	2.9
254	YNL002C	RLP7	2.9
255	YML060W	OGG1	2.9
256	YGR148C	RPL24B	2.9
257	YDL167C	NRP1	2.9
258	YJL208C	NUC1	2.9
259	YBR155W	CNS1	2.9
260	YNL256W	FOL1	2.9
261	YPR112C	MRD1	2.9
262	YDL148C	NOP14	2.9
263	YCL054W	SPB1	2.9
264	YJL033W	HCA4	2.9
265	YCR053W	THR4	2.9
266	YPL093W	NOG1	2.9
267	YOL124C	TRM11	2.9
268	YPR060C	ARO7	2.9
269	YLR435W	TSR2	2.9
270	YFR037C	RSC8	2.9
271	YBR142W	MAK5	2.9
272	YBL087C	RPL23A	2.9
273	YLR009W	RLP24	2.9
274	YJR064W	CCT5	2.9
275	YER127W	LCP5	2.9
276	YNL112W	DBP2	2.9
277	YGR152C	RSR1	2.9
278	YNL166C	BNI5	2.9
279	YEL054C	RPL12A	2.9
280	YFR009W	GCN20	2.9
281	YHR133C	NSG1	2.9
282	YJL148W	RPA34	2.9
283	YFL037W	TUB2	2.9
284	YLR183C	TOS4	2.9
285	YOL144W	NOP8	2.9
286	YGR229C	SMI1	2.9
287	YMR308C	PSE1	2.9
288	YOR234C	RPL33B	2.9
289	YBR205W	KTR3	2.9
290	YNL255C	GIS2	2.9
291	YJR063W	RPA12	2.9
292	YML124C	TUB3	2.9
293	YDR471W	RPL27B	2.9
294	YLL011W	SOF1	2.9
295	YLR221C	RSA3	2.9
296	YER118C	SHO1	2.9
297	YLR002C	NOC3	2.9
298	YNR038W	DBP6	2.9
299	YLL045C	RPL8B	2.9
300	YPL217C	BMS1	2.9
301	YOR108W	LEU9	2.9
302	YLR401C	DUS3	2.8
303	YJL014W	CCT3	2.8
304	YMR215W	GAS3	2.8
305	YDR418W	RPL12B	2.8
306	YPL079W	RPL21B	2.8
307	YPL207W	TYW1	2.8
308	YNR046W	TRM112	2.8
309	YLR146C	SPE4	2.8
310	YOR323C	PRO2	2.8
311	YHR108W	GGA2	2.8
312	YPL081W	RPS9A	2.8
313	YLR061W	RPL22A	2.8
314	YDL031W	DBP10	2.8
315	YDR060W	MAK21	2.8
316	YMR235C	RNA1	2.8
317	YGL031C	RPL24A	2.8
318	YKL172W	EBP2	2.8
319	YLR285W	NNT1	2.8
320	YBR130C	SHE3	2.8
321	YGR124W	ASN2	2.8
322	YNL087W	TCB2	2.8
323	YER009W	NTF2	2.8
324	YER086W	ILV1	2.8
325	YOR254C	SEC63	2.8
326	YFL045C	SEC53	2.8
327	YML125C	PGA3	2.8
328	YGR195W	SKI6	2.8
329	YAL025C	MAK16	2.8
330	YIL133C	RPL16A	2.8
331	YHR208W	BAT1	2.8
332	YMR243C	ZRC1	2.8
333	YNL290W	RFC3	2.8
334	YHL013C	OTU2	2.8
335	YCR072C	RSA4	2.8
336	YKL099C	UTP11	2.8
337	YCR034W	ELO2	2.8
338	YOR241W	MET7	2.8
339	YER082C	UTP7	2.8
340	YDL143W	CCT4	2.8
341	YMR307W	GAS1	2.8
342	YNL066W	SUN4	2.8
343	YJR032W	CPR7	2.8
344	YBL032W	HEK2	2.8
345	YGR118W	RPS23A	2.8
