SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MLC1

Rank	Gene	Common	Score
Q	YGL106W	MLC1	
1	YER031C	YPT31	3.3
2	YHR193C	EGD2	3.2
3	YDR454C	GUK1	3.1
4	YGL105W	ARC1	3.0
5	YMR236W	TAF9	3.0
6	YNL079C	TPM1	3.0
7	YNL153C	GIM3	3.0
8	YJL124C	LSM1	2.9
9	YBR164C	ARL1	2.9
10	YHR013C	ARD1	2.9
11	YEL051W	VMA8	2.9
12	YDR002W	YRB1	2.9
13	YGR078C	PAC10	2.8
14	YFL038C	YPT1	2.8
15	YFL017C	GNA1	2.8
16	YER007C-A	TMA20	2.8
17	YDL226C	GCS1	2.8
18	YKL122C	SRP21	2.7
19	YPL129W	TAF14	2.7
20	YMR183C	SSO2	2.7
21	YMR260C	TIF11	2.7
22	YPL037C	EGD1	2.7
23	YER009W	NTF2	2.7
24	YPR062W	FCY1	2.7
25	YDL135C	RDI1	2.7
26	YOL139C	CDC33	2.7
27	YDR510W	SMT3	2.7
28	YGR020C	VMA7	2.7
29	YNL290W	RFC3	2.7
30	YEL001C	IRC22	2.7
31	YHR201C	PPX1	2.7
32	YIL043C	CBR1	2.7
33	YML094W	GIM5	2.7
34	YHR060W	VMA22	2.7
35	YBL057C	PTH2	2.7
36	YGR275W	RTT102	2.7
37	YLR185W	RPL37A	2.7
38	YIL021W	RPB3	2.7
39	YGR148C	RPL24B	2.7
40	YJL167W	ERG20	2.7
41	YGL200C	EMP24	2.7
42	YLR192C	HCR1	2.7
43	YDR328C	SKP1	2.6
44	YLR351C	NIT3	2.6
45	YHR121W	LSM12	2.6
46	YGL232W	TAN1	2.6
47	YGR185C	TYS1	2.6
48	YJR014W	TMA22	2.6
49	YOR276W	CAF20	2.6
50	YGR029W	ERV1	2.6
51	YOR281C	PLP2	2.6
52	YGL220W	BOL2	2.6
53	YOR332W	VMA4	2.6
54	YBR252W	DUT1	2.6
55	YGR105W	VMA21	2.6
56	YML105C	SEC65	2.6
57	YFL037W	TUB2	2.6
58	YLR293C	GSP1	2.6
59	YDR226W	ADK1	2.6
60	YER023W	PRO3	2.6
61	YKL160W	ELF1	2.6
62	YDL082W	RPL13A	2.6
63	YGR167W	CLC1	2.6
64	YPL237W	SUI3	2.6
65	YJL184W	GON7	2.6
66	YDR071C	PAA1	2.6
67	YBR130C	SHE3	2.6
68	YML124C	TUB3	2.5
69	YIL016W	SNL1	2.5
70	YDL219W	DTD1	2.5
71	YDR152W	GIR2	2.5
72	YDR086C	SSS1	2.5
73	YGL070C	RPB9	2.5
74	YGL221C	NIF3	2.5
75	YGR195W	SKI6	2.5
76	YLR200W	YKE2	2.5
77	YBR011C	IPP1	2.5
78	YPL178W	CBC2	2.5
79	YHR064C	SSZ1	2.5
80	YJR069C	HAM1	2.5
81	YER131W	RPS26B	2.5
82	YGR135W	PRE9	2.5
83	YOR265W	RBL2	2.5
84	YKL190W	CNB1	2.5
85	YNL255C	GIS2	2.5
86	YMR146C	TIF34	2.5
87	YER016W	BIM1	2.5
88	YBR264C	YPT10	2.5
89	YDR410C	STE14	2.5
90	YPR051W	MAK3	2.5
91	YGL058W	RAD6	2.5
92	YMR123W	PKR1	2.5
93	YGR085C	RPL11B	2.5
94	YOR189W	IES4	2.5
95	YHR200W	RPN10	2.5
96	YGL043W	DST1	2.5
97	YBL027W	RPL19B	2.5
98	YOR327C	SNC2	2.5
99	YOR046C	DBP5	2.5
100	YOR122C	PFY1	2.5
101	YMR142C	RPL13B	2.5
102	YNL096C	RPS7B	2.5
103	YER120W	SCS2	2.5
104	YJL192C	SOP4	2.5
105	YHR039C-A	VMA10	2.5
106	YIL138C	TPM2	2.5
107	YLR066W	SPC3	2.5
108	YHR063C	PAN5	2.5
109	YGR037C	ACB1	2.5
110	YJL104W	PAM16	2.5
111	YOR224C	RPB8	2.5
112	YGL020C	GET1	2.5
113	YPR073C	LTP1	2.5
114	YOR253W	NAT5	2.5
115	YKL196C	YKT6	2.5
116	YPR069C	SPE3	2.5
117	YDR190C	RVB1	2.5
118	YJR144W	MGM101	2.5
119	YGR208W	SER2	2.5
120	YLR150W	STM1	2.4
121	YGR285C	ZUO1	2.4
122	YDR023W	SES1	2.4
123	YOL005C	RPB11	2.4
124	YDR429C	TIF35	2.4
125	YMR072W	ABF2	2.4
126	YPR163C	TIF3	2.4
127	YGR181W	TIM13	2.4
128	YGR024C	THG1	2.4
129	YDR098C	GRX3	2.4
130	YOR323C	PRO2	2.4
131	YGL097W	SRM1	2.4
132	YGL100W	SEH1	2.4
133	YJL179W	PFD1	2.4
134	YOR216C	RUD3	2.4
135	YHR068W	DYS1	2.4
136	YPR060C	ARO7	2.4
137	YDL084W	SUB2	2.4
138	YER063W	THO1	2.4
139	YFR037C	RSC8	2.4
140	YDR339C	FCF1	2.4
141	YKL117W	SBA1	2.4
142	YDL236W	PHO13	2.4
143	YBL091C	MAP2	2.4
144	YOL097C	WRS1	2.4
145	YGL137W	SEC27	2.4
146	YKR085C	MRPL20	2.4
147	YMR194W	RPL36A	2.4
148	YML074C	FPR3	2.4
149	YER094C	PUP3	2.4
150	YDL192W	ARF1	2.4
151	YLR208W	SEC13	2.4
152	YGR158C	MTR3	2.4
153	YLR292C	SEC72	2.4
154	YJL145W	SFH5	2.4
155	YOL038W	PRE6	2.4
156	YDR177W	UBC1	2.4
157	YIL027C	EMC5	2.4
158	YFL005W	SEC4	2.4
159	YLR060W	FRS1	2.4
160	YBL087C	RPL23A	2.4
161	YJL002C	OST1	2.4
162	YIL052C	RPL34B	2.4
163	YPL079W	RPL21B	2.4
164	YDL075W	RPL31A	2.4
165	YDR304C	CPR5	2.4
166	YGL245W	GUS1	2.4
167	YDL092W	SRP14	2.4
168	YKL186C	MTR2	2.4
169	YLR448W	RPL6B	2.4
170	YCL055W	KAR4	2.4
171	YDL208W	NHP2	2.4
172	YLR262C	YPT6	2.4
173	YEL002C	WBP1	2.4
174	YKL214C	YRA2	2.4
175	YOR232W	MGE1	2.4
176	YAL033W	POP5	2.4
177	YOR212W	STE4	2.4
178	YER012W	PRE1	2.4
179	YMR263W	SAP30	2.4
180	YER100W	UBC6	2.4
181	YLR061W	RPL22A	2.4
182	YML012W	ERV25	2.4
183	YAL007C	ERP2	2.4
184	YJL136C	RPS21B	2.4
185	YGL011C	SCL1	2.4
186	YOL012C	HTZ1	2.4
187	YHR133C	NSG1	2.4
188	YPR036W	VMA13	2.4
189	YHR005C	GPA1	2.4
190	YOR198C	BFR1	2.4
191	YIL062C	ARC15	2.4
192	YMR149W	SWP1	2.4
193	YER048C	CAJ1	2.4
194	YGR214W	RPS0A	2.4
195	YGL031C	RPL24A	2.4
196	YFL045C	SEC53	2.4
197	YHR163W	SOL3	2.3
198	YOR094W	ARF3	2.3
199	YNL149C	PGA2	2.3
200	YLL050C	COF1	2.3
201	YKL128C	PMU1	2.3
202	YJL065C	DLS1	2.3
203	YDL051W	LHP1	2.3
204	YLR022C	SDO1	2.3
205	YBL016W	FUS3	2.3
206	YOL049W	GSH2	2.3
207	YGR173W	RBG2	2.3
208	YOR085W	OST3	2.3
209	YDR292C	SRP101	2.3
210	YPR033C	HTS1	2.3
211	YDL166C	FAP7	2.3
212	YBR189W	RPS9B	2.3
213	YJL121C	RPE1	2.3
214	YLR229C	CDC42	2.3
215	YPR139C	LOA1	2.3
216	YFR050C	PRE4	2.3
217	YER112W	LSM4	2.3
218	YDR167W	TAF10	2.3
219	YPR118W	MRI1	2.3
220	YJL177W	RPL17B	2.3
221	YDR471W	RPL27B	2.3
222	YBR282W	MRPL27	2.3
223	YML073C	RPL6A	2.3
224	YJL140W	RPB4	2.3
225	YDL212W	SHR3	2.3
226	YLR011W	LOT6	2.3
227	YBR205W	KTR3	2.3
228	YPL143W	RPL33A	2.3
229	YER056C-A	RPL34A	2.3
230	YPR131C	NAT3	2.3
231	YHR152W	SPO12	2.3
232	YPL243W	SRP68	2.3
233	YLR421C	RPN13	2.3
234	YLR264W	RPS28B	2.3
235	YIL076W	SEC28	2.3
236	YNL302C	RPS19B	2.3
237	YNL090W	RHO2	2.3
238	YBR106W	SND3	2.3
239	YMR235C	RNA1	2.3
240	YKL114C	APN1	2.3
241	YEL027W	VMA3	2.3
242	YDR381W	YRA1	2.3
243	YLR344W	RPL26A	2.3
244	YGL210W	YPT32	2.3
245	YIR022W	SEC11	2.3
246	YGL148W	ARO2	2.3
247	YLR170C	APS1	2.3
248	YPL038W	MET31	2.3
249	YBR154C	RPB5	2.3
250	YCL050C	APA1	2.3
251	YKR007W	MEH1	2.3
252	YNL099C	OCA1	2.3
253	YKL024C	URA6	2.3
254	YLR172C	DPH5	2.3
255	YDL103C	QRI1	2.3
256	YEL003W	GIM4	2.3
257	YDR051C	DET1	2.3
258	YDL100C	GET3	2.3
259	YDR378C	LSM6	2.3
260	YNL166C	BNI5	2.3
261	YNL135C	FPR1	2.3
262	YBL072C	RPS8A	2.3
263	YBR188C	NTC20	2.3
264	YEL054C	RPL12A	2.3
265	YDR487C	RIB3	2.3
266	YLR043C	TRX1	2.3
267	YBR162W-A	YSY6	2.3
268	YLR154C	RNH203	2.3
269	YDR404C	RPB7	2.3
270	YLR420W	URA4	2.3
271	YHR010W	RPL27A	2.3
272	YGR027C	RPS25A	2.3
273	YHL033C	RPL8A	2.3
274	YNL113W	RPC19	2.3
275	YOR234C	RPL33B	2.3
276	YCR060W	TAH1	2.3
