SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PCL10

Rank	Gene	Common	Score
Q	YGL134W	PCL10	
1	YGL136C	MRM2	2.5
2	YOR244W	ESA1	2.4
3	YOL100W	PKH2	2.4
4	YDR313C	PIB1	2.4
5	YDR082W	STN1	2.4
6	YHR195W	NVJ1	2.4
7	YDR173C	ARG82	2.3
8	YGL208W	SIP2	2.3
9	YKR009C	FOX2	2.3
10	YOR120W	GCY1	2.3
11	YER162C	RAD4	2.3
12	YPR026W	ATH1	2.3
13	YMR201C	RAD14	2.3
14	YOR245C	DGA1	2.3
15	YER101C	AST2	2.3
16	YIL136W	OM45	2.3
17	YFR049W	KGD4	2.3
18	YOL043C	NTG2	2.2
19	YHR096C	HXT5	2.2
20	YOR138C	RUP1	2.2
21	YDL194W	SNF3	2.2
22	YOR040W	GLO4	2.2
23	YOL044W	PEX15	2.2
24	YDR030C	RAD28	2.2
25	YDL115C	IWR1	2.2
26	YJL023C	PET130	2.2
27	YPR049C	ATG11	2.2
28	YBR047W	FMP23	2.2
29	YKL188C	PXA2	2.2
30	YLR174W	IDP2	2.2
31	YHR002W	LEU5	2.2
32	YNR007C	ATG3	2.2
33	YBR046C	ZTA1	2.2
34	YMR110C	HFD1	2.2
35	YDL020C	RPN4	2.2
36	YPR023C	EAF3	2.2
37	YEL012W	UBC8	2.2
38	YGL219C	MDM34	2.2
39	YDR329C	PEX3	2.2
40	YDL085W	NDE2	2.2
41	YOR064C	YNG1	2.2
42	YML042W	CAT2	2.2
43	YGL154C	LYS5	2.2
44	YPL133C	RDS2	2.2
45	YGR196C	FYV8	2.2
46	YPR134W	MSS18	2.2
47	YGL248W	PDE1	2.2
48	YLR284C	ECI1	2.2
49	YIL107C	PFK26	2.2
50	YJL137C	GLG2	2.2
51	YLR362W	STE11	2.2
52	YDR460W	TFB3	2.2
53	YKL093W	MBR1	2.2
54	YDR202C	RAV2	2.2
55	YER024W	YAT2	2.2
56	YPL186C	UIP4	2.2
57	YGL003C	CDH1	2.2
58	YPL120W	VPS30	2.2
59	YLR102C	APC9	2.2
60	YPL147W	PXA1	2.2
61	YNL009W	IDP3	2.2
62	YPL138C	SPP1	2.2
63	YIL045W	PIG2	2.2
64	YER051W	JHD1	2.2
65	YDR265W	PEX10	2.2
66	YBL049W	MOH1	2.2
67	YBR001C	NTH2	2.1
68	YMR064W	AEP1	2.1
69	YLR165C	PUS5	2.1
70	YDL215C	GDH2	2.1
71	YIL097W	FYV10	2.1
72	YER167W	BCK2	2.1
73	YIL017C	VID28	2.1
74	YDL149W	ATG9	2.1
75	YGR043C	NQM1	2.1
76	YGL166W	CUP2	2.1
77	YJL155C	FBP26	2.1
78	YFL030W	AGX1	2.1
79	YIL036W	CST6	2.1
80	YGL059W	PKP2	2.1
81	YAL034C	FUN19	2.1
82	YGL133W	ITC1	2.1
83	YOL116W	MSN1	2.1
84	YGL205W	POX1	2.1
85	YHR006W	STP2	2.1
86	YIL146C	ATG32	2.1
87	YKL124W	SSH4	2.1
88	YPR061C	JID1	2.1
89	YGL121C	GPG1	2.1
90	YDL091C	UBX3	2.1
91	YOL025W	LAG2	2.1
92	YOR054C	VHS3	2.1
93	YHR150W	PEX28	2.1
94	YBR255W	MTC4	2.1
95	YOL065C	INP54	2.1
96	YLR288C	MEC3	2.1
97	YER041W	YEN1	2.1
98	YHL002W	HSE1	2.1
99	YDR479C	PEX29	2.1
100	YPR151C	SUE1	2.1
101	YGL130W	CEG1	2.1
102	YKL094W	YJU3	2.1
103	YHL032C	GUT1	2.1
104	YBL043W	ECM13	2.1
105	YBR169C	SSE2	2.1
106	YLR368W	MDM30	2.1
107	YKL217W	JEN1	2.1
108	YER015W	FAA2	2.1
109	YEL030W	ECM10	2.1
110	YNL237W	YTP1	2.1
111	YOR037W	CYC2	2.1
112	YEL005C	VAB2	2.1
113	YFR040W	SAP155	2.1
114	YDR358W	GGA1	2.1
115	YDR421W	ARO80	2.1
116	YDL147W	RPN5	2.1
117	YGR236C	SPG1	2.1
118	YGL004C	RPN14	2.1
119	YOR036W	PEP12	2.1
120	YMR271C	URA10	2.1
121	YBR006W	UGA2	2.1
122	YBR183W	YPC1	2.1
123	YHR106W	TRR2	2.1
124	YJL066C	MPM1	2.1
125	YBR150C	TBS1	2.1
126	YMR020W	FMS1	2.1
127	YDR059C	UBC5	2.1
128	YER065C	ICL1	2.1
129	YGR154C	GTO1	2.1
130	YLR267W	BOP2	2.1
131	YLR254C	NDL1	2.1
132	YBR270C	BIT2	2.1
133	YKR058W	GLG1	2.1
134	YLL019C	KNS1	2.1
135	YGR070W	ROM1	2.1
136	YDL169C	UGX2	2.1
137	YDR051C	DET1	2.1
138	YMR311C	GLC8	2.1
139	YLR080W	EMP46	2.1
140	YDL234C	GYP7	2.1
141	YGR223C	HSV2	2.1
142	YMR026C	PEX12	2.1
143	YMR137C	PSO2	2.1
144	YNL117W	MLS1	2.1
145	YMR081C	ISF1	2.1
146	YGL073W	HSF1	2.1
147	YNL223W	ATG4	2.1
148	YGR010W	NMA2	2.1
149	YMR280C	CAT8	2.1
150	YPL201C	YIG1	2.1
151	YDR231C	COX20	2.1
152	YPL214C	THI6	2.1
153	YBR050C	REG2	2.1
154	YBR269C	SDH8	2.1
155	YDR275W	BSC2	2.1
156	YER039C	HVG1	2.1
157	YMR041C	ARA2	2.1
158	YDR043C	NRG1	2.1
159	YDR244W	PEX5	2.1
160	YMR302C	YME2	2.1
161	YKR049C	FMP46	2.1
162	YDR273W	DON1	2.1
163	YDR289C	RTT103	2.1
164	YNL125C	ESBP6	2.1
165	YPR057W	BRR1	2.1
166	YGL090W	LIF1	2.1
167	YGL006W	PMC1	2.1
168	YBL078C	ATG8	2.1
169	YDR223W	CRF1	2.1
170	YNL014W	HEF3	2.1
171	YMR040W	YET2	2.1
172	YHR160C	PEX18	2.1
173	YBR290W	BSD2	2.1
174	YPL223C	GRE1	2.1
175	YGL098W	USE1	2.1
176	YMR191W	SPG5	2.1
177	YJL048C	UBX6	2.1
178	YGL096W	TOS8	2.0
179	YLR189C	ATG26	2.0
180	YJR155W	AAD10	2.0
181	YIL105C	SLM1	2.0
182	YDL200C	MGT1	2.0
183	YFR046C	CNN1	2.0
184	YOR162C	YRR1	2.0
185	YGR243W	MPC3	2.0
186	YBR119W	MUD1	2.0
187	YBR237W	PRP5	2.0
188	YDL078C	MDH3	2.0
189	YGR258C	RAD2	2.0
190	YDR070C	FMP16	2.0
191	YOR100C	CRC1	2.0
192	YMR053C	STB2	2.0
193	YBL021C	HAP3	2.0
194	YNL215W	IES2	2.0
195	YGL227W	VID30	2.0
196	YDL113C	ATG20	2.0
197	YBR043C	QDR3	2.0
198	YPL196W	OXR1	2.0
199	YHR137W	ARO9	2.0
200	YDL045C	FAD1	2.0
201	YDR142C	PEX7	2.0
202	YDR505C	PSP1	2.0
203	YNR045W	PET494	2.0
204	YLR327C	TMA10	2.0
205	YGR019W	UGA1	2.0
206	YGR057C	LST7	2.0
207	YNL199C	GCR2	2.0
208	YDR332W	IRC3	2.0
209	YGR046W	TAM41	2.0
210	YML054C	CYB2	2.0
211	YER054C	GIP2	2.0
212	YBL103C	RTG3	2.0
213	YDR423C	CAD1	2.0
214	YGR009C	SEC9	2.0
215	YKR101W	SIR1	2.0
216	YMR174C	PAI3	2.0
217	YOR031W	CRS5	2.0
218	YLR097C	HRT3	2.0
219	YDL223C	HBT1	2.0
220	YMR023C	MSS1	2.0
221	YGL038C	OCH1	2.0
222	YPL156C	PRM4	2.0
223	YBL075C	SSA3	2.0
224	YJL057C	IKS1	2.0
225	YPR111W	DBF20	2.0
226	YGL104C	VPS73	2.0
227	YDR085C	AFR1	2.0
228	YPL219W	PCL8	2.0
229	YDR504C	SPG3	2.0
230	YDR330W	UBX5	2.0
231	YBL064C	PRX1	2.0
232	YOL126C	MDH2	2.0
233	YPL100W	ATG21	2.0
234	YKR076W	ECM4	2.0
235	YML076C	WAR1	2.0
236	YDR078C	SHU2	2.0
237	YPL181W	CTI6	2.0
238	YKL026C	GPX1	2.0
239	YBR222C	PCS60	2.0
240	YPR155C	NCA2	2.0
241	YJR049C	UTR1	2.0
242	YDR438W	THI74	2.0
243	YIR029W	DAL2	2.0
244	YDR256C	CTA1	2.0
245	YHR139C	SPS100	2.0
246	YML041C	VPS71	2.0
247	YER093C	TSC11	2.0
248	YCR083W	TRX3	2.0
249	YPL222W	FMP40	2.0
250	YLR431C	ATG23	2.0
251	YMR100W	MUB1	2.0
252	YBR101C	FES1	2.0
253	YDR005C	MAF1	2.0
254	YPR085C	ASA1	2.0
255	YJL036W	SNX4	2.0
256	YIL046W	MET30	2.0
257	YDR473C	PRP3	2.0
258	YGL228W	SHE10	2.0
259	YPL164C	MLH3	2.0
260	YGR174C	CBP4	2.0
261	YBR128C	ATG14	2.0
262	YGL156W	AMS1	2.0
263	YHR161C	YAP1801	2.0
264	YOL117W	RRI2	2.0
265	YDR242W	AMD2	2.0
266	YJR050W	ISY1	2.0
267	YNL331C	AAD14	2.0
268	YGR143W	SKN1	2.0
269	YBR298C	MAL31	2.0
270	YMR097C	MTG1	2.0
271	YNR049C	MSO1	2.0
272	YMR107W	SPG4	2.0
273	YAL054C	ACS1	2.0
274	YOR173W	DCS2	2.0
275	YPR001W	CIT3	2.0
276	YPL203W	TPK2	2.0
277	YJR130C	STR2	2.0
278	YDR258C	HSP78	2.0
279	YBR026C	ETR1	2.0
280	YER020W	GPA2	2.0
281	YNL173C	MDG1	2.0
282	YOL089C	HAL9	2.0
