SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RRT6

Rank	Gene	Common	Score
Q	YGL146C	RRT6	
1	YJL103C	GSM1	1.8
2	YFL030W	AGX1	1.8
3	YMR280C	CAT8	1.8
4	YBR230C	OM14	1.8
5	YBR132C	AGP2	1.8
6	YNR002C	ATO2	1.8
7	YLL041C	SDH2	1.8
8	YGL208W	SIP2	1.8
9	YGR243W	MPC3	1.8
10	YDR231C	COX20	1.8
11	YPL134C	ODC1	1.8
12	YOR100C	CRC1	1.7
13	YHL032C	GUT1	1.7
14	YFR017C	IGD1	1.7
15	YKL217W	JEN1	1.7
16	YPR030W	CSR2	1.7
17	YGR110W	CLD1	1.7
18	YPL119C	DBP1	1.7
19	YPR026W	ATH1	1.7
20	YOR374W	ALD4	1.7
21	YDR178W	SDH4	1.7
22	YKL093W	MBR1	1.7
23	YML120C	NDI1	1.7
24	YOL083W	ATG34	1.7
25	YJL066C	MPM1	1.7
26	YPL230W	USV1	1.7
27	YLR312C	ATG39	1.7
28	YBR269C	SDH8	1.7
29	YBR050C	REG2	1.7
30	YGL250W	RMR1	1.7
31	YKL148C	SDH1	1.7
32	YIL155C	GUT2	1.6
33	YNL305C	BXI1	1.6
34	YNL237W	YTP1	1.6
35	YLR327C	TMA10	1.6
36	YBL015W	ACH1	1.6
37	YEL011W	GLC3	1.6
38	YNL173C	MDG1	1.6
39	YJL185C	ATG36	1.6
40	YIL125W	KGD1	1.6
41	YIL136W	OM45	1.6
42	YDR009W	GAL3	1.6
43	YOR178C	GAC1	1.6
44	YOL053W	AIM39	1.6
45	YMR206W	YMR206W	1.6
46	YDR148C	KGD2	1.6
47	YBR001C	NTH2	1.6
48	YPR151C	SUE1	1.6
49	YGR067C	YGR067C	1.6
50	YEL024W	RIP1	1.6
51	YFR014C	CMK1	1.6
52	YCR091W	KIN82	1.6
53	YCL040W	GLK1	1.6
54	YIL077C	RCI37	1.6
55	YPL203W	TPK2	1.6
56	YER054C	GIP2	1.6
57	YFR049W	KGD4	1.6
58	YML042W	CAT2	1.6
59	YER039C	HVG1	1.6
60	YHR002W	LEU5	1.6
61	YLL019C	KNS1	1.6
62	YBL064C	PRX1	1.6
63	YAL060W	BDH1	1.6
64	YJR008W	MHO1	1.6
