SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NUT1

Rank	Gene	Common	Score
Q	YGL151W	NUT1	
1	YDR407C	TRS120	3.0
2	YFR002W	NIC96	2.7
3	YGR270W	YTA7	2.7
4	YML103C	NUP188	2.6
5	YPR189W	SKI3	2.6
6	YNL297C	MON2	2.6
7	YFR013W	IOC3	2.6
8	YDR228C	PCF11	2.6
9	YNL059C	ARP5	2.6
10	YPL195W	APL5	2.5
11	YIL115C	NUP159	2.5
12	YOL145C	CTR9	2.5
13	YGL094C	PAN2	2.5
14	YNL085W	MKT1	2.5
15	YNL041C	COG6	2.5
16	YGL110C	CUE3	2.5
17	YDL056W	MBP1	2.5
18	YOR304W	ISW2	2.5
19	YGL133W	ITC1	2.5
20	YER008C	SEC3	2.5
21	YJR090C	GRR1	2.5
22	YGR170W	PSD2	2.5
23	YGR218W	CRM1	2.5
24	YGR119C	NUP57	2.5
25	YBR081C	SPT7	2.5
26	YDL225W	SHS1	2.5
27	YOR076C	SKI7	2.5
28	YHR158C	KEL1	2.4
29	YGR116W	SPT6	2.4
30	YLR039C	RIC1	2.4
31	YPR055W	SEC8	2.4
32	YLR238W	FAR10	2.4
33	YDR303C	RSC3	2.4
34	YEL022W	GEA2	2.4
35	YIL128W	MET18	2.4
36	YDR200C	VPS64	2.4
37	YMR231W	PEP5	2.4
38	YNL118C	DCP2	2.4
39	YGR271W	SLH1	2.4
40	YLR309C	IMH1	2.4
41	YHL023C	NPR3	2.4
42	YGL150C	INO80	2.4
43	YGL241W	KAP114	2.4
44	YMR218C	TRS130	2.4
45	YHR077C	NMD2	2.4
46	YCR042C	TAF2	2.4
47	YDL132W	CDC53	2.4
48	YGL252C	RTG2	2.4
49	YGL203C	KEX1	2.4
50	YDL190C	UFD2	2.4
51	YDR335W	MSN5	2.4
52	YPL228W	CET1	2.4
53	YFR031C	SMC2	2.4
54	YGL207W	SPT16	2.4
55	YDR390C	UBA2	2.4
56	YKL179C	COY1	2.3
57	YKR028W	SAP190	2.3
58	YDR458C	HEH2	2.3
59	YJR089W	BIR1	2.3
60	YGL145W	TIP20	2.3
61	YMR061W	RNA14	2.3
62	YHR155W	LAM1	2.3
63	YDR159W	SAC3	2.3
64	YGL233W	SEC15	2.3
65	YJL061W	NUP82	2.3
66	YPL045W	VPS16	2.3
67	YKR082W	NUP133	2.3
68	YOL090W	MSH2	2.3
69	YNL236W	SIN4	2.3
70	YER093C	TSC11	2.3
71	YBL052C	SAS3	2.3
72	YDR484W	VPS52	2.3
73	YMR125W	STO1	2.3
74	YGL244W	RTF1	2.3
75	YJL197W	UBP12	2.3
76	YDR137W	RGP1	2.3
77	YOR069W	VPS5	2.3
78	YOR249C	APC5	2.3
79	YER022W	SRB4	2.3
80	YDL116W	NUP84	2.3
81	YER151C	UBP3	2.3
82	YOR275C	RIM20	2.3
83	YDR166C	SEC5	2.3
84	YOR124C	UBP2	2.3
85	YGR186W	TFG1	2.3
86	YDR372C	VPS74	2.3
87	YDR017C	KCS1	2.3
88	YGR083C	GCD2	2.3
89	YNL287W	SEC21	2.3
90	YGR196C	FYV8	2.3
91	YML069W	POB3	2.3
92	YGL084C	GUP1	2.3
93	YGL086W	MAD1	2.3
94	YLR086W	SMC4	2.3
95	YDL074C	BRE1	2.3
96	YGR274C	TAF1	2.3
97	YIL149C	MLP2	2.3
98	YMR275C	BUL1	2.3
99	YLR148W	PEP3	2.3
100	YPR105C	COG4	2.3
101	YDR325W	YCG1	2.2
102	YNL257C	SIP3	2.2
103	YLR117C	CLF1	2.2
104	YDR326C	YSP2	2.2
105	YBR102C	EXO84	2.2
106	YFR040W	SAP155	2.2
107	YDR292C	SRP101	2.2
108	YOL076W	MDM20	2.2
109	YDR283C	GCN2	2.2
110	YBR279W	PAF1	2.2
111	YBR236C	ABD1	2.2
112	YDR351W	SBE2	2.2
113	YGR184C	UBR1	2.2
114	YIL147C	SLN1	2.2
115	YLL021W	SPA2	2.2
116	YGL238W	CSE1	2.2
117	YLR071C	RGR1	2.2
118	YML049C	RSE1	2.2
119	YKL010C	UFD4	2.2
120	YAL029C	MYO4	2.2
121	YKR008W	RSC4	2.2
122	YDL058W	USO1	2.2
123	YOR194C	TOA1	2.2
124	YMR207C	HFA1	2.2
125	YER157W	COG3	2.2
126	YEL053C	MAK10	2.2
127	YNL258C	DSL1	2.2
128	YER113C	TMN3	2.2
129	YPR072W	NOT5	2.2
130	YBR123C	TFC1	2.2
131	YIL095W	PRK1	2.2
132	YIL035C	CKA1	2.2
133	YML065W	ORC1	2.2
134	YMR212C	EFR3	2.2
135	YJR134C	SGM1	2.2
136	YOR112W	CEX1	2.2
137	YOR151C	RPB2	2.2
138	YNL330C	RPD3	2.2
139	YOR080W	DIA2	2.2
140	YBR237W	PRP5	2.2
141	YDL145C	COP1	2.2
142	YMR064W	AEP1	2.2
143	YIL048W	NEO1	2.2
144	YDR211W	GCD6	2.2
145	YPL210C	SRP72	2.2
146	YEL051W	VMA8	2.2
147	YJL176C	SWI3	2.2
148	YFL008W	SMC1	2.2
149	YHR073W	OSH3	2.2
150	YGR089W	NNF2	2.2
151	YJL085W	EXO70	2.2
152	YGL115W	SNF4	2.2
153	YDR170C	SEC7	2.2
154	YGL201C	MCM6	2.2
155	YPR095C	SYT1	2.2
156	YKL025C	PAN3	2.2
157	YLR398C	SKI2	2.2
158	YDR176W	NGG1	2.2
159	YIL038C	NOT3	2.2
160	YJL039C	NUP192	2.2
161	YGL095C	VPS45	2.2
162	YMR047C	NUP116	2.2
163	YLR314C	CDC3	2.2
164	YER048C	CAJ1	2.2
165	YLR371W	ROM2	2.2
166	YDR473C	PRP3	2.2
167	YAL026C	DRS2	2.1
168	YIL068C	SEC6	2.1
169	YER168C	CCA1	2.1
170	YGL093W	SPC105	2.1
171	YEL061C	CIN8	2.1
172	YBL079W	NUP170	2.1
173	YJL204C	RCY1	2.1
174	YER171W	RAD3	2.1
175	YML097C	VPS9	2.1
176	YHR114W	BZZ1	2.1
177	YDR289C	RTT103	2.1
178	YDR103W	STE5	2.1
179	YDL035C	GPR1	2.1
180	YDL102W	POL3	2.1
181	YGL190C	CDC55	2.1
182	YAL019W	FUN30	2.1
183	YDR457W	TOM1	2.1
184	YHL030W	ECM29	2.1
185	YOL049W	GSH2	2.1
186	YPL243W	SRP68	2.1
187	YIL005W	EPS1	2.1
188	YNL267W	PIK1	2.1
189	YBR245C	ISW1	2.1
190	YDR301W	CFT1	2.1
191	YNL272C	SEC2	2.1
192	YGL060W	YBP2	2.1
193	YOR211C	MGM1	2.1
194	YGL049C	TIF4632	2.1
195	YKL101W	HSL1	2.1
196	YDR080W	VPS41	2.1
197	YML062C	MFT1	2.1
198	YDR295C	HDA2	2.1
199	YER155C	BEM2	2.1
200	YJL207C	LAA1	2.1
201	YGL195W	GCN1	2.1
202	YDL005C	MED2	2.1
203	YLR247C	IRC20	2.1
204	YNL189W	SRP1	2.1
205	YGR009C	SEC9	2.1
206	YOL004W	SIN3	2.1
207	YPR025C	CCL1	2.1
208	YBR227C	MCX1	2.1
209	YBR229C	ROT2	2.1
210	YOL081W	IRA2	2.1
211	YLR096W	KIN2	2.1
212	YPR179C	HDA3	2.1
213	YPL125W	KAP120	2.1
214	YBL060W	YEL1	2.1
215	YLR454W	FMP27	2.1
216	YDR141C	DOP1	2.1
217	YGR047C	TFC4	2.1
218	YIL129C	TAO3	2.1
219	YIL002C	INP51	2.1
220	YDR422C	SIP1	2.1
221	YLR277C	YSH1	2.1
222	YML104C	MDM1	2.1
223	YDR495C	VPS3	2.1
224	YLR436C	ECM30	2.1
225	YGR278W	CWC22	2.1
226	YGL021W	ALK1	2.1
227	YDR027C	VPS54	2.1
228	YNR023W	SNF12	2.1
229	YMR075W	RCO1	2.1
230	YFR038W	IRC5	2.1
231	YER021W	RPN3	2.1
232	YGR198W	YPP1	2.1
233	YDL044C	MTF2	2.1
234	YER172C	BRR2	2.1
235	YLR033W	RSC58	2.1
236	YDR235W	PRP42	2.1
237	YPL235W	RVB2	2.1
238	YLL015W	BPT1	2.1
239	YMR192W	GYL1	2.1
240	YPL161C	BEM4	2.1
241	YGL137W	SEC27	2.1
242	YLR182W	SWI6	2.1
243	YGL016W	KAP122	2.1
244	YGL245W	GUS1	2.1
245	YPR029C	APL4	2.1
246	YMR028W	TAP42	2.1
247	YCR093W	CDC39	2.1
248	YOR165W	SEY1	2.1
249	YER105C	NUP157	2.1
250	YKL020C	SPT23	2.1
251	YDL077C	VAM6	2.1
252	YIL014W	MNT3	2.1
253	YKL057C	NUP120	2.1
254	YDR427W	RPN9	2.1
255	YLR114C	AVL9	2.1
256	YNL233W	BNI4	2.1
257	YOR160W	MTR10	2.1
258	YDR028C	REG1	2.1
259	YCR032W	BPH1	2.1
260	YDR023W	SES1	2.1
261	YFL048C	EMP47	2.1
262	YPL174C	NIP100	2.1
263	YPL270W	MDL2	2.1
264	YDL099W	BUG1	2.1
265	YOR086C	TCB1	2.1
266	YMR044W	IOC4	2.1
267	YKL068W	NUP100	2.1
268	YNL051W	COG5	2.1
269	YPL242C	IQG1	2.1
270	YPL115C	BEM3	2.1
271	YOR216C	RUD3	2.1
272	YMR091C	NPL6	2.1
273	YNL027W	CRZ1	2.1
274	YGL163C	RAD54	2.1
275	YNL088W	TOP2	2.1
276	YLR319C	BUD6	2.1
277	YGL099W	LSG1	2.1
278	YDR395W	SXM1	2.1
279	YMR309C	NIP1	2.1
280	YDL001W	RMD1	2.1
281	YGL105W	ARC1	2.1
282	YDL100C	GET3	2.1
283	YER101C	AST2	2.1
284	YOR168W	GLN4	2.1
285	YGR261C	APL6	2.1
286	YOL089C	HAL9	2.0
287	YDR452W	PPN1	2.0
288	YCR066W	RAD18	2.0
289	YIL105C	SLM1	2.0
290	YNL325C	FIG4	2.0
291	YNL271C	BNI1	2.0
292	YHR119W	SET1	2.0
293	YDL006W	PTC1	2.0
294	YOR014W	RTS1	2.0
295	YBL076C	ILS1	2.0
296	YNL225C	CNM67	2.0
297	YFL002C	SPB4	2.0
298	YDL147W	RPN5	2.0
299	YBR290W	BSD2	2.0
300	YFR009W	GCN20	2.0
301	YNL154C	YCK2	2.0
302	YNL212W	VID27	2.0
303	YDR189W	SLY1	2.0
304	YGL167C	PMR1	2.0
305	YDR198C	RKM2	2.0
306	YDL103C	QRI1	2.0
307	YOR353C	SOG2	2.0
308	YLR166C	SEC10	2.0
309	YML071C	COG8	2.0
310	YLR067C	PET309	2.0
311	YGR072W	UPF3	2.0
312	YPL160W	CDC60	2.0
313	YIL026C	IRR1	2.0
314	YGL092W	NUP145	2.0
315	YHL038C	CBP2	2.0
316	YER167W	BCK2	2.0
317	YDR332W	IRC3	2.0
318	YMR066W	SOV1	2.0
319	YKL135C	APL2	2.0
320	YKL155C	RSM22	2.0
321	YGR216C	GPI1	2.0
322	YDR168W	CDC37	2.0
323	YDR320C	SWA2	2.0
324	YBR198C	TAF5	2.0
325	YJL129C	TRK1	2.0
326	YGR179C	OKP1	2.0
327	YPR032W	SRO7	2.0
328	YKR029C	SET3	2.0
329	YDR430C	CYM1	2.0
330	YLR305C	STT4	2.0
331	YOL123W	HRP1	2.0
