SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PMR1

Rank	Gene	Common	Score
Q	YGL167C	PMR1	
1	YER125W	RSP5	2.8
2	YIL048W	NEO1	2.7
3	YGR218W	CRM1	2.7
4	YLR120C	YPS1	2.6
5	YPL179W	PPQ1	2.6
6	YDR293C	SSD1	2.6
7	YBR140C	IRA1	2.5
8	YGL006W	PMC1	2.5
9	YJL094C	KHA1	2.5
10	YGL206C	CHC1	2.5
11	YNL192W	CHS1	2.4
12	YEL013W	VAC8	2.4
13	YBR036C	CSG2	2.4
14	YNL287W	SEC21	2.4
15	YEL031W	SPF1	2.4
16	YOR219C	STE13	2.4
17	YGL238W	CSE1	2.4
18	YNL297C	MON2	2.4
19	YHR082C	KSP1	2.4
20	YNL085W	MKT1	2.4
21	YIL030C	SSM4	2.4
22	YDR483W	KRE2	2.4
23	YGR032W	GSC2	2.3
24	YOR014W	RTS1	2.3
25	YGL137W	SEC27	2.3
26	YDR129C	SAC6	2.3
27	YHR098C	SFB3	2.3
28	YGL173C	XRN1	2.3
29	YHR079C	IRE1	2.3
30	YPR181C	SEC23	2.3
31	YOR002W	ALG6	2.3
32	YMR054W	STV1	2.3
33	YLR389C	STE23	2.3
34	YBR086C	IST2	2.3
35	YEL063C	CAN1	2.3
36	YDL145C	COP1	2.3
37	YHR039C	MSC7	2.3
38	YGR199W	PMT6	2.3
39	YER136W	GDI1	2.3
40	YHR188C	GPI16	2.3
41	YPL125W	KAP120	2.3
42	YGR184C	UBR1	2.3
43	YDR264C	AKR1	2.3
44	YFL009W	CDC4	2.3
45	YGL150C	INO80	2.2
46	YGR240C	PFK1	2.2
47	YKL064W	MNR2	2.2
48	YHR027C	RPN1	2.2
49	YIL109C	SEC24	2.2
50	YDL185W	VMA1	2.2
51	YGL195W	GCN1	2.2
52	YPR159W	KRE6	2.2
53	YGL139W	FLC3	2.2
54	YHR074W	QNS1	2.2
55	YGL178W	MPT5	2.2
56	YDR434W	GPI17	2.2
57	YDR422C	SIP1	2.2
58	YMR119W	ASI1	2.2
59	YLR403W	SFP1	2.2
60	YDL040C	NAT1	2.2
61	YPL057C	SUR1	2.2
62	YDR505C	PSP1	2.2
63	YMR304W	UBP15	2.2
64	YNR047W	FPK1	2.2
65	YBR162C	TOS1	2.2
66	YMR080C	NAM7	2.2
67	YOR209C	NPT1	2.2
68	YGR116W	SPT6	2.2
69	YOL081W	IRA2	2.2
70	YER017C	AFG3	2.2
71	YOR099W	KTR1	2.2
72	YLL019C	KNS1	2.2
73	YBR229C	ROT2	2.2
74	YBR023C	CHS3	2.2
75	YBL017C	PEP1	2.2
76	YIL005W	EPS1	2.2
77	YBL047C	EDE1	2.2
78	YJL002C	OST1	2.2
79	YAL016W	TPD3	2.2
80	YCR017C	CWH43	2.2
81	YDR062W	LCB2	2.2
82	YGR162W	TIF4631	2.2
83	YGL142C	GPI10	2.2
84	YGR157W	CHO2	2.1
85	YLR378C	SEC61	2.1
86	YNL189W	SRP1	2.1
87	YPR198W	SGE1	2.1
88	YHR073W	OSH3	2.1
89	YNL094W	APP1	2.1
90	YOR067C	ALG8	2.1
91	YKL176C	LST4	2.1
92	YOR256C	TRE2	2.1
93	YFL031W	HAC1	2.1
94	YML016C	PPZ1	2.1
95	YGL084C	GUP1	2.1
96	YBL076C	ILS1	2.1
97	YKL126W	YPK1	2.1
98	YIL031W	ULP2	2.1
99	YLR310C	CDC25	2.1
100	YGR270W	YTA7	2.1
101	YDL195W	SEC31	2.1
102	YLL048C	YBT1	2.1
103	YKL104C	GFA1	2.1
104	YKL010C	UFD4	2.1
105	YGL215W	CLG1	2.1
106	YHR190W	ERG9	2.1
107	YER008C	SEC3	2.1
108	YOR086C	TCB1	2.1
109	YOR035C	SHE4	2.1
110	YBR221C	PDB1	2.1
111	YFR051C	RET2	2.1
112	YKL175W	ZRT3	2.1
113	YDR504C	SPG3	2.1
114	YGL207W	SPT16	2.1
115	YDL015C	TSC13	2.1
116	YBL007C	SLA1	2.1
117	YDR372C	VPS74	2.1
118	YFL048C	EMP47	2.1
119	YDR349C	YPS7	2.1
120	YDR335W	MSN5	2.1
121	YLR347C	KAP95	2.1
122	YJL093C	TOK1	2.1
123	YDR457W	TOM1	2.1
124	YGL166W	CUP2	2.1
125	YOR197W	MCA1	2.1
126	YDR182W	CDC1	2.1
127	YDL116W	NUP84	2.1
128	YKL210W	UBA1	2.1
129	YOR151C	RPB2	2.1
130	YER155C	BEM2	2.1
131	YER105C	NUP157	2.1
132	YLR371W	ROM2	2.1
133	YDR389W	SAC7	2.1
134	YIL156W	UBP7	2.1
135	YOR270C	VPH1	2.1
136	YIL075C	RPN2	2.1
137	YOR321W	PMT3	2.1
138	YOR109W	INP53	2.1
139	YER144C	UBP5	2.1
140	YPL145C	KES1	2.1
141	YHR103W	SBE22	2.1
142	YLL015W	BPT1	2.1
143	YOL103W	ITR2	2.1
144	YCL057W	PRD1	2.1
145	YDL095W	PMT1	2.1
146	YGL252C	RTG2	2.1
147	YJR126C	VPS70	2.1
148	YDL160C	DHH1	2.1
149	YFR002W	NIC96	2.1
150	YFR009W	GCN20	2.1
151	YMR261C	TPS3	2.1
152	YHR206W	SKN7	2.1
153	YBR058C	UBP14	2.1
154	YER165W	PAB1	2.1
155	YNL167C	SKO1	2.1
156	YDL084W	SUB2	2.1
157	YPL259C	APM1	2.1
158	YIL129C	TAO3	2.1
159	YCR069W	CPR4	2.1
160	YNL219C	ALG9	2.1
161	YNL091W	NST1	2.1
162	YML048W	GSF2	2.1
163	YIR006C	PAN1	2.1
164	YDL234C	GYP7	2.1
165	YOR034C	AKR2	2.1
166	YFR040W	SAP155	2.1
167	YBR199W	KTR4	2.1
168	YBR080C	SEC18	2.1
169	YGR186W	TFG1	2.1
170	YGR295C	COS6	2.1
171	YIL125W	KGD1	2.1
172	YNR013C	PHO91	2.1
173	YGR143W	SKN1	2.1
174	YBR287W	YBR287W	2.0
175	YDL128W	VCX1	2.0
176	YCR067C	SED4	2.0
177	YGR216C	GPI1	2.0
178	YGL094C	PAN2	2.0
179	YJL039C	NUP192	2.0
180	YGL233W	SEC15	2.0
181	YBR212W	NGR1	2.0
