SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPT16

Rank	Gene	Common	Score
Q	YGL207W	SPT16	
1	YGL137W	SEC27	2.9
2	YHR027C	RPN1	2.9
3	YGL173C	XRN1	2.8
4	YML069W	POB3	2.8
5	YGL238W	CSE1	2.8
6	YNL085W	MKT1	2.7
7	YIL026C	IRR1	2.7
8	YGL195W	GCN1	2.7
9	YDL145C	COP1	2.7
10	YGR218W	CRM1	2.7
11	YDL103C	QRI1	2.7
12	YOR151C	RPB2	2.7
13	YDL040C	NAT1	2.6
14	YKR001C	VPS1	2.6
15	YMR012W	CLU1	2.6
16	YJL111W	CCT7	2.6
17	YOL049W	GSH2	2.6
18	YKL210W	UBA1	2.6
19	YLR398C	SKI2	2.6
20	YER155C	BEM2	2.6
21	YDR170C	SEC7	2.6
22	YIL137C	TMA108	2.6
23	YBR245C	ISW1	2.6
24	YCL057W	PRD1	2.5
25	YOL004W	SIN3	2.5
26	YNL287W	SEC21	2.5
27	YDL143W	CCT4	2.5
28	YPL160W	CDC60	2.5
29	YOL090W	MSH2	2.5
30	YDR407C	TRS120	2.5
31	YDR335W	MSN5	2.5
32	YGL245W	GUS1	2.5
33	YLL021W	SPA2	2.5
34	YGL105W	ARC1	2.5
35	YFL008W	SMC1	2.5
36	YJL080C	SCP160	2.5
37	YGL203C	KEX1	2.5
38	YBL022C	PIM1	2.5
39	YGR261C	APL6	2.5
40	YDL132W	CDC53	2.5
41	YDR211W	GCD6	2.5
42	YGR094W	VAS1	2.5
43	YDR212W	TCP1	2.4
44	YEL022W	GEA2	2.4
45	YGR199W	PMT6	2.4
46	YFR002W	NIC96	2.4
47	YAR007C	RFA1	2.4
48	YFR009W	GCN20	2.4
49	YGL201C	MCM6	2.4
50	YOR198C	BFR1	2.4
51	YMR078C	CTF18	2.4
52	YDL007W	RPT2	2.4
53	YGR162W	TIF4631	2.4
54	YHR073W	OSH3	2.4
55	YDR292C	SRP101	2.4
56	YOL145C	CTR9	2.4
57	YDL147W	RPN5	2.4
58	YNL189W	SRP1	2.4
59	YBL076C	ILS1	2.4
60	YML103C	NUP188	2.4
61	YDR028C	REG1	2.4
62	YDR507C	GIN4	2.4
63	YLR384C	IKI3	2.4
64	YBR073W	RDH54	2.4
65	YGL092W	NUP145	2.4
66	YDR238C	SEC26	2.4
67	YGR124W	ASN2	2.4
68	YJL014W	CCT3	2.4
69	YDL058W	USO1	2.4
70	YJL008C	CCT8	2.4
71	YNL059C	ARP5	2.4
72	YNL262W	POL2	2.4
73	YIL038C	NOT3	2.4
74	YGL027C	CWH41	2.4
75	YMR047C	NUP116	2.4
76	YPL243W	SRP68	2.4
77	YOR259C	RPT4	2.4
78	YJL041W	NSP1	2.4
79	YMR125W	STO1	2.4
80	YGR178C	PBP1	2.4
81	YGL151W	NUT1	2.4
82	YPR072W	NOT5	2.4
83	YKL112W	ABF1	2.4
84	YDR141C	DOP1	2.4
85	YML049C	RSE1	2.4
86	YOR239W	ABP140	2.4
87	YGL252C	RTG2	2.3
88	YNL121C	TOM70	2.3
89	YHL034C	SBP1	2.3
90	YOR326W	MYO2	2.3
91	YER122C	GLO3	2.3
92	YOR168W	GLN4	2.3
93	YHR117W	TOM71	2.3
94	YOR260W	GCD1	2.3
95	YHR064C	SSZ1	2.3
96	YMR076C	PDS5	2.3
97	YKR082W	NUP133	2.3
98	YGR186W	TFG1	2.3
99	YIL115C	NUP159	2.3
100	YJR064W	CCT5	2.3
101	YML074C	FPR3	2.3
102	YKR084C	HBS1	2.3
103	YMR109W	MYO5	2.3
104	YDR189W	SLY1	2.3
105	YDR097C	MSH6	2.3
106	YHR074W	QNS1	2.3
107	YNL273W	TOF1	2.3
108	YFR013W	IOC3	2.3
109	YGL206C	CHC1	2.3
110	YNL138W	SRV2	2.3
111	YGR270W	YTA7	2.3
112	YAL035W	FUN12	2.3
113	YER151C	UBP3	2.3
114	YOR117W	RPT5	2.3
115	YLR383W	SMC6	2.3
116	YDL126C	CDC48	2.3
117	YPR108W	RPN7	2.3
118	YLR429W	CRN1	2.3
119	YGL233W	SEC15	2.3
120	YBR121C	GRS1	2.3
121	YIL109C	SEC24	2.3
122	YMR237W	BCH1	2.3
123	YNL233W	BNI4	2.3
124	YOR165W	SEY1	2.3
125	YGR135W	PRE9	2.3
126	YLR330W	CHS5	2.3
127	YOR046C	DBP5	2.3
128	YDL164C	CDC9	2.3
129	YHR108W	GGA2	2.3
130	YEL031W	SPF1	2.3
131	YDL084W	SUB2	2.3
132	YER090W	TRP2	2.3
133	YKL145W	RPT1	2.3
134	YMR089C	YTA12	2.3
135	YLR335W	NUP2	2.3
136	YGL094C	PAN2	2.3
137	YIL126W	STH1	2.3
138	YOR361C	PRT1	2.3
139	YBR198C	TAF5	2.3
140	YGR116W	SPT6	2.3
141	YPL235W	RVB2	2.2
142	YDL116W	NUP84	2.2
143	YHR098C	SFB3	2.2
144	YER125W	RSP5	2.2
145	YGR231C	PHB2	2.2
146	YNL088W	TOP2	2.2
147	YGL022W	STT3	2.2
148	YOR323C	PRO2	2.2
149	YIL128W	MET18	2.2
150	YHR201C	PPX1	2.2
151	YER105C	NUP157	2.2
152	YIL075C	RPN2	2.2
153	YJR143C	PMT4	2.2
154	YJL074C	SMC3	2.2
155	YPL195W	APL5	2.2
156	YDR303C	RSC3	2.2
157	YPR135W	CTF4	2.2
158	YDR190C	RVB1	2.2
159	YGL112C	TAF6	2.2
160	YHR154W	RTT107	2.2
161	YJL002C	OST1	2.2
162	YGL048C	RPT6	2.2
163	YDL185W	VMA1	2.2
164	YIL142W	CCT2	2.2
165	YHR158C	KEL1	2.2
166	YBR229C	ROT2	2.2
167	YER048C	CAJ1	2.2
168	YKL054C	DEF1	2.2
169	YER031C	YPT31	2.2
170	YBR102C	EXO84	2.2
171	YFL048C	EMP47	2.2
172	YOR217W	RFC1	2.2
173	YDL102W	POL3	2.2
174	YNL054W	VAC7	2.2
175	YHR165C	PRP8	2.2
176	YBR276C	PPS1	2.2
177	YNL297C	MON2	2.2
