SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ADE57

Rank	Gene	Common	Score
Q	YGL234W	ADE57	
1	YGR061C	ADE6	3.7
2	YLR058C	SHM2	3.7
3	YLR359W	ADE13	3.7
4	YMR120C	ADE17	3.5
5	YAR015W	ADE1	3.3
6	YNL220W	ADE12	3.2
7	YMR300C	ADE4	3.1
8	YGR204W	ADE3	3.0
9	YLR432W	IMD3	2.9
10	YKL029C	MAE1	2.9
11	YPR010C	RPA135	2.9
12	YHR064C	SSZ1	2.9
13	YHR019C	DED81	2.9
14	YMR217W	GUA1	2.9
15	YLR249W	YEF3	2.8
16	YKR080W	MTD1	2.8
17	YHR025W	THR1	2.8
18	YOR128C	ADE2	2.8
19	YKL081W	TEF4	2.8
20	YCL030C	HIS4	2.8
21	YER086W	ILV1	2.8
22	YER165W	PAB1	2.8
23	YDL014W	NOP1	2.8
24	YGR264C	MES1	2.8
25	YBL039C	URA7	2.8
26	YOR335C	ALA1	2.7
27	YLR180W	SAM1	2.7
28	YER110C	KAP123	2.7
29	YJR070C	LIA1	2.7
30	YHL011C	PRS3	2.7
31	YPL226W	NEW1	2.7
32	YML056C	IMD4	2.7
33	YDR341C	YDR341C	2.7
34	YBL076C	ILS1	2.7
35	YGR094W	VAS1	2.7
36	YGL120C	PRP43	2.7
37	YHR208W	BAT1	2.7
38	YDR234W	LYS4	2.7
39	YOR310C	NOP58	2.7
40	YGL202W	ARO8	2.7
41	YER043C	SAH1	2.7
42	YDR399W	HPT1	2.7
43	YER055C	HIS1	2.7
44	YDR321W	ASP1	2.7
45	YGR159C	NSR1	2.7
46	YKL181W	PRS1	2.7
47	YPR074C	TKL1	2.7
48	YOR184W	SER1	2.7
49	YCR053W	THR4	2.6
50	YOR361C	PRT1	2.6
51	YNL112W	DBP2	2.6
52	YPR033C	HTS1	2.6
53	YJR016C	ILV3	2.6
54	YLR372W	ELO3	2.6
55	YLR175W	CBF5	2.6
56	YIL078W	THS1	2.6
57	YOL097C	WRS1	2.6
58	YPR110C	RPC40	2.6
59	YBR084W	MIS1	2.6
60	YOR133W	EFT1	2.6
61	YER056C	FCY2	2.6
62	YPL160W	CDC60	2.6
63	YOL061W	PRS5	2.6
64	YMR290C	HAS1	2.6
65	YFL022C	FRS2	2.6
66	YNL132W	KRE33	2.6
67	YDR091C	RLI1	2.6
68	YER006W	NUG1	2.6
69	YEL042W	GDA1	2.6
70	YHR170W	NMD3	2.6
71	YGR124W	ASN2	2.6
72	YOR272W	YTM1	2.6
73	YDR408C	ADE8	2.6
74	YNL248C	RPA49	2.6
75	YCR034W	ELO2	2.6
76	YGR162W	TIF4631	2.6
77	YOR271C	FSF1	2.6
78	YBR079C	RPG1	2.5
79	YKL191W	DPH2	2.5
80	YNL209W	SSB2	2.5
81	YPR163C	TIF3	2.5
82	YLR083C	EMP70	2.5
83	YER025W	GCD11	2.5
84	YIR012W	SQT1	2.5
85	YBR121C	GRS1	2.5
86	YBR249C	ARO4	2.5
87	YDR019C	GCV1	2.5
88	YMR049C	ERB1	2.5
89	YJR143C	PMT4	2.5
90	YHR128W	FUR1	2.5
91	YEL054C	RPL12A	2.5
92	YGR208W	SER2	2.5
93	YBR263W	SHM1	2.5
94	YGR123C	PPT1	2.5
95	YOR341W	RPA190	2.5
96	YBR031W	RPL4A	2.5
97	YBR187W	GDT1	2.5
98	YML022W	APT1	2.5
99	YDR101C	ARX1	2.5
100	YLR197W	NOP56	2.5
101	YGL078C	DBP3	2.5
102	YOR108W	LEU9	2.5
103	YNL096C	RPS7B	2.5
104	YGR214W	RPS0A	2.5
105	YGR103W	NOP7	2.5
106	YLR048W	RPS0B	2.5
107	YNL141W	AAH1	2.5
108	YGL148W	ARO2	2.5
109	YPL093W	NOG1	2.5
110	YGL008C	PMA1	2.5
111	YLR060W	FRS1	2.5
112	YBL024W	NCL1	2.5
113	YLR293C	GSP1	2.5
114	YGL186C	TPN1	2.5
115	YHR089C	GAR1	2.5
116	YLR196W	PWP1	2.5
117	YGR285C	ZUO1	2.5
118	YGL225W	VRG4	2.5
119	YHR068W	DYS1	2.5
120	YLR186W	EMG1	2.5
121	YEL026W	SNU13	2.5
122	YJL080C	SCP160	2.5
123	YHR216W	IMD2	2.5
124	YPL211W	NIP7	2.5
125	YOR243C	PUS7	2.5
126	YPL086C	ELP3	2.5
127	YER036C	ARB1	2.5
128	YLR409C	UTP21	2.5
129	YDR037W	KRS1	2.5
130	YGR175C	ERG1	2.5
131	YGL026C	TRP5	2.5
132	YMR229C	RRP5	2.5
133	YNL061W	NOP2	2.5
134	YER126C	NSA2	2.4
135	YHL033C	RPL8A	2.4
136	YGL099W	LSG1	2.4
137	YIR026C	YVH1	2.4
138	YDL051W	LHP1	2.4
139	YHR042W	NCP1	2.4
140	YHR197W	RIX1	2.4
141	YMR308C	PSE1	2.4
142	YOR168W	GLN4	2.4
143	YLR448W	RPL6B	2.4
144	YDL082W	RPL13A	2.4
145	YGR191W	HIP1	2.4
146	YOL077C	BRX1	2.4
147	YDR120C	TRM1	2.4
148	YGR200C	ELP2	2.4
149	YJL200C	ACO2	2.4
150	YLR172C	DPH5	2.4
151	YFL045C	SEC53	2.4
152	YOL120C	RPL18A	2.4
153	YIL133C	RPL16A	2.4
154	YJL190C	RPS22A	2.4
155	YAL023C	PMT2	2.4
