SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BRR6

Rank	Gene	Common	Score
Q	YGL247W	BRR6	
1	YGL243W	TAD1	2.8
2	YJL006C	CTK2	2.5
3	YAL033W	POP5	2.5
4	YPR094W	RDS3	2.4
5	YGR074W	SMD1	2.4
6	YIL003W	CFD1	2.4
7	YGL246C	RAI1	2.4
8	YLR275W	SMD2	2.4
9	YOR148C	SPP2	2.4
10	YJL035C	TAD2	2.4
11	YER183C	FAU1	2.4
12	YGR147C	NAT2	2.3
13	YGL050W	TYW3	2.3
14	YBR257W	POP4	2.3
15	YCR095C	OCA4	2.3
16	YBR091C	TIM12	2.3
17	YBR165W	UBS1	2.3
18	YLR007W	NSE1	2.3
19	YGR030C	POP6	2.3
20	YHR167W	THP2	2.3
21	YDR078C	SHU2	2.3
22	YJR136C	TTI2	2.3
23	YIL040W	APQ12	2.3
24	YMR059W	SEN15	2.3
25	YGR024C	THG1	2.3
26	YNL164C	IBD2	2.3
27	YOL146W	PSF3	2.3
28	YLR227C	ADY4	2.3
29	YHR187W	IKI1	2.3
30	YLL042C	ATG10	2.3
31	YIL008W	URM1	2.3
32	YDR195W	REF2	2.3
33	YJR097W	JJJ3	2.3
34	YAL059W	ECM1	2.3
35	YCR020C-A	MAK31	2.2
36	YBR210W	ERV15	2.2
37	YPR046W	MCM16	2.2
38	YIL004C	BET1	2.2
39	YML011C	RAD33	2.2
40	YIL027C	EMC5	2.2
41	YHR191C	CTF8	2.2
42	YOR115C	TRS33	2.2
43	YLR307W	CDA1	2.2
44	YJL011C	RPC17	2.2
45	YDR013W	PSF1	2.2
46	YPR017C	DSS4	2.2
47	YPR057W	BRR1	2.2
48	YLR242C	ARV1	2.2
49	YHR069C	RRP4	2.2
50	YBL018C	POP8	2.2
51	YFR001W	LOC1	2.2
52	YMR126C	DLT1	2.2
53	YGL070C	RPB9	2.2
54	YHR081W	LRP1	2.2
55	YPR101W	SNT309	2.2
56	YGR206W	MVB12	2.2
57	YKL058W	TOA2	2.2
58	YDR361C	BCP1	2.2
59	YNL232W	CSL4	2.2
60	YPL211W	NIP7	2.2
61	YDR302W	GPI11	2.2
62	YIR005W	IST3	2.2
63	YEL003W	GIM4	2.2
64	YGL220W	BOL2	2.2
65	YOR258W	HNT3	2.2
66	YJR067C	YAE1	2.2
67	YFL017W-A	SMX2	2.2
68	YGR120C	COG2	2.2
69	YDR075W	PPH3	2.2
70	YJL004C	SYS1	2.2
71	YPR056W	TFB4	2.2
72	YPL051W	ARL3	2.2
73	YDL200C	MGT1	2.1
74	YBR254C	TRS20	2.1
75	YDR121W	DPB4	2.1
76	YFR036W	CDC26	2.1
77	YNL222W	SSU72	2.1
78	YPL038W	MET31	2.1
79	YER168C	CCA1	2.1
80	YGL154C	LYS5	2.1
81	YER174C	GRX4	2.1
82	YPL047W	SGF11	2.1
83	YGR104C	SRB5	2.1
84	YKL125W	RRN3	2.1
85	YPL178W	CBC2	2.1
86	YBL057C	PTH2	2.1
87	YDL201W	TRM8	2.1
88	YOL010W	RCL1	2.1
89	YGL029W	CGR1	2.1
90	YGL020C	GET1	2.1
91	YOL001W	PHO80	2.1
92	YJR101W	RSM26	2.1
93	YDR167W	TAF10	2.1
94	YLR010C	TEN1	2.1
95	YOL142W	RRP40	2.1
96	YER180C	ISC10	2.1
97	YNL153C	GIM3	2.1
98	YDL111C	RRP42	2.1
99	YBR129C	OPY1	2.1
100	YOR253W	NAT5	2.1
101	YDR280W	RRP45	2.1
102	YPL148C	PPT2	2.1
103	YFL001W	DEG1	2.1
104	YGL144C	ROG1	2.1
105	YNR024W	MPP6	2.1
106	YGR262C	BUD32	2.1
107	YDR045C	RPC11	2.1
108	YGR275W	RTT102	2.1
109	YMR138W	CIN4	2.1
110	YNL286W	CUS2	2.1
111	YJR055W	HIT1	2.1
112	YGR095C	RRP46	2.1
113	YNL075W	IMP4	2.1
114	YGL080W	MPC1	2.1
115	YER146W	LSM5	2.1
116	YPR060C	ARO7	2.1
117	YPR082C	DIB1	2.1
118	YDR051C	DET1	2.1
119	YDR410C	STE14	2.1
120	YOR213C	SAS5	2.1
121	YIL020C	HIS6	2.1
122	YHR196W	UTP9	2.1
123	YGL210W	YPT32	2.1
124	YER046W	SPO73	2.1
125	YBR175W	SWD3	2.1
126	YDR087C	RRP1	2.1
127	YIL085C	KTR7	2.1
128	YHR143W-A	RPC10	2.0
129	YMR127C	SAS2	2.0
130	YLR016C	PML1	2.0
131	YPL052W	OAZ1	2.0
132	YOR004W	UTP23	2.0
133	YKL144C	RPC25	2.0
134	YJR057W	CDC8	2.0
135	YDR373W	FRQ1	2.0
136	YKL122C	SRP21	2.0
137	YMR061W	RNA14	2.0
138	YPR051W	MAK3	2.0
139	YMR060C	SAM37	2.0
140	YOR064C	YNG1	2.0
141	YLR022C	SDO1	2.0
142	YPL069C	BTS1	2.0
143	YHR085W	IPI1	2.0
144	YBR211C	AME1	2.0
145	YNL038W	GPI15	2.0
146	YLR147C	SMD3	2.0
147	YBR278W	DPB3	2.0
148	YNL119W	NCS2	2.0
149	YER099C	PRS2	2.0
150	YER092W	IES5	2.0
151	YDL166C	FAP7	2.0
152	YOR174W	MED4	2.0
153	YDR288W	NSE3	2.0
154	YDR228C	PCF11	2.0
155	YGL002W	ERP6	2.0
156	YMR112C	MED11	2.0
157	YGR105W	VMA21	2.0
158	YML041C	VPS71	2.0
159	YNL149C	PGA2	2.0
160	YDR201W	SPC19	2.0
161	YDL001W	RMD1	2.0
162	YIR011C	STS1	2.0
163	YDR139C	RUB1	2.0
164	YOL044W	PEX15	2.0
165	YDR240C	SNU56	2.0
166	YJL179W	PFD1	2.0
167	YKL099C	UTP11	2.0
168	YFL028C	CAF16	2.0
169	YDR449C	UTP6	2.0
170	YLL049W	LDB18	2.0
171	YPL144W	POC4	2.0
172	YPR048W	TAH18	2.0
173	YKL006C-A	SFT1	2.0
174	YPR176C	BET2	2.0
175	YCR020C	PET18	2.0
176	YDL235C	YPD1	2.0
177	YER171W	RAD3	2.0
178	YML077W	BET5	2.0
179	YBL021C	HAP3	2.0
180	YKR060W	UTP30	2.0
181	YCR060W	TAH1	2.0
182	YLR165C	PUS5	2.0
183	YDR339C	FCF1	2.0
184	YHR090C	YNG2	2.0
185	YBR104W	YMC2	2.0
186	YLR215C	CDC123	2.0
187	YHR052W	CIC1	2.0
188	YER019C-A	SBH2	2.0
189	YBR217W	ATG12	2.0
190	YOR095C	RKI1	2.0
191	YGR063C	SPT4	2.0
192	YDR459C	PFA5	2.0
193	YER147C	SCC4	2.0
194	YOR252W	TMA16	2.0
195	YMR180C	CTL1	2.0
196	YJR135C	MCM22	2.0
197	YBR252W	DUT1	2.0
198	YNL107W	YAF9	2.0
199	YDL175C	AIR2	2.0
200	YPL244C	HUT1	2.0
201	YOL080C	REX4	2.0
202	YPL138C	SPP1	2.0
203	YJR063W	RPA12	2.0
204	YHR144C	DCD1	2.0
205	YER126C	NSA2	2.0
206	YHR148W	IMP3	2.0
207	YNL113W	RPC19	2.0
208	YFR043C	IRC6	2.0
209	YDL165W	CDC36	2.0
210	YOR265W	RBL2	2.0
211	YJR082C	EAF6	2.0
212	YLR146C	SPE4	2.0
213	YGL091C	NBP35	2.0
214	YML097C	VPS9	2.0
215	YOL102C	TPT1	2.0
216	YNL314W	DAL82	2.0
217	YBR167C	POP7	2.0
218	YMR233W	TRI1	2.0
219	YER173W	RAD24	2.0
220	YEL018W	EAF5	2.0
221	YOR078W	BUD21	2.0
222	YMR292W	GOT1	2.0
223	YOR079C	ATX2	2.0
224	YDR004W	RAD57	2.0
225	YDR021W	FAL1	2.0
226	YDR397C	NCB2	2.0
227	YDL069C	CBS1	2.0
228	YDL108W	KIN28	2.0
229	YDR460W	TFB3	2.0
230	YDL030W	PRP9	2.0
231	YKL009W	MRT4	2.0
232	YLR068W	FYV7	2.0
233	YCR035C	RRP43	2.0
234	YLL011W	SOF1	2.0
235	YEL029C	BUD16	2.0
236	YKR068C	BET3	2.0
237	YGR004W	PEX31	2.0
238	YDR478W	SNM1	2.0
239	YBR061C	TRM7	2.0
240	YNL006W	LST8	2.0
241	YOL115W	PAP2	2.0
242	YDR378C	LSM6	2.0
243	YGL044C	RNA15	2.0
244	YOR159C	SME1	2.0
245	YOR143C	THI80	1.9
246	YJL072C	PSF2	1.9
247	YJR058C	APS2	1.9
248	YNL326C	PFA3	1.9
249	YHR170W	NMD3	1.9
250	YGR072W	UPF3	1.9
251	YOR279C	RFM1	1.9
252	YMR077C	VPS20	1.9
253	YBR258C	SHG1	1.9
254	YJL184W	GON7	1.9
255	YHR157W	REC104	1.9
256	YHR036W	BRL1	1.9
257	YIL110W	HPM1	1.9
258	YLR435W	TSR2	1.9
259	YBR282W	MRPL27	1.9
260	YHR181W	SVP26	1.9
261	YHR201C	PPX1	1.9
262	YGR271C-A	EFG1	1.9
263	YKL040C	NFU1	1.9
264	YML107C	PML39	1.9
265	YOR297C	TIM18	1.9
266	YBR188C	NTC20	1.9
267	YDR235W	PRP42	1.9
268	YDR152W	GIR2	1.9
269	YKL119C	VPH2	1.9
270	YMR132C	JLP2	1.9
271	YGR081C	SLX9	1.9
272	YPR025C	CCL1	1.9
273	YJR024C	MDE1	1.9
274	YIL103W	DPH1	1.9
275	YIL079C	AIR1	1.9
276	YCL059C	KRR1	1.9
277	YML094W	GIM5	1.9
278	YGR057C	LST7	1.9
279	YGR230W	BNS1	1.9
280	YPL149W	ATG5	1.9
281	YKR038C	KAE1	1.9
282	YPL112C	PEX25	1.9
283	YDR079W	PET100	1.9
284	YOR210W	RPB10	1.9
285	YKL110C	KTI12	1.9
286	YOR094W	ARF3	1.9
287	YLR145W	RMP1	1.9
288	YIL016W	SNL1	1.9
289	YMR065W	KAR5	1.9
290	YGR216C	GPI1	1.9
291	YFL046W	FMP32	1.9
292	YBR264C	YPT10	1.9
293	YBR164C	ARL1	1.9
294	YGR158C	MTR3	1.9
295	YGR276C	RNH70	1.9
296	YPL011C	TAF3	1.9
297	YOR106W	VAM3	1.9
298	YGL224C	SDT1	1.9
299	YMR264W	CUE1	1.9
300	YPR182W	SMX3	1.9
301	YGR029W	ERV1	1.9
302	YMR040W	YET2	1.9
303	YDL092W	SRP14	1.9
304	YCL005W	LDB16	1.9
305	YPR188C	MLC2	1.9
306	YLR105C	SEN2	1.9
307	YHR088W	RPF1	1.9
308	YGL145W	TIP20	1.9
309	YLR221C	RSA3	1.9
310	YGL213C	SKI8	1.9
311	YGL112C	TAF6	1.9
312	YKL186C	MTR2	1.9
313	YBR253W	SRB6	1.9
314	YML080W	DUS1	1.9
315	YMR071C	TVP18	1.9
316	YBL068W	PRS4	1.9
317	YPL213W	LEA1	1.9
318	YBR057C	MUM2	1.9
319	YNL244C	SUI1	1.9
320	YDR399W	HPT1	1.9
321	YOL139C	CDC33	1.9
322	YFR042W	KEG1	1.9
323	YOR196C	LIP5	1.9
324	YBR293W	VBA2	1.9
325	YDR496C	PUF6	1.9
326	YNL206C	RTT106	1.9
327	YJL023C	PET130	1.9
328	YJL090C	DPB11	1.9
329	YLR405W	DUS4	1.9
330	YJL125C	GCD14	1.9
331	YNL259C	ATX1	1.9
332	YIL104C	SHQ1	1.9
333	YGR187C	HGH1	1.9
334	YDL231C	BRE4	1.9
335	YPL125W	KAP120	1.9
336	YPR143W	RRP15	1.9
337	YGL166W	CUP2	1.9
338	YKR025W	RPC37	1.9
339	YGL223C	COG1	1.9
340	YMR150C	IMP1	1.9
341	YER002W	NOP16	1.9
342	YFL027C	GYP8	1.9
343	YDR173C	ARG82	1.9
344	YOL137W	BSC6	1.9
345	YNR020C	ATP23	1.9
346	YBR268W	MRPL37	1.9
347	YBL054W	TOD6	1.9
348	YJR102C	VPS25	1.9
349	YKR030W	GMH1	1.9
350	YPL001W	HAT1	1.9
351	YBR270C	BIT2	1.9
352	YDR414C	ERD1	1.9
353	YIR012W	SQT1	1.9
354	YNL275W	BOR1	1.9
355	YMR212C	EFR3	1.9
356	YNR049C	MSO1	1.9
357	YDL098C	SNU23	1.9
358	YMR073C	IRC21	1.9
359	YBR153W	RIB7	1.9
360	YHL013C	OTU2	1.9
361	YGR220C	MRPL9	1.9
362	YLR316C	TAD3	1.9
363	YDR332W	IRC3	1.9
364	YKR024C	DBP7	1.9
365	YGL221C	NIF3	1.9
366	YLR298C	YHC1	1.9
367	YDR419W	RAD30	1.9
368	YPL254W	HFI1	1.9
369	YDR066C	RTR2	1.9
370	YLR200W	YKE2	1.9
371	YER007W	PAC2	1.9
372	YPR009W	SUT2	1.9
373	YIL049W	DFG10	1.9
374	YIR021W	MRS1	1.9
375	YIL009C-A	EST3	1.9
376	YBL060W	YEL1	1.9
377	YOR276W	CAF20	1.9
378	YGL211W	NCS6	1.9
379	YPR187W	RPO26	1.9
380	YOR044W	IRC23	1.9
381	YLR292C	SEC72	1.9
382	YKL149C	DBR1	1.9
383	YDR083W	RRP8	1.9
384	YMR123W	PKR1	1.9
385	YBR163W	EXO5	1.9
386	YDR519W	FPR2	1.9
387	YNL316C	PHA2	1.9
388	YLR003C	CMS1	1.9
389	YBR162W-A	YSY6	1.9
390	YGR128C	UTP8	1.9
391	YDL208W	NHP2	1.9
392	YIR026C	YVH1	1.9
393	YDR165W	TRM82	1.9
394	YNL147W	LSM7	1.9
395	YCL055W	KAR4	1.9
396	YDL219W	DTD1	1.9
397	YFR048W	RMD8	1.9
398	YBL093C	ROX3	1.9
399	YHL014C	YLF2	1.9
400	YOL149W	DCP1	1.9
401	YGR263C	SAY1	1.9
402	YLR009W	RLP24	1.9
403	YKR085C	MRPL20	1.9
404	YMR270C	RRN9	1.9
405	YDR364C	CDC40	1.9
406	YHR066W	SSF1	1.9
407	YDR140W	MTQ2	1.9
408	YDR390C	UBA2	1.9
