SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: UFD1

Rank	Gene	Common	Score
Q	YGR048W	UFD1	
1	YDR394W	RPT3	3.5
2	YDL007W	RPT2	3.5
3	YGL048C	RPT6	3.4
4	YOR117W	RPT5	3.4
5	YER143W	DDI1	3.3
6	YFR004W	RPN11	3.3
7	YBR170C	NPL4	3.3
8	YFR050C	PRE4	3.3
9	YOR362C	PRE10	3.3
10	YFR052W	RPN12	3.3
11	YDL097C	RPN6	3.3
12	YER142C	MAG1	3.3
13	YGL011C	SCL1	3.2
14	YFR003C	YPI1	3.2
15	YJL036W	SNX4	3.2
16	YOR157C	PUP1	3.2
17	YBL058W	SHP1	3.2
18	YKL145W	RPT1	3.1
19	YFR010W	UBP6	3.1
20	YPR108W	RPN7	3.1
21	YMR314W	PRE5	3.1
22	YBL041W	PRE7	3.1
23	YER012W	PRE1	3.1
24	YER021W	RPN3	3.1
25	YGR253C	PUP2	3.1
26	YOR259C	RPT4	3.1
27	YGL091C	NBP35	3.0
28	YPR103W	PRE2	3.0
29	YDL147W	RPN5	3.0
30	YLR387C	REH1	3.0
31	YML007W	YAP1	3.0
32	YML092C	PRE8	2.9
33	YOL038W	PRE6	2.9
34	YMR067C	UBX4	2.9
35	YOR261C	RPN8	2.9
36	YJL001W	PRE3	2.9
37	YHR200W	RPN10	2.9
38	YMR004W	MVP1	2.9
39	YER094C	PUP3	2.8
40	YBL078C	ATG8	2.8
41	YBR173C	UMP1	2.8
42	YGL047W	ALG13	2.8
43	YGR231C	PHB2	2.8
44	YML032C	RAD52	2.8
45	YDR330W	UBX5	2.8
46	YNL156C	NSG2	2.7
47	YGR135W	PRE9	2.7
48	YKL142W	MRP8	2.7
49	YJL155C	FBP26	2.7
50	YDR171W	HSP42	2.7
51	YDR358W	GGA1	2.7
52	YDR003W	RCR2	2.7
53	YDR059C	UBC5	2.7
54	YOR036W	PEP12	2.7
55	YGL073W	HSF1	2.7
56	YEL012W	UBC8	2.7
57	YJL031C	BET4	2.7
58	YGR080W	TWF1	2.7
59	YDR427W	RPN9	2.7
60	YIL075C	RPN2	2.7
61	YMR311C	GLC8	2.6
62	YNR007C	ATG3	2.6
63	YMR197C	VTI1	2.6
64	YOR007C	SGT2	2.6
65	YOR023C	AHC1	2.6
66	YOR052C	TMC1	2.6
67	YKL065C	YET1	2.6
68	YHR104W	GRE3	2.6
69	YLR421C	RPN13	2.6
70	YPR107C	YTH1	2.6
71	YGL037C	PNC1	2.6
72	YBR169C	SSE2	2.6
73	YLL026W	HSP104	2.6
74	YGL181W	GTS1	2.6
75	YHR027C	RPN1	2.6
76	YHL030W	ECM29	2.6
77	YGL141W	HUL5	2.6
78	YDL115C	IWR1	2.6
79	YDR001C	NTH1	2.6
80	YOL151W	GRE2	2.6
81	YLL039C	UBI4	2.6
82	YDL020C	RPN4	2.6
83	YJL057C	IKS1	2.6
84	YHR012W	VPS29	2.6
85	YGR223C	HSV2	2.6
86	YMR152W	YIM1	2.6
87	YGR258C	RAD2	2.6
88	YMR139W	RIM11	2.6
89	YDR258C	HSP78	2.6
90	YGL180W	ATG1	2.6
91	YBL050W	SEC17	2.6
92	YDL132W	CDC53	2.6
93	YIL107C	PFK26	2.6
94	YDL169C	UGX2	2.6
95	YOR042W	CUE5	2.6
96	YDR231C	COX20	2.5
97	YBL064C	PRX1	2.5
98	YML004C	GLO1	2.5
99	YBR269C	SDH8	2.5
100	YPL123C	RNY1	2.5
101	YGR008C	STF2	2.5
102	YGR132C	PHB1	2.5
103	YIR025W	MND2	2.5
104	YHR016C	YSC84	2.5
105	YDL126C	CDC48	2.5
106	YLR270W	DCS1	2.5
107	YJL066C	MPM1	2.5
108	YKL007W	CAP1	2.5
109	YEL060C	PRB1	2.5
110	YER004W	FMP52	2.5
111	YFL029C	CAK1	2.5
112	YKR014C	YPT52	2.5
113	YDR513W	GRX2	2.5
114	YGR019W	UGA1	2.5
115	YBR273C	UBX7	2.5
116	YDR204W	COQ4	2.5
117	YCR036W	RBK1	2.5
118	YCL052C	PBN1	2.5
119	YOL071W	SDH5	2.5
120	YNL265C	IST1	2.5
121	YLR216C	CPR6	2.5
122	YDL110C	TMA17	2.5
123	YGR136W	LSB1	2.5
124	YDR486C	VPS60	2.5
125	YPR178W	PRP4	2.5
126	YDR202C	RAV2	2.5
127	YDL072C	YET3	2.5
128	YKL117W	SBA1	2.5
129	YIL097W	FYV10	2.5
130	YJL164C	TPK1	2.5
131	YPL196W	OXR1	2.5
132	YDR122W	KIN1	2.5
133	YKL195W	MIA40	2.5
134	YKL193C	SDS22	2.4
135	YCL057W	PRD1	2.4
136	YDL168W	SFA1	2.4
137	YKL213C	DOA1	2.4
138	YHL002W	HSE1	2.4
139	YGR028W	MSP1	2.4
140	YOR059C	LPL1	2.4
141	YPL203W	TPK2	2.4
142	YOL082W	ATG19	2.4
143	YMR100W	MUB1	2.4
144	YGL227W	VID30	2.4
145	YOR245C	DGA1	2.4
146	YKR011C	FPT1	2.4
147	YMR110C	HFD1	2.4
148	YJL053W	PEP8	2.4
