SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RRP46

Rank	Gene	Common	Score
Q	YGR095C	RRP46	
1	YGR158C	MTR3	3.5
2	YER126C	NSA2	3.5
3	YNL002C	RLP7	3.4
4	YKL009W	MRT4	3.4
5	YIR012W	SQT1	3.4
6	YOR294W	RRS1	3.4
7	YHR148W	IMP3	3.4
8	YOR004W	UTP23	3.4
9	YNL075W	IMP4	3.4
10	YLR009W	RLP24	3.3
11	YPL211W	NIP7	3.3
12	YJL122W	ALB1	3.3
13	YHR088W	RPF1	3.3
14	YGR128C	UTP8	3.3
15	YNL113W	RPC19	3.3
16	YHR066W	SSF1	3.3
17	YNL110C	NOP15	3.3
18	YHR069C	RRP4	3.3
19	YNL248C	RPA49	3.3
20	YAL059W	ECM1	3.3
21	YOR145C	PNO1	3.3
22	YOL080C	REX4	3.3
23	YBR061C	TRM7	3.3
24	YLR074C	BUD20	3.3
25	YOL077C	BRX1	3.3
26	YHR170W	NMD3	3.3
27	YDR083W	RRP8	3.3
28	YGR195W	SKI6	3.3
29	YCL059C	KRR1	3.3
30	YHR052W	CIC1	3.3
31	YHR169W	DBP8	3.2
32	YLR435W	TSR2	3.2
33	YDL208W	NHP2	3.2
34	YIR026C	YVH1	3.2
35	YER127W	LCP5	3.2
36	YBR247C	ENP1	3.2
37	YDR465C	RMT2	3.2
38	YJR063W	RPA12	3.2
39	YGL029W	CGR1	3.2
40	YBR154C	RPB5	3.2
41	YKR081C	RPF2	3.2
42	YGR103W	NOP7	3.2
43	YLR186W	EMG1	3.2
44	YGR159C	NSR1	3.2
45	YKL172W	EBP2	3.2
46	YDL201W	TRM8	3.2
47	YJL069C	UTP18	3.2
48	YGL171W	ROK1	3.2
49	YPR110C	RPC40	3.2
50	YDR021W	FAL1	3.2
51	YDR361C	BCP1	3.2
52	YJL148W	RPA34	3.2
53	YGR145W	ENP2	3.2
54	YGR187C	HGH1	3.2
55	YDR101C	ARX1	3.2
56	YER006W	NUG1	3.2
57	YDR087C	RRP1	3.2
58	YDR339C	FCF1	3.2
59	YGL111W	NSA1	3.1
60	YPL266W	DIM1	3.1
61	YGL078C	DBP3	3.1
62	YLR276C	DBP9	3.1
63	YLR221C	RSA3	3.1
64	YKL021C	MAK11	3.1
65	YDR184C	ATC1	3.1
66	YKL099C	UTP11	3.1
67	YBR155W	CNS1	3.1
68	YHR065C	RRP3	3.1
69	YJL125C	GCD14	3.1
70	YKR025W	RPC37	3.1
71	YMR239C	RNT1	3.1
72	YGR280C	PXR1	3.1
73	YOR272W	YTM1	3.1
74	YLL011W	SOF1	3.1
75	YDL051W	LHP1	3.1
76	YAL025C	MAK16	3.1
77	YNR003C	RPC34	3.1
78	YOL124C	TRM11	3.1
79	YDR449C	UTP6	3.1
80	YNL182C	IPI3	3.1
81	YOL041C	NOP12	3.1
82	YKL110C	KTI12	3.1
83	YBL068W	PRS4	3.1
84	YGL120C	PRP43	3.1
85	YOR252W	TMA16	3.1
86	YDR496C	PUF6	3.1
87	YLR003C	CMS1	3.1
88	YDL153C	SAS10	3.1
89	YML080W	DUS1	3.1
90	YLR051C	FCF2	3.1
91	YOR340C	RPA43	3.1
92	YIL019W	FAF1	3.1
93	YHR085W	IPI1	3.1
94	YPR144C	NOC4	3.1
95	YHR196W	UTP9	3.1
96	YLR196W	PWP1	3.0
97	YNL232W	CSL4	3.0
98	YDL111C	RRP42	3.0
99	YMR131C	RRB1	3.0
100	YER002W	NOP16	3.0
101	YMR093W	UTP15	3.0
102	YNR054C	ESF2	3.0
103	YNL141W	AAH1	3.0
104	YLR068W	FYV7	3.0
105	YOR078W	BUD21	3.0
106	YJR002W	MPP10	3.0
107	YKL078W	DHR2	3.0
108	YDR280W	RRP45	3.0
109	YIL103W	DPH1	3.0
110	YDL166C	FAP7	3.0
111	YHR143W-A	RPC10	3.0
112	YOR056C	NOB1	3.0
113	YKL144C	RPC25	3.0
114	YBR034C	HMT1	3.0
115	YDR398W	UTP5	3.0
116	YER082C	UTP7	3.0
117	YIL110W	HPM1	3.0
118	YGR245C	SDA1	3.0
119	YOL142W	RRP40	3.0
120	YNL062C	GCD10	3.0
121	YOR210W	RPB10	3.0
122	YNL061W	NOP2	3.0
123	YAL036C	RBG1	3.0
124	YKR056W	TRM2	3.0
125	YNL151C	RPC31	3.0
126	YLR002C	NOC3	3.0
127	YMR290C	HAS1	3.0
128	YNL175C	NOP13	3.0
129	YJL033W	HCA4	3.0
130	YHL011C	PRS3	3.0
131	YNL308C	KRI1	3.0
132	YGL099W	LSG1	3.0
133	YDR299W	BFR2	3.0
134	YHR197W	RIX1	3.0
135	YBR267W	REI1	3.0
136	YCL054W	SPB1	3.0
137	YPL093W	NOG1	3.0
138	YPL043W	NOP4	3.0
139	YFR001W	LOC1	3.0
140	YDR412W	RRP17	3.0
141	YGR173W	RBG2	3.0
142	YPL086C	ELP3	2.9
143	YNR053C	NOG2	2.9
144	YDR152W	GIR2	2.9
145	YGL070C	RPB9	2.9
146	YDR045C	RPC11	2.9
147	YKL143W	LTV1	2.9
148	YDR120C	TRM1	2.9
149	YOR206W	NOC2	2.9
150	YCR047C	BUD23	2.9
151	YMR014W	BUD22	2.9
152	YDL213C	NOP6	2.9
153	YPR112C	MRD1	2.9
154	YGR271C-A	EFG1	2.9
155	YMR049C	ERB1	2.9
156	YDL150W	RPC53	2.9
157	YNR046W	TRM112	2.9
158	YGL169W	SUA5	2.9
159	YCR057C	PWP2	2.9
160	YDL060W	TSR1	2.9
161	YHR062C	RPP1	2.9
162	YOR224C	RPB8	2.9
163	YNL112W	DBP2	2.9
164	YNL119W	NCS2	2.9
165	YOL010W	RCL1	2.9
166	YNR024W	MPP6	2.9
167	YKR024C	DBP7	2.9
168	YPL239W	YAR1	2.9
169	YGR081C	SLX9	2.9
170	YGR200C	ELP2	2.9
171	YLR222C	UTP13	2.9
172	YPL126W	NAN1	2.9
173	YDR165W	TRM82	2.9
174	YPR143W	RRP15	2.9
175	YJL011C	RPC17	2.9
176	YML093W	UTP14	2.9
177	YDR324C	UTP4	2.9
178	YKR026C	GCN3	2.9
179	YEL026W	SNU13	2.9
180	YOL144W	NOP8	2.9
181	YIL079C	AIR1	2.9
182	YDR429C	TIF35	2.9
183	YDR121W	DPB4	2.9
184	YJR070C	LIA1	2.9
185	YLR017W	MEU1	2.9
186	YLR409C	UTP21	2.9
187	YBR142W	MAK5	2.9
188	YOR095C	RKI1	2.9
189	YMR269W	TMA23	2.9
190	YLL034C	RIX7	2.9
191	YNR012W	URK1	2.8
192	YDL031W	DBP10	2.8
193	YCR072C	RSA4	2.8
194	YLL008W	DRS1	2.8
195	YGL246C	RAI1	2.8
196	YPL012W	RRP12	2.8
197	YNL255C	GIS2	2.8
198	YJL010C	NOP9	2.8
199	YPR060C	ARO7	2.8
200	YBL039C	URA7	2.8
201	YPR190C	RPC82	2.8
202	YLR129W	DIP2	2.8
203	YPR137W	RRP9	2.8
204	YOR001W	RRP6	2.8
205	YKR060W	UTP30	2.8
206	YIL104C	SHQ1	2.8
207	YOR243C	PUS7	2.8
208	YOL093W	TRM10	2.8
209	YJL208C	NUC1	2.8
210	YNR038W	DBP6	2.8
211	YGR123C	PPT1	2.8
212	YLR397C	AFG2	2.8
213	YKL181W	PRS1	2.8
214	YPR187W	RPO26	2.8
215	YDR312W	SSF2	2.8
216	YHR081W	LRP1	2.8
217	YPL146C	NOP53	2.8
218	YIL020C	HIS6	2.8
219	YNL207W	RIO2	2.8
220	YML094W	GIM5	2.7
221	YHR089C	GAR1	2.7
222	YNL132W	KRE33	2.7
223	YLR175W	CBF5	2.7
224	YKL082C	RRP14	2.7
225	YLR146C	SPE4	2.7
226	YPR169W	JIP5	2.7
227	YNL164C	IBD2	2.7
228	YOR101W	RAS1	2.7
229	YNL163C	RIA1	2.7
230	YJL050W	MTR4	2.7
231	YDR060W	MAK21	2.7
232	YDL148C	NOP14	2.7
233	YIL008W	URM1	2.7
234	YFL001W	DEG1	2.7
235	YDR399W	HPT1	2.7
236	YNL292W	PUS4	2.7
237	YER049W	TPA1	2.7
238	YCL031C	RRP7	2.7
239	YBL024W	NCL1	2.7
240	YPL183C	RTT10	2.7
241	YML113W	DAT1	2.7
242	YOL097C	WRS1	2.7
243	YHL013C	OTU2	2.7
244	YHR040W	BCD1	2.7
245	YPR010C	RPA135	2.7
246	YLR449W	FPR4	2.7
247	YOR310C	NOP58	2.7
248	YFL002C	SPB4	2.7
249	YLR336C	SGD1	2.7
250	YDL014W	NOP1	2.7
251	YDL167C	NRP1	2.7
252	YML014W	TRM9	2.7
253	YDR075W	PPH3	2.7
254	YBR002C	RER2	2.7
255	YPL212C	PUS1	2.7
256	YNR015W	SMM1	2.7
257	YPL217C	BMS1	2.6
258	YMR146C	TIF34	2.6
259	YNL096C	RPS7B	2.6
260	YOL125W	TRM13	2.6
261	YOR091W	TMA46	2.6
262	YDR190C	RVB1	2.6
263	YJR097W	JJJ3	2.6
264	YML125C	PGA3	2.6
265	YLR022C	SDO1	2.6
266	YKL191W	DPH2	2.6
267	YJR041C	URB2	2.6
268	YNL153C	GIM3	2.6
269	YPL237W	SUI3	2.6
270	YMR128W	ECM16	2.6
271	YLR197W	NOP56	2.6
272	YMR229C	RRP5	2.6
273	YLL035W	GRC3	2.6
274	YLR172C	DPH5	2.6
275	YBL054W	TOD6	2.6
276	YOL061W	PRS5	2.6
277	YBR104W	YMC2	2.6
278	YPR041W	TIF5	2.6
279	YNL299W	TRF5	2.6
280	YOR207C	RET1	2.6
281	YGR262C	BUD32	2.6
282	YER036C	ARB1	2.6
283	YPL226W	NEW1	2.6
284	YLR215C	CDC123	2.6
285	YJR072C	NPA3	2.6
286	YPR163C	TIF3	2.6
287	YGR083C	GCD2	2.6
288	YNL124W	NAF1	2.6
289	YKR092C	SRP40	2.6
290	YLR401C	DUS3	2.6
291	YHR070W	TRM5	2.6
292	YAL033W	POP5	2.6
293	YJL198W	PHO90	2.6
294	YNL001W	DOM34	2.6
