SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CLD1

Rank	Gene	Common	Score
Q	YGR110W	CLD1	
1	YFL030W	AGX1	2.4
2	YGL156W	AMS1	2.4
3	YDL169C	UGX2	2.3
4	YGR043C	NQM1	2.3
5	YDR059C	UBC5	2.3
6	YHR096C	HXT5	2.3
7	YNR007C	ATG3	2.2
8	YOL084W	PHM7	2.2
9	YLR267W	BOP2	2.2
10	YBR269C	SDH8	2.2
11	YOL083W	ATG34	2.2
12	YPR151C	SUE1	2.2
13	YMR107W	SPG4	2.2
14	YML054C	CYB2	2.1
15	YLR356W	ATG33	2.1
16	YLR149C	GID11	2.1
17	YIL155C	GUT2	2.1
18	YML042W	CAT2	2.1
19	YOR173W	DCS2	2.1
20	YGL059W	PKP2	2.1
21	YPL222W	FMP40	2.1
22	YML128C	MSC1	2.1
23	YBL078C	ATG8	2.1
24	YJL103C	GSM1	2.1
25	YIL101C	XBP1	2.1
26	YKR046C	PLN1	2.1
27	YPR026W	ATH1	2.1
28	YHR138C	YHR138C	2.1
29	YDL199C	YDL199C	2.1
30	YJL155C	FBP26	2.1
31	YJR008W	MHO1	2.0
32	YNR002C	ATO2	2.0
33	YBR230C	OM14	2.0
34	YLL019C	KNS1	2.0
35	YBL049W	MOH1	2.0
36	YBR046C	ZTA1	2.0
37	YMR191W	SPG5	2.0
38	YEL060C	PRB1	2.0
39	YBR169C	SSE2	2.0
40	YGL180W	ATG1	2.0
41	YKR076W	ECM4	2.0
42	YNL237W	YTP1	2.0
43	YBR147W	RTC2	2.0
44	YLR270W	DCS1	2.0
45	YLR307W	CDA1	2.0
46	YBL064C	PRX1	2.0
47	YDL054C	MCH1	2.0
48	YMR110C	HFD1	2.0
49	YEL012W	UBC8	2.0
50	YLR174W	IDP2	2.0
51	YER024W	YAT2	2.0
52	YOR100C	CRC1	2.0
53	YIL136W	OM45	2.0
54	YOR220W	RCN2	2.0
55	YLR312C	ATG39	2.0
56	YDL234C	GYP7	2.0
57	YHR171W	ATG7	2.0
58	YDL085W	NDE2	2.0
59	YBR280C	SAF1	2.0
60	YDR070C	FMP16	2.0
61	YMR174C	PAI3	2.0
62	YLR327C	TMA10	2.0
63	YNL305C	BXI1	2.0
64	YLR142W	PUT1	2.0
65	YMR302C	YME2	2.0
66	YGL121C	GPG1	2.0
67	YJL185C	ATG36	2.0
68	YJL066C	MPM1	2.0
69	YMR040W	YET2	2.0
70	YER175C	TMT1	2.0
71	YIR038C	GTT1	2.0
72	YDL025C	RTK1	2.0
73	YKL093W	MBR1	2.0
74	YDR258C	HSP78	2.0
75	YKL150W	MCR1	2.0
76	YJL048C	UBX6	2.0
77	YOL052C-A	DDR2	1.9
78	YMR280C	CAT8	1.9
79	YPL230W	USV1	1.9
80	YPL123C	RNY1	1.9
81	YHL021C	AIM17	1.9
82	YLR178C	TFS1	1.9
83	YIL107C	PFK26	1.9
84	YLR080W	EMP46	1.9
85	YNL195C	YNL195C	1.9
86	YIL097W	FYV10	1.9
87	YDL110C	TMA17	1.9
88	YDR313C	PIB1	1.9
89	YBR047W	FMP23	1.9
90	YKR009C	FOX2	1.9
91	YGR248W	SOL4	1.9
92	YKL142W	MRP8	1.9
93	YDL223C	HBT1	1.9
94	YBR072W	HSP26	1.9
95	YGR161C	RTS3	1.9
96	YOR215C	AIM41	1.9
97	YKL026C	GPX1	1.9
98	YNL115C	YNL115C	1.9
99	YHR139C	SPS100	1.9
100	YJL094C	KHA1	1.9
101	YER035W	EDC2	1.9
102	YER162C	RAD4	1.9
103	YOR245C	DGA1	1.9
104	YPL223C	GRE1	1.9
105	YER039C	HVG1	1.9
106	YKR049C	FMP46	1.9
107	YGR088W	CTT1	1.9
108	YLR345W	YLR345W	1.9
109	YDR171W	HSP42	1.9
110	YIL146C	ATG32	1.9
111	YBR001C	NTH2	1.9
112	YDL222C	FMP45	1.9
113	YDR358W	GGA1	1.9
114	YBR212W	NGR1	1.9
115	YPL154C	PEP4	1.9
116	YOR289W	YOR289W	1.9
117	YHL027W	RIM101	1.9
118	YOL048C	RRT8	1.9
119	YJL161W	FMP33	1.9
120	YFL014W	HSP12	1.9
121	YKL217W	JEN1	1.9
122	YDR178W	SDH4	1.9
123	YDL204W	RTN2	1.9
124	YHR104W	GRE3	1.9
125	YPL186C	UIP4	1.9
126	YKL133C	RCI50	1.9
127	YNL274C	GOR1	1.9
128	YBR214W	SDS24	1.9
129	YIL099W	SGA1	1.9
130	YOR036W	PEP12	1.9
131	YIR039C	YPS6	1.9
132	YGR032W	GSC2	1.9
133	YGL248W	PDE1	1.9
134	YHR097C	PAL2	1.9
135	YBR006W	UGA2	1.9
136	YGR256W	GND2	1.9
137	YNL194C	YNL194C	1.9
138	YFR017C	IGD1	1.9
139	YPL135W	ISU1	1.9
140	YGR127W	YGR127W	1.8
141	YAL061W	BDH2	1.8
142	YER079W	YER079W	1.8
143	YMR271C	URA10	1.8
144	YKL124W	SSH4	1.8
145	YLL039C	UBI4	1.8
146	YGR258C	RAD2	1.8
147	YOR185C	GSP2	1.8
148	YBL043W	ECM13	1.8
149	YOR120W	GCY1	1.8
150	YPR184W	GDB1	1.8
151	YLL041C	SDH2	1.8
152	YMR250W	GAD1	1.8
153	YNL156C	NSG2	1.8
154	YBR117C	TKL2	1.8
155	YKL065C	YET1	1.8
156	YMR090W	YMR090W	1.8
157	YLR120C	YPS1	1.8
158	YNL093W	YPT53	1.8
159	YKL188C	PXA2	1.8
160	YMR170C	ALD2	1.8
161	YPR061C	JID1	1.8
162	YOR374W	ALD4	1.8
163	YDR001C	NTH1	1.8
164	YGR268C	HUA1	1.8
165	YGR236C	SPG1	1.8
166	YGL219C	MDM34	1.8
167	YNL202W	SPS19	1.8
168	YNL223W	ATG4	1.8
169	YER096W	SHC1	1.8
170	YPL119C	DBP1	1.8
171	YHR137W	ARO9	1.8
172	YER150W	SPI1	1.8
173	YOR328W	PDR10	1.8
174	YBR026C	ETR1	1.8
175	YMR169C	ALD3	1.8
176	YKR067W	GPT2	1.8
177	YIL042C	PKP1	1.8
178	YBR241C	VVS1	1.8
179	YCR079W	PTC6	1.8
180	YEL011W	GLC3	1.8
181	YGL006W	PMC1	1.8
182	YFR049W	KGD4	1.8
183	YER143W	DDI1	1.8
184	YDL072C	YET3	1.8
185	YMR322C	SNO4	1.8
186	YPL054W	LEE1	1.8
187	YDR003W	RCR2	1.8
188	YNL200C	NNR1	1.8
189	YLL026W	HSP104	1.8
190	YGL205W	POX1	1.8
191	YOL082W	ATG19	1.8
192	YJL163C	YJL163C	1.8
193	YGL166W	CUP2	1.8
194	YMR175W	SIP18	1.8
195	YPL206C	PGC1	1.8
196	YGL227W	VID30	1.8
197	YMR139W	RIM11	1.8
198	YDR436W	PPZ2	1.8
199	YGL096W	TOS8	1.8
200	YDR479C	PEX29	1.8
201	YDL149W	ATG9	1.8
202	YML100W	TSL1	1.8
203	YOR134W	BAG7	1.8
204	YOR152C	ATG40	1.8
205	YGR243W	MPC3	1.8
206	YGL053W	PRM8	1.8
207	YLR251W	SYM1	1.8
208	YGL250W	RMR1	1.8
209	YDR255C	RMD5	1.8
210	YDL215C	GDH2	1.8
211	YER020W	GPA2	1.8
212	YJR019C	TES1	1.8
213	YDR533C	HSP31	1.8
214	YLL023C	POM33	1.8
215	YGR028W	MSP1	1.8
216	YJL141C	YAK1	1.8
217	YIL055C	YIL055C	1.8
218	YHR195W	NVJ1	1.8
219	YJL089W	SIP4	1.8
220	YKL151C	NNR2	1.8
221	YDR204W	COQ4	1.8
222	YPL087W	YDC1	1.8
223	YHR087W	RTC3	1.7
224	YHR161C	YAP1801	1.7
225	YPR030W	CSR2	1.7
226	YMR053C	STB2	1.7
227	YDR380W	ARO10	1.7
228	YHR008C	SOD2	1.7
229	YOR285W	RDL1	1.7
230	YHR209W	CRG1	1.7
231	YJR096W	YJR096W	1.7
232	YGR244C	LSC2	1.7
233	YBR149W	ARA1	1.7
234	YJR130C	STR2	1.7
235	YLR219W	MSC3	1.7
236	YOR052C	TMC1	1.7
237	YIR036C	IRC24	1.7
238	YDR505C	PSP1	1.7
239	YJL057C	IKS1	1.7
240	YJL144W	ROQ1	1.7
241	YJL116C	NCA3	1.7
242	YBR183W	YPC1	1.7
243	YGR201C	YGR201C	1.7
244	YPR193C	HPA2	1.7
245	YGL037C	PNC1	1.7
246	YNL092W	YNL092W	1.7
247	YOL071W	SDH5	1.7
248	YOL119C	MCH4	1.7
249	YHR016C	YSC84	1.7
250	YHR160C	PEX18	1.7
251	YJR095W	SFC1	1.7
252	YMR041C	ARA2	1.7
253	YGL146C	RRT6	1.7
254	YDR231C	COX20	1.7
255	YML004C	GLO1	1.7
256	YNL015W	PBI2	1.7
257	YDR504C	SPG3	1.7
258	YML120C	NDI1	1.7
259	YKR097W	PCK1	1.7
260	YNL125C	ESBP6	1.7
261	YGR149W	GPC1	1.7
262	YMR181C	YMR181C	1.7
263	YIL045W	PIG2	1.7
264	YGR019W	UGA1	1.7
265	YOL032W	OPI10	1.7
266	YKL034W	TUL1	1.7
267	YDR216W	ADR1	1.7
268	YNL160W	YGP1	1.7
269	YDR513W	GRX2	1.7
270	YAL054C	ACS1	1.7
271	YBR005W	RCR1	1.7
272	YML118W	NGL3	1.7
273	YIL017C	VID28	1.7
274	YHR001W-A	QCR10	1.7
275	YGR144W	THI4	1.7
276	YBR256C	RIB5	1.7
277	YER101C	AST2	1.7
278	YHL024W	RIM4	1.7
279	YBR132C	AGP2	1.7
280	YER004W	FMP52	1.7
281	YPR001W	CIT3	1.7
282	YBR053C	YBR053C	1.7
283	YAL034C	FUN19	1.7
284	YER054C	GIP2	1.7
285	YGR112W	SHY1	1.7
286	YPR149W	NCE102	1.7
287	YLR205C	HMX1	1.7
288	YDL020C	RPN4	1.7
289	YDR032C	PST2	1.7
290	YPL152W	RRD2	1.7
291	YAL049C	AIM2	1.7
292	YCR061W	TVS1	1.7
293	YEL024W	RIP1	1.7
294	YNL036W	NCE103	1.7
295	YOR003W	YSP3	1.7
296	YPR049C	ATG11	1.7
297	YIR037W	HYR1	1.7
298	YDL113C	ATG20	1.7
299	YEL039C	CYC7	1.7
300	YBR105C	VID24	1.7
301	YPL159C	PET20	1.7
302	YDL183C	MRX19	1.7
303	YHR198C	AIM18	1.7
304	YIL087C	AIM19	1.7
305	YER053C	PIC2	1.7
306	YGR194C	XKS1	1.7
307	YKL148C	SDH1	1.7
308	YOR208W	PTP2	1.7
309	YJL100W	LSB6	1.7
310	YGR008C	STF2	1.7
311	YDL024C	DIA3	1.7
312	YDR453C	TSA2	1.7
313	YPL203W	TPK2	1.7
314	YOR019W	YOR019W	1.7
315	YIL007C	NAS2	1.7
316	YGR067C	YGR067C	1.7
317	YPL092W	SSU1	1.7
318	YBR033W	EDS1	1.7
319	YLR151C	PCD1	1.7
320	YBR204C	LDH1	1.7
321	YIL125W	KGD1	1.7
322	YER121W	YER121W	1.7
323	YGR250C	RIE1	1.7
324	YDR293C	SSD1	1.7
325	YPL109C	CQD1	1.7
326	YHR106W	TRR2	1.7
327	YDR262W	YDR262W	1.7
328	YGR154C	GTO1	1.7
329	YDR148C	KGD2	1.7
330	YGL091C	NBP35	1.7
331	YBL015W	ACH1	1.7
332	YMR068W	AVO2	1.7
333	YGL104C	VPS73	1.7
334	YOR227W	HER1	1.7
335	YMR034C	RCH1	1.7
336	YKL103C	APE1	1.7
337	YMR135C	GID8	1.7
338	YDR330W	UBX5	1.7
339	YAL017W	PSK1	1.7
340	YCL040W	GLK1	1.7
341	YKL218C	SRY1	1.7
342	YLR284C	ECI1	1.7
