SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YGR111W

Rank	Gene	Common	Score
Q	YGR111W	YGR111W	
1	YLR270W	DCS1	2.5
2	YBR056W	MRX18	2.4
3	YKL091C	YKL091C	2.4
4	YBR053C	YBR053C	2.3
5	YIL124W	AYR1	2.3
6	YGL037C	PNC1	2.3
7	YPL123C	RNY1	2.3
8	YJR096W	YJR096W	2.2
9	YJL164C	TPK1	2.2
10	YDR272W	GLO2	2.2
11	YDR358W	GGA1	2.2
12	YNL200C	NNR1	2.2
13	YBR204C	LDH1	2.2
14	YLR178C	TFS1	2.2
15	YBR139W	ATG42	2.2
16	YHR104W	GRE3	2.1
17	YDR204W	COQ4	2.1
18	YOR173W	DCS2	2.1
19	YOL082W	ATG19	2.1
20	YMR110C	HFD1	2.1
21	YNL115C	YNL115C	2.1
22	YGR019W	UGA1	2.1
23	YIL136W	OM45	2.1
24	YMR250W	GAD1	2.1
25	YMR105C	PGM2	2.1
26	YKL035W	UGP1	2.1
27	YLR251W	SYM1	2.1
28	YML128C	MSC1	2.1
29	YGR194C	XKS1	2.1
30	YDL027C	MRX9	2.1
31	YBR026C	ETR1	2.1
32	YLL026W	HSP104	2.1
33	YGR008C	STF2	2.1
34	YLR258W	GSY2	2.1
35	YGR248W	SOL4	2.0
36	YNL274C	GOR1	2.0
37	YML004C	GLO1	2.0
38	YDL021W	GPM2	2.0
39	YMR090W	YMR090W	2.0
40	YBR126C	TPS1	2.0
41	YKL142W	MRP8	2.0
42	YHL021C	AIM17	2.0
43	YLR345W	YLR345W	2.0
44	YPL203W	TPK2	2.0
45	YCL040W	GLK1	2.0
46	YGL104C	VPS73	2.0
47	YDR513W	GRX2	2.0
48	YBR052C	RFS1	2.0
49	YKL103C	APE1	2.0
50	YOR289W	YOR289W	2.0
51	YLR290C	COQ11	2.0
52	YDR001C	NTH1	2.0
53	YCL035C	GRX1	2.0
54	YKL150W	MCR1	2.0
55	YJL161W	FMP33	2.0
56	YDL124W	YDL124W	2.0
57	YBR169C	SSE2	2.0
58	YOL083W	ATG34	2.0
59	YBR149W	ARA1	2.0
60	YEL012W	UBC8	2.0
61	YER053C	PIC2	2.0
62	YBL064C	PRX1	2.0
63	YPL004C	LSP1	2.0
64	YKL193C	SDS22	2.0
