SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: VPS62

Rank	Gene	Common	Score
Q	YGR141W	VPS62	
1	YBR280C	SAF1	2.8
2	YIR036C	IRC24	2.8
3	YNL159C	ASI2	2.8
4	YHR016C	YSC84	2.8
5	YGR143W	SKN1	2.8
6	YMR110C	HFD1	2.8
7	YJL164C	TPK1	2.8
8	YKL034W	TUL1	2.8
9	YPL119C	DBP1	2.8
10	YDR436W	PPZ2	2.8
11	YDR358W	GGA1	2.8
12	YGL208W	SIP2	2.8
13	YBR006W	UGA2	2.8
14	YDR287W	INM2	2.7
15	YPL123C	RNY1	2.7
16	YPL196W	OXR1	2.7
17	YGL104C	VPS73	2.7
18	YPL203W	TPK2	2.7
19	YCR011C	ADP1	2.7
20	YGL156W	AMS1	2.7
21	YHR171W	ATG7	2.7
22	YGL161C	YIP5	2.7
23	YGL006W	PMC1	2.7
24	YGR019W	UGA1	2.7
25	YPL087W	YDC1	2.7
26	YLR270W	DCS1	2.7
27	YPR026W	ATH1	2.7
28	YOL129W	VPS68	2.7
29	YIL136W	OM45	2.7
30	YPL006W	NCR1	2.7
31	YHR106W	TRR2	2.7
32	YIR038C	GTT1	2.6
33	YOR245C	DGA1	2.6
34	YOR035C	SHE4	2.6
35	YMR250W	GAD1	2.6
36	YBR046C	ZTA1	2.6
37	YHR028C	DAP2	2.6
38	YGL227W	VID30	2.6
39	YEL060C	PRB1	2.6
40	YOR386W	PHR1	2.6
41	YBR149W	ARA1	2.6
42	YIL088C	AVT7	2.6
43	YNL223W	ATG4	2.6
44	YIL033C	BCY1	2.6
45	YDR003W	RCR2	2.6
46	YMR053C	STB2	2.6
47	YOR173W	DCS2	2.6
48	YDL238C	GUD1	2.6
49	YGR194C	XKS1	2.6
50	YKR076W	ECM4	2.6
51	YNL237W	YTP1	2.6
52	YBR214W	SDS24	2.6
53	YIL017C	VID28	2.6
54	YDL085W	NDE2	2.6
55	YBR169C	SSE2	2.6
56	YER101C	AST2	2.6
57	YLR080W	EMP46	2.6
58	YDL115C	IWR1	2.6
59	YJL155C	FBP26	2.6
60	YEL012W	UBC8	2.5
61	YOR347C	PYK2	2.5
62	YFR024C-A	LSB3	2.5
63	YNR007C	ATG3	2.5
64	YCL040W	GLK1	2.5
65	YDL078C	MDH3	2.5
66	YHR104W	GRE3	2.5
67	YBR269C	SDH8	2.5
68	YHR037W	PUT2	2.5
69	YDR001C	NTH1	2.5
70	YMR135C	GID8	2.5
71	YDR479C	PEX29	2.5
72	YJL066C	MPM1	2.5
73	YEL011W	GLC3	2.5
74	YLR219W	MSC3	2.5
75	YGR268C	HUA1	2.5
76	YDR231C	COX20	2.5
77	YPL154C	PEP4	2.5
78	YOR042W	CUE5	2.5
79	YDR059C	UBC5	2.5
80	YBR001C	NTH2	2.5
81	YIL097W	FYV10	2.5
