SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ENP2

Rank	Gene	Common	Score
Q	YGR145W	ENP2	
1	YJL033W	HCA4	5.7
2	YGR245C	SDA1	5.7
3	YGR103W	NOP7	5.5
4	YLR276C	DBP9	5.5
5	YHR170W	NMD3	5.5
6	YKL143W	LTV1	5.5
7	YGL171W	ROK1	5.5
8	YML093W	UTP14	5.4
9	YPL012W	RRP12	5.4
10	YDL153C	SAS10	5.4
11	YOR272W	YTM1	5.4
12	YPR112C	MRD1	5.4
13	YNL175C	NOP13	5.4
14	YLR196W	PWP1	5.4
15	YLL008W	DRS1	5.3
16	YPL043W	NOP4	5.3
17	YKR081C	RPF2	5.3
18	YBR142W	MAK5	5.3
19	YDR496C	PUF6	5.3
20	YJL050W	MTR4	5.3
21	YMR049C	ERB1	5.3
22	YOR206W	NOC2	5.2
23	YMR131C	RRB1	5.2
24	YER006W	NUG1	5.2
25	YGR128C	UTP8	5.2
26	YDR087C	RRP1	5.2
27	YNL061W	NOP2	5.2
28	YDL148C	NOP14	5.2
29	YHR197W	RIX1	5.1
30	YCL059C	KRR1	5.1
31	YGL078C	DBP3	5.1
32	YHR066W	SSF1	5.1
33	YHR088W	RPF1	5.1
34	YNL110C	NOP15	5.1
35	YIL019W	FAF1	5.0
36	YDR465C	RMT2	5.0
37	YOR340C	RPA43	5.0
38	YBR247C	ENP1	5.0
39	YNL308C	KRI1	5.0
40	YLR409C	UTP21	5.0
41	YNL132W	KRE33	5.0
42	YGR280C	PXR1	5.0
43	YKL009W	MRT4	4.9
44	YJR002W	MPP10	4.9
45	YPL126W	NAN1	4.9
46	YNL182C	IPI3	4.9
47	YGL099W	LSG1	4.9
48	YKL078W	DHR2	4.9
49	YNL075W	IMP4	4.9
50	YGL120C	PRP43	4.9
51	YHR052W	CIC1	4.9
52	YMR128W	ECM16	4.9
53	YLR222C	UTP13	4.9
54	YDR083W	RRP8	4.9
55	YDL060W	TSR1	4.9
56	YER126C	NSA2	4.9
57	YGL111W	NSA1	4.9
58	YDR101C	ARX1	4.9
59	YOR004W	UTP23	4.9
60	YCL054W	SPB1	4.9
61	YER082C	UTP7	4.9
62	YMR290C	HAS1	4.8
63	YBL039C	URA7	4.8
64	YOL077C	BRX1	4.8
65	YLR009W	RLP24	4.8
66	YDL031W	DBP10	4.8
67	YDR060W	MAK21	4.8
68	YLR002C	NOC3	4.8
69	YMR239C	RNT1	4.7
70	YLL011W	SOF1	4.7
71	YDR021W	FAL1	4.7
72	YPL217C	BMS1	4.7
73	YNL248C	RPA49	4.7
74	YLL034C	RIX7	4.7
75	YKL172W	EBP2	4.7
76	YCR057C	PWP2	4.7
77	YPL266W	DIM1	4.7
78	YPL086C	ELP3	4.7
79	YIR026C	YVH1	4.7
80	YMR229C	RRP5	4.7
81	YNL002C	RLP7	4.7
82	YOL144W	NOP8	4.7
83	YPL211W	NIP7	4.7
84	YER127W	LCP5	4.7
85	YDR324C	UTP4	4.6
86	YDR449C	UTP6	4.6
87	YHR148W	IMP3	4.6
88	YPR144C	NOC4	4.6
89	YOR056C	NOB1	4.6
