SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ECL1

Rank	Gene	Common	Score
Q	YGR146C	ECL1	
1	YGR161C	RTS3	1.9
2	YBR072W	HSP26	1.9
3	YHR209W	CRG1	1.9
4	YLR350W	ORM2	1.8
5	YKR091W	SRL3	1.8
6	YDR059C	UBC5	1.8
7	YHR096C	HXT5	1.8
8	YGL121C	GPG1	1.8
9	YMR191W	SPG5	1.8
10	YJL066C	MPM1	1.8
11	YGL156W	AMS1	1.8
12	YER035W	EDC2	1.8
13	YBL078C	ATG8	1.8
14	YDR070C	FMP16	1.8
15	YBR169C	SSE2	1.8
16	YIL107C	PFK26	1.8
17	YGL248W	PDE1	1.8
18	YDL020C	RPN4	1.8
19	YJL116C	NCA3	1.8
20	YDR262W	YDR262W	1.8
21	YBL049W	MOH1	1.7
22	YER150W	SPI1	1.7
23	YIL117C	PRM5	1.7
24	YJL144W	ROQ1	1.7
25	YGR032W	GSC2	1.7
26	YGR043C	NQM1	1.7
27	YDR043C	NRG1	1.7
28	YHR138C	YHR138C	1.7
29	YKL026C	GPX1	1.7
30	YCR021C	HSP30	1.7
31	YKL163W	PIR3	1.7
32	YLR356W	ATG33	1.7
33	YIR038C	GTT1	1.7
34	YOL126C	MDH2	1.7
35	YDL169C	UGX2	1.7
36	YMR181C	YMR181C	1.7
37	YPL223C	GRE1	1.7
38	YLR120C	YPS1	1.7
39	YPL250C	ATG41	1.7
40	YKR046C	PLN1	1.7
41	YNL305C	BXI1	1.7
42	YEL012W	UBC8	1.7
43	YBR269C	SDH8	1.7
44	YMR175W	SIP18	1.7
45	YLR414C	PUN1	1.7
46	YFR017C	IGD1	1.7
47	YPR154W	PIN3	1.7
48	YDR077W	SED1	1.7
49	YML042W	CAT2	1.7
50	YPL054W	LEE1	1.7
51	YFL030W	AGX1	1.7
52	YGR142W	BTN2	1.7
53	YLR178C	TFS1	1.7
54	YPL156C	PRM4	1.7
55	YER103W	SSA4	1.7
56	YDL085W	NDE2	1.7
57	YLR267W	BOP2	1.6
58	YKR049C	FMP46	1.6
59	YMR118C	SHH3	1.6
60	YOL083W	ATG34	1.6
61	YJR008W	MHO1	1.6
62	YDR214W	AHA1	1.6
63	YIL101C	XBP1	1.6
64	YBL075C	SSA3	1.6
65	YER158C	YER158C	1.6
66	YER004W	FMP52	1.6
67	YLR327C	TMA10	1.6
68	YEL060C	PRB1	1.6
69	YKL093W	MBR1	1.6
70	YPL186C	UIP4	1.6
71	YDR085C	AFR1	1.6
72	YOL052C-A	DDR2	1.6
73	YGR256W	GND2	1.6
74	YJL151C	SNA3	1.6
75	YOR120W	GCY1	1.6
76	YAL034C	FUN19	1.6
77	YOR220W	RCN2	1.6
78	YBR067C	TIP1	1.6
79	YDR171W	HSP42	1.6
80	YKR097W	PCK1	1.6
81	YLR297W	YLR297W	1.6
82	YLR312C	ATG39	1.6
83	YIL136W	OM45	1.6
84	YLR121C	YPS3	1.6
85	YDL234C	GYP7	1.6
86	YJL149W	DAS1	1.6
87	YAL062W	GDH3	1.6
88	YOL032W	OPI10	1.6
89	YBR214W	SDS24	1.6
90	YHR104W	GRE3	1.6
91	YER037W	PHM8	1.6
92	YGR268C	HUA1	1.6
93	YMR170C	ALD2	1.6
94	YJL155C	FBP26	1.6
95	YMR107W	SPG4	1.6
96	YLR174W	IDP2	1.6
97	YMR110C	HFD1	1.6
98	YDL072C	YET3	1.6
99	YJR096W	YJR096W	1.6
100	YNR002C	ATO2	1.6
101	YBR101C	FES1	1.6
102	YLL026W	HSP104	1.6
103	YMR271C	URA10	1.6
104	YLR142W	PUT1	1.6
105	YBL064C	PRX1	1.6
106	YKL065C	YET1	1.6
107	YOR052C	TMC1	1.6
108	YBR295W	PCA1	1.6
109	YPL177C	CUP9	1.6
110	YOR208W	PTP2	1.6
111	YDR003W	RCR2	1.6
112	YGL166W	CUP2	1.6
113	YCR005C	CIT2	1.6
114	YHR171W	ATG7	1.6
115	YMR040W	YET2	1.6
116	YDL021W	GPM2	1.6
117	YPL135W	ISU1	1.6
118	YBR280C	SAF1	1.6
119	YML128C	MSC1	1.6
120	YDR055W	PST1	1.6
121	YOR100C	CRC1	1.6
122	YBR117C	TKL2	1.6
123	YGR250C	RIE1	1.6
124	YCL035C	GRX1	1.6
125	YNL322C	KRE1	1.6
126	YPL111W	CAR1	1.6
127	YGR019W	UGA1	1.6
128	YCL038C	ATG22	1.6
129	YGR149W	GPC1	1.6
130	YPR005C	HAL1	1.6
131	YBR241C	VVS1	1.6
132	YMR250W	GAD1	1.6
133	YGL053W	PRM8	1.6
134	YNL160W	YGP1	1.6
135	YIL087C	AIM19	1.5
136	YLR216C	CPR6	1.5
137	YLL023C	POM33	1.5
138	YDR178W	SDH4	1.5
139	YGL180W	ATG1	1.5
140	YLR149C	GID11	1.5
141	YPL152W	RRD2	1.5
142	YHR199C	AIM46	1.5
143	YDR258C	HSP78	1.5
144	YNL195C	YNL195C	1.5
145	YGR144W	THI4	1.5
146	YOR185C	GSP2	1.5
147	YEL011W	GLC3	1.5
148	YJR019C	TES1	1.5
149	YGR197C	SNG1	1.5
150	YDR313C	PIB1	1.5
151	YOR152C	ATG40	1.5
152	YHR008C	SOD2	1.5
153	YBR054W	YRO2	1.5
154	YPR026W	ATH1	1.5
155	YGR243W	MPC3	1.5
156	YBR222C	PCS60	1.5
157	YBR230C	OM14	1.5
158	YER175C	TMT1	1.5
159	YER045C	ACA1	1.5
160	YMR174C	PAI3	1.5
161	YLR034C	SMF3	1.5
162	YDR358W	GGA1	1.5
163	YOR173W	DCS2	1.5
164	YKR076W	ECM4	1.5
165	YJL068C	YJL068C	1.5
166	YIL146C	ATG32	1.5
167	YPL203W	TPK2	1.5
168	YIL160C	POT1	1.5
169	YKL151C	NNR2	1.5
170	YHL024W	RIM4	1.5
171	YGL096W	TOS8	1.5
172	YIL083C	CAB2	1.5
173	YER079W	YER079W	1.5
174	YDL204W	RTN2	1.5
175	YIR039C	YPS6	1.5
176	YGR023W	MTL1	1.5
177	YDR275W	BSC2	1.5
178	YPR030W	CSR2	1.5
179	YDL223C	HBT1	1.5
180	YDL110C	TMA17	1.5
181	YPL123C	RNY1	1.5
182	YAL054C	ACS1	1.5
183	YDL048C	STP4	1.5
184	YDR453C	TSA2	1.5
185	YJL141C	YAK1	1.5
186	YER053C	PIC2	1.5
187	YLR205C	HMX1	1.5
188	YOL048C	RRT8	1.5
189	YMR081C	ISF1	1.5
190	YOR382W	FIT2	1.5
191	YJL161W	FMP33	1.5
192	YER142C	MAG1	1.5
193	YGR127W	YGR127W	1.5
194	YKL034W	TUL1	1.5
195	YOR344C	TYE7	1.5
196	YGR110W	CLD1	1.5
197	YNR007C	ATG3	1.5
198	YHR087W	RTC3	1.5
199	YHL021C	AIM17	1.5
200	YPL230W	USV1	1.5
201	YJL185C	ATG36	1.5
202	YPR098C	TMH18	1.5
203	YER039C	HVG1	1.5
204	YNL194C	YNL194C	1.5
205	YPL159C	PET20	1.5
206	YMR020W	FMS1	1.5
207	YNL200C	NNR1	1.5
208	YNL115C	YNL115C	1.5
209	YNL009W	IDP3	1.5
210	YNL094W	APP1	1.5
211	YDR533C	HSP31	1.5
212	YLR251W	SYM1	1.5
213	YOR285W	RDL1	1.5
214	YOR289W	YOR289W	1.5
215	YDR001C	NTH1	1.5
216	YLR080W	EMP46	1.5
217	YOR036W	PEP12	1.5
218	YNL202W	SPS19	1.5
219	YFR022W	ROG3	1.5
220	YLL041C	SDH2	1.5
221	YKL142W	MRP8	1.5
222	YDR391C	YDR391C	1.5
223	YIL033C	BCY1	1.5
224	YHR136C	SPL2	1.5
225	YGL037C	PNC1	1.5
226	YER024W	YAT2	1.5
227	YBR147W	RTC2	1.5
228	YIL155C	GUT2	1.5
229	YJL163C	YJL163C	1.5
230	YGR201C	YGR201C	1.5
231	YDR293C	SSD1	1.5
232	YJL036W	SNX4	1.5
233	YPL214C	THI6	1.5
234	YBR026C	ETR1	1.5
235	YGR008C	STF2	1.5
236	YOR134W	BAG7	1.5
237	YNR001C	CIT1	1.5
238	YHL036W	MUP3	1.5
239	YCL040W	GLK1	1.5
240	YHR106W	TRR2	1.5
241	YOR245C	DGA1	1.5
242	YMR180C	CTL1	1.5
243	YBR157C	ICS2	1.5
244	YDR032C	PST2	1.5
245	YIR037W	HYR1	1.5
246	YKL171W	NNK1	1.5
247	YNL208W	YNL208W	1.5
248	YIL023C	YKE4	1.5
249	YBR046C	ZTA1	1.5
250	YNL332W	THI12	1.4
251	YLR270W	DCS1	1.4
252	YOL016C	CMK2	1.4
253	YBR005W	RCR1	1.4
254	YLR164W	SHH4	1.4
255	YLL019C	KNS1	1.4
256	YKR061W	KTR2	1.4
257	YMR104C	YPK2	1.4
258	YPR127W	YPR127W	1.4
259	YOR292C	YOR292C	1.4
260	YCL033C	MXR2	1.4
261	YDR223W	CRF1	1.4
262	YDL123W	SNA4	1.4
