SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MTR3

Rank	Gene	Common	Score
Q	YGR158C	MTR3	
1	YHR148W	IMP3	4.4
2	YGR128C	UTP8	4.2
3	YHR062C	RPP1	4.1
4	YBR061C	TRM7	4.1
5	YNL248C	RPA49	4.0
6	YLR009W	RLP24	4.0
7	YKL009W	MRT4	4.0
8	YER126C	NSA2	4.0
9	YNL075W	IMP4	4.0
10	YOR340C	RPA43	4.0
11	YDR087C	RRP1	4.0
12	YJL122W	ALB1	4.0
13	YOR294W	RRS1	4.0
14	YKR081C	RPF2	4.0
15	YOR272W	YTM1	4.0
16	YDR496C	PUF6	4.0
17	YBR247C	ENP1	4.0
18	YPL211W	NIP7	4.0
19	YLR196W	PWP1	4.0
20	YPR110C	RPC40	4.0
21	YHR052W	CIC1	4.0
22	YOL080C	REX4	3.9
23	YHR065C	RRP3	3.9
24	YLR276C	DBP9	3.9
25	YGR187C	HGH1	3.9
26	YDR449C	UTP6	3.9
27	YNL113W	RPC19	3.9
28	YDL060W	TSR1	3.9
29	YBL068W	PRS4	3.9
30	YOL077C	BRX1	3.9
31	YHR170W	NMD3	3.9
32	YHR066W	SSF1	3.9
33	YOR206W	NOC2	3.9
34	YNR053C	NOG2	3.9
35	YML093W	UTP14	3.9
36	YDR398W	UTP5	3.9
37	YOR004W	UTP23	3.9
38	YDR165W	TRM82	3.9
39	YMR093W	UTP15	3.9
40	YJL069C	UTP18	3.8
41	YNL110C	NOP15	3.8
42	YHR196W	UTP9	3.8
43	YLL011W	SOF1	3.8
44	YLR186W	EMG1	3.8
45	YDR101C	ARX1	3.8
46	YDL201W	TRM8	3.8
47	YHR197W	RIX1	3.8
48	YGL171W	ROK1	3.8
49	YNL002C	RLP7	3.8
50	YGL099W	LSG1	3.8
51	YER006W	NUG1	3.8
52	YER127W	LCP5	3.8
53	YLR409C	UTP21	3.8
54	YGR200C	ELP2	3.8
55	YNL182C	IPI3	3.8
56	YAL059W	ECM1	3.8
57	YLR435W	TSR2	3.8
58	YGR145W	ENP2	3.8
59	YCR057C	PWP2	3.8
60	YDR465C	RMT2	3.8
61	YLR221C	RSA3	3.8
62	YJL148W	RPA34	3.8
63	YLR003C	CMS1	3.8
64	YAL036C	RBG1	3.8
65	YMR131C	RRB1	3.8
66	YJL125C	GCD14	3.8
67	YPL086C	ELP3	3.8
68	YIR026C	YVH1	3.7
69	YIR012W	SQT1	3.7
70	YNL061W	NOP2	3.7
71	YDR184C	ATC1	3.7
72	YPR144C	NOC4	3.7
73	YHR169W	DBP8	3.7
74	YGR159C	NSR1	3.7
75	YML080W	DUS1	3.7
76	YMR290C	HAS1	3.7
77	YAL025C	MAK16	3.7
78	YNL151C	RPC31	3.7
79	YKL099C	UTP11	3.7
80	YMR049C	ERB1	3.7
81	YLR129W	DIP2	3.7
82	YDR412W	RRP17	3.7
83	YOR145C	PNO1	3.7
84	YGL111W	NSA1	3.7
85	YDR324C	UTP4	3.7
86	YDL167C	NRP1	3.7
87	YGR173W	RBG2	3.7
88	YCL059C	KRR1	3.7
89	YPR137W	RRP9	3.7
90	YOR310C	NOP58	3.7
91	YGL078C	DBP3	3.7
92	YER082C	UTP7	3.7
93	YOL041C	NOP12	3.7
94	YKL172W	EBP2	3.7
95	YNL175C	NOP13	3.7
96	YDL208W	NHP2	3.7
97	YKR026C	GCN3	3.6
98	YNL132W	KRE33	3.6
99	YJR063W	RPA12	3.6
100	YDR361C	BCP1	3.6
101	YGL169W	SUA5	3.6
102	YKL021C	MAK11	3.6
103	YKR060W	UTP30	3.6
104	YDR021W	FAL1	3.6
105	YMR239C	RNT1	3.6
106	YPL126W	NAN1	3.6
107	YHR069C	RRP4	3.6
108	YBL024W	NCL1	3.6
109	YLR002C	NOC3	3.6
110	YDL051W	LHP1	3.6
111	YDL148C	NOP14	3.6
112	YNR038W	DBP6	3.6
113	YLR175W	CBF5	3.6
114	YHR085W	IPI1	3.6
115	YBL039C	URA7	3.6
116	YHR088W	RPF1	3.6
117	YNR012W	URK1	3.6
118	YHL011C	PRS3	3.6
119	YJL050W	MTR4	3.6
120	YBR154C	RPB5	3.6
121	YKR024C	DBP7	3.6
122	YDR045C	RPC11	3.6
123	YLR222C	UTP13	3.6
124	YOL010W	RCL1	3.6
125	YKL078W	DHR2	3.6
126	YNL119W	NCS2	3.6
127	YPL043W	NOP4	3.6
128	YGL120C	PRP43	3.6
129	YDR091C	RLI1	3.6
130	YGR103W	NOP7	3.6
131	YGL029W	CGR1	3.6
132	YDR339C	FCF1	3.5
133	YKL143W	LTV1	3.5
134	YGR195W	SKI6	3.5
135	YPL266W	DIM1	3.5
136	YNR054C	ESF2	3.5
137	YLL034C	RIX7	3.5
138	YNL207W	RIO2	3.5
139	YGR123C	PPT1	3.5
140	YNL141W	AAH1	3.5
141	YDR083W	RRP8	3.5
142	YPL012W	RRP12	3.5
143	YLR197W	NOP56	3.5
144	YGR280C	PXR1	3.5
145	YCR072C	RSA4	3.5
146	YJR002W	MPP10	3.5
147	YOR078W	BUD21	3.5
148	YIL103W	DPH1	3.5
149	YMR014W	BUD22	3.5
150	YBR155W	CNS1	3.5
151	YDR120C	TRM1	3.5
152	YLR074C	BUD20	3.5
153	YCL054W	SPB1	3.5
154	YOL124C	TRM11	3.5
155	YKR092C	SRP40	3.5
156	YPL093W	NOG1	3.5
157	YGR095C	RRP46	3.5
158	YHR089C	GAR1	3.5
159	YOL142W	RRP40	3.5
160	YPR112C	MRD1	3.5
161	YNL062C	GCD10	3.5
162	YPR190C	RPC82	3.5
163	YBR142W	MAK5	3.5
164	YDL014W	NOP1	3.4
165	YPL183C	RTT10	3.4
166	YGR162W	TIF4631	3.4
167	YOR095C	RKI1	3.4
168	YDL153C	SAS10	3.4
169	YJL208C	NUC1	3.4
170	YOR056C	NOB1	3.4
171	YER002W	NOP16	3.4
172	YJL033W	HCA4	3.4
173	YNL308C	KRI1	3.4
174	YBR267W	REI1	3.4
175	YHR128W	FUR1	3.4
176	YIL019W	FAF1	3.4
177	YDL111C	RRP42	3.4
178	YGR081C	SLX9	3.4
179	YLR449W	FPR4	3.4
180	YIL110W	HPM1	3.4
181	YPR041W	TIF5	3.4
182	YIL020C	HIS6	3.4
183	YDL150W	RPC53	3.4
184	YOR091W	TMA46	3.4
185	YOL144W	NOP8	3.4
186	YKL144C	RPC25	3.4
187	YOR243C	PUS7	3.4
188	YFR001W	LOC1	3.4
189	YIL079C	AIR1	3.4
190	YKR056W	TRM2	3.4
191	YPR143W	RRP15	3.4
192	YFL002C	SPB4	3.4
193	YDL166C	FAP7	3.4
194	YJR070C	LIA1	3.4
195	YGR271C-A	EFG1	3.4
196	YOR252W	TMA16	3.4
197	YDL213C	NOP6	3.4
198	YDR299W	BFR2	3.4
199	YPL226W	NEW1	3.3
200	YEL026W	SNU13	3.3
201	YOL097C	WRS1	3.3
202	YPR010C	RPA135	3.3
203	YER049W	TPA1	3.3
204	YHR144C	DCD1	3.3
205	YPR163C	TIF3	3.3
206	YOR361C	PRT1	3.3
207	YMR146C	TIF34	3.3
208	YGR245C	SDA1	3.3
209	YIL104C	SHQ1	3.3
210	YLL008W	DRS1	3.3
