SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YGR161W-C

Rank	Gene	Common	Score
Q	YGR161W-C	YGR161W-C	
1	YHR138C	YHR138C	1.1
2	YFR049W	KGD4	1.1
3	YBR230C	OM14	1.0
4	YDR379C-A	SDH6	1.0
5	YBR137W	YBR137W	1.0
6	YPL189C-A	COA2	1.0
7	YKR049C	FMP46	1.0
8	YIL113W	SDP1	1.0
9	YDR511W	SDH7	1.0
10	YDR231C	COX20	1.0
11	YDR119W-A	COX26	1.0
12	YBR269C	SDH8	1.0
13	YLR345W	YLR345W	1.0
14	YGL121C	GPG1	1.0
15	YLR327C	TMA10	1.0
16	YGR235C	MIC26	1.0
17	YHR132W-A	IGO2	1.0
18	YDR461C-A	CMI8	1.0
19	YDR525W-A	SNA2	1.0
20	YGL166W	CUP2	0.9
21	YLR251W	SYM1	0.9
22	YEL012W	UBC8	0.9
23	YDL142C	CRD1	0.9
24	YDR178W	SDH4	0.9
25	YDR003W	RCR2	0.9
26	YHR001W-A	QCR10	0.9
27	YGL010W	MPO1	0.9
28	YGR028W	MSP1	0.9
29	YLR346C	CIS1	0.9
30	YDL200C	MGT1	0.9
31	YBR062C	YBR062C	0.9
32	YDL110C	TMA17	0.9
33	YER121W	YER121W	0.9
34	YBR085C-A	YBR085C-A	0.9
35	YOR036W	PEP12	0.9
36	YIL007C	NAS2	0.9
37	YNL305C	BXI1	0.9
38	YJR008W	MHO1	0.9
39	YNL157W	IGO1	0.9
40	YGL191W	COX13	0.9
41	YDL078C	MDH3	0.9
42	YBL064C	PRX1	0.9
43	YKL026C	GPX1	0.9
44	YGR183C	QCR9	0.9
45	YFR017C	IGD1	0.9
46	YDR059C	UBC5	0.9
47	YDR513W	GRX2	0.9
48	YFL030W	AGX1	0.9
49	YOR220W	RCN2	0.9
50	YNL100W	MIC27	0.9
51	YGR243W	MPC3	0.9
52	YNL052W	COX5A	0.9
53	YOL032W	OPI10	0.9
54	YKL091C	YKL091C	0.9
55	YBR230W-A	COQ21	0.9
56	YGL047W	ALG13	0.9
57	YDR377W	ATP17	0.9
58	YER039C	HVG1	0.9
59	YJL155C	FBP26	0.9
60	YNL117W	MLS1	0.9
61	YOL083W	ATG34	0.9
62	YDR486C	VPS60	0.9
63	YER067W	RGI1	0.9
64	YDL130W-A	STF1	0.9
65	YBR262C	MIC12	0.9
66	YDR248C	YDR248C	0.9
67	YDR286C	MGP12	0.9
68	YGR174C	CBP4	0.9
69	YOR031W	CRS5	0.9
70	YNR034W-A	EGO4	0.9
71	YOL133W	HRT1	0.9
72	YOR052C	TMC1	0.9
73	YBR089C-A	NHP6B	0.9
74	YDR462W	MRPL28	0.9
75	YNL274C	GOR1	0.9
76	YDR031W	MIX14	0.9
77	YHR161C	YAP1801	0.9
78	YJR034W	PET191	0.9
79	YMR256C	COX7	0.9
80	YJL066C	MPM1	0.9
81	YDR322C-A	TIM11	0.9
82	YLR053C	NRS1	0.9
83	YLL041C	SDH2	0.9
84	YML030W	RCF1	0.9
85	YPL223C	GRE1	0.9
86	YKL100C	YPF1	0.9
87	YAL049C	AIM2	0.9
88	YKL016C	ATP7	0.9
89	YGR230W	BNS1	0.9
90	YMR197C	VTI1	0.9
91	YBL033C	RIB1	0.8
92	YEL011W	GLC3	0.8
93	YMR035W	IMP2	0.8
94	YLR395C	COX8	0.8
95	YPR151C	SUE1	0.8
96	YMR110C	HFD1	0.8
97	YDL046W	NPC2	0.8
98	YDL181W	INH1	0.8
99	YIL024C	YIL024C	0.8
100	YJL103C	GSM1	0.8
101	YJL163C	YJL163C	0.8
102	YOL052C-A	DDR2	0.8
103	YJL144W	ROQ1	0.8
104	YDR320C-A	DAD4	0.8
105	YOR120W	GCY1	0.8
106	YML129C	COX14	0.8
107	YJL151C	SNA3	0.8
108	YBL029C-A	YBL029C-A	0.8
109	YML009C	MRPL39	0.8
110	YGR043C	NQM1	0.8
111	YLR312C	ATG39	0.8
112	YHR051W	COX6	0.8
113	YER035W	EDC2	0.8
114	YJR085C	TMH11	0.8
115	YIR037W	HYR1	0.8
116	YPR026W	ATH1	0.8
117	YIL157C	COA1	0.8
118	YLR350W	ORM2	0.8
119	YHR198C	AIM18	0.8
120	YHR171W	ATG7	0.8
121	YAL060W	BDH1	0.8
122	YPL186C	UIP4	0.8
123	YER079W	YER079W	0.8
124	YMR150C	IMP1	0.8
125	YKL053C-A	MDM35	0.8
126	YGR161C	RTS3	0.8
127	YNL195C	YNL195C	0.8
128	YJL048C	UBX6	0.8
129	YKL065C	YET1	0.8
130	YNR002C	ATO2	0.8
131	YPL054W	LEE1	0.8
132	YLR149C	GID11	0.8
133	YDL067C	COX9	0.8
134	YNL183C	NPR1	0.8
135	YGR201C	YGR201C	0.8
136	YLR178C	TFS1	0.8
137	YDR313C	PIB1	0.8
138	YBR169C	SSE2	0.8
139	YGL080W	MPC1	0.8
140	YJR096W	YJR096W	0.8
141	YDL085W	NDE2	0.8
142	YCL033C	MXR2	0.8
143	YPR182W	SMX3	0.8
144	YOR062C	YOR062C	0.8
145	YKL150W	MCR1	0.8
146	YDR329C	PEX3	0.8
147	YLR104W	LCL2	0.8
148	YLR219W	MSC3	0.8
149	YNL081C	SWS2	0.8
150	YGR236C	SPG1	0.8
151	YBR147W	RTC2	0.8
152	YKL141W	SDH3	0.8
153	YDR284C	DPP1	0.8
154	YJR113C	RSM7	0.8
155	YER182W	FMP10	0.8
156	YHR116W	COX23	0.8
157	YBL039W-B	MIN6	0.8
158	YGR008C	STF2	0.8
159	YIL057C	RGI2	0.8
160	YGL187C	COX4	0.8
161	YER163C	GCG1	0.8
162	YOR173W	DCS2	0.8
163	YDR070C	FMP16	0.8
164	YML128C	MSC1	0.8
165	YEL024W	RIP1	0.8
166	YOR245C	DGA1	0.8
167	YIR038C	GTT1	0.8
168	YPR098C	TMH18	0.8
