SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: QCR9

Rank	Gene	Common	Score
Q	YGR183C	QCR9	
1	YDR529C	QCR7	4.9
2	YHR001W-A	QCR10	4.8
3	YHR051W	COX6	4.7
4	YGL187C	COX4	4.7
5	YLR395C	COX8	4.7
6	YJL166W	QCR8	4.6
7	YEL024W	RIP1	4.6
8	YGL191W	COX13	4.6
9	YDR377W	ATP17	4.3
10	YMR256C	COX7	4.3
11	YLR038C	COX12	4.3
12	YNL052W	COX5A	4.3
13	YDL181W	INH1	4.2
14	YLL041C	SDH2	4.1
15	YKL016C	ATP7	4.1
16	YOR065W	CYT1	4.1
17	YDL067C	COX9	4.1
18	YDL004W	ATP16	4.0
19	YKL141W	SDH3	3.9
20	YDR178W	SDH4	3.9
21	YPR020W	ATP20	3.9
22	YBL045C	COR1	3.8
23	YPR191W	QCR2	3.8
24	YDR298C	ATP5	3.8
25	YFR033C	QCR6	3.8
26	YPL271W	ATP15	3.8
27	YKL150W	MCR1	3.8
28	YLR295C	ATP14	3.7
29	YPL078C	ATP4	3.7
30	YBR230C	OM14	3.7
31	YML120C	NDI1	3.6
32	YDR322C-A	TIM11	3.6
33	YKL148C	SDH1	3.5
34	YBR039W	ATP3	3.5
35	YFR049W	KGD4	3.4
36	YJR048W	CYC1	3.4
37	YML081C-A	ATP18	3.3
38	YFL030W	AGX1	3.3
39	YDR513W	GRX2	3.2
40	YML091C	RPM2	3.2
41	YNL015W	PBI2	3.2
42	YBL030C	PET9	3.2
43	YDR148C	KGD2	3.2
44	YJR121W	ATP2	3.2
45	YJR077C	MIR1	3.1
46	YBL099W	ATP1	3.1
47	YIL125W	KGD1	3.1
48	YKL085W	MDH1	3.1
49	YMR145C	NDE1	3.1
50	YIL155C	GUT2	3.0
51	YBL015W	ACH1	3.0
52	YBR269C	SDH8	3.0
53	YNR001C	CIT1	3.0
54	YKL067W	YNK1	3.0
55	YDL110C	TMA17	3.0
56	YDR059C	UBC5	2.9
57	YDR231C	COX20	2.9
58	YOR374W	ALD4	2.9
59	YHR008C	SOD2	2.9
60	YBL064C	PRX1	2.9
61	YDL130W-A	STF1	2.9
62	YJL048C	UBX6	2.9
63	YKL093W	MBR1	2.9
64	YML054C	CYB2	2.9
65	YGR008C	STF2	2.9
66	YGR174C	CBP4	2.9
67	YOR142W	LSC1	2.9
68	YPL134C	ODC1	2.9
69	YEL039C	CYC7	2.9
70	YOL052C-A	DDR2	2.9
71	YPR149W	NCE102	2.9
72	YBR183W	YPC1	2.8
73	YIL136W	OM45	2.8
74	YEL011W	GLC3	2.8
75	YMR110C	HFD1	2.8
76	YOL077W-A	ATP19	2.8
77	YJL103C	GSM1	2.8
78	YDR511W	SDH7	2.8
79	YOR120W	GCY1	2.8
80	YMR251W-A	HOR7	2.8
81	YER053C	PIC2	2.8
82	YCL035C	GRX1	2.8
83	YKR046C	PLN1	2.8
84	YGR243W	MPC3	2.8
85	YKL065C	YET1	2.8
86	YNL055C	POR1	2.8
87	YER141W	COX15	2.7
88	YKL109W	HAP4	2.7
89	YGR248W	SOL4	2.7
90	YNR002C	ATO2	2.7
91	YMR056C	AAC1	2.7
92	YGL121C	GPG1	2.7
93	YPL186C	UIP4	2.7
94	YML128C	MSC1	2.7
95	YNL274C	GOR1	2.7
96	YGR088W	CTT1	2.7
97	YPL004C	LSP1	2.7
98	YFL014W	HSP12	2.7
99	YLR327C	TMA10	2.7
100	YJL066C	MPM1	2.7
101	YGR244C	LSC2	2.7
102	YEL012W	UBC8	2.7
103	YKL217W	JEN1	2.7
104	YDR070C	FMP16	2.7
105	YNL156C	NSG2	2.7
106	YML129C	COX14	2.6
107	YOR173W	DCS2	2.6
108	YDR031W	MIX14	2.6
109	YMR002W	MIX17	2.6
110	YKL142W	MRP8	2.6
111	YER182W	FMP10	2.6
112	YLR178C	TFS1	2.6
113	YLR168C	UPS2	2.6
114	YLR251W	SYM1	2.6
115	YLR258W	GSY2	2.6
116	YDR032C	PST2	2.6
117	YCL040W	GLK1	2.6
118	YKR049C	FMP46	2.6
119	YML100W	TSL1	2.6
120	YOR150W	MRPL23	2.6
121	YGL037C	PNC1	2.6
122	YIR038C	GTT1	2.6
123	YBR149W	ARA1	2.6
124	YMR105C	PGM2	2.6
125	YBL078C	ATG8	2.6
126	YFR053C	HXK1	2.6
127	YEL060C	PRB1	2.6
128	YOL071W	SDH5	2.6
129	YPL087W	YDC1	2.6
130	YGL080W	MPC1	2.6
131	YHR198C	AIM18	2.6
132	YDR079W	PET100	2.6
133	YGR132C	PHB1	2.6
134	YJL164C	TPK1	2.6
135	YBL038W	MRPL16	2.5
136	YGR181W	TIM13	2.5
137	YLR270W	DCS1	2.5
138	YLL019C	KNS1	2.5
139	YDR276C	PMP3	2.5
140	YNR036C	MRPS12	2.5
141	YHR087W	RTC3	2.5
142	YDL078C	MDH3	2.5
143	YOR317W	FAA1	2.5
144	YDL204W	RTN2	2.5
145	YGR043C	NQM1	2.5
146	YJL102W	MEF2	2.5
147	YPR151C	SUE1	2.5
148	YMR250W	GAD1	2.5
149	YKL026C	GPX1	2.5
150	YNL160W	YGP1	2.5
151	YOL084W	PHM7	2.5
152	YPR026W	ATH1	2.5
153	YKR016W	MIC60	2.5
154	YHR096C	HXT5	2.5
155	YBR185C	MBA1	2.5
156	YIR037W	HYR1	2.5
157	YIL124W	AYR1	2.5
158	YDR533C	HSP31	2.5
159	YCR004C	YCP4	2.5
160	YBR120C	CBP6	2.5
161	YGR086C	PIL1	2.5
162	YFL018C	LPD1	2.5
163	YMR302C	YME2	2.5
164	YLL039C	UBI4	2.5
165	YOR036W	PEP12	2.5
166	YHR104W	GRE3	2.5
167	YOR031W	CRS5	2.5
168	YBR001C	NTH2	2.5
169	YNL173C	MDG1	2.5
170	YGR209C	TRX2	2.5
171	YGR230W	BNS1	2.5
172	YMR271C	URA10	2.5
173	YJL161W	FMP33	2.5
174	YGR231C	PHB2	2.5
175	YIL157C	COA1	2.5
176	YAL054C	ACS1	2.5
177	YML042W	CAT2	2.5
178	YDR171W	HSP42	2.5
