SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YGR210C

Rank	Gene	Common	Score
Q	YGR210C	YGR210C	
1	YGR211W	ZPR1	2.2
2	YFL022C	FRS2	2.0
3	YGR173W	RBG2	2.0
4	YOR095C	RKI1	2.0
5	YER036C	ARB1	1.9
6	YDL201W	TRM8	1.9
7	YAL036C	RBG1	1.9
8	YOR271C	FSF1	1.9
9	YJR070C	LIA1	1.9
10	YGL099W	LSG1	1.9
11	YDR321W	ASP1	1.9
12	YGR285C	ZUO1	1.9
13	YDL014W	NOP1	1.9
14	YKL181W	PRS1	1.9
15	YGR123C	PPT1	1.9
16	YDL051W	LHP1	1.9
17	YGR162W	TIF4631	1.9
18	YER006W	NUG1	1.9
19	YKL081W	TEF4	1.8
20	YOR340C	RPA43	1.8
21	YGL120C	PRP43	1.8
22	YOR361C	PRT1	1.8
23	YHR170W	NMD3	1.8
24	YBR247C	ENP1	1.8
25	YLR307W	CDA1	1.8
26	YHR089C	GAR1	1.8
27	YOL097C	WRS1	1.8
28	YEL042W	GDA1	1.8
29	YEL026W	SNU13	1.8
30	YCR051W	YCR051W	1.8
31	YGR078C	PAC10	1.8
32	YHR169W	DBP8	1.8
33	YDR161W	ACL4	1.8
34	YCL059C	KRR1	1.8
35	YDR361C	BCP1	1.8
36	YPL086C	ELP3	1.8
37	YNL062C	GCD10	1.8
38	YDR165W	TRM82	1.8
39	YNL248C	RPA49	1.8
40	YPR110C	RPC40	1.8
41	YGR208W	SER2	1.8
42	YOL077C	BRX1	1.8
43	YKL191W	DPH2	1.8
44	YOL124C	TRM11	1.8
45	YOR108W	LEU9	1.8
46	YGR200C	ELP2	1.8
47	YGR264C	MES1	1.8
48	YDR234W	LYS4	1.8
49	YPL239W	YAR1	1.8
50	YOR091W	TMA46	1.8
51	YIR026C	YVH1	1.8
52	YMR217W	GUA1	1.8
53	YER156C	MYG1	1.8
54	YAL003W	EFB1	1.8
55	YGL111W	NSA1	1.8
56	YHR020W	YHR020W	1.8
57	YHR068W	DYS1	1.8
58	YBR187W	GDT1	1.8
59	YOR310C	NOP58	1.8
60	YOR272W	YTM1	1.8
61	YIR012W	SQT1	1.8
62	YBL039C	URA7	1.8
63	YGR185C	TYS1	1.8
64	YLR175W	CBF5	1.8
65	YJR124C	YJR124C	1.8
66	YIL078W	THS1	1.8
67	YOR243C	PUS7	1.8
68	YCR047C	BUD23	1.8
69	YBR271W	EFM2	1.8
70	YGL097W	SRM1	1.7
71	YHR052W	CIC1	1.7
72	YMR093W	UTP15	1.7
73	YDR398W	UTP5	1.7
74	YMR049C	ERB1	1.7
75	YNR054C	ESF2	1.7
76	YNL096C	RPS7B	1.7
77	YMR123W	PKR1	1.7
78	YER025W	GCD11	1.7
79	YNL151C	RPC31	1.7
80	YKR026C	GCN3	1.7
81	YHR013C	ARD1	1.7
82	YDR101C	ARX1	1.7
83	YGR159C	NSR1	1.7
84	YOL022C	TSR4	1.7
85	YGL078C	DBP3	1.7
86	YLR197W	NOP56	1.7
87	YAL059W	ECM1	1.7
88	YDL060W	TSR1	1.7
89	YGR245C	SDA1	1.7
90	YPL211W	NIP7	1.7
91	YEL055C	POL5	1.7
92	YNL175C	NOP13	1.7
93	YOR234C	RPL33B	1.7
94	YML022W	APT1	1.7
95	YDL082W	RPL13A	1.7
96	YPR041W	TIF5	1.7
97	YNR015W	SMM1	1.7
98	YOR145C	PNO1	1.7
99	YLR172C	DPH5	1.7
100	YKL009W	MRT4	1.7
101	YLR401C	DUS3	1.7
102	YHR128W	FUR1	1.7
103	YNL292W	PUS4	1.7
104	YMR131C	RRB1	1.7
105	YPR163C	TIF3	1.7
106	YGR214W	RPS0A	1.7
107	YHL011C	PRS3	1.7
108	YKR025W	RPC37	1.7
109	YHR025W	THR1	1.7
110	YLR405W	DUS4	1.7
111	YML056C	IMD4	1.7
112	YNL182C	IPI3	1.7
113	YDR324C	UTP4	1.7
114	YMR290C	HAS1	1.7
115	YGR128C	UTP8	1.7
116	YNL141W	AAH1	1.7
117	YER165W	PAB1	1.7
118	YGR103W	NOP7	1.7
119	YER049W	TPA1	1.7
120	YDL208W	NHP2	1.7
121	YJL050W	MTR4	1.7
122	YBR252W	DUT1	1.7
123	YJR046W	TAH11	1.7
124	YHR062C	RPP1	1.7
125	YIL142W	CCT2	1.7
126	YLR448W	RPL6B	1.7
127	YIL133C	RPL16A	1.7
128	YDR245W	MNN10	1.7
129	YGR145W	ENP2	1.7
130	YPR118W	MRI1	1.7
131	YHR064C	SSZ1	1.7
132	YLR017W	MEU1	1.7
133	YPL266W	DIM1	1.7
134	YGL076C	RPL7A	1.7
135	YML073C	RPL6A	1.7
136	YIL019W	FAF1	1.7
137	YNR046W	TRM112	1.7
138	YDR465C	RMT2	1.7
139	YLR432W	IMD3	1.7
140	YPR010C	RPA135	1.7
141	YCR072C	RSA4	1.7
142	YHR148W	IMP3	1.7
143	YJL148W	RPA34	1.7
144	YLR196W	PWP1	1.7
145	YGR280C	PXR1	1.7
146	YNL064C	YDJ1	1.7
147	YNL232W	CSL4	1.7
148	YNL132W	KRE33	1.7
149	YNL061W	NOP2	1.7
150	YHR019C	DED81	1.7
151	YKR043C	SHB17	1.7
152	YDR300C	PRO1	1.7
153	YNL075W	IMP4	1.7
154	YLR221C	RSA3	1.7
155	YLR409C	UTP21	1.7
156	YHR149C	SKG6	1.7
157	YDR429C	TIF35	1.7
158	YJL122W	ALB1	1.7
159	YLR129W	DIP2	1.7
160	YIL020C	HIS6	1.6
161	YMR146C	TIF34	1.6
162	YDR087C	RRP1	1.6
163	YMR229C	RRP5	1.6
164	YLR060W	FRS1	1.6
165	YDL064W	UBC9	1.6
166	YGL105W	ARC1	1.6
167	YBR025C	OLA1	1.6
168	YMR310C	UPA2	1.6
169	YLR449W	FPR4	1.6
170	YOL052C	SPE2	1.6
171	YBR031W	RPL4A	1.6
172	YJR072C	NPA3	1.6
173	YBR084W	MIS1	1.6
174	YOR260W	GCD1	1.6
175	YHR216W	IMD2	1.6
176	YNL112W	DBP2	1.6
177	YPL217C	BMS1	1.6
178	YNL247W	CRS1	1.6
179	YLR186W	EMG1	1.6
180	YHR144C	DCD1	1.6
181	YDR025W	RPS11A	1.6
182	YJL191W	RPS14B	1.6
183	YBR261C	TAE1	1.6
184	YIL052C	RPL34B	1.6
185	YOR224C	RPB8	1.6
186	YPL081W	RPS9A	1.6
187	YMR308C	PSE1	1.6
188	YBL024W	NCL1	1.6
189	YPR144C	NOC4	1.6
190	YDR190C	RVB1	1.6
191	YER110C	KAP123	1.6
192	YKR081C	RPF2	1.6
193	YLR150W	STM1	1.6
194	YPL043W	NOP4	1.6
195	YLR222C	UTP13	1.6
196	YJL190C	RPS22A	1.6
197	YML014W	TRM9	1.6
198	YDR496C	PUF6	1.6
199	YGL123W	RPS2	1.6
200	YHR085W	IPI1	1.6
201	YPL245W	YPL245W	1.6
202	YOL125W	TRM13	1.6
203	YDR152W	GIR2	1.6
204	YCL011C	GBP2	1.6
205	YGL225W	VRG4	1.6
206	YPL237W	SUI3	1.6
207	YJR002W	MPP10	1.6
208	YIL064W	EFM4	1.6
209	YNR003C	RPC34	1.6
210	YOR168W	GLN4	1.6
211	YOR206W	NOC2	1.6
212	YBR079C	RPG1	1.6
213	YDR144C	MKC7	1.6
214	YPL263C	KEL3	1.6
215	YIL110W	HPM1	1.6
216	YEL054C	RPL12A	1.6
217	YML125C	PGA3	1.6
218	YCR057C	PWP2	1.6
219	YBR267W	REI1	1.6
220	YKR092C	SRP40	1.6
221	YHR196W	UTP9	1.6
222	YKL021C	MAK11	1.6
223	YOR246C	ENV9	1.6
224	YKL029C	MAE1	1.6
225	YGR177C	ATF2	1.6
226	YDR384C	ATO3	1.6
227	YHL039W	EFM1	1.6
228	YLR340W	RPP0	1.6
229	YNL255C	GIS2	1.6
230	YBL068W	PRS4	1.6
231	YJR007W	SUI2	1.6
232	YIL131C	FKH1	1.6
233	YLR276C	DBP9	1.6
234	YPR187W	RPO26	1.6
235	YBR265W	TSC10	1.6
236	YOR101W	RAS1	1.6
237	YOR004W	UTP23	1.6
238	YOR294W	RRS1	1.6
239	YLR293C	GSP1	1.6
240	YPR190C	RPC82	1.6
241	YPR060C	ARO7	1.6
242	YHR070W	TRM5	1.6
243	YCR059C	YIH1	1.6
244	YDL112W	TRM3	1.6
245	YDR060W	MAK21	1.6
246	YGR195W	SKI6	1.6
247	YNL256W	FOL1	1.6
248	YGL148W	ARO2	1.6
249	YOR021C	SFM1	1.6
250	YDR120C	TRM1	1.6
251	YBR189W	RPS9B	1.6
252	YKL078W	DHR2	1.6
253	YIL016W	SNL1	1.6
254	YGR094W	VAS1	1.6
255	YOR341W	RPA190	1.6
256	YLR413W	INA1	1.6
257	YMR243C	ZRC1	1.6
258	YGL171W	ROK1	1.6
259	YAL012W	CYS3	1.6
260	YKL172W	EBP2	1.6
261	YPL226W	NEW1	1.6
262	YMR301C	ATM1	1.6
263	YHR204W	MNL1	1.6
264	YJL136C	RPS21B	1.6
265	YDR412W	RRP17	1.6
266	YPR137W	RRP9	1.6
267	YHL033C	RPL8A	1.6
268	YKR038C	KAE1	1.6
269	YHR049W	FSH1	1.6
270	YGR187C	HGH1	1.6
271	YDR012W	RPL4B	1.6
272	YPL160W	CDC60	1.6
273	YFR031C-A	RPL2A	1.6
274	YLR291C	GCD7	1.6
275	YER131W	RPS26B	1.6
276	YNL290W	RFC3	1.6
277	YJL069C	UTP18	1.6
278	YCR016W	RBP95	1.6
279	YLL022C	HIF1	1.6
280	YJL080C	SCP160	1.6
281	YPL207W	TYW1	1.6
282	YER074W	RPS24A	1.6
283	YKL014C	URB1	1.6
284	YML106W	URA5	1.6
285	YJL125C	GCD14	1.6
286	YBL028C	YBL028C	1.6
287	YDR188W	CCT6	1.6
288	YLR244C	MAP1	1.6
289	YLR435W	TSR2	1.6
290	YDR091C	RLI1	1.6
291	YBR191W	RPL21A	1.6
292	YKL113C	RAD27	1.6
293	YCL054W	SPB1	1.6
294	YOL061W	PRS5	1.6
295	YBR154C	RPB5	1.6
296	YNR053C	NOG2	1.6
297	YER082C	UTP7	1.6
298	YGR262C	BUD32	1.6
299	YGR085C	RPL11B	1.6
300	YHR197W	RIX1	1.6
301	YOR276W	CAF20	1.6
302	YGR234W	YHB1	1.6
303	YER043C	SAH1	1.6
