SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MIC26

Rank	Gene	Common	Score
Q	YGR235C	MIC26	
1	YGR132C	PHB1	2.0
2	YKL016C	ATP7	2.0
3	YBL038W	MRPL16	2.0
4	YGR183C	QCR9	2.0
5	YNL100W	MIC27	1.9
6	YER182W	FMP10	1.9
7	YOR215C	AIM41	1.9
8	YDR031W	MIX14	1.9
9	YGL191W	COX13	1.9
10	YKL150W	MCR1	1.9
11	YEL012W	UBC8	1.9
12	YMR256C	COX7	1.9
13	YGR008C	STF2	1.9
14	YDR529C	QCR7	1.9
15	YJL166W	QCR8	1.9
16	YLR295C	ATP14	1.9
17	YPL078C	ATP4	1.8
18	YIL098C	FMC1	1.8
19	YFR033C	QCR6	1.8
20	YGR234W	YHB1	1.8
21	YHR051W	COX6	1.8
22	YLR038C	COX12	1.8
23	YFR049W	KGD4	1.8
24	YDL004W	ATP16	1.8
25	YBR230C	OM14	1.8
26	YIL157C	COA1	1.8
27	YDR486C	VPS60	1.8
28	YGR174C	CBP4	1.8
29	YER050C	RSM18	1.8
30	YIL062C	ARC15	1.8
31	YGR231C	PHB2	1.8
32	YDL110C	TMA17	1.8
33	YFL030W	AGX1	1.8
34	YGR220C	MRPL9	1.8
35	YDR178W	SDH4	1.8
36	YDR377W	ATP17	1.8
37	YDL130W-A	STF1	1.8
38	YEL024W	RIP1	1.8
39	YNR007C	ATG3	1.8
40	YGR207C	CIR1	1.8
41	YBR269C	SDH8	1.8
42	YBR039W	ATP3	1.7
43	YJL155C	FBP26	1.7
44	YBR120C	CBP6	1.7
45	YOR036W	PEP12	1.7
46	YMR197C	VTI1	1.7
47	YML129C	COX14	1.7
48	YKR046C	PLN1	1.7
49	YDR358W	GGA1	1.7
50	YDR513W	GRX2	1.7
51	YKL141W	SDH3	1.7
52	YGL219C	MDM34	1.7
53	YBL045C	COR1	1.7
54	YHR001W-A	QCR10	1.7
55	YDR171W	HSP42	1.7
56	YHR138C	YHR138C	1.7
57	YFR004W	RPN11	1.7
58	YHR147C	MRPL6	1.7
59	YBR185C	MBA1	1.7
60	YGR028W	MSP1	1.7
61	YDR231C	COX20	1.7
62	YNL015W	PBI2	1.7
63	YKL065C	YET1	1.7
64	YKR049C	FMP46	1.7
65	YLL041C	SDH2	1.7
66	YGR209C	TRX2	1.7
67	YMR110C	HFD1	1.7
68	YGL187C	COX4	1.7
69	YDR032C	PST2	1.7
70	YML030W	RCF1	1.7
71	YFR003C	YPI1	1.7
72	YHR121W	LSM12	1.7
73	YPR191W	QCR2	1.7
74	YDR298C	ATP5	1.7
75	YIL124W	AYR1	1.7
76	YIL155C	GUT2	1.7
77	YJL066C	MPM1	1.7
78	YNL081C	SWS2	1.7
79	YGL226W	MTC3	1.7
80	YLR395C	COX8	1.7
81	YBR122C	MRPL36	1.7
82	YBR282W	MRPL27	1.7
83	YGR076C	MRPL25	1.7
84	YDR511W	SDH7	1.7
85	YDR059C	UBC5	1.7
86	YBL078C	ATG8	1.7
87	YMR302C	YME2	1.7
88	YGR043C	NQM1	1.7
89	YDL072C	YET3	1.7
90	YBR024W	SCO2	1.7
91	YCL035C	GRX1	1.7
92	YPL186C	UIP4	1.7
93	YOL071W	SDH5	1.7
94	YPR020W	ATP20	1.7
95	YBR290W	BSD2	1.7
96	YPL154C	PEP4	1.7
97	YKL142W	MRP8	1.7
98	YGL121C	GPG1	1.7
99	YPL206C	PGC1	1.7
100	YDR079W	PET100	1.7
101	YFR011C	MIC19	1.7
102	YLR270W	DCS1	1.7
103	YKL067W	YNK1	1.7
104	YGL047W	ALG13	1.7
105	YGR232W	NAS6	1.7
106	YDR196C	CAB5	1.7
107	YOR173W	DCS2	1.7
108	YIL136W	OM45	1.7
109	YOR120W	GCY1	1.6
110	YNL177C	MRPL22	1.6
111	YOL048C	RRT8	1.6
112	YJR077C	MIR1	1.6
113	YGL037C	PNC1	1.6
114	YCL052C	PBN1	1.6
115	YER094C	PUP3	1.6
116	YNR036C	MRPS12	1.6
117	YIL065C	FIS1	1.6
118	YHR198C	AIM18	1.6
119	YOR285W	RDL1	1.6
120	YEL011W	GLC3	1.6
121	YFL038C	YPT1	1.6
122	YOL053W	AIM39	1.6
123	YGR135W	PRE9	1.6
124	YBR137W	YBR137W	1.6
125	YML128C	MSC1	1.6
126	YDR272W	GLO2	1.6
127	YDL234C	GYP7	1.6
