SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SAY1

Rank	Gene	Common	Score
Q	YGR263C	SAY1	
1	YDR284C	DPP1	2.4
2	YNL326C	PFA3	2.3
3	YFR047C	BNA6	2.3
4	YGR199W	PMT6	2.3
5	YGL067W	NPY1	2.2
6	YDR376W	ARH1	2.2
7	YLR231C	BNA5	2.2
8	YGL221C	NIF3	2.2
9	YOL003C	PFA4	2.2
10	YIL088C	AVT7	2.2
11	YGL004C	RPN14	2.2
12	YDR503C	LPP1	2.2
13	YDR084C	TVP23	2.2
14	YGL084C	GUP1	2.2
15	YGR232W	NAS6	2.2
16	YHR101C	BIG1	2.2
17	YNL026W	SAM50	2.1
18	YOR003W	YSP3	2.1
19	YDR287W	INM2	2.1
20	YDR519W	FPR2	2.1
21	YGL154C	LYS5	2.1
22	YPL087W	YDC1	2.1
23	YGR284C	ERV29	2.1
24	YKL034W	TUL1	2.1
25	YKR088C	TVP38	2.1
26	YHR075C	PPE1	2.1
27	YJR099W	YUH1	2.1
28	YHR110W	ERP5	2.1
29	YDR518W	EUG1	2.1
30	YHR076W	PTC7	2.1
31	YGR171C	MSM1	2.1
32	YGL104C	VPS73	2.1
33	YGL124C	MON1	2.1
34	YER101C	AST2	2.1
35	YPR006C	ICL2	2.1
36	YDL200C	MGT1	2.1
37	YMR150C	IMP1	2.1
38	YDR435C	PPM1	2.1
39	YGR261C	APL6	2.1
40	YIR039C	YPS6	2.0
41	YPL206C	PGC1	2.0
42	YDR411C	DFM1	2.0
43	YDR294C	DPL1	2.0
44	YGR255C	COQ6	2.0
45	YOR288C	MPD1	2.0
46	YEL004W	YEA4	2.0
47	YKL219W	COS9	2.0
48	YPL214C	THI6	2.0
49	YCR044C	PER1	2.0
50	YMR191W	SPG5	2.0
51	YGL223C	COG1	2.0
52	YDL193W	NUS1	2.0
53	YLR128W	DCN1	2.0
54	YGR169C	PUS6	2.0
55	YGR206W	MVB12	2.0
56	YOR280C	FSH3	2.0
57	YDR479C	PEX29	2.0
58	YAL058W	CNE1	2.0
59	YBR070C	ALG14	2.0
60	YOR245C	DGA1	2.0
61	YJL139C	YUR1	2.0
62	YGL136C	MRM2	2.0
63	YJR102C	VPS25	2.0
64	YGR077C	PEX8	2.0
65	YMR025W	CSI1	2.0
66	YHR028C	DAP2	2.0
67	YGL161C	YIP5	2.0
68	YDR368W	YPR1	2.0
69	YGR141W	VPS62	2.0
70	YGR194C	XKS1	2.0
71	YHR181W	SVP26	2.0
72	YDR059C	UBC5	2.0
73	YGL196W	DSD1	2.0
74	YOL031C	SIL1	2.0
75	YIL120W	QDR1	2.0
76	YMR020W	FMS1	2.0
77	YGL002W	ERP6	2.0
78	YER039C	HVG1	2.0
79	YJL126W	NIT2	2.0
80	YDL045C	FAD1	2.0
81	YGL208W	SIP2	2.0
82	YBR201W	DER1	2.0
83	YMR170C	ALD2	2.0
84	YDR400W	URH1	2.0
85	YGR010W	NMA2	2.0
86	YLR207W	HRD3	2.0
87	YGL047W	ALG13	2.0
88	YEL066W	HPA3	2.0
89	YMR092C	AIP1	2.0
90	YML070W	DAK1	2.0
91	YIL124W	AYR1	2.0
92	YDR058C	TGL2	2.0
93	YLR361C	DCR2	2.0
94	YIL014W	MNT3	2.0
95	YGL213C	SKI8	2.0
96	YNL325C	FIG4	2.0
97	YFR024C-A	LSB3	2.0
98	YDR205W	MSC2	2.0
99	YOR037W	CYC2	2.0
100	YDL115C	IWR1	2.0
101	YDR100W	TVP15	2.0
102	YKL174C	TPO5	2.0
103	YPR176C	BET2	2.0
104	YPR079W	MRL1	2.0
105	YML011C	RAD33	2.0
106	YPL152W	RRD2	2.0
107	YOL055C	THI20	2.0
108	YGR258C	RAD2	2.0
109	YOL122C	SMF1	2.0
110	YLR080W	EMP46	2.0
111	YDL103C	QRI1	2.0
112	YHR067W	HTD2	2.0
113	YOR278W	HEM4	2.0
114	YFL029C	CAK1	2.0
115	YJL091C	GWT1	2.0
116	YMR119W	ASI1	2.0
117	YGL027C	CWH41	2.0
118	YGL017W	ATE1	2.0
119	YGL142C	GPI10	2.0
120	YHL048W	COS8	2.0
121	YJR131W	MNS1	2.0
122	YGL130W	CEG1	2.0
123	YBR014C	GRX7	1.9
124	YNL130C	CPT1	1.9
125	YFR043C	IRC6	1.9
126	YLR459W	GAB1	1.9
127	YPL244C	HUT1	1.9
128	YMR113W	FOL3	1.9
129	YOL065C	INP54	1.9
130	YNL128W	TEP1	1.9
131	YHR123W	EPT1	1.9
132	YFL062W	COS4	1.9
133	YGR101W	PCP1	1.9
134	YHR074W	QNS1	1.9
135	YFL046W	FMP32	1.9
136	YBR272C	HSM3	1.9
137	YMR184W	ADD37	1.9
138	YEL064C	AVT2	1.9
139	YLR362W	STE11	1.9
140	YPR134W	MSS18	1.9
141	YBR234C	ARC40	1.9
142	YMR026C	PEX12	1.9
143	YGR295C	COS6	1.9
144	YOR002W	ALG6	1.9
145	YHR011W	DIA4	1.9
146	YHR017W	YSC83	1.9
147	YKL039W	PTM1	1.9
148	YBR006W	UGA2	1.9
149	YIL039W	TED1	1.9
150	YNL168C	FMP41	1.9
151	YCL052C	PBN1	1.9
152	YOL013C	HRD1	1.9
153	YFR021W	ATG18	1.9
154	YOL129W	VPS68	1.9
155	YOL088C	MPD2	1.9
156	YHR034C	PIH1	1.9
157	YJL097W	PHS1	1.9
158	YDL078C	MDH3	1.9
159	YHR171W	ATG7	1.9
160	YGL053W	PRM8	1.9
161	YMR088C	VBA1	1.9
162	YHR106W	TRR2	1.9
163	YIL007C	NAS2	1.9
164	YNL003C	PET8	1.9
165	YPR140W	TAZ1	1.9
166	YGR244C	LSC2	1.9
167	YCR019W	MAK32	1.9
168	YFL041W	FET5	1.9
169	YBR229C	ROT2	1.9
170	YGL143C	MRF1	1.9
171	YLR360W	VPS38	1.9
172	YGR262C	BUD32	1.9
173	YNL159C	ASI2	1.9
174	YGL126W	SCS3	1.9
