SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: IMA1

Rank	Gene	Common	Score
Q	YGR287C	IMA1	
1	YBR299W	MAL32	2.1
2	YJL221C	IMA4	2.0
3	YLR307W	CDA1	2.0
4	YIL172C	IMA3	2.0
5	YGR289C	MAL11	1.9
6	YGR292W	MAL12	1.9
7	YBR298C	MAL31	1.8
8	YOL157C	IMA2	1.8
9	YDR516C	EMI2	1.7
10	YIL097W	FYV10	1.7
11	YHL021C	AIM17	1.7
12	YFR053C	HXK1	1.7
13	YER067W	RGI1	1.7
14	YCL040W	GLK1	1.7
15	YIL162W	SUC2	1.6
16	YLR327C	TMA10	1.6
17	YLR270W	DCS1	1.6
18	YJR008W	MHO1	1.6
19	YDR436W	PPZ2	1.6
20	YMR020W	FMS1	1.6
21	YCR091W	KIN82	1.6
22	YDR435C	PPM1	1.6
23	YLR258W	GSY2	1.6
24	YBL064C	PRX1	1.6
25	YLL026W	HSP104	1.6
26	YGR288W	MAL13	1.6
27	YBR280C	SAF1	1.6
28	YGL037C	PNC1	1.6
29	YGR243W	MPC3	1.6
30	YFR017C	IGD1	1.6
31	YGR099W	TEL2	1.5
32	YER098W	UBP9	1.5
33	YLR037C	PAU23	1.5
34	YEL060C	PRB1	1.5
35	YIL099W	SGA1	1.5
36	YGL250W	RMR1	1.5
37	YDR258C	HSP78	1.5
38	YIL107C	PFK26	1.5
39	YEL011W	GLC3	1.5
40	YLR251W	SYM1	1.5
41	YAL060W	BDH1	1.5
42	YDR171W	HSP42	1.5
43	YDR178W	SDH4	1.5
44	YFR015C	GSY1	1.5
45	YPL230W	USV1	1.5
46	YNR001C	CIT1	1.5
47	YMR105C	PGM2	1.5
48	YIR039C	YPS6	1.5
49	YBR203W	COS111	1.5
50	YOR178C	GAC1	1.5
51	YLR149C	GID11	1.5
52	YOL117W	RRI2	1.5
53	YDR148C	KGD2	1.5
54	YMR053C	STB2	1.5
55	YMR250W	GAD1	1.5
56	YGR043C	NQM1	1.5
57	YKR076W	ECM4	1.5
58	YLL039C	UBI4	1.5
59	YMR280C	CAT8	1.5
60	YML042W	CAT2	1.5
61	YMR081C	ISF1	1.5
62	YGR019W	UGA1	1.5
63	YPR026W	ATH1	1.5
64	YDL021W	GPM2	1.5
