SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL14B

Rank	Gene	Common	Score
Q	YHL001W	RPL14B	
1	YKL006W	RPL14A	7.0
2	YER117W	RPL23B	5.4
3	YBL087C	RPL23A	5.4
4	YOR234C	RPL33B	5.3
5	YEL054C	RPL12A	5.3
6	YBR189W	RPS9B	5.3
7	YHR010W	RPL27A	5.3
8	YDR471W	RPL27B	5.2
9	YBR191W	RPL21A	5.2
10	YPL143W	RPL33A	5.1
11	YJL190C	RPS22A	5.1
12	YDL082W	RPL13A	5.1
13	YDL083C	RPS16B	5.1
14	YGR085C	RPL11B	5.1
15	YGR118W	RPS23A	5.0
16	YIL133C	RPL16A	5.0
17	YJL136C	RPS21B	5.0
18	YER074W	RPS24A	5.0
19	YPL079W	RPL21B	5.0
20	YOL120C	RPL18A	5.0
21	YML073C	RPL6A	5.0
22	YDR418W	RPL12B	5.0
23	YMR242C	RPL20A	5.0
24	YJL177W	RPL17B	4.9
25	YKR057W	RPS21A	4.9
26	YKL180W	RPL17A	4.9
27	YOR293W	RPS10A	4.9
28	YGL031C	RPL24A	4.9
29	YMR142C	RPL13B	4.9
30	YIL052C	RPL34B	4.9
31	YGR034W	RPL26B	4.9
32	YHR021C	RPS27B	4.9
33	YPR102C	RPL11A	4.9
34	YLR344W	RPL26A	4.9
35	YLR333C	RPS25B	4.8
36	YHL033C	RPL8A	4.8
37	YNL302C	RPS19B	4.8
38	YGR214W	RPS0A	4.8
39	YOR096W	RPS7A	4.8
40	YLR061W	RPL22A	4.8
41	YLR448W	RPL6B	4.8
42	YNL069C	RPL16B	4.8
43	YLR388W	RPS29A	4.8
44	YER131W	RPS26B	4.8
45	YDL075W	RPL31A	4.8
46	YGR027C	RPS25A	4.8
47	YBL027W	RPL19B	4.8
48	YDR064W	RPS13	4.8
49	YGR148C	RPL24B	4.8
50	YNL162W	RPL42A	4.8
51	YIL069C	RPS24B	4.8
52	YMR143W	RPS16A	4.8
53	YLR264W	RPS28B	4.8
54	YDR450W	RPS18A	4.7
55	YGL030W	RPL30	4.7
56	YOR312C	RPL20B	4.7
57	YMR194W	RPL36A	4.7
58	YDR500C	RPL37B	4.7
59	YGL147C	RPL9A	4.7
60	YNL096C	RPS7B	4.7
61	YPR043W	RPL43A	4.7
62	YDR025W	RPS11A	4.7
63	YLR185W	RPL37A	4.7
64	YBR048W	RPS11B	4.7
65	YER102W	RPS8B	4.7
66	YML024W	RPS17A	4.7
67	YOL127W	RPL25	4.7
68	YGL103W	RPL28	4.6
69	YNL301C	RPL18B	4.6
70	YPR132W	RPS23B	4.6
71	YML026C	RPS18B	4.6
72	YLR441C	RPS1A	4.6
73	YNL067W	RPL9B	4.6
74	YFR031C-A	RPL2A	4.6
75	YHR141C	RPL42B	4.6
76	YOL040C	RPS15	4.6
77	YDL061C	RPS29B	4.6
78	YOR167C	RPS28A	4.6
79	YDL081C	RPP1A	4.6
80	YLR325C	RPL38	4.6
81	YLR048W	RPS0B	4.5
82	YBL072C	RPS8A	4.5
83	YCR031C	RPS14A	4.5
84	YER056C-A	RPL34A	4.5
85	YDR447C	RPS17B	4.5
86	YBR084C-A	RPL19A	4.5
87	YGL123W	RPS2	4.5
88	YLL045C	RPL8B	4.5
89	YGL076C	RPL7A	4.5
90	YDL130W	RPP1B	4.5
91	YOL039W	RPP2A	4.5
92	YMR230W	RPS10B	4.5
93	YNL178W	RPS3	4.5
94	YDR382W	RPP2B	4.5
95	YML063W	RPS1B	4.5
96	YJL191W	RPS14B	4.4
97	YJR094W-A	RPL43B	4.4
98	YIL148W	RPL40A	4.4
99	YIL018W	RPL2B	4.4
100	YLR406C	RPL31B	4.4
101	YPL081W	RPS9A	4.4
102	YLR367W	RPS22B	4.4
103	YPL090C	RPS6A	4.4
104	YOL121C	RPS19A	4.4
105	YKR094C	RPL40B	4.4
106	YKL156W	RPS27A	4.3
107	YOR369C	RPS12	4.3
108	YJR123W	RPS5	4.3
109	YJR145C	RPS4A	4.3
110	YBL092W	RPL32	4.3
111	YHL015W	RPS20	4.3
112	YGL189C	RPS26A	4.2
113	YPL131W	RPL5	4.2
114	YHR203C	RPS4B	4.2
115	YDL191W	RPL35A	4.2
