SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YHL017W

Rank	Gene	Common	Score
Q	YHL017W	YHL017W	
1	YLR307W	CDA1	1.9
2	YHL003C	LAG1	1.7
3	YEL013W	VAC8	1.5
4	YDR091C	RLI1	1.5
5	YOR002W	ALG6	1.5
6	YGR216C	GPI1	1.5
7	YJL002C	OST1	1.5
8	YOR067C	ALG8	1.5
9	YNL307C	MCK1	1.5
10	YER125W	RSP5	1.5
11	YLR083C	EMP70	1.5
12	YDR119W	VBA4	1.5
13	YGL238W	CSE1	1.5
14	YER113C	TMN3	1.4
15	YPL145C	KES1	1.4
16	YLR347C	KAP95	1.4
17	YGL016W	KAP122	1.4
18	YGR264C	MES1	1.4
19	YBR041W	FAT1	1.4
20	YHR133C	NSG1	1.4
21	YDL015C	TSC13	1.4
22	YDR307W	PMT7	1.4
23	YOR270C	VPH1	1.4
24	YOR085W	OST3	1.4
25	YMR212C	EFR3	1.4
26	YGR117C	YGR117C	1.4
27	YBR029C	CDS1	1.4
28	YGR026W	YGR026W	1.4
29	YNL219C	ALG9	1.4
30	YOR175C	ALE1	1.4
31	YHR181W	SVP26	1.4
32	YKL057C	NUP120	1.4
33	YMR092C	AIP1	1.4
34	YNR055C	HOL1	1.4
35	YGR077C	PEX8	1.4
36	YBR205W	KTR3	1.4
37	YER118C	SHO1	1.4
38	YMR308C	PSE1	1.4
39	YGL190C	CDC55	1.4
40	YFR009W	GCN20	1.4
41	YCR044C	PER1	1.4
42	YGL084C	GUP1	1.4
43	YDR470C	UGO1	1.4
44	YOL061W	PRS5	1.4
45	YKL100C	YPF1	1.4
46	YCR057C	PWP2	1.4
47	YER105C	NUP157	1.4
48	YMR309C	NIP1	1.4
49	YKL104C	GFA1	1.4
50	YNL291C	MID1	1.4
51	YOR164C	GET4	1.4
52	YEL047C	FRD1	1.3
53	YMR080C	NAM7	1.3
54	YGL137W	SEC27	1.3
55	YIL090W	ICE2	1.3
56	YGR071C	ENV11	1.3
57	YJR143C	PMT4	1.3
58	YER123W	YCK3	1.3
59	YDR182W	CDC1	1.3
60	YJL193W	YJL193W	1.3
61	YER110C	KAP123	1.3
62	YBR229C	ROT2	1.3
63	YHL039W	EFM1	1.3
64	YBR017C	KAP104	1.3
65	YER157W	COG3	1.3
66	YGR173W	RBG2	1.3
67	YBR074W	PFF1	1.3
68	YNL287W	SEC21	1.3
69	YGR199W	PMT6	1.3
70	YGL112C	TAF6	1.3
71	YER025W	GCD11	1.3
72	YLR389C	STE23	1.3
73	YKL174C	TPO5	1.3
74	YJR124C	YJR124C	1.3
75	YDR456W	NHX1	1.3
76	YIL114C	POR2	1.3
77	YJR132W	NMD5	1.3
78	YHR074W	QNS1	1.3
79	YGL077C	HNM1	1.3
80	YGR227W	DIE2	1.3
81	YDR190C	RVB1	1.3
82	YLL031C	GPI13	1.3
83	YGR123C	PPT1	1.3
84	YGR185C	TYS1	1.3
85	YGL161C	YIP5	1.3
86	YMR079W	SEC14	1.3
87	YDL160C	DHH1	1.3
88	YOR087W	YVC1	1.3
89	YMR247C	RKR1	1.3
90	YDL188C	PPH22	1.3
91	YER136W	GDI1	1.3
92	YOR046C	DBP5	1.3
93	YGL020C	GET1	1.3
94	YHR151C	MTC6	1.3
95	YGL054C	ERV14	1.3
96	YOR168W	GLN4	1.3
97	YLR447C	VMA6	1.3
98	YHL015W	RPS20	1.3
99	YFR005C	SAD1	1.3
100	YOR254C	SEC63	1.3
101	YPL128C	TBF1	1.3
102	YBR042C	CST26	1.3
103	YDR284C	DPP1	1.3
104	YPR029C	APL4	1.3
105	YGR240C	PFK1	1.3
106	YKL077W	PSG1	1.3
107	YIL115C	NUP159	1.3
108	YHR020W	YHR020W	1.3
109	YHR142W	CHS7	1.3
110	YHR050W	SMF2	1.3
111	YDL141W	BPL1	1.3
112	YDR415C	YDR415C	1.3
113	YHR188C	GPI16	1.3
114	YPR118W	MRI1	1.3
115	YFL007W	BLM10	1.3
116	YIL128W	MET18	1.3
117	YOR253W	NAT5	1.3
118	YJL183W	MNN11	1.3
119	YHR123W	EPT1	1.3
120	YHR068W	DYS1	1.3
121	YNL261W	ORC5	1.3
122	YDL084W	SUB2	1.3
123	YHR009C	TDA3	1.3
124	YER124C	DSE1	1.3
125	YGL022W	STT3	1.3
126	YER107C	GLE2	1.3
127	YFR006W	YFR006W	1.3
128	YER122C	GLO3	1.3
129	YHR019C	DED81	1.3
130	YPL244C	HUT1	1.3
131	YML023C	NSE5	1.3
132	YGL213C	SKI8	1.3
133	YLR088W	GAA1	1.3
134	YGL160W	AIM14	1.3
135	YDL134C	PPH21	1.3
136	YLR060W	FRS1	1.3
137	YGR261C	APL6	1.3
138	YDL103C	QRI1	1.3
139	YPR105C	COG4	1.2
140	YGL233W	SEC15	1.2
141	YNL247W	CRS1	1.2
142	YBR080C	SEC18	1.2
143	YLR373C	VID22	1.2
144	YLR144C	ACF2	1.2
145	YGL231C	EMC4	1.2
146	YGR155W	CYS4	1.2
147	YNR021W	YNR021W	1.2
148	YOR241W	MET7	1.2
149	YGL225W	VRG4	1.2
150	YHR047C	AAP1	1.2
151	YOR243C	PUS7	1.2
152	YKR088C	TVP38	1.2
153	YCL045C	EMC1	1.2
154	YGR106C	VOA1	1.2
155	YER090W	TRP2	1.2
156	YNL248C	RPA49	1.2
157	YNR038W	DBP6	1.2
158	YDL040C	NAT1	1.2
159	YMR205C	PFK2	1.2
160	YBR288C	APM3	1.2
161	YGL100W	SEH1	1.2
162	YOR014W	RTS1	1.2
163	YGL151W	NUT1	1.2
164	YBR238C	YBR238C	1.2
165	YOL098C	SDD3	1.2
166	YDR518W	EUG1	1.2
167	YPR089W	YPR089W	1.2
168	YGL167C	PMR1	1.2
169	YIL048W	NEO1	1.2
170	YOR034C	AKR2	1.2
171	YLR459W	GAB1	1.2
172	YDL236W	PHO13	1.2
173	YHR062C	RPP1	1.2
174	YMR209C	YMR209C	1.2
175	YEL063C	CAN1	1.2
176	YDR165W	TRM82	1.2
177	YGR211W	ZPR1	1.2
178	YHR079C	IRE1	1.2
179	YGR119C	NUP57	1.2
180	YNR043W	MVD1	1.2
181	YMR203W	TOM40	1.2
182	YBR234C	ARC40	1.2
183	YGR284C	ERV29	1.2
184	YKL080W	VMA5	1.2
185	YPL226W	NEW1	1.2
186	YGL119W	COQ8	1.2
187	YHR064C	SSZ1	1.2
188	YGL245W	GUS1	1.2
189	YOL076W	MDM20	1.2
190	YLR291C	GCD7	1.2
191	YHR027C	RPN1	1.2
192	YGR260W	TNA1	1.2
193	YOL042W	NGL1	1.2
194	YLR363C	NMD4	1.2
195	YPR110C	RPC40	1.2
196	YNL189W	SRP1	1.2
197	YBR086C	IST2	1.2
198	YKL127W	PGM1	1.2
199	YGL142C	GPI10	1.2
200	YDR331W	GPI8	1.2
201	YPR181C	SEC23	1.2
202	YIL039W	TED1	1.2
203	YCR028C	FEN2	1.2
204	YIL030C	SSM4	1.2
205	YOR149C	SMP3	1.2
206	YOR086C	TCB1	1.2
207	YNR030W	ALG12	1.2
208	YBR192W	RIM2	1.2
209	YOL062C	APM4	1.2
210	YLR354C	TAL1	1.2
211	YDR062W	LCB2	1.2
212	YPL259C	APM1	1.2
213	YJL014W	CCT3	1.2
214	YHR115C	DMA1	1.2
215	YMR119W	ASI1	1.2
216	YOR151C	RPB2	1.2
217	YBL051C	PIN4	1.2
218	YML019W	OST6	1.2
219	YOR321W	PMT3	1.2
220	YBR246W	RRT2	1.2
221	YJL111W	CCT7	1.2
222	YDL143W	CCT4	1.2
223	YGR125W	VSB1	1.2
224	YNL257C	SIP3	1.2
225	YIL151C	ESL1	1.2
226	YGL139W	FLC3	1.2
227	YER140W	EMP65	1.2
228	YKL212W	SAC1	1.2
229	YCL057W	PRD1	1.2
230	YJR015W	YJR015W	1.2
231	YHR201C	PPX1	1.2
232	YDR107C	TMN2	1.2
233	YPL183C	RTT10	1.2
234	YKL018W	SWD2	1.2
235	YNL169C	PSD1	1.2
236	YML115C	VAN1	1.2
237	YLL048C	YBT1	1.2
238	YBR094W	PBY1	1.2
239	YFL048C	EMP47	1.2
240	YER100W	UBC6	1.2
241	YBR166C	TYR1	1.2
242	YHR103W	SBE22	1.2
243	YOL057W	YOL057W	1.2
244	YBR110W	ALG1	1.2
245	YEL025C	YEL025C	1.2
246	YPL179W	PPQ1	1.2
247	YGL115W	SNF4	1.2
248	YHL011C	PRS3	1.2
249	YER005W	YND1	1.2
250	YHL029C	OCA5	1.2
251	YDR422C	SIP1	1.2
252	YDL073W	AHK1	1.2
253	YDR228C	PCF11	1.2
254	YGL202W	ARO8	1.2
255	YOR204W	DED1	1.2
256	YNL158W	PGA1	1.2
257	YGL026C	TRP5	1.2
258	YER165W	PAB1	1.2
259	YDR101C	ARX1	1.2
260	YPR119W	CLB2	1.2
261	YGR080W	TWF1	1.2
262	YLR274W	MCM5	1.2
263	YDR324C	UTP4	1.2
264	YBR023C	CHS3	1.2
265	YEL002C	WBP1	1.2
266	YBR079C	RPG1	1.2
267	YDR194C	MSS116	1.2
268	YDR084C	TVP23	1.2
269	YGL195W	GCN1	1.2
270	YGR191W	HIP1	1.2
271	YGL157W	ARI1	1.2
272	YKR001C	VPS1	1.2
273	YNL121C	TOM70	1.2
274	YIL014W	MNT3	1.2
275	YBR096W	YBR096W	1.2
276	YPL235W	RVB2	1.2
277	YHR098C	SFB3	1.2
278	YBR102C	EXO84	1.2
279	YDL116W	NUP84	1.2
280	YKL025C	PAN3	1.2
281	YOR109W	INP53	1.2
282	YBR015C	MNN2	1.2
283	YGR083C	GCD2	1.2
284	YMR125W	STO1	1.2
285	YHR113W	APE4	1.2
286	YIL109C	SEC24	1.2
287	YIL085C	KTR7	1.2
288	YIL134W	FLX1	1.2
289	YOR335C	ALA1	1.2
290	YFL002C	SPB4	1.2
291	YCR053W	THR4	1.2
292	YHR186C	KOG1	1.2
293	YOR212W	STE4	1.2
294	YPL227C	ALG5	1.2
295	YMR100W	MUB1	1.2
296	YHR013C	ARD1	1.2
297	YGL206C	CHC1	1.2
298	YHL004W	MRP4	1.2
299	YPL243W	SRP68	1.2
300	YDR047W	HEM12	1.2
301	YKL014C	URB1	1.2
302	YGR111W	YGR111W	1.2
303	YJL091C	GWT1	1.2
304	YJR040W	GEF1	1.2
305	YNL263C	YIF1	1.2
306	YPL125W	KAP120	1.2
307	YOL003C	PFA4	1.2
308	YOL097C	WRS1	1.2
309	YGL257C	MNT2	1.2
310	YNL132W	KRE33	1.2
311	YBR187W	GDT1	1.2
312	YMR088C	VBA1	1.2
313	YDL095W	PMT1	1.2
314	YGL028C	SCW11	1.2
315	YMR012W	CLU1	1.2
316	YHR155W	LAM1	1.2
317	YBR283C	SSH1	1.2
318	YBR058C	UBP14	1.2
319	YMR216C	SKY1	1.2
320	YJL061W	NUP82	1.2
321	YPL050C	MNN9	1.2
322	YHR063C	PAN5	1.2
323	YNL167C	SKO1	1.2
324	YDR427W	RPN9	1.2
325	YDL185W	VMA1	1.2
326	YIL020C	HIS6	1.2
327	YBR225W	YBR225W	1.2
328	YMR243C	ZRC1	1.2
329	YHL013C	OTU2	1.2
330	YMR235C	RNA1	1.2
331	YBR164C	ARL1	1.2
332	YAR002W	NUP60	1.2
333	YPL032C	SVL3	1.2
334	YBR163W	EXO5	1.2
335	YMR231W	PEP5	1.2
336	YPL184C	MRN1	1.2
337	YDR479C	PEX29	1.2
338	YIR022W	SEC11	1.2
339	YDR496C	PUF6	1.2
340	YGL095C	VPS45	1.2
341	YGL215W	CLG1	1.2
342	YKL213C	DOA1	1.2
343	YHR197W	RIX1	1.2
344	YGR004W	PEX31	1.2
345	YDL193W	NUS1	1.2
346	YNL025C	SSN8	1.2
347	YLR372W	ELO3	1.2
348	YER111C	SWI4	1.2
349	YDR333C	RQC1	1.2
350	YDR352W	YPQ2	1.2
351	YGR276C	RNH70	1.2
352	YNL154C	YCK2	1.2
353	YDR300C	PRO1	1.2
354	YDR064W	RPS13	1.2
355	YOR357C	SNX3	1.2
356	YGR157W	CHO2	1.2
357	YFR038W	IRC5	1.2
358	YFL009W	CDC4	1.2
359	YJR016C	ILV3	1.2
360	YER086W	ILV1	1.2
361	YDR515W	SLF1	1.2
362	YGL223C	COG1	1.2
363	YIR008C	PRI1	1.2
364	YGL057C	GEP7	1.2
365	YGL159W	YGL159W	1.2
366	YHR001W	OSH7	1.2
367	YMR221C	FMP42	1.2
368	YOR260W	GCD1	1.2
369	YHR069C	RRP4	1.2
370	YGR178C	PBP1	1.2
371	YMR298W	LIP1	1.2
372	YHL019C	APM2	1.2
373	YKL004W	AUR1	1.2
374	YBR221C	PDB1	1.2
375	YHR042W	NCP1	1.2
376	YNL085W	MKT1	1.2
377	YML056C	IMD4	1.2
378	YKL165C	MCD4	1.2
379	YBR161W	CSH1	1.2
380	YPR016C	TIF6	1.2
381	YEL053C	MAK10	1.2
382	YGR285C	ZUO1	1.2
383	YNL026W	SAM50	1.2
384	YGR093W	DRN1	1.2
385	YJR003C	MRX12	1.2
386	YOR310C	NOP58	1.2
387	YGR172C	YIP1	1.2
388	YLR146C	SPE4	1.2
389	YCL048W	SPS22	1.2
390	YGR089W	NNF2	1.1
391	YHR144C	DCD1	1.1
392	YFR051C	RET2	1.1
393	YGL221C	NIF3	1.1
394	YIL049W	DFG10	1.1
395	YPL211W	NIP7	1.1
396	YJR031C	GEA1	1.1
397	YBR175W	SWD3	1.1
398	YGR266W	YGR266W	1.1
399	YKL140W	TGL1	1.1
400	YPR070W	MED1	1.1
401	YBR125C	PTC4	1.1
402	YDR172W	SUP35	1.1
403	YJL094C	KHA1	1.1
404	YCR077C	PAT1	1.1
405	YCL050C	APA1	1.1
406	YGR143W	SKN1	1.1
407	YER126C	NSA2	1.1
408	YEL043W	GTA1	1.1
409	YOR355W	GDS1	1.1
410	YPR114W	YPR114W	1.1
411	YLR443W	ECM7	1.1
412	YDL146W	LDB17	1.1
413	YGR001C	EFM5	1.1
414	YCL011C	GBP2	1.1
415	YLR285W	NNT1	1.1
416	YLR441C	RPS1A	1.1
417	YGR214W	RPS0A	1.1
418	YBR196C	PGI1	1.1
419	YGR193C	PDX1	1.1
420	YMR129W	POM152	1.1
421	YDR434W	GPI17	1.1
422	YNL280C	ERG24	1.1
423	YGL070C	RPB9	1.1
424	YBL089W	AVT5	1.1
425	YOR311C	DGK1	1.1
426	YFR044C	DUG1	1.1
427	YPL207W	TYW1	1.1
428	YHR178W	STB5	1.1
429	YGR141W	VPS62	1.1
430	YGL242C	ANK1	1.1
431	YIL033C	BCY1	1.1
432	YER141W	COX15	1.1
433	YDL133W	SRF1	1.1
434	YDL240W	LRG1	1.1
435	YML105C	SEC65	1.1
436	YJL008C	CCT8	1.1
437	YER022W	SRB4	1.1
438	YNL181W	PBR1	1.1
439	YFR002W	NIC96	1.1
440	YOR166C	SWT1	1.1
441	YBR025C	OLA1	1.1
442	YER171W	RAD3	1.1
443	YOR165W	SEY1	1.1
444	YPR159W	KRE6	1.1
445	YNL264C	PDR17	1.1
446	YDR087C	RRP1	1.1
447	YIL035C	CKA1	1.1
448	YLR418C	CDC73	1.1
449	YDR023W	SES1	1.1
450	YHR117W	TOM71	1.1
451	YIL078W	THS1	1.1
452	YEL051W	VMA8	1.1
453	YIL083C	CAB2	1.1
454	YGL172W	NUP49	1.1
455	YLR241W	CSC1	1.1
456	YDR294C	DPL1	1.1
457	YPR010C	RPA135	1.1
458	YPL270W	MDL2	1.1
459	YBR130C	SHE3	1.1
