SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPO11

Rank	Gene	Common	Score
Q	YHL022C	SPO11	
1	YLL046C	RNP1	2.3
2	YHR014W	SPO13	2.3
3	YGR059W	SPR3	2.2
4	YGL249W	ZIP2	2.2
5	YDR446W	ECM11	2.2
6	YFL003C	MSH4	2.2
7	YFR023W	PES4	2.2
8	YLR329W	REC102	2.2
9	YGR225W	AMA1	2.1
10	YOR177C	MPC54	2.1
11	YNL196C	SLZ1	2.1
12	YHR015W	MIP6	2.1
13	YHR157W	REC104	2.1
14	YER044C-A	MEI4	2.1
15	YGL251C	HFM1	2.1
16	YGL183C	MND1	2.1
17	YNL012W	SPO1	2.1
18	YIL072W	HOP1	2.0
19	YIL037C	PRM2	2.0
20	YGL033W	HOP2	2.0
21	YBR250W	SPO23	2.0
22	YBR076W	ECM8	2.0
23	YDR522C	SPS2	2.0
24	YMR101C	SRT1	2.0
25	YPL121C	MEI5	2.0
26	YHR079C-A	SAE3	2.0
27	YJL153C	INO1	2.0
28	YNL128W	TEP1	2.0
29	YBR186W	PCH2	1.9
30	YER179W	DMC1	1.9
31	YOL132W	GAS4	1.9
32	YGL170C	SPO74	1.9
33	YPL027W	SMA1	1.9
34	YOR351C	MEK1	1.9
35	YGR213C	RTA1	1.9
36	YML066C	SMA2	1.9
37	YDR403W	DIT1	1.9
38	YDR540C	IRC4	1.9
39	YJL038C	LOH1	1.9
40	YMR133W	REC114	1.9
41	YMR017W	SPO20	1.9
42	YER106W	MAM1	1.9
43	YPR001W	CIT3	1.9
44	YCL048W	SPS22	1.9
45	YDL024C	DIA3	1.9
46	YDR106W	ARP10	1.9
47	YHR185C	PFS1	1.9
48	YDR085C	AFR1	1.9
49	YPL147W	PXA1	1.9
50	YHR160C	PEX18	1.9
51	YLR013W	GAT3	1.8
52	YPL130W	SPO19	1.8
53	YHR153C	SPO16	1.8
54	YIR030C	DCG1	1.8
55	YDR218C	SPR28	1.8
56	YKL221W	MCH2	1.8
57	YIR027C	DAL1	1.8
58	YGL258W	VEL1	1.8
59	YHL024W	RIM4	1.8
60	YNL093W	YPT53	1.8
61	YIL073C	SPO22	1.8
62	YDR402C	DIT2	1.8
63	YJL106W	IME2	1.8
64	YBR045C	GIP1	1.8
65	YJL219W	HXT9	1.8
66	YBR148W	YSW1	1.8
67	YIL015W	BAR1	1.8
68	YPL200W	CSM4	1.8
69	YJR073C	OPI3	1.8
70	YPL033C	SRL4	1.8
71	YBR180W	DTR1	1.8
72	YLR307W	CDA1	1.8
73	YMR271C	URA10	1.8
74	YGL051W	MST27	1.8
75	YJL089W	SIP4	1.8
76	YPR007C	REC8	1.8
77	YOR237W	HES1	1.8
78	YLR080W	EMP46	1.8
79	YML042W	CAT2	1.8
80	YGL104C	VPS73	1.8
81	YOR255W	OSW1	1.8
82	YIR013C	GAT4	1.8
83	YDL139C	SCM3	1.8
84	YMR030W	RSF1	1.8
85	YMR025W	CSI1	1.8
86	YBR040W	FIG1	1.8
87	YCR105W	ADH7	1.8
88	YHL043W	ECM34	1.8
89	YJL037W	IRC18	1.8
90	YOL104C	NDJ1	1.8
91	YKR004C	ECM9	1.8
92	YDR317W	HIM1	1.8
93	YIL120W	QDR1	1.8
94	YNL269W	BSC4	1.8
95	YAL028W	FRT2	1.8
96	YER054C	GIP2	1.8
97	YIR028W	DAL4	1.8
98	YJL170C	ASG7	1.8
99	YMR306W	FKS3	1.8
100	YGR236C	SPG1	1.8
101	YLR284C	ECI1	1.8
102	YDR273W	DON1	1.8
103	YMR040W	YET2	1.8
104	YML047C	PRM6	1.8
105	YGL053W	PRM8	1.8
106	YNL279W	PRM1	1.8
107	YNL318C	HXT14	1.8
108	YBR294W	SUL1	1.8
109	YOR190W	SPR1	1.8
110	YHR075C	PPE1	1.8
111	YOL091W	SPO21	1.8
112	YDR285W	ZIP1	1.8
113	YPR006C	ICL2	1.7
114	YPL189W	GUP2	1.7
115	YOR003W	YSP3	1.7
116	YHR139C	SPS100	1.7
117	YGL158W	RCK1	1.7
118	YHR156C	LIN1	1.7
119	YHR184W	SSP1	1.7
120	YIL099W	SGA1	1.7
121	YDR523C	SPS1	1.7
122	YJR036C	HUL4	1.7
123	YLR054C	OSW2	1.7
124	YIR039C	YPS6	1.7
125	YBR006W	UGA2	1.7
126	YLR411W	CTR3	1.7
127	YDR383C	NKP1	1.7
128	YEL035C	UTR5	1.7
129	YHR067W	HTD2	1.7
130	YJR133W	XPT1	1.7
131	YDL193W	NUS1	1.7
132	YGL090W	LIF1	1.7
133	YKL188C	PXA2	1.7
134	YER185W	PUG1	1.7
135	YNL009W	IDP3	1.7
136	YCL055W	KAR4	1.7
137	YPR151C	SUE1	1.7
138	YLR004C	THI73	1.7
