SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NPR3

Rank	Gene	Common	Score
Q	YHL023C	NPR3	
1	YGR170W	PSD2	2.5
2	YGR270W	YTA7	2.4
3	YFR031C	SMC2	2.4
4	YGL151W	NUT1	2.4
5	YNL059C	ARP5	2.4
6	YGL094C	PAN2	2.4
7	YPL115C	BEM3	2.4
8	YJR090C	GRR1	2.4
9	YDR159W	SAC3	2.3
10	YDL056W	MBP1	2.3
11	YDR407C	TRS120	2.3
12	YGR119C	NUP57	2.3
13	YGL110C	CUE3	2.3
14	YGR274C	TAF1	2.3
15	YGL093W	SPC105	2.3
16	YOR304W	ISW2	2.3
17	YBR081C	SPT7	2.3
18	YHR158C	KEL1	2.3
19	YGL203C	KEX1	2.3
20	YPR057W	BRR1	2.2
21	YIL002C	INP51	2.2
22	YDR104C	SPO71	2.2
23	YLR071C	RGR1	2.2
24	YIL026C	IRR1	2.2
25	YIL115C	NUP159	2.2
26	YGL133W	ITC1	2.2
27	YDR200C	VPS64	2.2
28	YML104C	MDM1	2.2
29	YDR176W	NGG1	2.2
30	YIL005W	EPS1	2.2
31	YFR013W	IOC3	2.2
32	YDR217C	RAD9	2.2
33	YGR047C	TFC4	2.2
34	YGR271W	SLH1	2.2
35	YEL061C	CIN8	2.2
36	YMR207C	HFA1	2.2
37	YLR039C	RIC1	2.2
38	YHR119W	SET1	2.2
39	YPR189W	SKI3	2.2
40	YBR102C	EXO84	2.2
41	YKR028W	SAP190	2.2
42	YOL138C	RTC1	2.2
43	YER167W	BCK2	2.2
44	YLR425W	TUS1	2.2
45	YNL041C	COG6	2.2
46	YDL074C	BRE1	2.2
47	YIR023W	DAL81	2.2
48	YLR357W	RSC2	2.2
49	YJR089W	BIR1	2.2
50	YER151C	UBP3	2.2
51	YER093C	TSC11	2.2
52	YIR010W	DSN1	2.2
53	YLR371W	ROM2	2.2
54	YNL236W	SIN4	2.2
55	YIL149C	MLP2	2.1
56	YPR105C	COG4	2.1
57	YOL148C	SPT20	2.1
58	YJR138W	IML1	2.1
59	YIL128W	MET18	2.1
60	YKR021W	ALY1	2.1
61	YGR278W	CWC22	2.1
62	YML049C	RSE1	2.1
63	YBR123C	TFC1	2.1
64	YFL008W	SMC1	2.1
65	YDR303C	RSC3	2.1
66	YDR052C	DBF4	2.1
67	YMR075W	RCO1	2.1
68	YBL052C	SAS3	2.1
69	YFL013C	IES1	2.1
70	YGL092W	NUP145	2.1
71	YHR155W	LAM1	2.1
72	YDL116W	NUP84	2.1
73	YIL068C	SEC6	2.1
74	YDR147W	EKI1	2.1
75	YER008C	SEC3	2.1
76	YDL231C	BRE4	2.1
77	YNL297C	MON2	2.1
78	YGR196C	FYV8	2.1
79	YIL126W	STH1	2.1
80	YJL061W	NUP82	2.1
81	YNL103W	MET4	2.1
82	YOR275C	RIM20	2.1
83	YBR227C	MCX1	2.1
84	YLR309C	IMH1	2.1
85	YPL007C	TFC8	2.1
86	YDR335W	MSN5	2.1
87	YIL095W	PRK1	2.1
88	YLR086W	SMC4	2.1
89	YDL225W	SHS1	2.1
90	YIL130W	ASG1	2.1
91	YHR028C	DAP2	2.1
92	YML099C	ARG81	2.1
93	YIR031C	DAL7	2.1
94	YPL195W	APL5	2.1
95	YFR002W	NIC96	2.1
96	YOL004W	SIN3	2.1
97	YHL007C	STE20	2.1
98	YER013W	PRP22	2.1
99	YKR082W	NUP133	2.1
100	YML065W	ORC1	2.1
101	YFL024C	EPL1	2.1
102	YHR103W	SBE22	2.1
103	YNL076W	MKS1	2.1
104	YLR399C	BDF1	2.1
105	YIL038C	NOT3	2.1
106	YGL207W	SPT16	2.1
107	YGR009C	SEC9	2.1
108	YMR064W	AEP1	2.1
109	YHR077C	NMD2	2.1
110	YML103C	NUP188	2.1
111	YHR063C	PAN5	2.1
112	YJL047C	RTT101	2.1
113	YKL101W	HSL1	2.1
114	YKR008W	RSC4	2.1
115	YJL204C	RCY1	2.1
116	YPL213W	LEA1	2.1
117	YKL017C	HCS1	2.1
118	YDR379W	RGA2	2.1
119	YDL058W	USO1	2.1
120	YLR189C	ATG26	2.1
121	YMR231W	PEP5	2.1
122	YOR353C	SOG2	2.1
123	YGL244W	RTF1	2.1
124	YER157W	COG3	2.0
