SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MED6

Rank	Gene	Common	Score
Q	YHR058C	MED6	
1	YIL061C	SNP1	2.5
2	YFR034C	PHO4	2.5
3	YHR062C	RPP1	2.4
4	YPR152C	URN1	2.3
5	YNL023C	FAP1	2.3
6	YPL055C	LGE1	2.3
7	YGL211W	NCS6	2.3
8	YHL013C	OTU2	2.2
9	YOR337W	TEA1	2.2
10	YMR177W	MMT1	2.2
11	YHR169W	DBP8	2.2
12	YMR128W	ECM16	2.2
13	YHR040W	BCD1	2.2
14	YDR488C	PAC11	2.2
15	YCR047C	BUD23	2.2
16	YGL246C	RAI1	2.2
17	YHR070W	TRM5	2.2
18	YNL091W	NST1	2.2
19	YNL282W	POP3	2.2
20	YCL010C	SGF29	2.2
21	YHR187W	IKI1	2.1
22	YHR085W	IPI1	2.1
23	YPL233W	NSL1	2.1
24	YBL025W	RRN10	2.1
25	YOR083W	WHI5	2.1
26	YHR148W	IMP3	2.1
27	YNL059C	ARP5	2.1
28	YNL042W	BOP3	2.1
29	YMR224C	MRE11	2.1
30	YHR069C	RRP4	2.1
31	YBR002C	RER2	2.1
32	YFR051C	RET2	2.1
33	YIL042C	PKP1	2.1
34	YLR307W	CDA1	2.1
35	YFL023W	BUD27	2.1
36	YBR213W	MET8	2.1
37	YGL044C	RNA15	2.1
38	YHR052W	CIC1	2.1
39	YHR060W	VMA22	2.1
40	YGR120C	COG2	2.1
41	YDL058W	USO1	2.0
42	YGR187C	HGH1	2.0
43	YDL030W	PRP9	2.0
44	YOR274W	MOD5	2.0
45	YLR323C	CWC24	2.0
46	YHR144C	DCD1	2.0
47	YGL254W	FZF1	2.0
48	YGL212W	VAM7	2.0
49	YNR027W	BUD17	2.0
50	YMR276W	DSK2	2.0
51	YLR074C	BUD20	2.0
52	YEL018W	EAF5	2.0
53	YNL328C	MDJ2	2.0
54	YBR267W	REI1	2.0
55	YMR068W	AVO2	2.0
56	YNR053C	NOG2	2.0
57	YHR066W	SSF1	2.0
58	YIL079C	AIR1	2.0
59	YGR129W	SYF2	2.0
60	YKL166C	TPK3	2.0
61	YNL290W	RFC3	2.0
62	YDR123C	INO2	2.0
63	YIL104C	SHQ1	2.0
64	YCR035C	RRP43	2.0
65	YMR211W	DML1	2.0
66	YHR091C	MSR1	2.0
67	YGR147C	NAT2	2.0
68	YBL093C	ROX3	2.0
69	YGR013W	SNU71	2.0
70	YER127W	LCP5	2.0
71	YPR034W	ARP7	2.0
72	YBR257W	POP4	1.9
73	YCL016C	DCC1	1.9
74	YGL017W	ATE1	1.9
75	YEL015W	EDC3	1.9
76	YOL093W	TRM10	1.9
77	YHR036W	BRL1	1.9
78	YAL013W	DEP1	1.9
79	YIR009W	MSL1	1.9
80	YHR088W	RPF1	1.9
81	YNL221C	POP1	1.9
82	YDR398W	UTP5	1.9
83	YEL058W	PCM1	1.9
84	YHL007C	STE20	1.9
85	YGL058W	RAD6	1.9
86	YKR025W	RPC37	1.9
87	YMR190C	SGS1	1.9
88	YJR002W	MPP10	1.9
89	YNL198C	YNL198C	1.9
90	YNL164C	IBD2	1.9
91	YGL112C	TAF6	1.9
92	YKR092C	SRP40	1.9
93	YHR201C	PPX1	1.9
94	YGR078C	PAC10	1.9
95	YDR364C	CDC40	1.9
96	YGR119C	NUP57	1.9
97	YCL036W	GFD2	1.9
98	YER148W	SPT15	1.9
99	YDR110W	FOB1	1.9
100	YML014W	TRM9	1.9
101	YNL075W	IMP4	1.9
102	YJR055W	HIT1	1.9
103	YHR065C	RRP3	1.9
104	YPL038W	MET31	1.9
105	YGR074W	SMD1	1.9
106	YOL080C	REX4	1.9
107	YAL025C	MAK16	1.9
108	YMR014W	BUD22	1.9
109	YHR090C	YNG2	1.9
110	YDR280W	RRP45	1.9
111	YCL029C	BIK1	1.9
112	YGR262C	BUD32	1.9
113	YLR316C	TAD3	1.9
114	YER126C	NSA2	1.9
115	YOR294W	RRS1	1.9
116	YHL025W	SNF6	1.9
117	YLR221C	RSA3	1.9
118	YHL009C	YAP3	1.9
119	YPR086W	SUA7	1.9
120	YGR252W	GCN5	1.9
121	YPR070W	MED1	1.9
122	YMR213W	CEF1	1.9
123	YML062C	MFT1	1.9
124	YKL052C	ASK1	1.9
125	YHR134W	WSS1	1.9
126	YPL157W	TGS1	1.9
127	YHR196W	UTP9	1.9
128	YHR167W	THP2	1.9
129	YML098W	TAF13	1.9
130	YJR112W	NNF1	1.9
131	YDL044C	MTF2	1.9
132	YMR153W	NUP53	1.9
133	YHR206W	SKN7	1.9
134	YMR127C	SAS2	1.9
135	YDR021W	FAL1	1.9
136	YER116C	SLX8	1.9
137	YDR299W	BFR2	1.9
138	YBR103W	SIF2	1.9
139	YKR060W	UTP30	1.9
140	YMR239C	RNT1	1.9
141	YBR155W	CNS1	1.9
142	YGR104C	SRB5	1.8
143	YDL002C	NHP10	1.8
144	YMR263W	SAP30	1.8
145	YGL210W	YPT32	1.8
146	YFL027C	GYP8	1.8
147	YHR081W	LRP1	1.8
148	YHR105W	YPT35	1.8
149	YOL054W	PSH1	1.8
150	YDL226C	GCS1	1.8
151	YDR267C	CIA1	1.8
152	YGL050W	TYW3	1.8
153	YIR026C	YVH1	1.8
154	YNL073W	MSK1	1.8
155	YDR167W	TAF10	1.8
156	YNL124W	NAF1	1.8
157	YNL151C	RPC31	1.8
158	YKR063C	LAS1	1.8
159	YOR056C	NOB1	1.8
160	YOR091W	TMA46	1.8
161	YGL111W	NSA1	1.8
162	YHR120W	MSH1	1.8
163	YKL186C	MTR2	1.8
164	YLR405W	DUS4	1.8
165	YBR130C	SHE3	1.8
166	YLR418C	CDC73	1.8
167	YPL049C	DIG1	1.8
168	YPR186C	PZF1	1.8
169	YHL020C	OPI1	1.8
170	YMR042W	ARG80	1.8
171	YMR093W	UTP15	1.8
172	YKR024C	DBP7	1.8
173	YPR057W	BRR1	1.8
174	YDR120C	TRM1	1.8
175	YML114C	TAF8	1.8
176	YOR143C	THI80	1.8
177	YBR153W	RIB7	1.8
178	YDR527W	RBA50	1.8
179	YNL119W	NCS2	1.8
180	YIL110W	HPM1	1.8
181	YGR081C	SLX9	1.8
182	YOL028C	YAP7	1.8
183	YDL036C	PUS9	1.8
184	YHL019C	APM2	1.8
185	YIL021W	RPB3	1.8
186	YGL098W	USE1	1.8
187	YOR216C	RUD3	1.8
188	YOR295W	UAF30	1.8
189	YGR072W	UPF3	1.8
190	YNL254C	RTC4	1.8
191	YNL309W	STB1	1.8
192	YKL059C	MPE1	1.8
193	YDR361C	BCP1	1.8
194	YLR009W	RLP24	1.8
195	YOL067C	RTG1	1.8
196	YLR018C	POM34	1.8
197	YGL113W	SLD3	1.8
198	YIL019W	FAF1	1.8
199	YNL053W	MSG5	1.8
200	YML113W	DAT1	1.8
201	YFR037C	RSC8	1.8
202	YIL093C	RSM25	1.8
203	YIL142W	CCT2	1.8
204	YDR087C	RRP1	1.8
205	YGL064C	MRH4	1.8
206	YDL043C	PRP11	1.8
207	YPL213W	LEA1	1.8
208	YER115C	SPR6	1.8
209	YJL125C	GCD14	1.8
210	YDL150W	RPC53	1.8
211	YKL172W	EBP2	1.8
212	YEL029C	BUD16	1.8
213	YGR276C	RNH70	1.8
214	YKR048C	NAP1	1.8
215	YNL299W	TRF5	1.8
216	YLR226W	BUR2	1.8
217	YLR085C	ARP6	1.8
218	YOR359W	VTS1	1.8
219	YOR213C	SAS5	1.8
220	YDL047W	SIT4	1.8
221	YGR095C	RRP46	1.8
222	YPL255W	BBP1	1.8
223	YMR288W	HSH155	1.8
224	YDL087C	LUC7	1.8
225	YLR052W	IES3	1.8
