SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TRM5

Rank	Gene	Common	Score
Q	YHR070W	TRM5	
1	YHR169W	DBP8	3.8
2	YPR144C	NOC4	3.8
3	YDR398W	UTP5	3.7
4	YOR272W	YTM1	3.7
5	YGL120C	PRP43	3.7
6	YLR409C	UTP21	3.7
7	YCR072C	RSA4	3.6
8	YBR247C	ENP1	3.6
9	YCR057C	PWP2	3.6
10	YLR196W	PWP1	3.6
11	YHR170W	NMD3	3.6
12	YDR101C	ARX1	3.6
13	YMR290C	HAS1	3.6
14	YPL093W	NOG1	3.6
15	YJL069C	UTP18	3.6
16	YGR159C	NSR1	3.5
17	YHR197W	RIX1	3.5
18	YNR053C	NOG2	3.5
19	YMR049C	ERB1	3.5
20	YDL060W	TSR1	3.5
21	YNL124W	NAF1	3.5
22	YMR093W	UTP15	3.5
23	YHR148W	IMP3	3.5
24	YPL012W	RRP12	3.5
25	YGL078C	DBP3	3.4
26	YNL062C	GCD10	3.4
27	YHR062C	RPP1	3.4
28	YGR128C	UTP8	3.4
29	YKR092C	SRP40	3.4
30	YIR026C	YVH1	3.4
31	YNL248C	RPA49	3.4
32	YLR397C	AFG2	3.4
33	YPR010C	RPA135	3.4
34	YIR012W	SQT1	3.4
35	YER006W	NUG1	3.4
36	YKR056W	TRM2	3.4
37	YCR047C	BUD23	3.4
38	YNL132W	KRE33	3.4
39	YER126C	NSA2	3.4
40	YHR066W	SSF1	3.4
41	YLR401C	DUS3	3.4
42	YNL141W	AAH1	3.4
43	YMR131C	RRB1	3.4
44	YNR038W	DBP6	3.4
45	YPL226W	NEW1	3.4
46	YGR245C	SDA1	3.3
47	YDL167C	NRP1	3.3
48	YDR120C	TRM1	3.3
49	YBR267W	REI1	3.3
50	YPR112C	MRD1	3.3
51	YOR294W	RRS1	3.3
52	YOL124C	TRM11	3.3
53	YPL126W	NAN1	3.3
54	YKL191W	DPH2	3.3
55	YLL008W	DRS1	3.3
56	YLR002C	NOC3	3.3
57	YHR052W	CIC1	3.3
58	YLR129W	DIP2	3.3
59	YNL061W	NOP2	3.3
60	YLR222C	UTP13	3.3
61	YGL111W	NSA1	3.3
62	YDL014W	NOP1	3.3
63	YMR239C	RNT1	3.3
64	YDR465C	RMT2	3.2
65	YJR070C	LIA1	3.2
66	YKL078W	DHR2	3.2
67	YPR110C	RPC40	3.2
68	YGL099W	LSG1	3.2
69	YJL033W	HCA4	3.2
70	YOR206W	NOC2	3.2
71	YHL011C	PRS3	3.2
72	YNL112W	DBP2	3.2
73	YJL050W	MTR4	3.2
74	YJR002W	MPP10	3.2
75	YBR142W	MAK5	3.2
76	YGL171W	ROK1	3.2
77	YDR091C	RLI1	3.2
78	YLR074C	BUD20	3.2
79	YLR186W	EMG1	3.2
80	YDL148C	NOP14	3.2
81	YBL039C	URA7	3.2
82	YAL036C	RBG1	3.2
83	YPL030W	TRM44	3.2
84	YLL035W	GRC3	3.2
85	YER127W	LCP5	3.2
86	YNR012W	URK1	3.2
87	YLR276C	DBP9	3.2
88	YGR145W	ENP2	3.2
89	YNL182C	IPI3	3.2
90	YKR081C	RPF2	3.2
91	YNL075W	IMP4	3.2
92	YCL036W	GFD2	3.2
93	YPL183C	RTT10	3.2
94	YDR165W	TRM82	3.2
95	YLR009W	RLP24	3.2
96	YOR359W	VTS1	3.1
97	YBL054W	TOD6	3.1
98	YHR065C	RRP3	3.1
99	YGL169W	SUA5	3.1
100	YKL009W	MRT4	3.1
101	YML113W	DAT1	3.1
102	YJL122W	ALB1	3.1
103	YOR310C	NOP58	3.1
104	YHR069C	RRP4	3.1
105	YGR200C	ELP2	3.1
106	YOR004W	UTP23	3.1
107	YOR340C	RPA43	3.1
108	YBR034C	HMT1	3.1
109	YER036C	ARB1	3.1
110	YOL080C	REX4	3.1
111	YNL175C	NOP13	3.1
112	YER082C	UTP7	3.1
113	YKR024C	DBP7	3.1
114	YIL079C	AIR1	3.1
115	YGR123C	PPT1	3.1
116	YBR061C	TRM7	3.1
117	YGR162W	TIF4631	3.1
118	YDR299W	BFR2	3.1
119	YHR089C	GAR1	3.1
120	YGR187C	HGH1	3.1
121	YDR083W	RRP8	3.1
122	YDR496C	PUF6	3.1
123	YGR158C	MTR3	3.1
124	YBL068W	PRS4	3.1
125	YPL217C	BMS1	3.1
126	YJL198W	PHO90	3.1
127	YER049W	TPA1	3.1
128	YDR184C	ATC1	3.1
129	YDR324C	UTP4	3.1
130	YJL125C	GCD14	3.0
131	YJR041C	URB2	3.0
132	YAL059W	ECM1	3.0
133	YCL054W	SPB1	3.0
134	YPL211W	NIP7	3.0
135	YJL148W	RPA34	3.0
136	YCL037C	SRO9	3.0
137	YNR054C	ESF2	3.0
138	YOR001W	RRP6	3.0
139	YPL086C	ELP3	3.0
140	YLR017W	MEU1	3.0
141	YAL025C	MAK16	3.0
142	YOR056C	NOB1	3.0
143	YJL109C	UTP10	3.0
144	YOR098C	NUP1	3.0
145	YGR103W	NOP7	3.0
146	YHR196W	UTP9	3.0
147	YPR137W	RRP9	3.0
148	YML093W	UTP14	3.0
149	YPL043W	NOP4	3.0
150	YDL201W	TRM8	3.0
151	YLL011W	SOF1	3.0
152	YML080W	DUS1	3.0
153	YMR217W	GUA1	3.0
154	YGR280C	PXR1	3.0
155	YLL034C	RIX7	3.0
156	YHR085W	IPI1	3.0
157	YOR341W	RPA190	3.0
158	YMR128W	ECM16	3.0
159	YNL207W	RIO2	3.0
160	YOR145C	PNO1	3.0
161	YNL002C	RLP7	3.0
162	YOL077C	BRX1	3.0
163	YDR021W	FAL1	3.0
164	YDR156W	RPA14	3.0
165	YOR243C	PUS7	3.0
166	YOR361C	PRT1	3.0
167	YBR155W	CNS1	3.0
168	YJL010C	NOP9	2.9
169	YOL144W	NOP8	2.9
170	YDL031W	DBP10	2.9
171	YKL172W	EBP2	2.9
172	YDR087C	RRP1	2.9
173	YPL212C	PUS1	2.9
174	YIL019W	FAF1	2.9
175	YOR091W	TMA46	2.9
176	YPR190C	RPC82	2.9
177	YML056C	IMD4	2.9
178	YDL150W	RPC53	2.9
179	YKL143W	LTV1	2.9
180	YKR025W	RPC37	2.9
181	YDR449C	UTP6	2.9
182	YNR046W	TRM112	2.9
183	YHR040W	BCD1	2.9
184	YHR128W	FUR1	2.9
185	YKL021C	MAK11	2.9
186	YIL104C	SHQ1	2.9
187	YML014W	TRM9	2.9
188	YGR083C	GCD2	2.9
189	YNL113W	RPC19	2.9
190	YFL023W	BUD27	2.9
191	YEL026W	SNU13	2.9
192	YHR206W	SKN7	2.9
193	YOL125W	TRM13	2.9
194	YNL110C	NOP15	2.9
195	YJR063W	RPA12	2.9
196	YHR088W	RPF1	2.9
197	YOL097C	WRS1	2.9
198	YKL029C	MAE1	2.9
199	YOL041C	NOP12	2.9
200	YOL010W	RCL1	2.9
201	YGR264C	MES1	2.9
202	YPR163C	TIF3	2.9
203	YPL266W	DIM1	2.9
204	YBL024W	NCL1	2.9
205	YBR084W	MIS1	2.9
206	YNL256W	FOL1	2.9
207	YNL308C	KRI1	2.9
208	YMR309C	NIP1	2.9
209	YLR175W	CBF5	2.9
210	YOR207C	RET1	2.8
211	YMR229C	RRP5	2.8
212	YDR060W	MAK21	2.8
213	YDR361C	BCP1	2.8
214	YDL112W	TRM3	2.8
215	YNL282W	POP3	2.8
216	YBR079C	RPG1	2.8
217	YER110C	KAP123	2.8
218	YEL055C	POL5	2.8
219	YNL151C	RPC31	2.8
220	YDL153C	SAS10	2.8
221	YOR337W	TEA1	2.8
222	YFL002C	SPB4	2.8
223	YOL061W	PRS5	2.8
224	YNR015W	SMM1	2.8
225	YER025W	GCD11	2.8
226	YKL099C	UTP11	2.8
227	YOL021C	DIS3	2.8
228	YKL181W	PRS1	2.8
229	YGR211W	ZPR1	2.8
230	YER165W	PAB1	2.8
231	YKR026C	GCN3	2.8
232	YLR172C	DPH5	2.8
233	YIL103W	DPH1	2.8
234	YMR014W	BUD22	2.8
235	YDL208W	NHP2	2.8
236	YLR197W	NOP56	2.8
237	YNL186W	UBP10	2.8
238	YOR095C	RKI1	2.8
239	YLR449W	FPR4	2.8
240	YOR204W	DED1	2.8
241	YNL221C	POP1	2.8
242	YGR078C	PAC10	2.7
243	YCL059C	KRR1	2.7
244	YPR041W	TIF5	2.7
245	YOL052C	SPE2	2.7
246	YIL110W	HPM1	2.7
247	YGR173W	RBG2	2.7
248	YNL119W	NCS2	2.7
249	YLR435W	TSR2	2.7
250	YKR099W	BAS1	2.7
251	YFL022C	FRS2	2.7
252	YPL263C	KEL3	2.7
253	YNL023C	FAP1	2.7
254	YOR260W	GCD1	2.7
255	YMR308C	PSE1	2.7
256	YGL097W	SRM1	2.7
257	YDR321W	ASP1	2.7
258	YOR101W	RAS1	2.7
259	YKR060W	UTP30	2.7
260	YGR191W	HIP1	2.7
261	YNL163C	RIA1	2.7
262	YNR027W	BUD17	2.7
263	YLR336C	SGD1	2.7
264	YJL098W	SAP185	2.7
265	YHR064C	SSZ1	2.7
266	YDL051W	LHP1	2.7
267	YDR395W	SXM1	2.7
268	YJL208C	NUC1	2.7
269	YOL141W	PPM2	2.7
270	YGL246C	RAI1	2.7
271	YOR271C	FSF1	2.7
272	YOR224C	RPB8	2.7
273	YCR059C	YIH1	2.7
274	YHR068W	DYS1	2.7
275	YHR025W	THR1	2.7
276	YOL093W	TRM10	2.7
277	YNL232W	CSL4	2.7
278	YLR384C	IKI3	2.6
279	YKL014C	URB1	2.6
280	YEL046C	GLY1	2.6
281	YDR144C	MKC7	2.6
282	YLR221C	RSA3	2.6
283	YOR048C	RAT1	2.6
284	YKR079C	TRZ1	2.6
285	YGL029W	CGR1	2.6
286	YDL111C	RRP42	2.6
287	YNL123W	NMA111	2.6
288	YOR335C	ALA1	2.6
289	YDR412W	RRP17	2.6
290	YGR081C	SLX9	2.6
291	YMR146C	TIF34	2.6
292	YLR405W	DUS4	2.6
293	YLR060W	FRS1	2.6
294	YNL299W	TRF5	2.6
295	YLR223C	IFH1	2.6
296	YBL004W	UTP20	2.6
297	YHL007C	STE20	2.6
298	YFL001W	DEG1	2.6
299	YOR116C	RPO31	2.6
300	YML043C	RRN11	2.6
301	YBL082C	ALG3	2.6
302	YLR180W	SAM1	2.6
303	YKL004W	AUR1	2.6
304	YDL082W	RPL13A	2.6
305	YGL211W	NCS6	2.6
306	YER056C	FCY2	2.6
307	YKL068W	NUP100	2.6
308	YJR007W	SUI2	2.6
309	YGR090W	UTP22	2.6
310	YPL146C	NOP53	2.6
311	YGR195W	SKI6	2.6
312	YNL292W	PUS4	2.6
313	YPR016C	TIF6	2.6
314	YHR144C	DCD1	2.6
315	YNR003C	RPC34	2.6
316	YBL042C	FUI1	2.6
317	YDR234W	LYS4	2.6
318	YBR154C	RPB5	2.6
319	YHR204W	MNL1	2.6
320	YGR095C	RRP46	2.6
321	YLR291C	GCD7	2.6
322	YMR042W	ARG80	2.6
323	YHR149C	SKG6	2.6
324	YNL096C	RPS7B	2.6
325	YLR432W	IMD3	2.6
326	YDL213C	NOP6	2.6
327	YLR003C	CMS1	2.5
328	YJL025W	RRN7	2.5
329	YPR048W	TAH18	2.5
330	YOR078W	BUD21	2.5
331	YOL142W	RRP40	2.5
332	YKL110C	KTI12	2.5
333	YDR527W	RBA50	2.5
334	YPL101W	ELP4	2.5
335	YMR301C	ATM1	2.5
336	YHR019C	DED81	2.5
337	YGR177C	ATF2	2.5
338	YGR271C-A	EFG1	2.5
339	YLR014C	PPR1	2.5
340	YEL040W	UTR2	2.5
341	YDR300C	PRO1	2.5
342	YLR068W	FYV7	2.5
343	YGR068C	ART5	2.5
344	YJR132W	NMD5	2.5
345	YJR072C	NPA3	2.5
346	YLR146C	SPE4	2.5
347	YOR188W	MSB1	2.5
348	YBL069W	AST1	2.5
349	YDR037W	KRS1	2.5
350	YNL240C	NAR1	2.5
351	YDR110W	FOB1	2.5
352	YPR143W	RRP15	2.5
353	YDR312W	SSF2	2.5
354	YEL042W	GDA1	2.5
355	YPL207W	TYW1	2.5
356	YOR108W	LEU9	2.5
357	YPL252C	YAH1	2.5
358	YOR168W	GLN4	2.5
359	YLR083C	EMP70	2.5
360	YML022W	APT1	2.5
361	YOR301W	RAX1	2.5
362	YOL130W	ALR1	2.5
363	YBL014C	RRN6	2.5
364	YKL144C	RPC25	2.5
365	YAL035W	FUN12	2.5
366	YPL160W	CDC60	2.5
367	YDR211W	GCD6	2.5
368	YKL205W	LOS1	2.5
369	YER086W	ILV1	2.5
370	YHL013C	OTU2	2.5
371	YML125C	PGA3	2.5
372	YFR034C	PHO4	2.5
373	YLR244C	MAP1	2.5
374	YDL122W	UBP1	2.5
375	YPL169C	MEX67	2.4
376	YOR252W	TMA16	2.4
377	YJL200C	ACO2	2.4
378	YBR030W	RKM3	2.4
379	YGR285C	ZUO1	2.4
380	YBR104W	YMC2	2.4
381	YJR097W	JJJ3	2.4
382	YMR079W	SEC14	2.4
383	YMR080C	NAM7	2.4
384	YDR206W	EBS1	2.4
385	YKL081W	TEF4	2.4
386	YLR316C	TAD3	2.4
387	YOR233W	KIN4	2.4
388	YLR249W	YEF3	2.4
389	YGR061C	ADE6	2.4
390	YML060W	OGG1	2.4
391	YMR123W	PKR1	2.4
392	YJR147W	HMS2	2.4
393	YDR280W	RRP45	2.4
394	YLR051C	FCF2	2.4
395	YGL063W	PUS2	2.4
396	YDR365C	ESF1	2.4
397	YLR116W	MSL5	2.4
398	YPR060C	ARO7	2.4
399	YBR187W	GDT1	2.4
400	YHR143W-A	RPC10	2.4
401	YOR119C	RIO1	2.4
402	YMR296C	LCB1	2.4
403	YGL148W	ARO2	2.4
404	YBR172C	SMY2	2.4
405	YLR293C	GSP1	2.4
406	YLR448W	RPL6B	2.4
407	YFR028C	CDC14	2.4
408	YPL157W	TGS1	2.4
409	YPL239W	YAR1	2.4
410	YHR205W	SCH9	2.4
411	YNL313C	EMW1	2.4
412	YIL047C	SYG1	2.4
413	YBR143C	SUP45	2.4
414	YAL019W	FUN30	2.4
415	YIL020C	HIS6	2.4
416	YGL014W	PUF4	2.4
417	YNR043W	MVD1	2.4
418	YMR269W	TMA23	2.4
419	YGL056C	SDS23	2.4
420	YHR072W	ERG7	2.4
421	YDR429C	TIF35	2.4
422	YKR044W	UIP5	2.4
423	YMR127C	SAS2	2.4
424	YDL166C	FAP7	2.4
425	YCR063W	BUD31	2.4
426	YFR001W	LOC1	2.4
427	YDL036C	PUS9	2.3
428	YOR236W	DFR1	2.3
429	YBR069C	TAT1	2.3
430	YKL082C	RRP14	2.3
431	YDR339C	FCF1	2.3
432	YDL042C	SIR2	2.3
433	YCR052W	RSC6	2.3
434	YIL142W	CCT2	2.3
435	YDR190C	RVB1	2.3
436	YBR121C	GRS1	2.3
437	YGR229C	SMI1	2.3
438	YER002W	NOP16	2.3
439	YGR155W	CYS4	2.3
440	YNL255C	GIS2	2.3
441	YER089C	PTC2	2.3
442	YHR046C	INM1	2.3
443	YHR081W	LRP1	2.3
444	YHL033C	RPL8A	2.3
445	YHR031C	RRM3	2.3
446	YGL234W	ADE57	2.3
447	YDR172W	SUP35	2.3
448	YHR133C	NSG1	2.3
449	YBR092C	PHO3	2.3
450	YHR084W	STE12	2.3
451	YLR215C	CDC123	2.3
452	YKR072C	SIS2	2.3
453	YPR187W	RPO26	2.3
454	YMR108W	ILV2	2.3
455	YGR185C	TYS1	2.3
456	YMR243C	ZRC1	2.3
457	YBR002C	RER2	2.3
458	YGR214W	RPS0A	2.3
459	YMR312W	ELP6	2.3
460	YLR372W	ELO3	2.3
461	YNR017W	TIM23	2.3
462	YMR211W	DML1	2.3
463	YNL065W	AQR1	2.3
464	YDR341C	YDR341C	2.3
465	YER171W	RAD3	2.3
466	YER043C	SAH1	2.3
467	YKL166C	TPK3	2.3
468	YKL183W	LOT5	2.3
469	YPL237W	SUI3	2.3
470	YLR048W	RPS0B	2.3
471	YNL227C	JJJ1	2.3
472	YHL029C	OCA5	2.3
473	YGR094W	VAS1	2.3
474	YJL011C	RPC17	2.3
475	YPR034W	ARP7	2.3
476	YKL106W	AAT1	2.3
477	YNL016W	PUB1	2.3
478	YKR082W	NUP133	2.3
479	YGR208W	SER2	2.3
480	YGL076C	RPL7A	2.3
481	YDR188W	CCT6	2.3
482	YDR232W	HEM1	2.3
483	YDL047W	SIT4	2.3
484	YPR169W	JIP5	2.2
485	YIL061C	SNP1	2.2
486	YJR016C	ILV3	2.2
487	YIL133C	RPL16A	2.2
488	YPR033C	HTS1	2.2
489	YHR120W	MSH1	2.2
