SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: APE4

Rank	Gene	Common	Score
Q	YHR113W	APE4	
1	YHR104W	GRE3	2.4
2	YBR149W	ARA1	2.4
3	YBR139W	ATG42	2.4
4	YCL040W	GLK1	2.4
5	YLR270W	DCS1	2.4
6	YIL124W	AYR1	2.4
7	YDR204W	COQ4	2.3
8	YBR053C	YBR053C	2.3
9	YGR194C	XKS1	2.3
10	YMR297W	PRC1	2.3
11	YML004C	GLO1	2.3
12	YIR038C	GTT1	2.3
13	YPL203W	TPK2	2.3
14	YBR056W	MRX18	2.3
15	YLR178C	TFS1	2.3
16	YNL305C	BXI1	2.3
17	YMR250W	GAD1	2.3
18	YIR036C	IRC24	2.2
19	YKL103C	APE1	2.2
20	YGL037C	PNC1	2.2
21	YHR016C	YSC84	2.2
22	YGR019W	UGA1	2.2
23	YIL033C	BCY1	2.2
24	YDR516C	EMI2	2.2
25	YPL154C	PEP4	2.2
26	YLR356W	ATG33	2.2
27	YBR126C	TPS1	2.2
28	YMR110C	HFD1	2.2
29	YOR230W	WTM1	2.2
30	YKL035W	UGP1	2.2
31	YBR026C	ETR1	2.2
32	YNL200C	NNR1	2.2
33	YPL004C	LSP1	2.2
34	YDR032C	PST2	2.2
35	YJL066C	MPM1	2.2
36	YNL274C	GOR1	2.1
37	YCR004C	YCP4	2.1
38	YGL104C	VPS73	2.1
39	YEL060C	PRB1	2.1
40	YJL164C	TPK1	2.1
41	YPL123C	RNY1	2.1
42	YIL034C	CAP2	2.1
43	YBL064C	PRX1	2.1
44	YIR037W	HYR1	2.1
45	YER141W	COX15	2.1
46	YBR052C	RFS1	2.1
47	YDL072C	YET3	2.1
48	YHL021C	AIM17	2.1
49	YDR178W	SDH4	2.1
50	YDR074W	TPS2	2.1
51	YPL087W	YDC1	2.1
52	YMR170C	ALD2	2.1
53	YOL082W	ATG19	2.1
54	YDL237W	AIM6	2.1
55	YGR255C	COQ6	2.1
56	YMR092C	AIP1	2.1
57	YDR001C	NTH1	2.1
58	YLR258W	GSY2	2.1
59	YIL087C	AIM19	2.1
60	YOL129W	VPS68	2.1
61	YDL110C	TMA17	2.1
62	YDR148C	KGD2	2.1
63	YDL078C	MDH3	2.1
64	YML070W	DAK1	2.0
65	YJR065C	ARP3	2.0
66	YBR006W	UGA2	2.0
67	YJL068C	YJL068C	2.0
68	YBR230C	OM14	2.0
69	YGR008C	STF2	2.0
70	YHR171W	ATG7	2.0
71	YML110C	COQ5	2.0
72	YOR173W	DCS2	2.0
73	YML128C	MSC1	2.0
74	YDR358W	GGA1	2.0
75	YPL206C	PGC1	2.0
76	YDR368W	YPR1	2.0
77	YDL022W	GPD1	2.0
78	YMR105C	PGM2	2.0
79	YNL045W	LAP2	2.0
80	YOR347C	PYK2	2.0
81	YEL011W	GLC3	2.0
82	YOR176W	HEM15	2.0
83	YGR149W	GPC1	2.0
84	YBR214W	SDS24	2.0
85	YIL136W	OM45	2.0
86	YGL006W	PMC1	2.0
87	YKL151C	NNR2	2.0
88	YFR053C	HXK1	2.0
89	YML100W	TSL1	2.0
90	YKL091C	YKL091C	2.0
91	YLL041C	SDH2	2.0
92	YLL023C	POM33	2.0
93	YMR139W	RIM11	2.0
94	YMR152W	YIM1	2.0
95	YDR513W	GRX2	2.0
96	YBR204C	LDH1	2.0
97	YKL150W	MCR1	2.0
98	YKL142W	MRP8	2.0
99	YNR001C	CIT1	1.9
100	YBR269C	SDH8	1.9
101	YGR244C	LSC2	1.9
102	YJR019C	TES1	1.9
103	YJR096W	YJR096W	1.9
104	YLL039C	UBI4	1.9
105	YOR185C	GSP2	1.9
106	YLR251W	SYM1	1.9
107	YBR046C	ZTA1	1.9
108	YLR345W	YLR345W	1.9
109	YHR008C	SOD2	1.9
110	YBR280C	SAF1	1.9
111	YMR315W	YMR315W	1.9
112	YHR087W	RTC3	1.9
113	YER119C	AVT6	1.9
114	YGR174C	CBP4	1.9
115	YOL083W	ATG34	1.9
116	YGL156W	AMS1	1.9
117	YGR231C	PHB2	1.9
118	YFR014C	CMK1	1.9
119	YGR111W	YGR111W	1.9
120	YKL100C	YPF1	1.9
121	YJL163C	YJL163C	1.9
122	YJL057C	IKS1	1.9
123	YKL065C	YET1	1.9
124	YBR241C	VVS1	1.9
125	YJR008W	MHO1	1.9
126	YBR234C	ARC40	1.9
127	YLR149C	GID11	1.9
128	YDR003W	RCR2	1.9
129	YDR129C	SAC6	1.9
130	YNL055C	POR1	1.9
131	YMR090W	YMR090W	1.9
132	YGL250W	RMR1	1.9
133	YHR112C	YHR112C	1.9
134	YCL035C	GRX1	1.9
135	YOR142W	LSC1	1.9
136	YLR307W	CDA1	1.9
137	YOR215C	AIM41	1.9
138	YGR112W	SHY1	1.9
139	YDR391C	YDR391C	1.9
140	YMR304W	UBP15	1.9
141	YOR374W	ALD4	1.9
142	YGR248W	SOL4	1.9
143	YGL047W	ALG13	1.9
144	YML057W	CMP2	1.9
145	YHR037W	PUT2	1.9
146	YGL053W	PRM8	1.9
147	YHR028C	DAP2	1.9
148	YCR030C	SYP1	1.9
149	YKL193C	SDS22	1.9
150	YNL239W	LAP3	1.9
151	YHR198C	AIM18	1.9
152	YNL134C	YNL134C	1.9
153	YMR196W	YMR196W	1.9
154	YNL160W	YGP1	1.9
155	YDR122W	KIN1	1.9
156	YKL085W	MDH1	1.9
157	YPR184W	GDB1	1.9
158	YNL241C	ZWF1	1.9
159	YLR028C	ADE16	1.9
160	YDL124W	YDL124W	1.9
161	YOR120W	GCY1	1.9
162	YNL115C	YNL115C	1.9
163	YGR044C	RME1	1.9
164	YML120C	NDI1	1.9
165	YCL042W	YCL042W	1.9
166	YBR151W	APD1	1.9
167	YBL078C	ATG8	1.9
168	YIL157C	COA1	1.9
169	YDL238C	GUD1	1.9
170	YDL046W	NPC2	1.9
171	YOR285W	RDL1	1.9
172	YDR533C	HSP31	1.9
173	YIL088C	AVT7	1.9
174	YOL096C	COQ3	1.9
175	YGR132C	PHB1	1.9
176	YHR106W	TRR2	1.9
177	YGR268C	HUA1	1.9
178	YLL026W	HSP104	1.9
179	YNL138W	SRV2	1.8
180	YCR069W	CPR4	1.8
181	YKL067W	YNK1	1.8
182	YDR272W	GLO2	1.8
183	YER136W	GDI1	1.8
184	YCR079W	PTC6	1.8
185	YAL060W	BDH1	1.8
186	YDR287W	INM2	1.8
187	YOL048C	RRT8	1.8
188	YDR330W	UBX5	1.8
189	YKL007W	CAP1	1.8
190	YFR049W	KGD4	1.8
191	YNL173C	MDG1	1.8
192	YHR138C	YHR138C	1.8
193	YIR039C	YPS6	1.8
194	YOR155C	ISN1	1.8
195	YDL169C	UGX2	1.8
196	YJL161W	FMP33	1.8
197	YKR067W	GPT2	1.8
198	YDR436W	PPZ2	1.8
199	YDR171W	HSP42	1.8
200	YDR231C	COX20	1.8
201	YCR073W-A	SOL2	1.8
202	YOR042W	CUE5	1.8
203	YIL010W	DOT5	1.8
204	YBR001C	NTH2	1.8
205	YBR003W	COQ1	1.8
206	YGR141W	VPS62	1.8
207	YEL012W	UBC8	1.8
208	YJL155C	FBP26	1.8
209	YKR076W	ECM4	1.8
210	YDR284C	DPP1	1.8
211	YFR044C	DUG1	1.8
212	YBR183W	YPC1	1.8
213	YOR132W	VPS17	1.8
214	YPR160W	GPH1	1.8
