SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TOM71

Rank	Gene	Common	Score
Q	YHR117W	TOM71	
1	YHR108W	GGA2	3.1
2	YDL040C	NAT1	2.7
3	YNL085W	MKT1	2.6
4	YHR013C	ARD1	2.6
5	YHR076W	PTC7	2.6
6	YGL022W	STT3	2.6
7	YGL245W	GUS1	2.6
8	YDL103C	QRI1	2.5
9	YOL049W	GSH2	2.5
10	YJL002C	OST1	2.5
11	YNL121C	TOM70	2.5
12	YFL037W	TUB2	2.5
13	YER023W	PRO3	2.5
14	YIL109C	SEC24	2.5
15	YMR012W	CLU1	2.5
16	YHR064C	SSZ1	2.5
17	YHR074W	QNS1	2.5
18	YIL041W	GVP36	2.5
19	YDR292C	SRP101	2.5
20	YGL137W	SEC27	2.5
21	YBR205W	KTR3	2.5
22	YDL145C	COP1	2.4
23	YDR212W	TCP1	2.4
24	YBR263W	SHM1	2.4
25	YHR019C	DED81	2.4
26	YLR060W	FRS1	2.4
27	YER003C	PMI40	2.4
28	YIL039W	TED1	2.4
29	YDR320C	SWA2	2.4
30	YOR198C	BFR1	2.4
31	YHR083W	SAM35	2.4
32	YDL084W	SUB2	2.4
33	YJL080C	SCP160	2.4
34	YBR121C	GRS1	2.4
35	YKL127W	PGM1	2.4
36	YPR069C	SPE3	2.4
37	YGR185C	TYS1	2.4
38	YGL027C	CWH41	2.4
39	YER031C	YPT31	2.4
40	YDL100C	GET3	2.4
41	YGR261C	APL6	2.4
42	YOR046C	DBP5	2.4
43	YGL105W	ARC1	2.3
44	YJR143C	PMT4	2.3
45	YHR098C	SFB3	2.3
46	YGL207W	SPT16	2.3
47	YHR024C	MAS2	2.3
48	YML124C	TUB3	2.3
49	YGL221C	NIF3	2.3
50	YFL022C	FRS2	2.3
51	YHR037W	PUT2	2.3
52	YGR285C	ZUO1	2.3
53	YNL138W	SRV2	2.3
54	YCL057W	PRD1	2.3
55	YGR083C	GCD2	2.3
56	YOR168W	GLN4	2.3
57	YHR119W	SET1	2.3
58	YGL097W	SRM1	2.3
59	YKR001C	VPS1	2.3
60	YMR215W	GAS3	2.3
61	YMR089C	YTA12	2.3
62	YHR123W	EPT1	2.3
63	YGL016W	KAP122	2.3
64	YOR260W	GCD1	2.3
65	YEL002C	WBP1	2.3
66	YHR068W	DYS1	2.3
67	YKL081W	TEF4	2.3
68	YBR011C	IPP1	2.3
69	YJL124C	LSM1	2.3
70	YMR092C	AIP1	2.3
71	YKL210W	UBA1	2.3
72	YLR389C	STE23	2.3
73	YDL143W	CCT4	2.3
74	YBL032W	HEK2	2.3
75	YOR239W	ABP140	2.3
76	YER043C	SAH1	2.3
77	YDL095W	PMT1	2.3
78	YCR088W	ABP1	2.3
79	YJL167W	ERG20	2.3
80	YLR188W	MDL1	2.3
81	YAL007C	ERP2	2.3
82	YGL202W	ARO8	2.3
83	YHR027C	RPN1	2.3
84	YFL018C	LPD1	2.3
85	YJL008C	CCT8	2.3
86	YMR237W	BCH1	2.3
87	YLR429W	CRN1	2.3
88	YGR178C	PBP1	2.3
89	YGL100W	SEH1	2.3
90	YOR074C	CDC21	2.2
91	YJR069C	HAM1	2.2
92	YGR094W	VAS1	2.2
93	YBL091C	MAP2	2.2
94	YDR023W	SES1	2.2
95	YOR361C	PRT1	2.2
96	YGR171C	MSM1	2.2
97	YPR181C	SEC23	2.2
98	YPR033C	HTS1	2.2
99	YBR084W	MIS1	2.2
100	YHR107C	CDC12	2.2
101	YHR063C	PAN5	2.2
102	YDR395W	SXM1	2.2
103	YMR125W	STO1	2.2
104	YML126C	ERG13	2.2
105	YDR189W	SLY1	2.2
106	YPL063W	TIM50	2.2
107	YPL243W	SRP68	2.2
108	YOR087W	YVC1	2.2
109	YIL009W	FAA3	2.2
110	YBR015C	MNN2	2.2
111	YNR050C	LYS9	2.2
112	YBR127C	VMA2	2.2
113	YLL018C	DPS1	2.2
114	YGR155W	CYS4	2.2
115	YNL287W	SEC21	2.2
116	YFR051C	RET2	2.2
117	YBR243C	ALG7	2.2
118	YHR042W	NCP1	2.2
119	YER105C	NUP157	2.2
120	YGR124W	ASN2	2.2
121	YNL071W	LAT1	2.2
122	YJR092W	BUD4	2.2
123	YGL065C	ALG2	2.2
124	YDR353W	TRR1	2.2
125	YLR335W	NUP2	2.2
126	YGL083W	SCY1	2.2
127	YEL042W	GDA1	2.2
128	YGR172C	YIP1	2.2
129	YPL208W	RKM1	2.2
130	YNL130C	CPT1	2.2
131	YMR149W	SWP1	2.2
132	YBR283C	SSH1	2.2
133	YNR030W	ALG12	2.2
134	YOR323C	PRO2	2.2
135	YOL097C	WRS1	2.2
136	YHR163W	SOL3	2.2
137	YGR162W	TIF4631	2.2
138	YCR052W	RSC6	2.2
139	YHR114W	BZZ1	2.2
140	YAL023C	PMT2	2.2
141	YDL226C	GCS1	2.2
142	YGL195W	GCN1	2.2
143	YFL004W	VTC2	2.2
144	YMR032W	HOF1	2.2
145	YER025W	GCD11	2.2
146	YPR118W	MRI1	2.2
147	YAL035W	FUN12	2.2
148	YML085C	TUB1	2.2
149	YGL092W	NUP145	2.2
150	YER154W	OXA1	2.2
151	YDR146C	SWI5	2.2
152	YIL137C	TMA108	2.2
153	YNL189W	SRP1	2.2
154	YGL213C	SKI8	2.2
