SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: LAM1

Rank	Gene	Common	Score
Q	YHR155W	LAM1	
1	YHR165C	PRP8	2.6
2	YJR090C	GRR1	2.6
3	YHR079C	IRE1	2.6
4	YHR186C	KOG1	2.6
5	YIL129C	TAO3	2.5
6	YGR218W	CRM1	2.5
7	YGL197W	MDS3	2.5
8	YBR140C	IRA1	2.4
9	YLR425W	TUS1	2.4
10	YDR443C	SSN2	2.4
11	YNL297C	MON2	2.4
12	YLR371W	ROM2	2.4
13	YCR093W	CDC39	2.4
14	YMR231W	PEP5	2.4
15	YIL048W	NEO1	2.4
16	YKR031C	SPO14	2.4
17	YGR271W	SLH1	2.4
18	YGR184C	UBR1	2.4
19	YMR275C	BUL1	2.4
20	YDR407C	TRS120	2.3
21	YPL115C	BEM3	2.3
22	YGL151W	NUT1	2.3
23	YGL190C	CDC55	2.3
24	YPL125W	KAP120	2.3
25	YOL004W	SIN3	2.3
26	YLR071C	RGR1	2.3
27	YDR422C	SIP1	2.3
28	YBR097W	VPS15	2.3
29	YER111C	SWI4	2.3
30	YHR082C	KSP1	2.3
31	YDR141C	DOP1	2.3
32	YDR283C	GCN2	2.3
33	YDR159W	SAC3	2.3
34	YGR270W	YTA7	2.3
35	YFL025C	BST1	2.3
36	YDR457W	TOM1	2.3
37	YKL010C	UFD4	2.2
38	YKL020C	SPT23	2.2
39	YLR247C	IRC20	2.2
40	YJL084C	ALY2	2.2
41	YMR162C	DNF3	2.2
42	YLL040C	VPS13	2.2
43	YDR293C	SSD1	2.2
44	YOR014W	RTS1	2.2
45	YMR247C	RKR1	2.2
46	YOL063C	CRT10	2.2
47	YBL105C	PKC1	2.2
48	YLR305C	STT4	2.2
49	YPR095C	SYT1	2.2
50	YOL089C	HAL9	2.2
51	YGL150C	INO80	2.2
52	YIL147C	SLN1	2.2
53	YGR170W	PSD2	2.2
54	YIL115C	NUP159	2.2
55	YER125W	RSP5	2.2
56	YHR073W	OSH3	2.2
57	YJR066W	TOR1	2.2
58	YPL137C	GIP3	2.2
59	YIL036W	CST6	2.2
60	YLR024C	UBR2	2.2
61	YPR122W	AXL1	2.2
62	YOL138C	RTC1	2.2
63	YKR021W	ALY1	2.2
64	YLR389C	STE23	2.2
65	YNL127W	FAR11	2.2
66	YER114C	BOI2	2.2
67	YOR109W	INP53	2.2
68	YCR032W	BPH1	2.2
69	YER008C	SEC3	2.2
70	YJL095W	BCK1	2.2
71	YIL128W	MET18	2.2
72	YLR087C	CSF1	2.2
73	YHR099W	TRA1	2.2
74	YFL033C	RIM15	2.1
75	YPL084W	BRO1	2.1
76	YNL271C	BNI1	2.1
77	YML035C	AMD1	2.1
78	YGL094C	PAN2	2.1
79	YOR113W	AZF1	2.1
80	YLR240W	VPS34	2.1
81	YER155C	BEM2	2.1
82	YDR104C	SPO71	2.1
83	YBR136W	MEC1	2.1
84	YAL024C	LTE1	2.1
85	YOR363C	PIP2	2.1
86	YER093C	TSC11	2.1
87	YHL023C	NPR3	2.1
88	YGR217W	CCH1	2.1
89	YDR301W	CFT1	2.1
90	YLR454W	FMP27	2.1
91	YDR466W	PKH3	2.1
92	YDR430C	CYM1	2.1
93	YJL005W	CYR1	2.1
94	YBR059C	AKL1	2.1
95	YDR359C	EAF1	2.1
96	YOL081W	IRA2	2.1
97	YAL051W	OAF1	2.1
98	YLR436C	ECM30	2.1
99	YFL007W	BLM10	2.1
100	YMR100W	MUB1	2.1
101	YDR122W	KIN1	2.1
102	YIL005W	EPS1	2.1
103	YIL105C	SLM1	2.1
104	YLR410W	VIP1	2.1
105	YOR336W	KRE5	2.1
106	YHR164C	DNA2	2.1
107	YMR064W	AEP1	2.1
108	YDR006C	SOK1	2.1
109	YLL015W	BPT1	2.1
110	YJL197W	UBP12	2.1
111	YLR310C	CDC25	2.1
112	YPL179W	PPQ1	2.1
113	YJL047C	RTT101	2.1
114	YBL047C	EDE1	2.1
115	YIL031W	ULP2	2.1
116	YIL002C	INP51	2.1
117	YNL091W	NST1	2.1
118	YML049C	RSE1	2.1
119	YKL025C	PAN3	2.1
120	YCR067C	SED4	2.1
121	YBR133C	HSL7	2.1
122	YNL267W	PIK1	2.1
123	YOR030W	DFG16	2.1
124	YOR086C	TCB1	2.1
125	YNL257C	SIP3	2.1
126	YGL180W	ATG1	2.1
127	YLR189C	ATG26	2.1
128	YNR031C	SSK2	2.1
129	YNL212W	VID27	2.1
130	YOR124C	UBP2	2.1
131	YLR096W	KIN2	2.1
132	YLR403W	SFP1	2.1
133	YLR256W	HAP1	2.1
134	YER105C	NUP157	2.1
135	YNL054W	VAC7	2.1
136	YDR128W	MTC5	2.1
137	YMR218C	TRS130	2.1
138	YNL167C	SKO1	2.1
139	YNR047W	FPK1	2.1
140	YDR335W	MSN5	2.1
141	YGL178W	MPT5	2.1
142	YBL034C	STU1	2.1
143	YML076C	WAR1	2.1
144	YMR237W	BCH1	2.0
145	YMR216C	SKY1	2.0
146	YDL019C	OSH2	2.0
147	YOR329C	SCD5	2.0
148	YOR275C	RIM20	2.0
149	YDR389W	SAC7	2.0
150	YMR176W	ECM5	2.0
151	YPL022W	RAD1	2.0
152	YDR490C	PKH1	2.0
153	YGR116W	SPT6	2.0
154	YER132C	PMD1	2.0
155	YKL064W	MNR2	2.0
156	YHR103W	SBE22	2.0
157	YGL233W	SEC15	2.0
158	YNL236W	SIN4	2.0
159	YFR013W	IOC3	2.0
160	YER144C	UBP5	2.0
161	YGR056W	RSC1	2.0
162	YNL139C	THO2	2.0
163	YDR208W	MSS4	2.0
164	YOR349W	CIN1	2.0
165	YOL078W	AVO1	2.0
166	YBR216C	YBP1	2.0
167	YJL207C	LAA1	2.0
168	YHR119W	SET1	2.0
169	YOR371C	GPB1	2.0
170	YKL176C	LST4	2.0
171	YOR034C	AKR2	2.0
172	YKL203C	TOR2	2.0
173	YDR180W	SCC2	2.0
174	YOL100W	PKH2	2.0
175	YOR355W	GDS1	2.0
176	YJR033C	RAV1	2.0
177	YHR205W	SCH9	2.0
178	YOR018W	ROD1	2.0
179	YJR091C	JSN1	2.0
180	YDL240W	LRG1	2.0
181	YJL039C	NUP192	2.0
182	YJR140C	HIR3	2.0
183	YEL013W	VAC8	2.0
184	YLL048C	YBT1	2.0
185	YMR037C	MSN2	2.0
186	YGL073W	HSF1	2.0
187	YMR190C	SGS1	2.0
188	YLL019C	KNS1	2.0
189	YFL036W	RPO41	2.0
190	YKL038W	RGT1	2.0
191	YOL051W	GAL11	2.0
192	YIL095W	PRK1	2.0
193	YDR326C	YSP2	2.0
194	YIL125W	KGD1	2.0
195	YHR027C	RPN1	2.0
196	YDR028C	REG1	2.0
197	YJL204C	RCY1	2.0
198	YOR256C	TRE2	2.0
199	YDR227W	SIR4	2.0
200	YDR228C	PCF11	2.0
201	YML111W	BUL2	2.0
202	YGL014W	PUF4	2.0
203	YMR047C	NUP116	2.0
204	YBR102C	EXO84	2.0
205	YOR172W	YRM1	2.0
206	YBR094W	PBY1	2.0
207	YPL016W	SWI1	2.0
208	YDR138W	HPR1	2.0
209	YPR008W	HAA1	2.0
210	YLR187W	SKG3	2.0
211	YGL215W	CLG1	2.0
212	YDR166C	SEC5	2.0
213	YGR047C	TFC4	2.0
214	YOL060C	MAM3	2.0
215	YDR150W	NUM1	2.0
216	YGR134W	CAF130	2.0
217	YHR114W	BZZ1	2.0
218	YMR207C	HFA1	2.0
219	YBL101C	ECM21	2.0
220	YBR081C	SPT7	2.0
221	YOR227W	HER1	2.0
222	YNL183C	NPR1	2.0
223	YMR288W	HSH155	2.0
224	YBR001C	NTH2	2.0
225	YDR351W	SBE2	2.0
226	YCR033W	SNT1	2.0
227	YGL013C	PDR1	2.0
228	YKL121W	DGR2	2.0
229	YHR098C	SFB3	2.0
230	YDL145C	COP1	2.0
