SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ROF1

Rank	Gene	Common	Score
Q	YHR177W	ROF1	
1	YLR307W	CDA1	2.2
2	YGL259W	YPS5	1.7
3	YHR176W	FMO1	1.7
4	YMR140W	SIP5	1.7
5	YCR068W	ATG15	1.7
6	YOR083W	WHI5	1.6
7	YBR182C	SMP1	1.6
8	YGR288W	MAL13	1.6
9	YEL069C	HXT13	1.6
10	YIL006W	YIA6	1.6
11	YGR141W	VPS62	1.6
12	YGL053W	PRM8	1.6
13	YDL245C	HXT15	1.6
14	YML066C	SMA2	1.6
15	YHR189W	PTH1	1.6
16	YDR403W	DIT1	1.6
17	YGL212W	VAM7	1.6
18	YEL049W	PAU2	1.6
19	YGR006W	PRP18	1.6
20	YDL079C	MRK1	1.6
21	YJL221C	IMA4	1.6
22	YGR224W	AZR1	1.5
23	YFL011W	HXT10	1.5
24	YJR053W	BFA1	1.5
25	YHL043W	ECM34	1.5
26	YPL165C	SET6	1.5
27	YBR250W	SPO23	1.5
28	YJL083W	TAX4	1.5
29	YIR015W	RPR2	1.5
30	YAL067C	SEO1	1.5
31	YJL103C	GSM1	1.5
32	YML118W	NGL3	1.5
33	YOR190W	SPR1	1.5
34	YBR076W	ECM8	1.5
35	YLR047C	FRE8	1.5
36	YOL067C	RTG1	1.5
37	YDL220C	CDC13	1.5
38	YBL074C	AAR2	1.5
39	YDL024C	DIA3	1.5
40	YEL019C	MMS21	1.5
41	YHR082C	KSP1	1.5
42	YMR063W	RIM9	1.5
43	YNL197C	WHI3	1.5
44	YMR182C	RGM1	1.5
45	YDL037C	BSC1	1.5
46	YOR032C	HMS1	1.5
47	YIR028W	DAL4	1.5
48	YHR185C	PFS1	1.5
49	YFL020C	PAU5	1.5
50	YIR027C	DAL1	1.5
51	YDR488C	PAC11	1.5
52	YGR249W	MGA1	1.5
53	YDR437W	GPI19	1.5
54	YFL042C	LAM5	1.5
55	YDR125C	ECM18	1.5
56	YGR143W	SKN1	1.5
57	YAL048C	GEM1	1.5
58	YPL021W	ECM23	1.5
59	YMR204C	INP1	1.5
60	YDR255C	RMD5	1.5
61	YJL020C	BBC1	1.5
62	YLL038C	ENT4	1.5
63	YHR178W	STB5	1.5
