SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SSP1

Rank	Gene	Common	Score
Q	YHR184W	SSP1	
1	YHR015W	MIP6	3.0
2	YFR023W	PES4	2.9
3	YLR307W	CDA1	2.7
4	YJL037W	IRC18	2.7
5	YGR059W	SPR3	2.6
6	YHR185C	PFS1	2.5
7	YER106W	MAM1	2.4
8	YCL048W	SPS22	2.4
9	YOL132W	GAS4	2.4
10	YPL130W	SPO19	2.4
11	YJL038C	LOH1	2.4
12	YOL091W	SPO21	2.4
13	YHR124W	NDT80	2.4
14	YNL128W	TEP1	2.4
15	YDR317W	HIM1	2.3
16	YGL170C	SPO74	2.3
17	YDR218C	SPR28	2.3
18	YBR045C	GIP1	2.3
19	YDR523C	SPS1	2.2
20	YOR177C	MPC54	2.2
21	YNL204C	SPS18	2.2
22	YMR017W	SPO20	2.2
23	YBR250W	SPO23	2.2
24	YDR522C	SPS2	2.2
25	YML047C	PRM6	2.2
26	YMR101C	SRT1	2.2
27	YPL033C	SRL4	2.2
28	YBR148W	YSW1	2.1
29	YFR036W	CDC26	2.1
30	YAL067C	SEO1	2.1
31	YDR273W	DON1	2.1
32	YOR339C	UBC11	2.1
33	YLR054C	OSW2	2.1
34	YLR308W	CDA2	2.1
35	YLR343W	GAS2	2.1
36	YIR027C	DAL1	2.1
37	YBR180W	DTR1	2.1
38	YDR403W	DIT1	2.1
39	YOR313C	SPS4	2.1
40	YIR028W	DAL4	2.1
41	YPR007C	REC8	2.1
42	YIR030C	DCG1	2.1
43	YIL008W	URM1	2.0
44	YBR040W	FIG1	2.0
45	YGL033W	HOP2	2.0
46	YOR242C	SSP2	2.0
47	YIL139C	REV7	2.0
48	YNL225C	CNM67	2.0
49	YOR255W	OSW1	2.0
50	YOR190W	SPR1	2.0
51	YIL037C	PRM2	2.0
52	YLR341W	SPO77	2.0
53	YFL058W	THI5	2.0
54	YMR233W	TRI1	2.0
55	YLR213C	CRR1	2.0
56	YPL027W	SMA1	2.0
57	YPL192C	PRM3	2.0
58	YDL008W	APC11	2.0
59	YDR281C	PHM6	1.9
60	YBR076W	ECM8	1.9
61	YKL178C	STE3	1.9
62	YIL159W	BNR1	1.9
63	YBR167C	POP7	1.9
64	YDR183W	PLP1	1.9
65	YOR298W	MUM3	1.9
66	YLR004C	THI73	1.9
67	YML066C	SMA2	1.9
68	YPR054W	SMK1	1.9
69	YNL318C	HXT14	1.9
70	YGL032C	AGA2	1.9
71	YIR013C	GAT4	1.9
72	YPR120C	CLB5	1.9
73	YHR164C	DNA2	1.9
74	YDR179C	CSN9	1.9
75	YDL239C	ADY3	1.9
76	YGL251C	HFM1	1.9
77	YGL171W	ROK1	1.9
78	YPL189W	GUP2	1.9
79	YAL046C	BOL3	1.9
80	YIR005W	IST3	1.9
81	YLL042C	ATG10	1.9
82	YDL247W	MPH2	1.9
83	YJR097W	JJJ3	1.9
84	YGR225W	AMA1	1.9
85	YPL255W	BBP1	1.9
86	YMR232W	FUS2	1.9
87	YOR249C	APC5	1.9
88	YJL023C	PET130	1.9
89	YIL150C	MCM10	1.9
90	YHR152W	SPO12	1.9
91	YHR060W	VMA22	1.8
92	YDR540C	IRC4	1.8
93	YPL200W	CSM4	1.8
94	YGR276C	RNH70	1.8
95	YER180C	ISC10	1.8
96	YHR166C	CDC23	1.8
97	YOL015W	IRC10	1.8
98	YDR184C	ATC1	1.8
